examples/C++/Advanced/custom-vec-type.cpp: Unknown
examples/C++/Advanced/lasso-fbs.cpp: Unknown
examples/C++/CasADi/Rosenbrock/main.cpp: Unknown
examples/C++/CustomControlCppProblem/main.cpp: Unknown
examples/C++/CustomCppProblem/main.cpp: Unknown
examples/C++/DLProblem/main.cpp: Unknown
examples/C++/DLProblem/problem.c: Unknown
examples/C++/DLProblem/test-matmul.c: Unknown
examples/C++/FortranProblem/main.cpp: Unknown
examples/C++/SimpleUnconstrProblem/main.cpp: Unknown
examples/CMake/Solver/alpaqa-qp-solver.cpp: 2023-11-21T11:59:40Z
examples/CMake/Solver/problem.cpp: 2023-11-21T16:58:48Z
examples/problems/python-loader.cpp: 2024-05-03T14:47:00Z
examples/problems/sparse-logistic-regression.cpp: 2024-03-22T15:21:37Z
examples/util/src/stdout.cpp: 2024-02-11T15:14:09Z
interfaces/matlab/src/alpaqa_mex.cpp: 2023-11-15T16:52:40Z
interfaces/matlab/src/minimize.cpp: 2023-11-14T16:53:37Z
interfaces/matlab/src/unicode.cpp: 2023-11-14T10:29:20Z
interfaces/python/src/accel/anderson.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/accel/lbfgs.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/alpaqa.py.cpp: 2024-05-03T14:48:08Z
interfaces/python/src/counters.py.cpp: 2023-04-06T01:01:45Z
interfaces/python/src/enums.py.cpp: 2023-09-25T20:00:50Z
interfaces/python/src/inner/fista.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/inner-solver.py.cpp: 2024-03-30T00:13:05Z
interfaces/python/src/inner/lbfgsb.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/ocp.py.cpp: 2023-11-14T16:06:34Z
interfaces/python/src/inner/panoc-directions.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/panoc-ocp.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/panoc.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/pantr-directions.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/pantr.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/inner/zerofpr.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/misc.py.cpp: 2024-05-03T14:48:08Z
interfaces/python/src/outer/alm.py.cpp: 2024-04-03T09:47:34Z
interfaces/python/src/problem/control-problems.py.cpp: 2023-11-21T16:26:53Z
interfaces/python/src/problem/problems.py.cpp: 2024-05-03T14:48:08Z
interfaces/python/src/proximal/prox.py.cpp: 2023-11-21T16:26:53Z
src/alpaqa/src/accelerators/lbfgs.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/driver/alpaqa-driver.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/driver/fista-driver.cpp: 2023-11-14T10:32:31Z
src/alpaqa/src/driver/gradient-checker.cpp: 2024-04-23T08:49:48Z
src/alpaqa/src/driver/ipopt-driver.cpp: 2024-04-23T08:49:48Z
src/alpaqa/src/driver/lbfgsb-driver.cpp: 2023-11-17T21:48:49Z
src/alpaqa/src/driver/openmp.cpp: 2023-12-11T22:22:09Z
src/alpaqa/src/driver/panoc-driver.cpp: 2024-03-22T15:21:37Z
src/alpaqa/src/driver/pantr-driver.cpp: 2023-11-14T10:32:31Z
src/alpaqa/src/driver/param-complete.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/driver/problem.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/driver/qpalm-driver.cpp: 2024-04-23T08:49:48Z
src/alpaqa/src/inner/directions/panoc/convex-newton.cpp: 2024-03-22T15:21:37Z
src/alpaqa/src/inner/directions/panoc/structured-lbfgs.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/inner/directions/panoc/structured-newton.cpp: 2024-03-22T15:21:37Z
src/alpaqa/src/inner/fista.cpp: 2023-10-31T11:58:33Z
src/alpaqa/src/inner/internal/panoc-helpers.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/inner/internal/panoc-stop-crit.cpp: 2023-01-18T13:03:30Z
src/alpaqa/src/inner/internal/solverstatus.cpp: 2023-01-18T13:03:30Z
src/alpaqa/src/inner/panoc-ocp.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/inner/panoc.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/inner/pantr.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/inner/zerofpr.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/newton-tr-pantr-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/outer/alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/outer/internal/alm-helpers.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/panoc-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/panoc-anderson-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/panoc-convex-newton-alm.cpp: 2024-03-22T15:21:37Z
src/alpaqa/src/params/json.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/params/params.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/problem/ocproblem-counters.cpp: 2023-01-27T15:25:56Z
src/alpaqa/src/problem/ocproblem.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/problem/problem-counters.cpp: 2024-05-03T14:47:00Z
src/alpaqa/src/problem/type-erased-problem.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/structured-panoc-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/structured-zerofpr-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/util/demangled-typename.cpp: 2023-09-30T22:18:02Z
src/alpaqa/src/util/dl-flags.cpp: 2024-05-03T15:45:50Z
src/alpaqa/src/util/dl.cpp: 2024-05-03T14:48:08Z
src/alpaqa/src/util/io/csv.cpp: 2023-11-20T21:33:06Z
src/alpaqa/src/util/print.cpp: 2023-09-27T11:54:50Z
src/alpaqa/src/util/quadmath/quadmath-print.cpp: 2023-08-13T17:35:28Z
src/alpaqa/src/util/type-erasure.cpp: 2023-01-18T13:03:30Z
src/alpaqa/src/zerofpr-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/zerofpr-anderson-alm.cpp: 2023-08-03T10:45:16Z
src/alpaqa/src/zerofpr-convex-newton-alm.cpp: 2024-03-22T15:21:37Z
src/interop/casadi/src/CasADiControlProblem.cpp: 2024-03-30T13:31:59Z
src/interop/casadi/src/CasADiProblem.cpp: 2024-03-30T13:31:59Z
src/interop/casadi/src/CompleteCasADiProblem.cpp: 2024-03-30T13:31:59Z
src/interop/casadi/src/casadi-external-function.cpp: 2024-05-03T14:48:08Z
src/interop/cutest/src/cutest-loader.cpp: 2024-05-03T14:48:08Z
src/interop/dl/src/dl-problem.cpp: 2024-05-03T14:48:08Z
src/interop/ipopt/src/ipopt-adapter.cpp: 2024-04-23T08:49:48Z
src/interop/ipopt/src/ipopt-json.cpp: 2023-11-12T19:18:30Z
src/interop/ipopt/src/ipopt-params.cpp: 2023-11-12T19:18:30Z
src/interop/lbfgsb/src/lbfgsb-adapter.cpp: 2024-03-22T15:21:37Z
src/interop/lbfgsb/src/lbfgsb-json.cpp: 2024-03-22T15:21:37Z
src/interop/lbfgsb/src/lbfgsb-params.cpp: 2024-03-22T15:21:37Z
src/interop/lbfgspp/src/lbfgsb-adapter.cpp: 2023-08-03T10:45:16Z
src/interop/qpalm/src/qpalm-adapter.cpp: 2024-04-23T08:49:48Z
src/interop/qpalm/src/qpalm-json.cpp: 2024-03-22T15:21:37Z
src/interop/qpalm/src/qpalm-params.cpp: 2024-03-22T15:21:37Z
test/accelerators/test-anderson-acceleration.cpp: 2023-08-22T15:43:40Z
test/accelerators/test-lbfgs.cpp: 2023-08-13T15:29:57Z
test/accelerators/test-limited-memory-qr.cpp: 2023-08-22T12:52:43Z
test/inner/test-panoc.cpp: 2024-03-22T15:21:37Z
test/interop/test-qpalm-conversion.cpp: 2024-04-23T08:49:48Z
test/outer/rosenbrock_functions_test.c: 2023-04-11T13:37:07Z
test/outer/test-alm.cpp: 2023-08-03T16:04:17Z
test/outer/test-casadi.cpp: 2023-04-05T00:50:46Z
test/problem/test-sparsity.cpp: 2023-09-30T22:17:38Z
test/problem/test-type-erased-problem.cpp: 2023-09-30T22:09:12Z
test/util/io/test-csv.cpp: 2023-11-21T11:36:11Z
test/util/test-duration-parse.cpp: 2023-11-12T01:48:08Z
test/util/test-index-set.cpp: 2023-07-18T08:33:29Z
test/util/test-print.cpp: 2023-09-24T20:53:46Z
test/util/test-set-intersection.cpp: 2024-03-22T15:21:37Z
test/util/test-sparse-ops.cpp: 2023-09-27T00:29:50Z
test/util/test-string-util.cpp: 2023-11-11T16:47:42Z
test/util/test-type-erasure.cpp: 2024-03-22T15:21:37Z
test_package/src/example.cpp: 2023-08-28T22:36:19Z
