Quarter,CS_Comment_Ratio,NonCS_Comment_Ratio
2020_Q1,0.0895,0.1029
2020_Q2,0.0838,0.1120
2020_Q3,0.0836,0.1167
2020_Q4,0.0817,0.1042
2021_Q1,0.0870,0.1232
2021_Q2,0.0830,0.1122
2021_Q3,0.0795,0.1079
2021_Q4,0.0819,0.1206
2022_Q1,0.0791,0.1098
2022_Q2,0.0786,0.1014
2022_Q3,0.0839,0.1085
2022_Q4,0.0779,0.1067
2023_Q1,0.0815,0.0987
2023_Q2,0.0825,0.1031
2023_Q3,0.0791,0.1081
2023_Q4,0.0777,0.0929
2024_Q1,0.0815,0.1018
2024_Q2,0.0789,0.1072
2024_Q3,0.0832,0.0995
2024_Q4,0.0833,0.1015
2025_Q1,0.0813,0.0958
