Word,Frequency
the,718637
of,401361
to,312391
a,236426
for,216688
in,183301
is,175675
and,174208
obj,99844
model,93365
this,92661
with,92106
if,91252
tensor,89320
be,88816
or,88220
list,82209
shape,73749
from,72792
args,68282
optional,66027
int,64954
each,63645
x,60338
torch,59715
that,58096
are,57308
not,55940
returns,55373
default,54727
as,54187
image,50342
on,50272
license,50181
input,49912
class,49035
by,48629
number,47591
true,47298
self,46215
all,46039
data,45354
n,44391
used,44073
dict,43807
output,42177
an,40339
it,40076
will,39880
we,38589
loss,38533
return,38247
size,37821
param,36713
str,36193
none,35976
file,35916
use,35879
layer,35861
tuple,35367
config,34297
when,33278
c,33049
batch,32880
s,31386
set,31150
function,30172
can,29743
float,29650
bool,29468
attention,28631
sequence,28466
training,27962
parameters,27940
at,27880
one,26154
see,25808
which,25632
dataset,25526
b,25514
https,25468
array,25193
mask,25024
token,24818
only,24294
false,24289
test,23893
np,23408
under,23238
value,23066
should,23020
i,22775
t,22724
defaults,22457
you,22451
w,22262
whether,21976
e,21941
print,21281
tokens,21163
type,20947
labels,20838
h,20578
values,20396
y,20302
transformers,20284
weights,19523
path,19520
name,19513
org,19304
get,19038
feature,18951
compute,18550
length,18388
using,18041
module,17528
index,17519
first,17516
models,16855
load,16815
same,16814
outputs,16677
copyright,16663
boxes,16636
numpy,16462
given,16383
have,16075
may,16066
configuration,16020
has,15971
object,15759
k,15615
head,15489
level,15472
indices,15432
box,15376
arguments,15311
source,15153
string,15084
into,15063
g,15055
tf,14986
add,14973
single,14849
where,14846
any,14842
features,14797
images,14672
target,14655
layers,14586
classification,14557
no,14392
returned,14383
ndarray,14038
base,13969
m,13949
forward,13854
results,13840
floattensor,13829
scale,13786
inputs,13706
distributed,13668
its,13649
method,13336
pytorch,13268
code,13202
points,13046
format,13036
channels,12997
end,12679
after,12608
dictionary,12575
but,12449
directory,12372
nn,12203
scores,12150
tokenizer,11987
version,11970
arxiv,11966
d,11921
last,11880
train,11789
note,11763
padding,11716
specific,11689
hidden,11614
label,11598
time,11551
so,11430
check,11419
random,11371
language,11260
com,11244
network,11196
encoder,11091
weight,11055
sample,10985
matrix,10948
more,10879
ids,10732
then,10617
original,10612
pretrained,10313
create,10312
without,10306
key,10301
import,10288
block,10211
required,10200
states,10185
root,10151
instance,10116
bbox,10094
mean,10090
save,10065
example,10052
licensed,10034
py,9991
decoder,9983
map,9973
also,9882
