Word,Frequency
the,1220830
of,655936
to,537457
a,362341
for,354546
in,300271
is,294415
and,279107
model,161516
with,153557
or,153008
this,146158
be,144890
tensor,143843
if,141717
list,128761
args,126085
optional,125652
from,123944
obj,118438
shape,115742
int,108267
license,106534
torch,102367
each,94817
that,92689
not,92342
are,91067
returns,89857
as,88977
input,86461
default,84802
on,82818
dict,82117
x,82104
by,81172
all,79634
used,79633
it,77973
number,76416
true,75216
image,71764
data,71593
n,70421
use,67521
class,67165
will,65733
output,64963
self,64539
str,64245
an,62248
layer,62117
we,61457
loss,60876
config,60015
attention,58275
size,57979
tuple,57765
file,57274
none,56917
defaults,56850
return,56347
batch,56326
when,56262
training,54686
c,54670
float,51892
s,51488
bool,51173
dataset,49704
can,49409
sequence,49098
set,48004
under,47269
token,46768
at,46739
function,46580
see,45296
param,45227
b,44904
mask,44141
https,43522
you,43004
only,42549
whether,40396
one,40333
t,40288
value,39888
which,39846
tokens,39349
false,37041
should,36361
parameters,35558
labels,35313
w,34310
type,33051
e,33028
values,32455
length,32429
h,32068
test,31932
copyright,31182
module,31127
org,30626
path,30362
may,29763
models,29743
using,29701
feature,29457
i,29037
get,28633
features,28498
np,27881
weights,27850
distributed,27834
layers,27826
has,27532
transformers,26897
same,26872
any,26821
given,26582
name,26440
array,26215
outputs,26171
index,26128
print,26122
encoder,26114
first,26057
compute,25636
indices,25381
load,25291
points,24474
head,24433
have,24294
results,24203
source,23915
into,23888
method,23684
g,23569
forward,23268
its,23205
boxes,23175
add,23077
configuration,22940
no,22919
images,22848
decoder,22767
returned,22607
ndarray,22493
pytorch,22282
inputs,22245
apache,22235
com,22185
classification,22185
ids,22036
where,22017
tf,21976
language,21969
key,21907
single,21823
floattensor,21692
version,21403
note,21400
nn,21331
arguments,20709
padding,20455
target,20332
format,20284
object,20264
specific,20257
more,20244
tokenizer,20229
code,20117
after,19891
string,19868
box,19851
base,19566
k,19554
sample,19466
without,19436
label,19412
scores,19387
time,19380
required,19308
scale,19307
states,19041
y,19040
licensed,19032
github,18937
train,18910
level,18792
but,18788
text,18785
either,18784
channels,18597
dictionary,18574
hidden,18553
d,18254
last,18190
dimension,18174
py,18169
so,17827
save,17777
directory,17634
embedding,17559
end,17317
position,17283
tensors,17267
numpy,17169
weight,17125
passed,17038
example,16909
different,16726
masked,16486
mean,16477
copy,16469
point,16387
random,16124
import,16023
contains,16014
check,15799
original,15697
based,15664
block,15633
state,15626
information,15537
mode,15349
matrix,15240
embeddings,15238
between,15207
checkpoint,15096
dim,15026
m,15022
then,14990
per,14970
two,14909
create,14896
arxiv,14892
rate,14875
convert,14839
map,14731
containing,14686
prediction,14680
optimizer,14644
instance,14559
rights,14514
root,14454
http,14431
software,14431
epoch,14307
range,14181
inc,14174
heads,14110
before,14020
samples,14007
transformer,13837
learning,13836
reserved,13766
network,13735
generate,13690
result,13662
also,13492
keys,13464
step,13347
www,13335
than,13332
make,13294
specified,13270
current,13220
log,13215
new,13126
params,13008
need,13000
update,12980
logits,12979
device,12842
python,12830
max,12762
id,12725
except,12714
other,12675
width,12652
ground,12614
multiple,12568
