File Name,Frequency
api,10105
__init__,1986
utils,487
train,107
model,93
base,92
main,73
setup,70
config,59
builder,56
util,48
test,46
metrics,43
logger,39
data,38
dataset,37
transformer,37
misc,34
resnet,32
loss,32
task,29
common,28
tokenizer,27
val,27
predict,27
registry,26
evaluate,26
attention,24
helpers,24
transforms,23
vit,23
eval,21
constants,21
mlp,20
trainer,20
losses,20
inference,20
models,19
_generate_configs,19
ema,18
bench_sglang,18
evaluation,17
data_utils,17
default_runtime,17
run,16
modules,16
bench_other,16
optimizer,15
version,15
finetune,15
worker,15
build,15
cityscapes,14
dist_utils,14
vgg,14
memory,13
imagenet,12
scheduler,12
conf,12
io,12
lr_scheduler,11
prompts,11
layers,11
transform,11
distributed,11
image,11
collect_env,11
llm,11
parallel_state,11
norm,11
datasets,10
clip,10
tools,10
ops,10
coco,10
pretrained,10
custom,10
ade20k,10
dataset_wrappers,10
wrappers,10
benchmark,10
model_runner,10
linear,10
conversation,10
engine,9
decoder,9
factory,9
embed,9
distributions,9
base_model,9
openai,9
vision_transformer,9
loading,9
mobilenet_v2,9
resnext,9
focal_loss,9
arg_utils,9
prompt,9
configs,9
convnext,9
modeling_llama,9
conv,9
test_utils,9
evaluator,8
lars,8
accuracy,8
plotting,8
blocks,8
ddim,8
openaimodel,8
vqperceptual,8
download,8
search,8
coco_caption,8
voc,8
hrnet,8
resnest,8
data_preprocessor,8
inverted_residual,8
res_layer,8
se_layer,8
cross_entropy_loss,8
make_divisible,8
setup_env,8
llm_engine_sp,8
model_loader,8
base_dataset,8
vqa,8
stat,8
checkpoint,8
mm_utils,8
eval_utils,8
params,7
dataloader,7
classification,7
env,7
metric,7
visualization,7
diffusion,7
logging,7
autoencoder,7
classifier,7
ddpm,7
bsrgan,7
bsrgan_light,7
utils_image,7
script,7
data_loader,7
coco_panoptic,7
refcoco,7
positional_encoding,7
const,7
nocaps,7
densenet,7
llava,7
predictor,7
sam,7
tuner,7
block,7
features,7
clip_encoder,7
model_utils,7
pipeline,7
pos_embed,6
__main__,6
encoder,6
position_encoding,6
tensorboard,6
loader,6
processing,6
sampler,6
launch,6
plms,6
x_transformer,6
contperceptual,6
rope,6
lpips,6
arguments,6
deepfashion,6
wider_face,6
schedule_2x,6
formatting,6
class_names,6
efficientnet,6
regnet,6
res2net,6
two_stage,6
activations,6
seesaw_loss,6
fpn,6
browse_dataset,6
get_flops,6
scifact,6
dtensor_weight_loaders,6
hf_weight_loader,6
megatron_weight_loaders,6
spmd_gpu_executor,6
lora,6
kv_cache,6
cli,6
alexnet,6
base_backbone,6
modeling_opt,6
huggingface,6
monkeypatch,6
amg,6
interface,6
drive,6
pascal_context,6
consolidate,6
llava_arch,6
make_delta,6
llava_llama,6
llava_mpt,6
enums,6
core,6
transforms_3d,6
workflow,6
simple_tokenizer,5
apply_delta,5
gap,5
eval_metric,5
swin_transformer,5
lsun,5
transnuseg,5
timm_model,5
object_detection,5
unet,5
sampling_and_metrics,5
coco_detection,5
coco_instance,5
schedule_1x,5
visualization_hook,5
layer_decay_optimizer_constructor,5
bbox_overlaps,5
swin,5
dino,5
rpn,5
dice_loss,5
match_cost,5
point_sample,5
analyze_logs,5
test_torchserver,5
print_config,5
publish_model,5
visualizer,5
squad,5
