Function Name,Projects Count
__init__,938
forward,799
__len__,657
__getitem__,643
main,613
__call__,500
train,446
update,366
__repr__,317
reset,291
evaluate,286
__iter__,254
backward,238
step,220
__str__,211
parse_args,208
test,203
_make_layer,187
run,184
init_weights,178
save_checkpoint,177
load,176
encode,173
_init_weights,167
Bottleneck,165
BasicBlock,163
save,162
decode,162
__getattr__,162
AverageMeter,160
sample,158
Attention,151
get,147
predict,147
extra_repr,143
load_model,143
reset_parameters,142
ResNet,140
MLP,137
load_state_dict,130
accuracy,129
setup,127
Mlp,126
conv3x3,125
normalize,122
Block,118
generate,115
load_checkpoint,113
preprocess,113
get_lr,113
Transformer,111
get_rank,111
write,109
wrapper,108
get_world_size,108
transform,107
__exit__,105
get_model,105
__enter__,103
PatchEmbed,103
build_model,100
Trainer,99
eval,98
to,96
LayerNorm,96
save_model,96
Logger,96
__setstate__,96
load_data,95
state_dict,95
log,95
forward_features,95
validate,93
tokenize,93
close,93
Encoder,92
parse,92
inference,92
training_step,91
process,90
initialize,89
loss,87
build_dataset,87
configure_optimizers,84
get_loss,84
add,83
adjust_learning_rate,83
set_seed,82
conv1x1,82
flush,81
Normalize,81
device,80
VisionTransformer,79
__next__,78
get_dataset,77
print,77
value,77
ResBlock,77
validation_step,76
collate_fn,76
is_main_process,76
fit,75
Decoder,74
get_params,74
Model,73
_forward,72
avg,72
set_epoch,72
no_weight_decay,71
window_partition,71
info,70
register,70
__del__,69
train_one_epoch,68
get_config,68
Upsample,67
get_logger,67
set_random_seed,67
attention,66
init,66
Compose,66
ToTensor,66
copy,66
name,65
is_dist_avail_and_initialized,65
__setattr__,64
RandomCrop,64
window_reverse,64
train_step,64
FeedForward,64
__getstate__,63
get_args,63
resnet50,62
convert,62
__setitem__,62
Resize,62
download,62
build,62
str2bool,61
exists,61
median,61
Config,61
get_data,60
_load_from_state_dict,60
resize,60
default,60
mkdir,59
Downsample,59
create_model,59
max,59
_reset_parameters,59
global_avg,58
crop,58
get_optimizer,58
BaseModel,57
DropPath,57
MetricLogger,57
PatchMerging,57
load_dataset,57
compute_metrics,56
from_pretrained,56
SmoothedValue,56
Identity,56
AttentionPool2d,56
resnet18,55
get_classifier,55
add_meter,55
Dataset,54
reset_classifier,54
train_dataloader,54
init_distributed_mode,54
clear,53
all_gather,53
_initialize_weights,52
__eq__,52
__post_init__,52
worker_init_fn,52
setup_for_distributed,52
log_every,52
build_optimizer,51
_freeze_stages,51
prepare_inputs_for_generation,51
render,51
get_input_embeddings,51
forward_train,51
synchronize_between_processes,51
val_dataloader,50
resnet101,49
resnet34,49
Conv2d,49
pad,49
checkpoint,49
prepare_data,49
build_backbone,49
test_step,48
visualize,48
zero_grad,48
BaseDataset,48
dtype,48
to_dict,47
ssim,47
set_input_embeddings,47
QuickGELU,47
start,46
WindowAttention,46
plot,46
compute,46
TransformerEncoder,46
ResnetBlock,46
train_epoch,45
resnet152,45
load_config,45
get_transform,45
setup_logger,45
build_dataloader,45
make_dataset,44
rotate,44
BasicLayer,44
postprocess,44
load_image,44
encode_text,44
