variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
A1,0,1,1,inf
A2,0,1,1,inf
B1,0,1,1,inf
B2,0,1,1,inf
C1,0,1,1,inf
C2,0,1,1,inf
FenwickTree,0,2,2,inf
M_pow,0,0,1,inf
M_sorted,0,0,1,inf
PS2_remaining,0,0,1,inf
SegmentTree,0,1,1,inf
Solution,0,0,1,inf
THRESHOLD,0,0,1,inf
USB_remaining,0,0,1,inf
ZeroDivisionError,0,0,1,inf
___,0,2,1,inf
a00,0,1,1,inf
a01,0,1,1,inf
a10,0,1,1,inf
a11,0,1,1,inf
a_abs,0,0,1,inf
a_char,0,0,1,inf
a_digits,0,0,1,inf
a_i,0,2,1,inf
a_line,0,0,1,inf
a_max,0,3,1,inf
a_n,0,0,1,inf
a_nodes,0,0,1,inf
a_p1,0,0,1,inf
a_p2,0,0,1,inf
a_part,0,2,1,inf
a_perp,0,0,1,inf
a_placed,0,0,1,inf
a_points,0,0,1,inf
a_segment,0,0,2,inf
a_segment_sorted,0,0,1,inf
a_sorted,0,5,4,inf
a_sorted_min,0,0,1,inf
a_sq,0,1,1,inf
a_t1,0,0,1,inf
a_t2,0,0,1,inf
a_total,0,1,1,inf
a_turns,0,0,1,inf
a_val,0,0,1,inf
ab,0,1,2,inf
ab_diff_sq,0,0,1,inf
accident,0,1,1,inf
active,0,2,1,inf
active_users,0,0,1,inf
active_ys,0,0,1,inf
actual_edges,0,2,1,inf
add_sec,0,0,1,inf
added,0,2,1,inf
addresses,0,1,1,inf
adjacent_colors,0,0,1,inf
adults,0,0,1,inf
affected,0,0,1,inf
ai_idx,0,1,1,inf
aj,0,2,1,inf
alice_counts,0,0,1,inf
all_colors,0,1,1,inf
all_d,0,0,1,inf
all_empty,0,0,1,inf
all_icicles,0,0,1,inf
all_laptops,0,0,1,inf
all_ones,0,0,1,inf
all_rotations,0,0,1,inf
all_same,0,0,1,inf
all_segments,0,1,1,inf
all_substrings,0,0,1,inf
all_valid,0,1,2,inf
allocated_blocks,0,0,1,inf
alpha_rad,0,1,1,inf
alphabet,0,0,1,inf
alt_changes,0,0,1,inf
alt_heap,0,0,1,inf
alt_remaining,0,0,1,inf
amp_count,0,1,1,inf
ancestor,0,1,1,inf
and_xy,0,1,1,inf
arrival,0,3,2,inf
arrival_time,0,2,1,inf
arrive,0,0,1,inf
ascii_lowercase,0,0,2,inf
at_indices,0,0,1,inf
at_pos,0,0,2,inf
athletes,0,1,1,inf
available_colors,0,0,1,inf
available_days,0,0,1,inf
available_one,0,0,1,inf
available_two,0,0,1,inf
average,0,2,2,inf
b_abs,0,0,1,inf
b_char,0,0,1,inf
b_digits,0,1,1,inf
b_idx,0,1,1,inf
b_line,0,0,1,inf
b_p1,0,0,1,inf
b_p2,0,0,1,inf
b_perp,0,0,1,inf
b_placed,0,0,1,inf
b_points,0,0,1,inf
b_ptr,0,1,1,inf
b_segment,0,0,2,inf
b_segment_sorted,0,0,1,inf
b_sorted_asc,0,0,1,inf
b_sorted_desc,0,0,1,inf
b_t1,0,0,1,inf
b_t2,0,0,1,inf
b_val,0,1,2,inf
ba,0,0,1,inf
back_count,0,0,1,inf
backward_possible,0,1,1,inf
bad_num,0,0,1,inf
bad_pairs,0,0,2,inf
bad_ways,0,0,1,inf
ball_pos,0,0,1,inf
barriers,0,0,1,inf
base_str,0,1,1,inf
batch,0,1,1,inf
batches,0,0,1,inf
bc,0,0,2,inf
beats,0,1,1,inf
benched,0,0,1,inf
bessie,0,1,1,inf
bessie_reachable,0,1,1,inf
best_a,0,4,3,inf
best_b,0,4,3,inf
best_c,0,1,1,inf
best_change,0,0,1,inf
best_color,0,1,1,inf
best_count,0,0,1,inf
best_end,0,1,1,inf
best_g,0,0,1,inf
best_guess,0,0,1,inf
best_h,0,1,1,inf
best_i,0,2,2,inf
best_index,0,4,2,inf
