variable,ac_frequency,ans_frequency,ref_frequency,increase_ratio
DisjointSet,0,1,1,inf
a_col,0,2,1,inf
a_row,0,2,1,inf
abbreviation,0,2,1,inf
acceleration,0,0,1,inf
acceptable_delights,0,0,1,inf
adj_list,0,0,2,inf
adults_count,0,0,1,inf
alice_count,0,1,1,inf
alice_time,0,1,1,inf
alpha_degrees,0,0,1,inf
answers,0,3,1,inf
anton_wins,0,1,1,inf
at_indices,0,0,1,inf
availability,0,0,1,inf
available_rooms,0,0,1,inf
available_women,0,0,1,inf
average_fraction,0,0,1,inf
b_col,0,2,1,inf
b_row,0,2,1,inf
base_convert,0,0,1,inf
bessie_configurations,0,0,1,inf
bessie_empty_cell_index,0,0,1,inf
bessie_puzzle,0,2,1,inf
bin_num,0,0,1,inf
binary,0,1,1,inf
binary_search,0,12,3,inf
black_square_counts,0,1,1,inf
board,0,6,1,inf
bob_count,0,1,1,inf
bob_time,0,1,1,inf
book_indices,0,0,1,inf
book_pages,0,0,1,inf
box_id,0,1,1,inf
box_number,0,0,1,inf
bp,0,0,1,inf
break_time,0,1,1,inf
budget,0,0,1,inf
bus_time,0,2,1,inf
c_trans,0,0,1,inf
cakes_baked_before_second_oven,0,0,1,inf
calculate_angle,0,2,1,inf
calculate_average_orange_juice_fraction,0,0,1,inf
calculate_distance,0,7,2,inf
calculate_lcm,0,1,1,inf
calculate_max_expected_value,0,0,1,inf
calculate_min_cost,0,3,1,inf
calculate_moves,0,0,1,inf
calculate_points,0,0,1,inf
calculate_r,0,0,1,inf
calculate_tournament_resources,0,1,1,inf
camel_positions,0,0,1,inf
camels,0,1,1,inf
can_distribute,0,0,1,inf
can_fit,0,2,1,inf
can_reach_end,0,0,1,inf
capacities,0,1,1,inf
car_length,0,1,1,inf
card,0,3,1,inf
card_size,0,0,1,inf
category_index,0,0,1,inf
category_name,0,0,1,inf
cell,0,2,3,inf
char_freq,0,1,1,inf
char_larger,0,0,1,inf
char_smaller,0,0,1,inf
chars_to_delete,0,0,1,inf
check_adjacent_color,0,0,1,inf
check_combinations,0,0,1,inf
check_sentence,0,0,1,inf
check_win,0,2,3,inf
classification,0,0,1,inf
classify_triad,0,0,1,inf
codes,0,0,1,inf
coin_values,0,1,1,inf
col_data,0,0,1,inf
col_restrictions,0,0,1,inf
col_sums,0,1,1,inf
collision_time,0,1,1,inf
color_count,0,0,1,inf
colors_reversed,0,0,1,inf
common_configurations,0,1,1,inf
complexities,0,1,1,inf
computer,0,2,1,inf
configurations,0,0,1,inf
connectivity,0,0,1,inf
consecutive_rocks,0,0,1,inf
construct_graph,0,0,1,inf
countG,0,0,1,inf
count_1,0,3,1,inf
count_2,0,2,1,inf
count_a,0,4,1,inf
count_b,0,7,1,inf
count_black_squares,0,0,1,inf
count_common_divisors,0,2,1,inf
count_current,0,0,1,inf
count_damaged_dragons,0,1,1,inf
count_dict,0,2,2,inf
count_f,0,1,1,inf
count_factors_of_five,0,1,1,inf
count_lucky_numbers,0,0,1,inf
count_m,0,0,1,inf
count_magical_subarrays,0,2,1,inf
count_next,0,0,1,inf
count_numbers_with_one_zero_in_binary,0,0,1,inf
count_numbers_with_same_first_last_digit,0,0,1,inf
count_ones,0,4,1,inf
count_uncomfortable_pairs,0,1,1,inf
count_vowels,0,2,2,inf
counterexample,0,0,1,inf
cp,0,0,1,inf
cross_product,0,2,1,inf
crosswords,0,1,1,inf
cup,0,0,1,inf
cur_node,0,0,1,inf
curr_run,0,0,1,inf
current_count,0,3,2,inf
current_delight,0,0,1,inf
current_distance,0,2,1,inf
current_name,0,0,1,inf
current_score,0,0,1,inf
current_scores,0,0,1,inf
current_value,0,1,1,inf
current_vertices,0,0,1,inf
cycle_rate,0,0,1,inf
danik_wins,0,1,1,inf
day_index,0,1,1,inf
delight,0,1,1,inf
denominator,0,8,3,inf
diagonal_moves,0,0,1,inf
directions,0,15,2,inf
disk,0,1,1,inf
disk_files,0,0,1,inf
disk_folders,0,0,1,inf
dist3,0,0,1,inf
dist4,0,0,1,inf
distance1,0,1,1,inf
distance2,0,1,1,inf
distances_to_zero,0,1,1,inf
divisor,0,4,1,inf
divisor_digits,0,0,1,inf
drift,0,0,1,inf
drifts,0,2,1,inf
ds,0,1,1,inf
dx3,0,0,1,inf
dy3,0,0,1,inf
edge_vector,0,0,1,inf
elsie_configurations,0,0,1,inf
elsie_empty_cell_index,0,0,1,inf
elsie_puzzle,0,2,1,inf
email,0,1,1,inf
emails,0,1,1,inf
empty_cell_index,0,0,1,inf
excess,0,4,1,inf
excess_usage,0,0,1,inf
expected_box,0,1,1,inf
expected_count,0,0,1,inf
expression,0,3,1,inf
extended_euclidean,0,1,1,inf
extra,0,0,1,inf
favourite_number,0,0,1,inf
favourite_numbers,0,1,1,inf
file_count,0,0,1,inf
find_counterexample,0,0,1,inf
find_first,0,0,1,inf
find_friends,0,0,1,inf
find_next_test_index,0,1,1,inf
find_optimal_bracket_sequence,0,0,1,inf
first_index,0,0,1,inf
first_non_zero_index,0,0,1,inf
first_options,0,2,1,inf
first_penalty_index,0,0,1,inf
first_sequence,0,0,1,inf
folder_path,0,0,1,inf
folders_path,0,0,1,inf
freq,0,10,1,inf
friend_index,0,1,1,inf
friend_pair,0,1,1,inf
friend_value,0,0,1,inf
gender,0,2,1,inf
generate_acceptable_sets,0,0,1,inf
generate_binary_numbers,0,0,1,inf
