variable,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2,2024Q3,2024Q4,2025Q1,slope,r_squared
_,0.1774891774891775,0.1352459016393442,0.1923076923076923,0.1482965931863727,0.1875,0.1682600382409178,0.1423076923076923,0.1791338582677165,0.2654320987654321,0.285140562248996,0.296969696969697,0.2485436893203883,0.255278310940499,0.3523622047244094,0.3774703557312253,0.339047619047619,0.3587786259541984,0.4953095684803001,0.5471698113207547,0.6446124763705104,0.4961538461538461,0.021199966938485207,0.8190608731819445
batch_size,0.093073593073593,0.0901639344262295,0.1175213675213675,0.0841683366733467,0.1041666666666666,0.0745697896749522,0.0769230769230769,0.0905511811023622,0.1460905349794238,0.1465863453815261,0.1979797979797979,0.1553398058252427,0.1228406909788867,0.1968503937007874,0.2213438735177865,0.1923809523809523,0.2022900763358778,0.3058161350844278,0.3283018867924528,0.3950850661625709,0.2903846153846154,0.012976376649279964,0.769266328581267
in_channels,0.0303030303030303,0.0368852459016393,0.0405982905982906,0.0300601202404809,0.0416666666666666,0.02868068833652,0.0423076923076923,0.0452755905511811,0.0823045267489712,0.0923694779116465,0.1212121212121212,0.0601941747572815,0.0767754318618042,0.108267716535433,0.1541501976284585,0.1123809523809523,0.1240458015267175,0.1969981238273921,0.2018867924528302,0.2155009451795841,0.15,0.008791265020916211,0.8061113557978326
out_channels,0.0194805194805194,0.0307377049180327,0.0363247863247863,0.0300601202404809,0.0354166666666666,0.0267686424474187,0.0365384615384615,0.0413385826771653,0.0781893004115226,0.0883534136546184,0.109090909090909,0.062135922330097,0.0710172744721689,0.1003937007874015,0.150197628458498,0.0952380952380952,0.1125954198473282,0.1838649155722326,0.190566037735849,0.217391304347826,0.1538461538461538,0.00874125010257172,0.8139377163414057
num_heads,0.0021645021645021,0.0,0.0021367521367521,0.0040080160320641,0.0041666666666666,0.0076481835564053,0.0057692307692307,0.0098425196850393,0.0205761316872428,0.0281124497991967,0.0424242424242424,0.0233009708737864,0.019193857965451,0.0570866141732283,0.0533596837944664,0.078095238095238,0.0725190839694656,0.1407129455909943,0.160377358490566,0.1758034026465028,0.1288461538461538,0.007998408239072127,0.7754385364622275
num_classes,0.0238095238095238,0.0225409836065573,0.0427350427350427,0.0180360721442885,0.0354166666666666,0.0267686424474187,0.0269230769230769,0.0354330708661417,0.0679012345679012,0.0662650602409638,0.0888888888888888,0.058252427184466,0.0403071017274472,0.0984251968503937,0.0968379446640316,0.0895238095238095,0.1202290076335877,0.150093808630394,0.1830188679245283,0.2003780718336484,0.1365384615384615,0.007795562025473337,0.7905286031331056
kernel_size,0.0367965367965368,0.055327868852459,0.0576923076923076,0.0360721442885771,0.0479166666666666,0.0497131931166348,0.048076923076923,0.0452755905511811,0.1008230452674897,0.0923694779116465,0.109090909090909,0.0834951456310679,0.072936660268714,0.108267716535433,0.1225296442687747,0.1123809523809523,0.1049618320610687,0.1838649155722326,0.1981132075471698,0.2041587901701323,0.1519230769230769,0.007436896415686985,0.779795104862329
state_dict,0.0173160173160173,0.0245901639344262,0.0341880341880341,0.0180360721442885,0.0229166666666666,0.02868068833652,0.0288461538461538,0.0236220472440944,0.0658436213991769,0.072289156626506,0.0888888888888888,0.058252427184466,0.0671785028790787,0.0885826771653543,0.0691699604743083,0.0838095238095238,0.0935114503816793,0.1444652908067542,0.1698113207547169,0.1606805293005671,0.1461538461538461,0.007178188869212384,0.8323088613646827
train_loader,0.0259740259740259,0.0307377049180327,0.0341880341880341,0.0380761523046092,0.0229166666666666,0.034416826003824,0.023076923076923,0.0472440944881889,0.0493827160493827,0.0642570281124498,0.0969696969696969,0.0699029126213592,0.0710172744721689,0.0866141732283464,0.1047430830039525,0.08,0.0839694656488549,0.1575984990619137,0.1471698113207547,0.2003780718336484,0.1384615384615384,0.007116976120306033,0.7900185647038902
embed_dim,0.0021645021645021,0.0020491803278688,0.0,0.002004008016032,0.0020833333333333,0.0038240917782026,0.0019230769230769,0.0039370078740157,0.0164609053497942,0.0180722891566265,0.0202020202020202,0.0155339805825242,0.0211132437619961,0.0452755905511811,0.0355731225296442,0.0609523809523809,0.0591603053435114,0.1369606003752345,0.1471698113207547,0.1304347826086956,0.125,0.007012163133250522,0.7433466804451682
