Variable Name,Frequency
observation,78206
response,39893
url,39398
headers,39170
querystring,39088
x,19795
hidden_states,9624
model,8402
out,5314
loss,4880
output,4871
outputs,4107
image,3705
mask,3252
args,3243
img,3240
data,3157
logger,2542
device,2510
result,2486
parser,2434
batch_size,2405
y,2382
logits,2312
h,2156
text,2138
dataset,2136
results,2134
attention_mask,2079
config,2033
labels,1951
_backends,1951
name,1725
attn_output,1646
inputs,1637
k,1568
input_ids,1437
return_dict,1429
key,1406
cfg,1380
scores,1359
res,1335
_base_,1334
q,1301
prompt,1287
attn_weights,1264
t,1247
train_dataloader,1245
residual,1239
tokenizer,1232
target,1231
attn,1206
state,1191
sample,1167
test_pipeline,1164
v,1143
images,1130
position_ids,1128
key_states,1127
optimizer,1126
X,1124
state_dict,1118
pred,1117
value_states,1116
value,1111
train_pipeline,1084
dtype,1059
filename,1056
test_dataloader,1055
idx,1051
ret,1025
__all__,1011
c,1006
dataset_type,1006
s,986
latents,981
val_dataloader,971
indices,962
label,928
loss_fct,921
z,913
df,877
input_shape,873
index,862
all_hidden_states,861
weight,859
embeddings,839
losses,827
query,827
w,820
layer_outputs,788
contexts,784
sequence_output,769
n,768
output_hidden_states,758
weights,751
scheduler,748
start,748
params,748
query_states,738
_,733
test_evaluator,726
pooled_output,723
output_attentions,710
features,709
val_evaluator,704
a,703
i,703
scale,697
path,697
size,692
outs,692
shape,687
inputs_embeds,685
emb,683
b,682
end,675
transform,675
checkpoint,671
tokens,667
config_class,649
bboxes,646
p,645
batch,643
m,631
use_cache,628
imgs,627
optim_wrapper,623
data_preprocessor,622
start_time,619
generator,616
train_cfg,608
x1,607
keys,606
seed,603
noise,597
x2,593
model_kwargs,593
grid,588
values,586
offset,574
msg,570
score,567
tensor,566
attention_scores,564
string,559
kwargs,540
timesteps,537
feat,537
attn_mask,536
B,535
masks,534
data_root,531
metrics,527
points,513
width,496
model_type,491
pipe,481
caption,480
model_name,476
r,472
attention_output,472
layer,468
targets,466
prompt_embeds,466
buffer,463
context_layer,463
past_key_values,458
lr,457
attention_probs,455
samples,449
preds,449
param_scheduler,449
token,447
dim,444
causal_mask,444
boxes,444
attentions,443
base_model_prefix,440
frames,439
padding,437
node,436
key_layer,435
total_loss,434
value_layer,430
lines,428
block,426
module,425
d,424
N,423
test_cfg,422
std,418
qkv,417
extended_attention_mask,416
param,414
predictions,414
feats,413
pixel_values,413
A,411
stride,410
gt_bboxes,408
alpha,405
answer,405
encoder_outputs,403
mean,402
val,392
layers,391
token_type_ids,391
C,390
in_channels,387
rank,384
encoder_hidden_states,384
expected_slice,384
bias,383
matrix,383
hidden_state,381
mode,379
content,379
layer_output,376
eps,375
f,374
input,373
pos,373
height,373
identity,371
noise_pred,371
world_size,367
bbox_pred,367
criterion,364
model_path,363
acc,362
context,362
past_key_value,361
tmp,357
opt,356
train_dataset,354
cls_score,354
new_k,352
count,347
src,347
xs,345
gt_labels,345
image_embeds,345
question,344
pointer,344
sampler,343
prefix,338
line,338
image_features,338
prob,337
prompts,335
output_dir,334
_CONFIG_FOR_DOC,329
trainer,324
file_path,323
pos_embed,323
ids,319
num_classes,316
op,315
repr_str,310
info,307
bbox,307
seq_len,304
evaluation,304
combined_attention_mask,304
last_hidden_state,301
negative_prompt_embeds,299
group,298
delta,297
auto_scale_lr,297
weight_loader,296
max_length,295
backend_args,294
num_patches,293
uncond_tokens,293
total,290
loss_key,288
log,287
head_dim,283
all_self_attentions,282
save_path,281
names,281
ys,281
texts,281
grad,280
dataset_name,276
probs,274
norm,274
ds,274
bs,273
match,273
xt,270
seq_length,270
pos_inds,270
root,269
all_attentions,269
_CHECKPOINT_FOR_DOC,268
message,267
j,267
y_pred,267
latent_model_input,267
t_eval,267
conv,266
norm_layer,266
T,265
word,265
num_frames,264
y1,263
paths,263
source,262
im,261
messages,261
classes,260
files,260
kernel,258
ts,258
env,257
start_idx,256
graph,254
obs,250
colors,249
model_inputs,249
past_key_values_length,249
shift_labels,249
g,248
freqs,248
img_norm_cfg,248
inds,247
factor,244
step,242
attn_output_weights,242
head_mask,241
_b,241
cls,240
embed_dim,240
sigma,238
image_size,237
load_from,237
test,236
assign_result,236
physics,236
prediction,235
ind,234
data_list,234
pos_tokens,234
sd_pipe,234
patch_size,233
words,232
supports_gradient_checkpointing,232
length,231
metadata,230
item,230
num_imgs,230
_tied_weights_keys,230
data_path,229
backend,228
img_path,228
sep,228
pairs,227
theta,226
next_decoder_cache,226
ax,225
train_loader,225
dist,224
term1,224
correct,223
loss_dict,222
embedding,220
image_slice,219
l,217
y2,216
label_weights,216
unet,216
val_cfg,216
_import_structure,216
run_folder,215
circuit,214
audio,214
dpr,214
bbox_targets,214
coords,213
left,213
query_layer,213
scale_factor,213
augmentation,213
downsample,212
encoder_extended_attention_mask,212
term2,211
pattern,210
action,209
encoder_attention_mask,209
beta,208
out_channels,207
block_size,207
position_embeddings,207
decoder_input_ids,207
log_level,207
vf,207
components,206
rewards,206
output_dict,206
loss_fn,206
split,206
num_heads,206
accuracy,206
loss_cls,206
all_cross_attentions,206
new_key,206
arr,205
num_samples,204
file_name,204
num_workers,204
cos,204
out_features,204
vocab_size,204
weight_decay,204
model_config,203
video,203
center,202
sequence_lengths,202
gt_instances,202
processor,201
rois,201
ratio,200
K,200
e,200
diff,200
depth,199
series,199
img_size,199
opt_node,199
opt_ctx,199
savefigdir,199
u,198
pipeline,198
text_embeds,198
default_hooks,198
temp,197
loss_val,197
tgt,197
splits,197
prediction_scores,197
R,196
ref,196
gt,196
ctx,195
final_state,195
loader,195
client,194
betas,194
frame,194
runner,194
gradient_checkpointing,194
order,193
flops,193
lr_config,193
parts,192
dt,192
variance,190
M,190
pad,190
vocab,190
obj,189
positions,189
target_state,189
output_path,188
resume,188
sin,187
data_info,187
embedding_output,187
task,185
D,185
answers,185
array,184
shift_logits,184
iou,184
optimizer_config,184
sigmas,183
checkpoint_config,183
x0,182
cnt,181
kernel_size,181
cls_scores,181
fig,180
image_path,180
fn,179
num,178
crop_size,177
n_traj_per_env,177
options,176
expected,176
expr,175
Y,174
choices,174
sd,174
precision,173
dataset_path,173
annotations,173
total_steps,173
dataloader,173
gt_masks,173
text_encoder,173
template,172
channels,172
sim,172
end_time,172
environments,172
transformed,171
rng,171
color,171
dataset_plotter,171
