Function Name,Frequency
__init__,370
forward,195
__getitem__,55
__call__,50
__len__,39
main,28
embed,20
__str__,17
parse_args,15
train,14
_make_layers,14
reset,13
update,13
_get_activation,13
_get_pooling,13
_get_normlayer,13
backward,12
_make_layer,11
__iter__,10
save_model,9
to_dict,8
embed_channel_avg,8
MLP,7
set_seed,7
__eq__,7
embed_layerwise,7
embed_layerwise_v2_2,7
write,6
flush,6
__getattr__,6
objective,6
LegalDataset,6
compute_metrics,6
step,6
__hash__,6
embed_layer_diff,6
embed_random_mask,6
get_dataloader,5
test,5
validate,5
feature_dim,5
evaluate,5
Bottleneck,5
AverageMeter,5
train_final,5
_CustomDataParallel,5
get_time,5
subnet_forward,5
slice_forward,5
Dataset,4
Logger,4
sample,4
BasicBlock,4
ResNet,4
get_parameters,4
get_dataset,4
generate_img_from_caption,4
define_module,4
encode,4
doc2vec,4
read_lines,4
load_stopwords,4
model_init,4
my_hp_space,4
close,4
fuse,4
_construct_priming_prompt,4
get_images,4
embed_feature_and_logit,4
Trainer,3
save_images,3
predict,3
conv1x1,3
accuracy,3
main_worker,3
LayerNorm,3
train_erasing,3
load_model,3
default_parameters,3
merge_parameters,3
import_params,3
override_parameters,3
session_config,3
get_training_func,3
get_predict_func,3
get_name,3
state_size,3
output_size,3
get_model,3
parseargs,3
run,3
format_time,3
_check_input_dim,3
reset_parameters,3
SaliencyClassifier,3
clean_text,3
clean_dataset,3
custom_collate,3
FeedForward,3
pair,3
_init,3
extra_repr,3
Transformer,3
TransformerClassifier,3
forward_features,3
Attention,3
left,3
top,3
text,3
__repr__,3
ConvNet,3
LeNet,3
AlexNet,3
VGG,3
VGG11,3
VGG11BN,3
VGG13,3
VGG16,3
VGG19,3
BasicBlock_AP,3
Bottleneck_AP,3
ResNet_AP,3
ResNet18BN_AP,3
ResNet18_AP,3
ResNet18BN,3
ResNet18,3
ResNet34,3
ResNet50,3
ResNet101,3
ResNet152,3
TensorDataset,3
get_default_convnet_setting,3
get_network,3
epoch,3
evaluate_synset,3
augment,3
get_daparam,3
get_eval_pool,3
ParamDiffAug,3
set_seed_DiffAug,3
DiffAugment,3
rand_scale,3
rand_rotate,3
rand_flip,3
rand_brightness,3
rand_saturation,3
rand_contrast,3
rand_crop,3
rand_cutout,3
cropfun,3
scalefun,3
rotatefun,3
noisefun,3
class_sample,3
gauss_density_centered,2
gmm_density_centered,2
sample_gmm_centered,2
sample_gmm_centered2,2
_ms_loop,2
_MSDataLoaderIter,2
MSDataLoader,2
prepare,2
terminate,2
_prepare,2
call,2
get_config,2
dice_coef,2
dice_coef_loss,2
test_model,2
prod,2
inv,2
save_checkpoint,2
accumulate,2
adjust_learning_rate,2
parse_gpus,2
scale_size,2
crop_size,2
get_augmentation,2
conv_bn,2
conv_1x1_bn,2
InvertedResidual,2
MobileNetV2,2
get_featmap,2
_initialize_weights,2
Memory,2
ActorCritic,2
