Variable Name,Frequency
x,632
model,585
_base_,505
out,311
norm_cfg,228
net,185
data,154
conv_cfg,148
lr_config,146
img_norm_cfg,106
optimizer,106
inputs,98
train_pipeline,94
test_pipeline,92
loss,87
runner,81
img,72
label,69
total_epochs,65
batch_size,63
output,61
args,57
modulelist,56
labels,55
optimizer_config,51
checkpoint_config,51
parser,49
train_cfg,48
device,47
dataset,46
t,46
mask,45
data_root,44
dataset_type,42
log_level,42
load_from,42
log_config,41
dist_params,41
resume_from,41
workflow,41
test_cfg,40
work_dir,40
train_dataset,40
im,40
this_alpha,40
end,39
words,39
y,37
train_loader,35
i,35
model_eval_pool,34
index,33
ratio,33
image,32
in_channels,31
attn,31
result,30
im_size,30
captions,30
config,29
name,29
idx,29
outputs,28
lr,27
f,27
cap_lens,27
theta,27
std,26
criterion,26
layers,26
v,26
mean,26
n,25
alpha,25
dst_train,25
transform,24
k,23
sample,23
offsets,23
params,23
text,22
data_path,22
target,22
pred,22
scores,21
w,21
time,21
glancer_images,21
state_dict,21
state,21
images,21
num_classes,21
layer_features,21
t1,20
masks,20
features,20
shape,20
indices,20
dst_test,20
r,19
t2,19
df,19
inputs_t,19
pm,18
train_func,18
tm,18
filename,18
start_epoch,18
_b,18
noise,18
_idx,18
channel,18
class_names,18
c,17
targets,17
logits,17
attention_mask,17
evaluation,16
p,16
feat,16
train_set,16
text_encoder,16
results,15
best_acc1,15
expansion,15
ret,15
acc,15
q,15
value,15
prompt,15
val_loader,14
y_samples,14
imgs,14
end_time,14
values,14
word,14
__repr__,14
netG,14
img_real,14
val_dataset,13
tensor,13
batch_time,13
top1,13
scale,13
beg,13
tokenizer,13
logger,13
row,13
input_ids,13
shape_feat,13
epoch,12
prob,12
val,12
losses,12
top5,12
focuser_images,12
lines,12
max_,12
beg_time,12
test_set,12
predictions,12
hidden,12
embeddings,12
trainer,12
current_img,12
curLine,12
images_all,12
labels_all,12
grid,12
img_syn,12
eval_func,11
res,11
image_filenames,11
height,11
width,11
opt,11
a,11
tokens,11
sent,11
obj,11
saliency_logits,11
best_epoch,11
pos_embed,11
latents,11
num_feat,11
grid_y,11
num_samples,10
num_epochs,10
action,10
count,10
tmp,10
att,10
grad,10
n_test_batches,10
best_result_test,10
test_ids,10
a1_name,10
a2_name,10
a3_name,10
a4_name,10
a5_name,10
step,10
best_acc,10
one_map,10
dis,10
adj2,10
accuracy,10
test_dataset,10
training_args,10
chain,10
instruciton,10
grid_x,10
lab,10
file_client_args,10
x1,9
it,9
prefix,9
s,9
new_state_dict,9
n_class,9
y1,9
correct,9
new_key,9
max_len,9
total_loss,9
n_test,9
n_train_batches,9
cur_model_name,9
global_step,9
test_alphas,9
weights,9
key,9
cap,9
img_name,9
_,9
adj,9
rep,9
train_dataloader,9
is_masked,9
module,9
strides,9
prompt_embeds,9
images_train,9
labels_train,9
im_,9
sampler,9
temp,8
input_size,8
pm_na,8
loss1,8
h,8
checkpoint,8
logs,8
resume_ckpt,8
rewards,8
__all__,8
b,8
dim,8
result_string,8
result_logs,8
params_string,8
train_losses,8
train_ids,8
f1,8
n_records,8
vocab,8
vocab_size,8
seconds,8
num_batches,8
cur_batch,8
real_imgs,8
image_encoder,8
hs,8
epochs,8
gain,8
classes,8
stopwords,8
df2,8
scheduler,8
best_loss,8
saliency_label,8
COMMAND,8
_allowed,8
err,8
dx,8
u_hat_up,8
model_kwargs,8
accs,8
x_mean,8
offset_x,8
offset_y,8
gwr,8
gws,8
gw_real_vec,8
gw_syn_vec,8
optimizer_net,8
new_texts,8
y_pred,7
learning_rate,7
candidate,7
num_class,7
