Variable Name,Frequency
x,36000
out,15298
model,13834
loss,9235
data,8946
result,7928
outputs,7684
output,7682
y,6190
args,6018
img,5778
parser,5497
net,5068
mask,4869
batch_size,4588
inputs,4410
image,4294
name,4249
labels,4243
logger,4092
dataset,3912
h,3871
s,3803
path,3699
optimizer,3641
logits,3395
res,3394
X,3255
label,3145
config,2973
m,2909
__all__,2906
p,2828
n,2824
scores,2819
text,2717
w,2715
state,2712
results,2684
t,2645
device,2612
a,2558
i,2530
d,2497
r,2489
hidden_states,2476
v,2439
ret,2413
images,2392
f,2372
features,2327
line,2228
c,2228
value,2226
idx,2103
k,2068
start,2066
params,2052
input_ids,2051
num_classes,2040
target,1970
weights,1942
pred,1883
end,1867
indices,1864
b,1838
residual,1790
filename,1785
index,1778
tokens,1698
x1,1662
layers,1637
shape,1592
z,1564
weight,1554
msg,1525
batch,1447
lines,1440
tokenizer,1420
key,1416
score,1392
boxes,1376
x2,1365
im,1335
alpha,1281
lr,1264
attention_mask,1263
url,1261
scale,1256
input,1242
losses,1238
g,1230
A,1219
predictions,1200
size,1198
checkpoint,1194
offset,1193
dist,1184
bboxes,1182
preds,1181
q,1165
prefix,1154
ax,1111
tmp,1111
input_shape,1110
optimizer_config,1097
width,1084
lr_config,1084
total_epochs,1072
img_norm_cfg,1065
data_root,1056
samples,1053
df,1049
targets,1047
train_cfg,1038
head_mask,1036
config_and_inputs,1027
test_cfg,1024
dataset_type,1021
checkpoint_config,1012
bbox,1011
log_level,1009
mean,1008
sample,1005
work_dir,1004
load_from,1004
token_type_ids,1002
dist_params,985
log_config,983
state_dict,982
_,980
tensor,974
l,974
resume_from,973
workflow,972
val,970
values,963
count,954
length,954
y1,947
N,939
files,931
in_channels,912
loss_fct,902
obj,900
test_pipeline,898
cfg,887
downsample,882
opt,871
train_pipeline,858
attn,855
scheduler,854
height,850
version,846
info,844
expansion,828
root,823
std,822
FLAGS,818
points,817
position_ids,815
metrics,813
examples,808
sampler,807
hidden,807
grad,800
diff,799
start_time,799
y2,793
padding,791
embeddings,791
kwargs,787
fig,785
stride,785
temp,785
action,784
train_dataset,782
Y,779
layer,778
R,774
input_mask,772
dim,769
probs,763
pos,762
sequence_output,759
j,755
masks,751
train_loader,751
env,749
delta,747
u,729
acc,727
feat,707
prob,705
theta,697
inds,694
correct,693
criterion,692
gt,691
test,690
config_class,687
save_path,686
ids,684
keep,683
pooled_output,683
imgs,680
xs,676
query,674
network,670
match,668
kernel,667
order,665
parts,658
buf,657
pointer,650
block,649
outs,649
item,648
trainer,639
inputs_embeds,630
e,629
names,629
norm,628
context,623
flag,623
mode,621
bias,618
graph,618
transform,616
total_loss,616
rois,609
proposals,604
keys,604
node,602
vocab,601
branch_2,597
step,589
C,587
string,581
module,579
color,575
branch_1,575
token,573
beta,571
evaluation,568
epoch,568
anchors,561
M,558
classes,554
global_step,551
mu,549
cls,548
T,544
word,541
B,541
noise,540
ind,539
num,539
writer,537
matrix,536
feature,535
fname,531
train_data,530
dtype,528
data_dir,527
eps,527
other,526
identity,525
obs,523
K,522
y_pred,519
log,515
sigma,514
cmd,511
expected,507
ys,505
conv,505
attn_weights,503
stats,501
words,501
fl,501
depth,498
learning_rate,497
loc,496
img_path,494
x0,493
array,492
all_hidden_states,490
test_dataset,489
summary,489
encoding,489
channels,487
_x,487
decoder,485
total,484
iou,481
base,478
gt_bboxes,477
paths,477
content,476
suffix,472
states,472
__version__,468
center,466
t1,462
_base_,462
data_loader,461
bbox_pred,460
file_name,460
req,460
done,459
segment_ids,458
fn,458
lab,456
test_loader,455
loader,452
precision,452
metadata,449
headers,447
output_dir,443
file_path,443
reader,442
group,440
valid,437
factor,437
feed_dict,437
message,436
lengths,433
handle,432
inp,429
scale_factor,428
title,428
gamma,427
o,423
grid,423
seed,422
task,421
options,420
colors,420
attn_mask,420
norm_layer,419
flags,418
data_path,418
fp,417
model_path,415
pos_inds,414
D,414
shortcut,412
ds,411
example,411
base_model_prefix,411
recall,410
W,410
extended_attention_mask,410
end_point,408
history,405
f1,404
var,403
pad,403
L,403
source,403
circuit,402
mask_pred,399
ious,398
items,398
response,398
model_name,397
mod,397
encoder,394
saver,393
found,393
cache_dir,393
file,390
reward,389
sentence,388
val_dataset,387
input_size,385
op,385
defaults,385
pairs,384
blocks,384
cnt,382
grads,382
gt_labels,380
max_len,380
counter,380
meta,378
anno,378
cell,378
sep,377
dataset_name,376
slim,373
return_dict,373
cat,372
train,372
buffer,372
box,372
attentions,371
transforms,369
type,367
x3,365
parameters,365
G,363
frame,363
rs,362
branch_3,361
ratio,359
layer_keys,359
pool,356
test_data,356
proposal_list,354
func,352
H,352
sess,351
img_shape,350
output_shape,349
start_epoch,349
mask_feats,348
id,348
rank,347
Z,345
sequence,344
radius,343
t2,342
accuracy,342
error,342
seq_length,342
P,341
prediction,340
sample_size,339
list_data,339
val_loader,337
split,337
models,337
dirname,337
dx,336
arr,336
all_attentions,336
input_data,335
ext,335
fields,335
NAME,335
S,334
cp,333
text_a,333
strides,332
head,330
success,328
offsets,326
emb,326
row,325
kernel_size,325
header,324
pretrained_model_archive_map,324
param,322
agent,322
typ,322
bounds,319
sz,319
src,318
ap,317
vec,317
edges,312
cls_score,311
scheme,311
status,311
img_name,310
groups,310
step_size,309
attack,308
y_train,307
filenames,307
dataloader,307
assign_result,306
guid,306
ctx,305
coords,304
out1,304
cost,304
sequence_labels,304
left,302
generator,302
num_images,301
epsilon,301
__author__,300
attention_scores,300
err,300
dt,299
vals,299
attention_probs,299
feats,298
arch,298
seq,297
angle,297
timeout,297
pattern,296
overlaps,295
attention_output,295
tkwargs,295
distance,294
frames,293
num_channels,292
classname,292
idxs,292
save_dir,292
confidence,291
bs,291
embedding,291
transformer_outputs,291
checkpoints,290
token_labels,290
spec,289
__metaclass__,289
conn,288
encoder_outputs,288
st,288
checkpoint_path,287
num_samples,286
image_path,285
errors,284
positions,284
train_sampler,284
stream,283
entry,283
cache,283
text_b,282
acqf,282
area,281
cx,280
ckpt,280
tp,279
end_logits,279
E,279
prediction_scores,279
best_acc,278
attrs,278
axis,277
branch_0,277
last,277
src_tokens,277
out_channels,275
init,275
grad_input,274
rows,273
mult,273
context_layer,273
tic,273
method,272
matches,272
tree,271
input_tensor,271
level,271
encoder_out,271
y_true,270
initializer,270
filepath,269
mid,269
question,268
p1,266
splits,266
ymax,266
dims,266
rdm,266
image_shape,265
num_imgs,264
image_size,264
pretrained_vocab_files_map,264
max_model_input_sizes,264
new_key,263
c2,263
target_labels,263
xmax,262
train_loss,262
datasets,261
batch_time,261
dets,260
candidates,260
conv1,260
image_width,259
body,258
xmin,258
keypoints,258
denom,257
best_score,257
logit,256
adj,256
end_time,255
image_height,255
vocab_files_names,255
right,254
attention,254
objs,254
label_list,253
gate,253
parsed,253
bsz,253
phi,252
y_test,252
policy,252
bbox_targets,250
dy,250
metric,250
layer_output,250
adv,250
pos_emb,250
tgt,249
ref,249
t_total,248
sizes,248
union,247
ones,247
image_list,247
lr_scheduler,246
__slots__,246
attr,246
label_ids,245
actions,245
txt,245
ymin,245
resp,245
norm_cfg,244
sequence_length,244
p2,243
binTheta,243
cols,242
means,242
X_train,242
answer,242
processor,242
b1,241
l1,241
adv_images,241
chars,241
model_type,240
gt_boxes,240
use_bias,240
counts,239
act,239
xx,238
b2,238
tracker,238
rng,237
tag,237
ntokens,237
normalize,236
choice_labels,236
logs,235
archs,235
image_numpy,235
gt_bboxes_ignore,234
bar,234
c1,234
total_length,234
pred_bbox,234
epochs,233
x4,232
annotations,231
xyz,231
nodes,231
l2,231
settings,231
batches,231
posterior,231
t3,231
gradient,229
vocab_size,229
start_logits,229
trans,228
mm,228
batch_data,228
roidb,228
window,227
remaining,227
loss_cls,226
threshold,226
rewards,226
bbox_feats,225
config_file,225
sentences,225
energy,224
base_path,224
sent,224
world_size,223
start_position,223
element,223
new_features,222
biases,222
detections,222
inputs_dict,222
ss,221
