File Name,Frequency
__init__,8741
utils,1222
model,720
train,661
main,381
setup,375
config,318
test,292
generate,240
base,224
builder,214
util,192
dataset,185
logger,185
resnet,178
misc,176
metrics,176
transforms,170
loss,165
trainer,150
data,135
transformer,130
inference,128
models,127
decoder,119
eval,114
decode,113
asr_datamodule,109
conf,108
data_utils,106
export,102
preprocess,97
losses,96
build,95
registry,94
datasets,92
run,90
layers,90
optim,88
common,88
beam_search,85
encoder_interface,84
evaluate,82
joiner,82
optimizer,76
pretrained,76
scaling,76
app,74
evaluation,68
version,64
dataloader,63
test_utils,63
infer,62
demo,60
evaluator,58
coco,57
scaling_converter,57
lr_scheduler,56
core,54
vgg,53
benchmark,53
cityscapes,48
networks,47
engine,47
modules,47
subsampling,47
tokenizer,46
sampler,46
checkpoint,46
predict,45
constants,45
predictor,45
zipformer,45
conformer,44
mlp,43
data_loader,42
options,41
loading,41
collect_env,41
test_model,41
file_utils,40
default_runtime,40
model_utils,39
position_encoding,39
dataset_wrappers,39
base_model,37
samplers,37
unet,37
helpers,37
augmentation,37
attention,36
loader,36
finetune,36
fpn,36
env,36
export-onnx,36
metric,35
train_net,35
onnx_pretrained,35
__main__,34
matcher,34
validate,34
ops,34
ema,34
logging,34
visualizer,33
convert,33
score,33
masked_lm,33
densenet,32
backbone,32
scheduler,32
visualization,32
distributed,32
preprocessing,32
conftest,32
jit_pretrained,32
segmentation,31
custom,31
hubconf,31
cross_entropy,31
dist_utils,31
imagenet,31
hrnet,30
wrappers,30
formating,30
streaming_decode,30
image,29
hub_interface,29
network,29
encoder,29
vit,29
compose,29
base_dataset,28
accuracy,28
defaults,28
distributed_sampler,28
resnext,28
sampling,28
lstm,27
multihead_attention,27
classifier,27
eval_hooks,27
policies,27
plot,26
args,26
upfirdn2d,26
module,26
modeling,26
visualize,26
test_time_aug,26
res_layer,26
publish_model,26
training,26
mobilenet,26
compute_fbank_musan,26
prepare_lang,26
onnx_check,26
io,25
plot_utils,25
train_utils,25
comm,25
optimization,25
distributions,25
streaming_beam_search,25
conv,24
functions,24
transform,24
functional,24
anchor_generator,24
regnet,24
cross_entropy_loss,24
