Function Name,Frequency
__init__,65455
forward,36215
__call__,5814
__len__,3817
main,3789
__getitem__,3725
__repr__,2460
train,1403
reset,1299
update,1279
parse_args,1195
init_weights,1192
backward,1190
step,1026
encode,937
call,930
__iter__,904
evaluate,903
decode,764
__str__,714
run,694
_init_weights,687
setup,676
sample,675
loss,658
extra_repr,638
test,590
setUp,577
reset_parameters,546
_make_layer,479
predict,473
load,444
load_state_dict,425
build_model,414
save,408
forward_train,407
add_args,405
get_input_embeddings,398
from_config,356
__getattr__,355
get,348
Bottleneck,347
forward_features,341
set_input_embeddings,341
load_model,333
process,333
transform,323
close,318
state_dict,315
save_checkpoint,315
BasicBlock,313
Attention,307
simple_test,304
initialize,299
generate,299
_forward,296
get_targets,296
__exit__,295
build,293
init_weight,292
preprocess,288
__enter__,285
get_output_embeddings,278
tokenize,273
prepare_inputs_for_generation,272
get_args,272
training_step,263
from_pretrained,263
custom_forward,260
get_config,259
load_dataset,259
_init_layers,258
set_output_embeddings,256
device,254
__setstate__,253
create_custom_forward,253
name,252
configure_optimizers,246
Mlp,245
get_lr,243
__eq__,241
max_positions,239
tearDown,235
MLP,234
get_bboxes,233
aug_test,233
wrapper,232
Block,232
normalize,228
fit,227
AverageMeter,225
log,225
inference,223
extract,220
conv3x3,218
no_weight_decay,218
eval,217
add,217
forward_single,214
to,213
ResNet,212
flops,212
validate,208
write,208
upgrade_state_dict_named,208
validation_step,206
get_classifier,206
reset_classifier,206
train_step,205
load_checkpoint,203
__post_init__,203
size,197
_initialize_weights,196
load_data,194
serving_output,193
PatchEmbed,191
accuracy,191
_reset_parameters,191
get_model,188
__getstate__,187
compute_metrics,186
render,186
get_loss,186
extract_feat,185
__del__,184
collater,184
setUpClass,183
extract_features,181
Trainer,180
exists,178
set_seed,176
LayerNorm,173
get_parser,172
_prune_heads,172
Encoder,170
set_epoch,170
_cfg,170
_reorder_cache,168
transpose_for_scores,167
get_labels,167
tearDownClass,166
download,165
save_model,163
Transformer,161
convert,160
parse,160
copy,160
Config,159
collate_fn,156
update_fn,154
init,153
default,151
get_rank,150
_set_gradient_checkpointing,150
optimize_parameters,149
Upsample,148
__next__,147
_inner_forward,147
_freeze_stages,145
get_world_size,145
get_params,144
Normalize,142
save_vocabulary,142
setup_task,142
prune_heads,141
print,141
get_dev_examples,141
get_ann_info,141
synchronize_between_processes,139
_create_examples,138
log_images,138
get_train_examples,137
score,136
with_pos_embed,136
num_tokens,135
load_annotations,133
Model,132
window_partition,132
Downsample,132
FeedForward,132
get_vector,132
vector_dim,132
Logger,130
adjust_learning_rate,130
conv1x1,129
value,129
get_decoder,127
forward_test,127
modify_commandline_options,126
to_dict,125
VisionTransformer,125
train_epoch,124
Decoder,124
postprocess,123
forward_dummy,123
vocab_size,122
show,122
info,121
mode,121
_load_from_state_dict,121
attention,120
get_input,120
__hash__,120
format_results,119
get_validator,119
compute_loss,118
parseImpl,117
flush,115
Linear,115
get_transform,114
compute,113
set_input,113
get_dataset,112
prepare_data,112
crop,111
ResBlock,111
window_reverse,110
__setitem__,109
supports_prefetch,109
wrap,109
__setattr__,108
build_inputs_with_special_tokens,108
test_step,107
zero_grad,107
clear,106
_tokenize,105
avg,105
train_dataloader,105
apply,105
target_dictionary,104
build_dataset,103
create_model,103
_get_bboxes_single,103
get_vocab,102
norm1,102
ordered_indices,101
reorder_encoder_out,101
loss_single,101
quantize,100
freeze,100
get_encoder,99
reduce_metrics,99
get_logits,99
embed,98
train_one_epoch,98
get_logger,98
_get_target_single,98
convert_tokens_to_string,97
str2bool,96
_convert_id_to_token,96
get_data,96
ModelArguments,96
is_main_process,95
prefetch,95
visualize,94
val_dataloader,94
register,94
inverse,94
before_run,94
_convert_token_to_id,93
rotate,93
resize,93
AttentionPool2d,93
get_normalized_probs,93
__contains__,92
get_test_examples,92
evaluation,92
forward_post,92
p_mean_variance,92
count_parameters,91
build_backbone,91
get_scene_embeddings,91
get_timestamp_embeddings,91
create_token_type_ids_from_sequences,90
get_basic_model,90
start,89
Resize,89
pad,89
is_dist_avail_and_initialized,89
Dataset,88
ToTensor,88
source_dictionary,88
assign,88
PatchMerging,87
mkdir,87
_shape,87
worker_init_fn,87
flip,87
checkpoint,87
f,87
forward_pre,87
count_flops,87
filter,86
on_train_batch_end,86
get_args_parser,86
set_random_seed,86
forward_decoder,86
set_grad_checkpointing,86
resnet50,85
DropPath,85
merge,85
sizes,85
level_to_args,84
writekvs,83
global_avg,83
get_pairs,83
cli_main,83
version,83
Compose,82
_build_default_pipeline,82
zero_module,81
hook,80
valid_step,80
get_data_loader,80
RandomCrop,79
get_optimizer,79
median,79
max,79
dummy_inputs,79
get_data_info,79
process_single,79
Net,78
encode_image,78
softmax,77
log_prob,77
load_image,77
make_dataset,76
encode_text,76
bpe,76
BaseModel,75
Identity,75
features,75
mean_flat,75
get_state,75
remove,75
Embedding,74
WindowAttention,74
get_special_tokens_mask,74
entropy,74
_make_layers,74
resnet18,73
Generator,73
losses,73
BasicLayer,73
test_dataloader,73
inner,73
reorder_incremental_state,73
read,73
lr_lambda,72
DataTrainingArguments,72
logging_outputs_can_be_summed,72
test_forward,72
to_tensor,72
get_raw_unit_class,72
convert_raw_to_value,72
decorator,71
save_pretrained,71
ResidualBlock,71
build_decoder,71
TransformerEncoder,71
init_from_ckpt,71
p_sample,71
p_sample_loop,71
set_attr,71
trunc_normal_,70
all_gather,70
SmoothedValue,70
MetricLogger,70
_check_input_dim,70
after_train_iter,70
init_distributed_mode,70
feed_forward_chunk,70
QuickGELU,70
make_res_layer,70
build_optimizer,69
drop_path,69
symbolic,69
plot,69
collate,69
add_meter,69
build_encoder,69
build_loss,69
_expand_mask,69
_generateDefaultName,69
flatten,68
__new__,68
_register,68
backward_G,68
norm_cdf,67
preprocess_function,67
dtype,67
TransformerDecoder,67
TransformerEncoderLayer,67
_transform,67
weights_init,67
configure,66
SwinTransformerBlock,66
mean,66
setup_for_distributed,66
put,66
ResnetBlock,66
normalization,66
linear,66
get_last_layer,66
_load_data,66
gelu,65
get_dataloader,65
log_every,65
step_update,65
init_,65
get_version,65
PositionalEncoding,64
norm2,64
execute,64
resnet34,63
resnet101,63
cat,63
_init_weight,63
bytes_to_unicode,63
shape,63
display,63
config,63
_get_clones,63
shared_step,63
convert_to_fp16,63
convert_to_fp32,63
get_reward,63
AttentionBlock,62
before_train_epoch,62
ResidualAttentionBlock,62
translate,62
keys,62
base_architecture,62
rescale,62
area,62
compute_f,62
Conv2d,61
_sample_pos,61
_sample_neg,61
q_sample,61
get_observation,61
compute_score,60
__delitem__,60
scale,59
_no_grad_trunc_normal_,59
report,59
ssim,59
after_train_epoch,59
split,59
output_shape,59
get_name,59
inverse_transform,58
resnet152,58
clone,58
read_json,58
stop,58
init_parameters,58
is_image_file,58
Residual,58
_bbox_forward,58
disabled_train,58
restore,57
items,57
interpolate,57
inputs,57
PreNorm,57
SiLU,57
get_results,57
convert_to,57
