Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\dap.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 73)
Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\easyVector.py: Missing parentheses in call to 'print'. Did you mean print("------------------------------------------------")? (<unknown>, line 55)
Skipped ./github_code/2021\2019-UGRP-DPoom\easygo\keyCap.py: Missing parentheses in call to 'print'. Did you mean print(c*2)? (<unknown>, line 83)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\legacy.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\dnnlib\util.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\dnnlib\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\frechet_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\inception_score.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\kernel_inception_distance.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\metric_main.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\metric_utils.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\perceptual_path_length.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\metrics\precision_recall.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\torch_utils\misc.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\torch_utils\persistence.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\torch_utils\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\torch_utils\ops\__init__.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\training\augment.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\training\dataset.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\training\loss.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\training\networks.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\Adaptive-Feature-Interpolation-for-Low-Shot-Image-Generation\StyleGAN2\training\training_loop.py: invalid non-printable character U+FEFF (<unknown>, line 1)
Skipped ./github_code/2021\AdaptSky\AdaptSky [Commented Version] .py: invalid syntax (<unknown>, line 3)
Skipped ./github_code/2021\AdaptSky\Sub-6.py: inconsistent use of tabs and spaces in indentation (<unknown>, line 717)
Skipped ./github_code/2021\Admix\nets\mobilenet_v1_test.py: invalid syntax (<unknown>, line 300)
Skipped ./github_code/2021\alignps\tools\run_train.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\aphros\examples\102_mean_curv_flow\vis\contour.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\aphros\examples\205_multivof\junction\vis\contour.py: invalid syntax (<unknown>, line 1)
Skipped ./github_code/2021\aphros\examples\213_electrochem\epstein\vis\colorbar.py: invalid syntax (<unknown>, line 1)
