by_project:
2020 Projects：1200，Comments：770113，Files：54903
2021 Projects：1200，Comments：724735，Files：64711
2022 Projects：1200，Comments：1011253，Files：77640
2023 Projects：1200，Comments：735133，Files：64932
2024 Projects：1200，Comments：1388126，Files：94007
2025 Projects：1200，Comments：260018，Files：30013
by_file:
Year: 2025, Files: 34803, Comments: 378455
Year: 2024, Files: 106002, Comments: 1584795
Year: 2023, Files: 75316, Comments: 909946
Year: 2022, Files: 66777, Comments: 773717
Year: 2021, Files: 56438, Comments: 652470
Year: 2020, Files: 41236, Comments: 511516
Year: 2019, Files: 3916, Comments: 54633
Year: 2018, Files: 640, Comments: 14029
Year: 2017, Files: 188, Comments: 3650
Year: 2016, Files: 22, Comments: 349
Year: 2015, Files: 7, Comments: 36
Year: 2014, Files: 4, Comments: 0
