Word,Frequency
the,8
print,8
rst,8
to,3
exception,3
for,3
and,3
by,2
base,2
class,2
exceptions,2
raised,2
when,2
a,2
function,2
cannot,2
return,2
expected,2
result,2
attributes,2
msg,2
explanation,2
of,2
error,2
file,2
flexiblesusy,2
fortran,2
link,2
script,2
config,2
date,2
farmer,2
variable,1
store,1
current,1
cfg,1
module,1
specified,1
user,1
classes,1
boss,1
bin,1
python,1
gambit,1
global,1
modular,1
bsm,1
inference,1
tool,1
flag,1
harvester,1
this,1
simply,1
reads,1
h,1
generated,1
configure,1
grabs,1
some,1
flags,1
needed,1
properly,1
libraries,1
authors,1
add,1
name,1
if,1
you,1
modify,1
author,1
ben,1
benjamin,1
fysik,1
su,1
se,1
dec,1
