Function Name,Frequency
__init__,3131
forward,1130
call,221
main,185
__call__,174
get_files,170
data_load,170
data_transforms,170
data_preprare,170
hybrid_forward,160
__len__,134
__repr__,119
__getitem__,112
update,94
setUp,90
train,76
reset,71
backward,68
step,64
build,61
train_test_split_order,60
CWT,60
Net,53
get_output_embeddings,53
__str__,52
get_labels,49
from_pretrained,47
__iter__,47
get_train_examples,47
get_dev_examples,47
tearDown,45
get_input_embeddings,45
run,44
add_args,43
init_weights,41
close,38
load,38
decode,38
_make_layer,38
_prune_heads,38
sample,37
STFT,36
vocab_size,35
evaluate,34
build_model,33
_create_examples,33
prune_heads,33
gelu,31
state_info,31
max_positions,30
test,30
create_state,30
get_metrics,30
_init_weights,28
BasicBlock,27
save,26
__exit__,26
initialize,26
__enter__,25
get_test_examples,25
tokenize,24
test_model_from_pretrained,24
save_vocabulary,23
conv3x3,23
Bottleneck,23
serialize,23
deserialize,23
set_input_embeddings,23
_resize_token_embeddings,23
from_params,23
prepare_config_and_inputs,23
prepare_config_and_inputs_for_common,23
math,23
parse_args,22
_tokenize,22
test_config,22
f,21
_convert_token_to_id,21
_convert_id_to_token,21
reset_parameters,20
get_example_from_tensor_dict,20
second_moment,20
shape,19
convert_tokens_to_string,19
set_seed,19
plot,19
InputFeatures,18
load_model,18
name,18
ResNet,18
get_state,18
supports_prefetch,17
__del__,17
_init_weight,17
get,17
wrapper,16
swish,16
save_checkpoint,16
size,16
write,16
extra_repr,16
log,16
generate,16
next,16
_alias,16
modify_commandline_options,16
_make_agent_modules,16
predict,15
__setstate__,15
add,15
prefetch,15
convert_examples_to_features,15
infer_shape,15
hidden_size,15
num_attention_heads,15
num_hidden_layers,15
build_inputs_with_special_tokens,15
get_special_tokens_mask,15
create_token_type_ids_from_sequences,15
wantImportance,15
__getstate__,14
setup,14
train_step,14
list_arguments,14
load_data,14
_get_types,14
serialize_numpy,14
deserialize_numpy,14
compute,14
archive,14
add_parameters,14
create_model,13
num_tokens,13
list_outputs,13
unroll,13
get_params,13
compute_reward,13
observation_space,13
loss,13
_validation_loss,13
compute_forward_posterior,13
compute_backward_posterior,13
to_dict,12
conv1x1,12
resnet50,12
_apply_rl_actions,12
specify_routes,12
_make_agent,12
load_and_cache_examples,12
get_tokenizer,12
_train_epoch,12
instantiate,12
batch_loss,12
rollout,11
get_lr,11
to_json_string,11
transpose_for_scores,11
collater,11
ordered_indices,11
__eq__,11
reorder_encoder_out,11
prepare_for_onnx_export_,11
encode,11
InputExample,11
input_fn,11
test_full_tokenizer,11
accuracy,11
begin_state,11
_gate_names,11
additional_command,11
max_position_embeddings,11
get_input_output_texts,11
compute_output_shape,11
explain,11
_reward,11
get_suggestion,11
VaeSemanticRoleLabeler,11
rescale_gradients,11
compute_log_partition,11
set_ground_truth,11
process,10
__getattr__,10
score,10
load_checkpoint,10
aggregate_logging_outputs,10
start,10
reorder_incremental_state,10
make_generation_fast_,10
optimizer_config,10
setup_task,10
prepare,10
fit,10
pass_api,10
action_space,10
specify_edges,10
normalize,10
save_pretrained,10
_embedding,10
test_for_masked_lm,10
VaeSrlTrainer,10
compute_free_energy,10
convert_tokens_to_ids,9
convert_ids_to_tokens,9
make_dataset,9
__next__,9
print,9
upgrade_state_dict_named,9
Linear,9
maybe_layer_norm,9
load_dataset,9
cast,9
model_fn,9
DataProcessor,9
create_operator,9
get_symbol,9
Block,9
get_states,9
convert,9
ensure_dir,9
specify_edge_starts,9
specify_nodes,9
specify_types,9
create_env,9
set_input,9
get_pairs,9
bpe,9
_read,9
check_loss_output,9
forward_train,9
_next_target_angle,9
from_dict,8
load_vocab,8
pad,8
decoder,8
load_state_dict,8
AverageMeter,8
extract_features,8
Embedding,8
base_architecture,8
zero_grad,8
target_dictionary,8
valid_step,8
preprocess,8
model_fn_builder,8
_truncate_seq_pair,8
tpu_scaffold,8
data,8
apply,8
train_begin,8
batch_end,8
dumps,8
__add__,8
exp,8
read,8
gradient,8
update_lr,8
_initialize_weights,8
run_task,8
setup_exps,8
get_accel,8
test_get_action,8
test_additional_env_params,8
test_observation_action_space,8
test_additional_net_params,8
optimize_parameters,8
load_image,8
RandomCrop,8
DistanceLearner,8
SiblingRivalryLearner,8
_make_modules,8
_make_layers,8
get_args,8
docstring_decorator,8
tie_weights,8
unshape,8
_attn,8
merge_heads,8
split_heads,8
_linear,8
reset_length,8
init_mems,8
lr_lambda,8
text_to_instance,8
test_for_sequence_classification,8
score_func,8
_init_layers,8
forward_single,8
forward_dummy,8
clear_plot,8
_show_stream_items,8
compute_mutual_information,8
_pad,7
stop,7
url_to_filename,7
filename_to_url,7
cached_path,7
split_s3_path,7
s3_request,7
s3_etag,7
s3_get,7
http_get,7
get_from_cache,7
BertConfig,7
BertModel,7
BertForQuestionAnswering,7
from_json_file,7
whitespace_tokenize,7
BasicTokenizer,7
WordpieceTokenizer,7
_is_whitespace,7
_is_control,7
_is_punctuation,7
