File Name,Frequency
__init__,7288
utils,1143
train,500
unit_test,454
setup,386
model,308
test,264
main,259
config,245
base,224
dataset,202
util,199
misc,196
loss,170
logger,166
models,157
resnet,154
builder,148
metrics,143
transforms,135
transformer,122
trainer,122
evaluate,120
data,109
eval,107
losses,102
inference,93
common,90
datasets,89
modules,83
attention,82
registry,81
run,78
build,77
data_utils,72
preprocess,69
predict,62
version,62
networks,61
conf,61
lr_scheduler,60
constants,58
distributed,57
vit,56
logging,54
evaluation,54
base_model,53
sampler,52
optimizer,51
demo,51
helpers,51
ema,50
benchmark,49
checkpoint,47
cityscapes,45
evaluator,45
layers,44
app,44
unet,42
encoder,42
transform,42
dataloader,41
env,41
visualize,41
coco,40
net,39
position_encoding,39
predictor,38
tools,38
visualizer,38
val,38
blocks,37
infer,37
base_dataset,37
default_runtime,36
loader,36
model_utils,36
backbone,36
mlp,36
process,35
vgg,35
scheduler,35
tokenizer,34
matcher,34
data_loader,33
download,33
test_utils,33
train_net,33
distributions,32
file_utils,31
norm,31
comm,31
swin,31
clip,30
decoder,30
dist_utils,30
plotting,30
functional,29
engine,29
nn,29
defaults,29
train_utils,28
generate,28
loading,28
collect_env,28
deform_conv,28
io,27
pointnet2_utils,27
parser,27
timer,27
imagenet,27
args,27
network,26
default,26
factory,26
upfirdn2d,26
sampling,26
dataset_wrappers,26
fpn,26
wrappers,26
api,26
options,25
metric,25
stat,25
helper,25
stage1,25
wav2vec2,25
wav2vec2_asr,25
eval_utils,24
sample,24
visualization,24
client,24
server,24
voc,24
accuracy,24
get_flops,24
autoencoder,24
stage0,24
simple_tokenizer,23
ops,23
focal_loss,23
generator,23
preprocessing,22
weight_init,22
swin_transformer,22
multihead_attention,22
ms_deform_attn,22
analyze_logs,22
publish_model,22
ddpm,22
const,22
optimization,21
hrnet,21
functions,21
formating,21
print_config,21
conftest,21
plot,21
augmentation,21
ddim,21
image,20
features,20
augment,20
__main__,20
pos_embed,20
conversation,20
custom,20
resnext,20
cross_entropy_loss,20
res_layer,20
ms_deform_attn_func,20
browse_dataset,20
vis,20
memory,20
openaimodel,20
utils_image,20
fp16_util,20
pointnet2_modules,19
training,19
run_glue,19
controller,19
eval_hooks,19
compose,19
discriminator,19
augmentations,19
positional_encoding,19
finetune,19
stage2,19
executor_utils,19
run_executor,19
vision_transformer,18
activations,18
classifier,18
persistence,18
modeling,18
launch,18
renderer,18
executor_dataloader,18
distributed_sampler,17
criterion,17
randaugment,17
loss_utils,17
bleu,17
test_time_aug,17
encoder_decoder,17
lars,17
coco_instance,17
schedule_2x,17
mask,17
render,17
convert,17
fid,17
geometry,17
samplers,16
_utils,16
tokenization,16
hubconf,16
pascal_context,16
pretrained,16
vis_utils,16
anchor_generator,16
test_config,16
cifar10,16
segmentation,16
core,16
coco_panoptic,16
trial_dpefe,16
trial_dq,16
trial_ql,16
export,16
client_manager,16
message_define,16
server_manager,16
vqa,15
pytorch_utils,15
mixup,15
resnest,15
linear,15
resample,15
cross_entropy,15
agent,15
drive,15
dice_loss,15
pytorch2onnx,15
module,15
mask_rcnn_r50_fpn,15
kitti_dataset,15
x_transformer,15
task,15
collate,15
_init_paths,15
sam,15
inception,15
trial_random,15
tracker,15
solve,15
example,15
cfg_,15
drop,14
training_stats,14
conv2d_gradfix,14
utils_qa,14
class_names,14
chase_db1,14
hrf,14
stare,14
decode_head,14
embed,14
experiment,14
match_cost,14
merge_augs,14
two_stage,14
iou_loss,14
regnet2mmdet,14
h3dnet,14
