Variable Name,Frequency
observation,78199
response,39793
url,39440
headers,39169
querystring,39088
x,16815
hidden_states,9118
model,7080
out,4424
loss,4312
output,4134
outputs,3918
img,2930
args,2718
data,2588
mask,2444
image,2349
logger,2098
logits,2046
h,1980
_backends,1822
parser,1817
results,1799
attention_mask,1798
config,1758
device,1738
labels,1718
batch_size,1645
result,1611
name,1610
y,1575
text,1570
attn_output,1462
return_dict,1376
input_ids,1370
cfg,1368
_base_,1262
dataset,1225
key_states,1203
value_states,1199
k,1197
scores,1193
attn,1177
attn_weights,1174
prompt,1156
position_ids,1121
inputs,1042
t,1041
residual,1039
q,976
s,962
__all__,930
v,923
images,918
state_dict,887
idx,883
loss_fct,882
tokenizer,857
res,857
key,854
pred,849
indices,828
all_hidden_states,823
embeddings,796
query_states,788
target,780
value,768
input_shape,768
dtype,761
w,757
layer_outputs,753
z,749
train_pipeline,745
test_pipeline,735
output_hidden_states,731
i,730
masks,728
losses,727
ret,720
bboxes,720
sequence_output,709
outs,702
c,696
output_attentions,693
optimizer,683
pooled_output,683
weight,665
inputs_embeds,659
transform,657
config_class,643
query,640
size,636
label,623
train_dataloader,615
path,608
checkpoint,596
emb,591
n,589
scale,581
index,577
string,575
f,571
use_cache,571
b,566
model_args,562
dataset_type,542
filename,540
start,540
a,540
m,535
test_dataloader,530
x1,516
answer,515
features,510
score,503
val_dataloader,500
question,498
attention_scores,498
tokens,495
feat,495
df,493
layer,491
p,485
offset,470
shape,470
gt_bboxes,470
optim_wrapper,469
data_root,464
attn_mask,455
x2,450
boxes,450
param,446
metrics,445
points,445
test_evaluator,444
model_type,443
attention_output,441
val_evaluator,434
B,433
im,433
base_model_prefix,432
feats,430
lines,429
stride,427
tensor,427
imgs,421
block,420
batch,415
attention_probs,413
context_layer,413
sample,410
std,410
prefix,408
fp,408
causal_mask,407
state,399
key_layer,399
targets,398
start_time,395
value_layer,395
noise,394
rank,394
encoder_outputs,392
end,389
grid,386
r,386
model_name,385
extended_attention_mask,385
pixel_values,381
values,380
padding,374
hidden_state,371
width,370
image_features,369
gt_labels,369
cls_score,369
world_size,366
num_classes,366
latents,365
attentions,364
token_type_ids,364
params,363
train_cfg,361
bbox_pred,361
d,358
lr,355
param_scheduler,355
layer_output,354
layers,353
in_channels,351
past_key_value,351
data_preprocessor,348
identity,346
weights,340
N,339
_CONFIG_FOR_DOC,337
past_key_values,336
qkv,335
new_k,335
val,334
preds,333
pos,332
alpha,331
token,331
image_size,325
bias,325
msg,323
image_embeds,322
mean,321
model_kwargs,319
runner,318
conv,313
context,312
norm_layer,309
input,307
bbox,306
pointer,304
content,303
ids,302
weight_loader,300
keys,296
delta,296
predictions,296
kwargs,295
backend_args,295
combined_attention_mask,295
total_loss,293
_,292
prompts,291
samples,291
expr,288
repr_str,286
acc,284
height,282
line,279
pos_inds,276
num_patches,273
train_dataset,271
all_self_attentions,268
_CHECKPOINT_FOR_DOC,268
freqs,266
all_attentions,264
cls,263
encoder_hidden_states,261
pos_embed,260
assign_result,259
scheduler,258
xt,258
group,258
answers,257
info,254
match,250
model_path,249
count,249
message,248
auto_scale_lr,247
model_inputs,245
last_hidden_state,244
seed,243
dim,239
y1,239
_tied_weights_keys,239
save_path,238
sep,237
seq_length,236
j,235
iou,235
inds,235
C,233
supports_gradient_checkpointing,233
past_key_values_length,233
sequence_lengths,232
classes,232
xs,232
test_cfg,231
head_mask,231
data_list,230
start_idx,230
module,229
rois,229
files,228
frames,228
names,228
qs,226
sampler,225
timesteps,224
annotations,222
dpr,222
obs,222
img_path,222
next_decoder_cache,222
probs,221
num_imgs,221
word,220
embed_dim,219
shift_labels,219
img_norm_cfg,218
_import_structure,217
query_layer,216
gt_masks,216
matches,215
g,215
scale_factor,215
loss_cls,215
processor,214
eps,214
norm,213
splits,213
metadata,209
label_weights,208
bs,207
new_key,207
downsample,207
correct,206
log,206
total,205
temp,205
bbox_targets,203
val_cfg,202
anchors,202
gt_instances,200
block_size,199
position_embeddings,199
color,198
coords,197
lr_config,195
data_info,195
all_cross_attentions,194
file,193
length,193
blocks,192
l,191
source,191
out_channels,190
crop_size,190
tmp,189
encoder_extended_attention_mask,188
x_out,187
A,187
cnt,187
loader,185
action,185
item,184
factor,184
depth,183
encoder_attention_mask,182
pad,181
decoder_input_ids,180
src,180
dataloader,180
weight_decay,180
head_dim,180
left,180
new_dict,180
seq_len,179
img_shape,179
norm_cfg,178
results_list,177
num_samples,176
flops,176
featmap_sizes,176
mask_preds,176
prediction_scores,176
parts,175
data_path,175
img_metas,175
bbox_results,175
embedding_output,175
ds,174
pattern,174
rewards,174
