Function Name,Frequency
__init__,77
get_symbol,17
reset,13
main,10
forward,10
next,8
__iter__,7
backward,7
update,6
Conv,6
parse_args,5
provide_data,5
provide_label,4
iter_next,4
__call__,4
residual_unit,4
list_arguments,4
list_outputs,4
infer_shape,4
image_path_from_index,4
label_from_index,4
run,3
resnet,3
sample_ne,3
get_loss,3
create_operator,3
_load_image_set_index,3
sample,3
__del__,3
__len__,2
parse,2
Inception7A,2
Inception7B,2
Inception7C,2
Inception7D,2
Inception7E,2
SimpleBatch,2
mock_sample,2
get_net,2
style_gram_symbol,2
get_tv_grad_executor,2
PreprocessContentImage,2
PreprocessStyleImage,2
PostprocessImage,2
SaveImage,2
Deconv,2
get_generator,2
get_module,2
get_actions,2
get_output_symbol,2
get_loss_symbols,2
define_loss,2
define_exe,2
update_params,2
get_qvals,2
discount_return,2
save_params,2
preprocess,2
gru,2
gru_unroll,2
lstm,2
lstm_unroll,2
rnn,2
init_params,2
init_optimizer,2
bind,2
conv,2
_get_batch,2
_label_path_from_index,2
_load_image_labels,2
process_network_proto,2
LayerRecord,2
read_network_dag,2
read_caffe_mean,2
_is_iterable,2
__enter__,2
__exit__,2
wrapped,2
sym_handle,2
arg_handle,2
_iterator,2
children,2
to_string,2
measure_cost,1
run_cast_storage_synthetic,1
dense_to_sparse,1
bench_dot,1
download_data,1
get_iters,1
test_mlp,1
SparseSGD,1
update_masks,1
FileIter,1
_read,1
_read_img,1
get_batch_size,1
upsample_filt,1
init_from_vgg16,1
init_from_fcnxs,1
filter_map,1
compose_fp,1
compose_fp_list,1
inv_fp,1
offset,1
vgg16_pool3,1
vgg16_pool4,1
vgg16_score,1
fcnxs_score,1
get_fcn32s_symbol,1
get_fcn16s_symbol,1
get_fcn8s_symbol,1
is_image_file,1
find_classes,1
make_dataset,1
pil_loader,1
ImageFolder,1
__getitem__,1
Options,1
make_dirs,1
dependency_parse,1
constituency_parse,1
build_vocab,1
split,1
ChildSumLSTMCell,1
Similarity,1
SimilarityTreeLSTM,1
_alias,1
node_forward,1
setup_logging,1
RunCmd,1
Network,1
series,1
images_processed,1
generate_hosts_file,1
stop_old_processes,1
run_benchmark,1
plot_graph,1
write_csv,1
startCmd,1
NetworkArgumentAction,1
validate,1
download_model,1
score,1
ConvFactory,1
InceptionFactoryA,1
InceptionFactoryB,1
DownsampleFactory,1
SimpleFactory,1
Inception_stem,1
InceptionA,1
ReductionA,1
InceptionB,1
ReductionB,1
InceptionC,1
get_loc,1
Conv_DPW,1
get_symbol_compact,1
resnext,1
gen_sub,1
mkdir,1
get_frames,1
get_label_map,1
write_label_csv,1
get_data,1
write_data_csv,1
crop_resize,1
local_split,1
split_csv,1
get_lenet,1
CRPS,1
encode_label,1
encode_csv,1
accumulate_result,1
doHist,1
submission_helper,1
matrix_fact_model_parallel_net,1
_lstm,1
get_lstm_net,1
nce_loss,1
nce_loss_subwords,1
NceAccuracy,1
NceAuc,1
NceLSTMAuc,1
DataIterSoftmax,1
DataIterNce,1
_load_data,1
SubwordData,1
_get_subword_units,1
_get_subword_representation,1
_prepare_subword_units,1
_load_data_as_subword_units,1
DataIterWords,1
DataIterLstm,1
DataIterSubWords,1
sample_ne_indices,1
get_word_net,1
get_subword_net,1
PretrainedInit,1
get_content_module,1
get_style_module,1
get_loss_module,1
get_executor,1
get_model,1
get_args,1
train_nstyle,1
WeightedLogisticRegression,1
WeightedLogisticRegressionProp,1
get_symbol_atari,1
Policy,1
DeterministicMLPPolicy,1
observation_space,1
action_space,1
get_action,1
QFunc,1
ContinuousMLPQ,1
ReplayMem,1
add_sample,1
get_batch,1
define_qfunc,1
define_policy,1
rollout,1
sample_rewards,1
Game,1
start,1
begin_episode,1
episode_terminate,1
get_observation,1
state_enabled,1
current_state,1
play,1
DQNOutput,1
DQNOutputProp,1
DQNOutputNpyOp,1
dqn_sym_nips,1
dqn_sym_nature,1
get_default_ctx,1
get_numpy_rng,1
get_saving_path,1
logging_config,1
save_misc,1
quick_save_json,1
safe_eval,1
norm_clipping,1
sample_categorical,1
sample_normal,1
sample_mog,1
npy_softmax,1
npy_sigmoid,1
npy_onehot,1
npy_binary_entropy,1
block_all,1
load_params,1
load_misc,1
load_npz,1
discount_cumsum,1
update_on_kvstore,1
parse_ctx,1
get_npy_list,1
get_sym_list,1
get_numeric_list,1
get_int_list,1
get_float_list,1
get_bucket_key,1
Config,1
Atari8080Preprocessor,1
IdentityPreprocessor,1
Agent,1
act,1
train_step,1
_discount,1
_forward_backward,1
_update_params,1
train_episode,1
_2d_list,1
lstm_inference_symbol,1
rnn_unroll,1
