Word,Frequency
the,70655
of,36056
to,25169
a,21564
for,17837
and,16567
in,16232
is,15808
model,9330
or,8759
this,8605
with,8363
if,7872
be,6987
shape,6938
data,6837
as,6075
list,6061
license,5758
from,5595
are,5263
on,5123
x,4870
not,4673
that,4620
by,4466
parameters,4373
file,4345
an,4305
input,4278
optional,4182
returns,4165
output,4081
used,4002
class,3988
each,3903
array,3858
param,3644
set,3569
default,3537
torch,3455
tensor,3443
layer,3439
we,3373
true,3364
all,3361
type,3349
s,3297
see,3199
str,3180
size,3179
config,3171
it,3166
use,3120
number,3108
int,3016
will,2974
image,2962
function,2890
you,2886
training,2830
return,2796
n,2706
when,2705
batch,2698
can,2666
ndarray,2663
at,2656
outputs,2640
name,2598
one,2590
self,2586
under,2523
sequence,2391
loss,2390
float,2293
none,2288
test,2158
token,2082
t,2059
same,2050
configuration,2038
state,2015
tf,2014
tuple,2010
attention,2002
args,1936
should,1929
which,1901
only,1889
tokens,1880
mx,1862
dataset,1846
labels,1843
weights,1842
c,1812
dict,1788
inputs,1777
using,1773
numpy,1767
arguments,1727
distributed,1723
value,1716
e,1707
time,1700
first,1690
values,1681
py,1677
math,1671
string,1624
method,1606
y,1597
mask,1584
g,1565
b,1555
get,1537
may,1532
states,1517
network,1515
apache,1515
print,1501
base,1501
language,1490
length,1485
generate,1477
any,1456
path,1427
module,1425
i,1416
np,1399
hidden,1399
into,1399
have,1387
returned,1381
load,1348
add,1345
tokenizer,1340
given,1338
compute,1336
indices,1308
params,1282
specific,1277
examples,1266
func,1265
symbol,1265
false,1262
index,1231
org,1227
bool,1221
bert,1197
floattensor,1194
contains,1194
object,1184
create,1181
label,1177
example,1169
no,1160
so,1146
either,1140
embeddings,1135
dictionary,1126
mathbf,1121
end,1119
directory,1117
dtype,1115
classification,1115
mxnet,1113
has,1106
copyright,1102
vehicles,1102
version,1094
more,1092
matrix,1090
conditions,1083
embedding,1056
copy,1039
https,1038
vehicle,1036
software,1026
nd,1026
position,1022
where,1018
update,1018
