Variable Name,Frequency
x,2401
out,1159
data,1154
model,852
outputs,823
y,640
loss,610
output,526
label,395
args,387
net,375
start,362
parser,361
result,358
fl,355
w,334
a,332
shape,326
img,304
hidden_states,297
text,295
lab,293
mask,282
batch_size,277
labels,275
logger,273
list_data,272
s,267
b,253
optimizer,251
inputs,249
logits,229
f,221
name,218
num_classes,213
ret,210
i,203
p,202
train_dataset,202
_x,200
m,192
head_mask,186
input_ids,185
test_dataset,185
g,184
v,183
config,180
image,180
transforms,177
val_dataset,174
r,171
d,170
signal_size,170
inputchannel,170
data_pd,170
z,169
k,169
res,168
t,168
index,165
c,163
dataset,162
sym,160
end,156
input_shape,155
n,153
length,151
line,150
indices,144
h,143
results,140
__all__,139
token_type_ids,137
ctx,136
attention_mask,134
scale,132
idx,130
tokenizer,129
word,129
features,129
imgs,129
optimizer_config,129
log_level,128
total_epochs,127
dataset_type,127
params,126
data_root,126
log_config,126
train_cfg,125
test_cfg,125
img_norm_cfg,125
lr_config,125
checkpoint_config,125
dist_params,125
work_dir,125
load_from,125
resume_from,125
workflow,125
test_pipeline,124
train_pipeline,122
alpha,121
train_pd,120
val_pd,120
X,118
path2,118
vehicles,117
path1,117
lines,116
tokens,116
path,115
label1,114
loss_fct,113
weight,112
position_ids,112
residual,112
N,112
config_and_inputs,112
batch,110
value,107
state,106
x1,106
layers,104
filename,102
scores,102
q,101
ids,99
weights,98
ax,98
states,95
size,93
x2,92
lr,91
pred,90
sequence_output,89
probs,88
device,87
pooled_output,85
l,85
datasetname,85
label2,85
path3,85
A,84
inputs_embeds,84
grad,83
R,82
data1,82
pointer,81
input_mask,80
mod,78
gt,77
cache_dir,75
output_dict,74
layer,73
new_attrs,73
net_params,73
target,72
dtype,72
ix,72
env,71
stride,71
roots,71
sample,70
exe,70
pos,68
pad,68
node,68
all_hidden_states,68
axis,66
test,66
config_class,66
pretrained_model_archive_map,66
width,65
score,64
kl_loss,64
examples,63
tensor,62
context,61
metrics,61
scheduler,61
embeddings,60
kernel,60
data_pd_tmp,60
offset,59
acc,59
counter,59
prefix,58
cat,58
reader,58
rois,58
initial_config,58
tags,58
H,57
key,57
array,57
string,56
pattern,56
ctx_list,56
data_root1,56
data_root2,56
label3,56
base_model_prefix,56
embedded_nodes,56
fname,55
y1,55
bboxes,55
files,54
vocab,54
in_channels,54
attn_mask,54
msg,54
Y,54
mu,54
expansion,54
parameters,54
env_params,54
additional_net_params,54
realaxis,54
boxes,53
bias,53
val,53
tmp,53
T,53
downsample,53
ys,52
B,52
transformer_outputs,52
embedded_predicates,52
mean,51
height,50
im,50
std,50
trainer,50
values,50
j,49
images,49
delta,49
arr,49
start_time,49
cls,48
losses,48
attn,48
instances,48
L,48
preds,48
color,48
dt,48
all_attentions,48
token,47
count,47
input,47
exp,47
extended_attention_mask,46
samples,46
global_step,46
data_shape,46
val_metrics,46
_,45
hx,45
inds,45
fig,45
attention_scores,44
context_layer,44
y2,44
shortcut,44
sim_params,44
scenario,44
cell,43
o,43
proposals,43
prediction_scores,42
module,42
kwargs,42
num_filter,42
pos_emb,42
f1,41
query,41
num,41
padding,41
checkpoints,41
out2,41
dim,40
attention_probs,40
state_dict,40
encoder,40
attn_weights,40
__author__,40
out1,40
attentions,40
sequence_labels,40
frame,39
opt,39
seq_length,39
u,39
valid,39
train_loss,39
tp,39
fp,39
handle,39
train_loader,39
total_loss,38
ratio,38
axes,38
action,37
gamma,37
anchors,37
words,37
seed,37
step,37
segment_ids,37
text_a,37
expected,37
Q,37
fftbuffer,37
fn,36
cmd,36
beta,36
token_labels,36
Head,36
UBody,36
LBody,36
shoes,36
M,35
P,35
arg_names,35
train_data,35
G,35
coords,35
image_numpy,35
mask_pred,35
wit,35
this_epoch_val_metric,35
var,34
names,34
source,34
keep,34
new_state,34
network,34
data_iter,34
nodes,34
da,34
flow_params,34
core_out,34
feed_dict,33
end_logits,33
new_key,33
vocab_file,33
__version__,33
group,33
outs,33
feature,33
guid,33
initializer,33
sep,33
eps,33
keys,33
file_path,33
masks,33
mask_feats,33
trial,33
best_model_state,33
state0,33
P0,33
conv,32
mode,32
root,32
etag,32
max_len,32
C,32
num_epochs,32
temp,32
out_grad,32
pairs,32
data_tmp,32
test_loader,32
answers,32
phi,32
choice_labels,32
encoded_labels,32
tt_rank,32
diff,31
lengths,31
decoder,31
e,31
description,31
theta,31
question,31
W,30
attention_output,30
archive_file,30
stats,30
text_b,30
tok_text,30
dataname,30
pytestmark,30
lemmas,30
data_dir_path,30
ukf,30
ukf_states,30
ukf_Ps,30
url,29
found,29
checkpoint,29
op,29
start_logits,29
dx,29
D,29
new_w,29
new_h,29
t_total,29
inflow,29
edges,29
WC1,29
WC2,29
WC3,29
dataset1,29
dataset2,29
dataset3,29
data_root3,29
Bdata,29
Gdata,29
labe12,29
root1,29
root2,29
logit,29
I,29
device_ids,29
paths,28
cfg,28
K,28
input_data,28
out_grads,28
strides,28
F,28
stypes,28
transform,28
xs,28
df,28
ffn_output,28
attn_score,28
attn_prob,28
norm_cfg,28
droot,28
norm_layer,27
layer_output,27
split_tokens,27
segments,27
FLAGS,27
tic,27
est,27
model_to_save,27
angle,27
normalname,27
dataname1,27
dataname2,27
dataname3,27
dataname4,27
dataname5,27
dataname6,27
dataname7,27
dataname8,27
dataname9,27
dataname10,27
dataname11,27
dataname12,27
datanumber,27
HBdata,27
ADBdata,27
RDBdata,27
WC,27
name3,27
scale_factor,27
xi,27
anns,27
pos_inds,27
img_shape,27
param,26
cnt,26
hidden,26
metadata,26
offsets,26
writer,26
output_spec,26
grads,26
example,26
start_position,26
end_position,26
err,26
block,26
wd,26
thresh,26
groups,26
ps,26
vz,26
window,26
proposal_list,26
norm,25
header,25
total,25
seq,25
ds,25
pieces,25
train_op,25
src,25
vx,25
executor,25
info,25
complete,25
fields,25
bbox_pred,25
data2,25
iou,25
nx,25
val_loss,25
HORIZON,25
identity,25
img_data,25
divider,25
pretrained_config_archive_map,25
mems,25
vocab_files_names,25
pretrained_vocab_files_map,25
max_model_input_sizes,25
movie_align,25
all_win_pts,25
rz,25
left,24
title,24
seq_len,24
seq_relationship_score,24
epoch,24
item,24
ref,24
criterion,24
predictions,24
recall,24
pr,24
correct,24
iterator,24
metric,24
test_data,24
ious,24
shapes,24
code,24
end_time,24
traffic_lights,24
colors,24
sequence,24
token_type_embeds,24
all_model_classes,24
direct,24
Carrying,24
AgeGender,24
last_save_time,24
train_metrics,24
val_iterator,24
training_elapsed_time,24
model_device,24
optimizer_dis,24
tt_cores,24
sample_size,23
model_name,23
data_path,23
stream,23
init,23
x0,23
mult,23
x3,23
batch_dict,23
VOCAB_FILES_NAMES,23
PRETRAINED_VOCAB_FILES_MAP,23
PRETRAINED_POSITIONAL_EMBEDDINGS_SIZES,23
inputs_dict,23
class_ids,23
ofile,23
dataset_arr,23
tsv_file,23
curr_core,23
chi,23
cols,22
file,22
id,22
output_shape,22
new_x_shape,22
cp,22
idxs,22
momentum,22
data_file,22
output_eval_file,22
bbox,22
ymax,22
aux,22
summary,22
factor,22
arr_grad,22
J,22
plot,22
attn_outputs,22
cls_index,22
out_string,22
patience,22
epoch_counter,22
rx,22
done,21
points,21
model_path,21
json_config,21
chars,21
start_new_word,21
lm_logits,21
src_tokens,21
positions,21
base,21
graph,21
label_list,21
precision,21
tag,21
train,21
file_name,21
kernel_size,21
attr,21
row,21
row_count,21
xx,21
dec_inputs,21
message,21
mc_token_ids,21
attn_out,21
bbox_feats,21
flags,20
NAME,20
start_loss,20
end_loss,20
start_positions,20
targets,20
noise,20
attrs,20
defaults,20
stack,20
fc,20
epochs,20
data_loader,20
test_loss,20
ymin,20
dims,20
area,20
y0,20
atol,20
x_slice,20
slice,20
ce_loss,20
output_dir,20
new_word,20
additional_env_params,20
past,20
klen,20
output_g,20
fwd_pos_seq,20
data_mask,20
merges,20
cuda_device,20
loss_ce,20
train_generator,20
cls_score,20
srl_frames,20
embedded_seqs,20
sequence_lengths,20
embedded_arguments,20
conll_reader,20
batch_grad_norm,20
param_updates,20
boost_signal,20
bp_loss,20
dist,19
fmt,19
cache_path,19
response,19
config_file,19
weights_path,19
hypos,19
version,19
encoder_padding_mask,19
segment,19
cdf,19
act,19
num_dims,19
best_score,19
zeros,19
conv1,19
prob,19
data_train,19
arg_params,19
high,19
font,19
__slots__,19
ndim,19
input_dim,19
sym_no_cudnn,19
x_reshape,19
in_,19
bins,19
zero,19
train_sampler,19
model_urls,19
edge,19
save_path,19
h2,19
load_tf_weights,19
pc,19
overlaps,19
mergestatus,19
study,19
pos_tags,19
roles_logits,19
num_training_batches,19
classes,18
steps,18
method,18
progress,18
sentences,18
w1,18
w2,18
all_predictions,18
data_dir,18
stop,18
train_dataloader,18
dy,18
res2,18
val_acc,18
start_epoch,18
exp_tag,18
saver,18
enc_inputs,18
attn_vec,18
flip,18
num_imgs,18
use_bias,18
Z,18
subfolders,18
subfolder,18
tf_name,18
start_states,18
prev_char,18
sim_mtx,18
tn,18
rc,18
rle,18
bbox_targets,18
segm_result,18
algorithm,18
predictions_list,18
ifile,18
peep,18
top,17
learning_rate,17
request,17
value_layer,17
masked_lm_loss,17
itr,17
buffer,17
sentence,17
pool,17
batches,17
ratios,17
grad_norm,17
choice,17
input_size,17
all_input_ids,17
label_ids,17
speed,17
loc,17
rtol,17
data_in,17
Loss,17
neg,17
npout_grad,17
vocab_size,17
radius,17
feat,17
lm_labels,17
presents,17
hidden_state,17
encoded,17
fs,17
cur_hyp_pts,17
catIds,17
results_dir_path,17
hN,17
match,16
sent,16
obj,16
elapsed,16
parsed,16
position_embeddings,16
mixed_key_layer,16
mixed_value_layer,16
query_layer,16
key_layer,16
embedding_output,16
ignored_index,16
end_positions,16
output_tokens,16
use_cuda,16
ind,16
ntokens,16
logging_output,16
saved_state,16
scaffold_fn,16
init_string,16
train_examples,16
times,16
command,16
prediction,16
img_,16
input_names,16
rgb_mean,16
dshape,16
type_dict,16
data_np,16
embed,16
ws,16
nd_ret_topk,16
x_train,16
gs,16
histOwn,16
histOther,16
histOwnMask,16
histOtherMask,16
env_name,16
baseline,16
dict_writer,16
dataset_name,16
encoder_outputs,16
past_length,16
prediction_logits,16
new_mems,16
w_heads,16
output_h,16
non_tgt_mask,16
s1,16
eval_loss,16
new_content,16
cov,16
corners,16
voxels,16
embedded_lemmas,16
batches_this_epoch,16
pin,16
bh,16
type,15
img_name,15
emb,15
flat_input_ids,15
flat_token_type_ids,15
task,15
sizes,15
num_embeddings,15
input_buffer,15
buf,15
all_input_mask,15
ndims,15
accuracy,15
op_name,15
fc1,15
num_samples,15
cats,15
hdl,15
heads,15
func_name,15
items,15
tol,15
net2,15
center,15
np_out,15
out_nd,15
exec1,15
max_length,15
shift,15
level,15
S,15
PYTORCH_DUMP_OUTPUT,15
TF_CONFIG,15
eval_sampler,15
eval_dataloader,15
attScore,15
content,15
gap,15
heatmap,15
MODEL_CLASSES,15
merged,15
like,15
imgIds,15
seg,15
prune_ratios,15
num_images,15
shuffle,15
f0,15
output_types_per_node,15
msg_to_predicate,15
wit_weight,15
argmax_predictions,15
file_test,15
new_message,15
channel,15
odo_std,15
imu_std,15
obs_std,15
left_ukf_nees,15
right_ukf_nees,15
ekf_nees,15
hM1,15
hM2,15
f0stable,15
img_path,14
f2,14
flag,14
dense_layer,14
sigma,14
log_prob,14
class_names,14
headers,14
meta_path,14
s3_path,14
