Variable Name,Projects Count
x,856
parser,805
model,801
loss,781
args,775
out,675
data,638
output,634
y,629
optimizer,626
mask,594
device,584
batch_size,565
labels,511
n,495
dataset,485
idx,478
res,477
img,475
p,470
outputs,464
i,464
v,459
t,451
result,448
s,448
pred,443
target,438
h,436
label,428
d,427
f,427
k,426
m,425
path,420
name,410
r,403
w,403
logger,399
indices,390
b,386
layers,385
a,384
c,376
results,373
index,369
checkpoint,368
config,368
features,364
filename,363
image,358
scale,355
end,354
x1,351
start,345
inputs,335
z,335
size,333
alpha,333
N,328
logits,327
weight,325
mean,325
state_dict,324
batch,323
__all__,322
scores,320
lr,316
params,316
q,316
x2,314
images,313
weights,313
std,308
count,303
value,301
shape,300
input,294
score,293
g,288
start_time,281
scheduler,280
lines,278
train_loader,277
width,276
losses,275
key,270
targets,267
line,266
eps,265
padding,263
acc,263
ret,262
seed,262
l,262
criterion,258
B,258
tmp,257
norm,254
preds,253
j,252
diff,250
state,249
offset,248
correct,247
pos,246
u,242
train_dataset,240
stride,238
values,237
cfg,235
msg,234
T,231
trainer,230
residual,229
writer,229
val,228
sample,228
df,227
expansion,227
metrics,225
samples,224
num_classes,224
num,219
files,219
transform,218
dist,218
root,217
text,216
total,216
net,215
save_path,215
temp,212
predictions,209
names,208
y1,207
X,206
dim,206
attn,203
C,202
height,202
A,201
keys,201
noise,200
fig,200
x0,199
total_loss,198
delta,198
color,198
step,197
K,196
tensor,195
R,192
ax,192
kwargs,190
downsample,190
layer,189
imgs,189
bias,188
info,187
sampler,187
file_name,185
in_channels,184
ids,183
sigma,183
probs,182
opt,181
rank,181
mode,181
prefix,181
ratio,180
length,180
dataloader,180
test_loader,179
_,177
test_dataset,177
xs,177
prob,177
M,177
output_dir,176
precision,174
masks,174
grid,173
dtype,173
header,172
tokens,171
model_name,171
cnt,171
W,171
feat,170
im,170
classes,169
recall,169
block,169
feature,169
beta,168
gt,167
epoch,167
bs,165
gamma,165
center,164
identity,163
file_path,163
model_path,163
loader,163
ind,162
src,161
split,161
H,160
world_size,160
item,159
data_loader,159
row,158
tokenizer,156
fn,155
img_path,155
D,155
__version__,154
url,153
inds,153
e,152
x3,151
kernel,151
theta,151
factor,150
pad,149
meta,149
dx,149
file,149
area,148
mu,148
datasets,148
input_shape,148
y2,147
coords,147
stats,146
val_loader,146
splits,146
norm_layer,145
parameters,145
obj,144
save_dir,143
fp,143
L,142
out_channels,142
kernel_size,141
grad,141
out_features,141
num_samples,140
feats,139
data_path,139
colors,139
val_dataset,138
dataset_name,137
metric,137
conv,137
outs,137
query,137
iou,136
left,135
points,135
var,135
pool,134
prediction,134
angle,134
f1,133
blocks,133
modules,131
train_loss,130
module,130
img_size,130
union,130
bbox,130
depth,129
channels,128
keep,128
threshold,128
total_time,128
groups,128
metadata,128
message,127
order,126
t1,126
boxes,125
version,125
test,124
classname,124
tp,124
frame,124
lr_scheduler,123
qkv,123
fmt,123
cmd,122
idxs,122
content,122
distance,122
fname,121
paths,121
buffer,120
start_idx,120
valid,120
context,120
parts,119
S,118
head_dim,118
ys,117
ckpt,117
P,117
normalize,117
log,117
ds,116
train_data,115
denom,115
formatter,115
data_time,115
o,114
counts,114
top,114
flag,114
pbar,113
cls,113
id,113
Y,113
input_size,113
emb,113
attention_mask,113
G,112
rng,112
epochs,112
ch,112
table,112
model_dict,111
encoder,111
shortcut,111
attn_mask,111
defaults,111
train_sampler,110
suffix,110
start_epoch,110
dilation,109
right,109
embeddings,109
project,109
input_ids,109
c2,108
offsets,108
filepath,108
strides,108
num_layers,108
accuracy,107
dy,107
max_size,106
counter,106
data_list,106
rows,106
maxk,106
inp,105
transforms,105
num_workers,105
progress,105
max_len,103
trans,103
zeros,103
c1,102
head,102
inter,102
task,102
correct_k,102
num_channels,102
y_pred,101
match,101
t0,101
loc,101
train,100
param,100
options,100
ones,100
token,100
frames,100
reader,100
epsilon,99
backbone,99
t2,99
patch_size,99
ap,99
box,99
data_dir,99
cols,98
scale_factor,98
seq,98
ref,97
steps,97
extensions,97
log_file,97
response,97
dists,97
func,97
fps,96
output_path,95
cs,95
dims,95
dpr,95
scaler,95
y0,95
items,95
filenames,94
error,94
loss_dict,94
cy,94
model_urls,93
title,93
output_size,93
end_idx,93
intersection,93
dt,93
pos_embed,93
annotations,93
mat,93
words,92
hidden_features,92
weight_decay,92
models,91
arr,91
distances,91
config_path,91
sizes,91
Q,90
scales,90
cx,90
group,89
xx,89
V,89
env,89
perm,89
xy,89
embedding,89
step_size,89
base,88
mlp_hidden_dim,88
vals,88
image_id,88
max_length,87
pairs,87
extension,87
radius,87
image_size,87
evaluator,87
ws,87
new_size,87
model_dir,87
ext,87
test_data,86
err,86
new_state_dict,86
prec,86
embed_dim,86
train_set,85
b1,85
new_key,85
buf,85
bottom,85
memory,85
p2,84
image_path,84
html_theme,84
copyright,84
angles,84
position,84
r1,84
batch_time,84
mod,83
matches,83
author,83
shift,83
grads,83
ious,83
denominator,83
tgt,83
fh,83
timestamp,82
p1,82
attention,82
exclude_patterns,82
templates_path,82
b2,82
num_patches,82
folder,81
indexes,81
pt,81
log_dir,81
word,81
col,81
example,81
x4,80
hidden_dim,80
num_gpus,80
now,80
seq_len,80
img2,80
means,80
img_name,80
vocab,80
act,80
rgb,80
nodes,80
data_root,80
attr,80
edges,79
phi,79
a1,79
cmap,79
mapping,79
tree,79
hs,79
logs,79
y_true,78
crop_size,78
method,78
test_loss,77
mse,77
window,77
source,77
storage,77
seg,77
model_type,77
out_dir,77
pattern,77
output_shape,77
learning_rate,76
decoder,76
gts,76
img1,76
html_static_path,76
a2,76
sources,76
loss_value,76
rec,76
no_decay,75
test_set,75
up,75
pts,75
out1,75
valid_mask,75
train_dataloader,74
x_max,74
it,74
lengths,74
current,74
hidden_states,74
cost,74
release,74
sim,74
cache_dir,73
dst,73
overlap,73
first,73
matrix,73
out_file,73
layer_name,73
x_out,73
texts,72
states,72
skip,72
conf,72
input_dim,72
data_dict,72
vec,72
candidates,72
iters,72
op,72
out2,72
ps,72
area1,72
cls_tokens,72
axis,72
dir,71
num_frames,71
thresh,71
array,71
top1,71
st,71
checkpoint_path,71
shuffle,71
examples,71
tasks,70
end_time,70
cur,70
thresholds,70
logit,70
cache_path,70
rot,70
d2,70
tag,69
num_features,69
instances,69
batches,69
runner,69
fields,69
tensor_list,69
img_id,69
area2,69
d1,69
embed,69
format_string,69
num_replicas,69
stream,69
objects,69
label_list,68
times,68
num_params,68
yy,68
graph,68
loss_fn,68
interval,68
file_list,68
duration,68
xyz,68
r2,68
directory,68
global_step,68
lower,68
spec,68
grad_norm,68
decay,68
batch_idx,68
loss1,67
basename,67
new_shape,67
module_name,67
sample_idx,67
output_dict,67
ts,67
Z,67
generator,67
class_names,67
s1,67
ratios,66
one_hot,66
x_,66
anchors,66
categories,66
variance,66
source_suffix,66
dropout,66
checkpoints,66
language,66
node,66
ops,66
proposals,66
hidden,66
fc,66
activation,65
ckpt_path,65
errors,65
string,65
crop,65
wh,65
I,65
bn,65
loss_cls,65
force,65
cat,65
topk,65
n_samples,65
windows,65
num_labels,64
gradients,64
bboxes,64
lt,64
areas,64
extra_compile_args,64
ks,64
reduction,64
extra,64
batch_shape,64
anno,64
s2,64
flags,64
num_pos,64
out_path,63
convs,63
new,63
num_groups,63
rotation,63
positions,63
total_time_str,63
log_probs,63
momentum,63
zero,63
bound,63
loss_fct,62
num_boxes,62
U,62
sz,62
start_index,62
entries,62
num_images,62
class_name,62
grad_input,62
token_type_ids,62
img_mask,62
arch,61
loss2,61
flip,61
file_handler,61
action,61
iter_time,61
ndim,61
headers,61
numerator,61
elapsed,61
log_level,60
E,60
img_list,60
att,60
lam,60
aspect_ratio,60
eta,60
shapes,60
flops,60
sha,60
relative_coords,60
find_unused_parameters,60
sentences,60
best_epoch,60
total_norm,60
eta_seconds,60
upper,60
best_acc,60
master_doc,60
gt_labels,60
sequence_output,59
pooled_output,59
cache,59
mu1,59
h1,59
pretrained_dict,59
all_labels,59
success,59
columns,59
root_dir,59
dataset_type,59
reg,59
coords_w,59
coords_h,59
loss_str,59
position_ids,59
heatmap,59
model_config,59
return_dict,58
instance,58
EPS,58
x_min,58
ans,58
max_idx,58
last,58
template,58
stage,58
total_size,58
relative_position_bias,58
out_dict,58
seq_length,58
eta_string,58
dw,58
v1,58
recalls,58
summary,58
pretrained,58
rb,58
optim,58
cos,58
test_dataloader,57
output_file,57
h2,57
tau,57
img_shape,57
freq,57
pos_x,57
bsz,57
sp,57
w1,57
coords_flatten,57
lrs,57
relative_position_index,57
sentence,57
v2,57
deltas,57
batch_sampler,57
log_prob,57
y_max,57
grid_size,57
eval_dataset,56
replace_stride_with_dilation,56
previous_dilation,56
min_value,56
found,56
mu2,56
segments,56
pe,56
bins,56
train_transform,56
done,56
n_classes,56
num_heads,56
log_msg,56
config_file,56
result_dict,56
phase,55
image_name,55
window_size,55
out_dim,55
img_info,55
val_loss,55
iteration,55
label_file,55
init,55
py,55
txt,55
inplanes,55
planes,55
classifier,55
wd,55
iterator,55
corr,55
high,55
temperature,55
annotation,55
rles,55
num_blocks,55
cond,55
random_tensor,55
ce_loss,54
eval_results,54
local_rank,54
down,54
sequence,54
time,54
fan_out,54
size_list,54
low,54
vocab_size,54
tic,54
detections,54
gs,54
xmax,54
video,54
best,54
dataset_train,54
encoder_layer,54
l2,54
neg,54
stop,53
num_epochs,53
l1,53
pose,53
z2,53
overlaps,53
ss,53
label_path,53
similarity,53
arg,53
error_msg,53
code,53
y_min,53
centers,53
encoder_outputs,53
distributed,53
evaluation,53
num_points,53
mask_windows,53
cp,53
stdv,52
top5,52
psnr,52
pred_label,52
oh,52
levels,52
repr_str,52
mrec,52
xmin,52
exp,52
root_path,52
record,52
builtin_print,52
attrs,52
output_dim,52
tmpdir,52
update,52
x_embed,52
image_shape,52
keep_prob,52
c3,52
vis,52
epoch_loss,52
val_dataloader,52
shifted_x,52
fan_in,51
zs,51
choice,51
sc,51
z1,51
opts,51
DATASETS,51
body,51
devices,51
ar,51
f2,51
nW,51
precisions,51
m2,51
input_data,51
keypoints,51
ignore,51
pos_y,51
in_features,51
confidence,51
config_name,50
optimizer_grouped_parameters,50
C1,50
new_w,50
gap,50
axes,50
ow,50
fpath,50
filters,50
pc,50
F,50
cov,50
shifts,50
training,50
widths,50
entry,50
sent,50
use_cuda,50
verbose,50
model_params,50
intermediate,50
is_best,50
patch,50
dev,49
tags,49
level,49
use_bias,49
conv1,49
trainloader,49
total_length,49
cwd,49
target_size,49
sx,49
mid,49
obs,49
label_map,49
dirname,49
mpre,49
node_list,49
parsed,49
max_x,49
checkpoint_file,49
inner_dim,49
dim_t,49
hidden_size,49
normalizer,49
direction,49
pred_boxes,49
rois,49
attn_windows,49
encoded,48
new_h,48
full_path,48
avg,48
tx,48
local_size,48
hist,48
resolution,48
history,48
best_score,48
w2,48
parent,48
alphas,48
all_hidden_states,48
layer_outputs,48
margin,48
transform_train,48
MB,48
aps,48
tmp_dir,48
loss_bbox,48
x_list,48
input_tensor,48
px,48
configs,48
point,48
lr_config,48
b3,48
intersect,47
test_file,47
new_v,47
C2,47
predictor,47
auc,47
num_batches,47
chunk,47
category,47
sig,47
new_data,47
fs,47
cap,47
ymin,47
ymax,47
ranges,47
process,47
long_description,47
norm_type,47
test_acc,47
attn_weights,47
y_embed,47
mAP,47
log_config,47
dh,47
tensors,47
position_embeddings,47
x_windows,47
avg_loss,47
begin,46
doc,46
eval_dataloader,46
task_name,46
command,46
model_class,46
kw,46
final,46
branch,46
ranks,46
pi,46
transformer,46
padding_mask,46
num_nodes,46
det,46
block_size,46
bounds,46
rate,46
define_macros,46
attention_probs,46
chunks,46
pr,46
model_without_ddp,46
reduced_dict,46
h0,46
answer,46
smooth_loss,46
req,46
m1,46
chunk_size,46
types,46
CLASSES,46
ann_ids,46
gt_boxes,46
input_mask,46
ann,46
img_norm_cfg,46
data_loaders,46
extended_attention_mask,46
x5,45
val_data,45
padw,45
canvas,45
dir_path,45
norms,45
font,45
num_steps,45
this_dir,45
layer_output,45
param_state,45
sampler_train,45
space_fmt,45
bias_correction1,45
bias_correction2,45
src_len,45
key_padding_mask,45
stages,45
objs,45
num_imgs,45
self,45
logprobs,45
image_ids,45
pos_inds,45
dirs,44
expected,44
out_size,44
ext_modules,44
pred_labels,44
worker_seed,44
reg_loss,44
prior,44
flow,44
a3,44
gain,44
port,44
new_x,44
fid,44
train_stats,44
sh,44
part,44
vs,44
nll_loss,44
contents,44
ann_info,44
coco,44
img_ids,44
sd,44
checkpoint_config,44
max_y,44
energy,44
children,44
progress_bar,43
model_name_or_path,43
dir_name,43
callbacks,43
y_train,43
IMG_EXTENSIONS,43
th,43
conv2,43
depths,43
translation,43
dataset_idx,43
target_area,43
ground_truth,43
replace,43
network,43
cls_loss,43
train_list,43
train_path,43
centroids,43
dp,43
attention_scores,43
handler,43
data_loader_train,43
lens,43
min_x,43
pygments_style,43
k1,43
meta_path,43
stem,43
reference,43
src2,43
patches,43
_version,43
loss_func,43
gt_mask,43
model_inputs,43
inputs_embeds,43
desc,43
optimizer_config,43
rle,43
train_pipeline,43
test_pipeline,43
load_from,43
env_info,43
_base_,43
fp16,43
save_filename,42
max_iter,42
image_dir,42
sort_idx,42
trainset,42
concat,42
param_norm,42
fx,42
test_path,42
ntasks,42
attention_output,42
head_mask,42
metric_logger,42
num_tasks,42
question,42
pos_emb,42
annos,42
rect,42
end_index,42
palette,42
n1,42
description,42
policy,42
anns,42
resume_from,42
image_features,42
input_channel,41
out_channel,41
loss_list,41
max_val,41
adj,41
base_path,41
all_files,41
omega,41
entropy,41
actions,41
dis,41
new_state,41
total_epochs,41
log_vars,41
intermediate_output,41
output_hidden_states,41
to_save,41
checkpoint_dir,41
w0,41
enc,41
queries,41
proj,41
bar,41
c0,41
model_kwargs,41
not_mask,41
rot_mat,41
y_list,41
img_tensor,41
use_cache,41
min_y,41
w_slices,41
text_features,41
h_slices,41
total_num,41
train_file,40
latent,40
default,40
matcher,40
heads,40
shift_x,40
neighbors,40
num_neg,40
image_list,40
cam,40
gt_path,40
attention_weights,40
reward,40
output_folder,40
num_class,40
requirements,40
new_features,40
choices,40
img_np,40
infos,40
input_path,40
query_layer,40
key_layer,40
cm,40
print_freq,40
model_state_dict,40
numel,40
magnitude,40
tgt2,40
sampler_val,40
saver,40
key_list,40
type,40
class_id,40
div_term,40
attn_output,40
output_attentions,40
warmup_steps,40
conv_layer,40
stds,40
gt_bboxes,40
cat_ids,40
num_levels,40
origin,40
in_channel,39
sigma12,39
clf,39
combined,39
test_transform,39
ty,39
edge,39
kv,39
processes,39
rt,39
result_path,39
xi,39
sample_size,39
shift_y,39
feature_size,39
audio,39
sess,39
normalized,39
starts,39
transform_test,39
data_loader_val,39
out_h,39
n_parameters,39
total_params,39
query_embed,39
total_steps,39
valid_loader,39
answers,39
num_examples,39
work_dir,39
new_k,39
missing_keys,39
segment,39
__constants__,39
all_scores,39
labels_list,38
all_tokens,38
tr,38
prev,38
label_name,38
label_dict,38
img_paths,38
ssim,38
pad_w,38
BATCH_SIZE,38
pad_h,38
kl,38
cutoff,38
cls_score,38
param_groups,38
nc,38
input_dict,38
version_info,38
pad_b,38
pad_r,38
pad_t,38
device_id,38
new_x_shape,38
value_layer,38
ll,38
checkpoint_paths,38
heights,38
json_data,38
save_name,38
ori_shape,38
split_name,38
center_y,38
FLAGS,38
decoder_layer,38
gt_masks,38
x_1,38
new_dict,38
grad_bias,38
layer_type,38
selected,38
_C,38
padding_size,38
eval_kwargs,38
coordinates,38
cls_scores,38
dist_params,38
prog_bar,38
datas,38
sy,38
dataset_dict,37
pred_list,37
img_dir,37
conv2d,37
dataset_size,37
__author__,37
style,37
ckpt_dir,37
predict,37
testloader,37
edge_index,37
ctx,37
model_names,37
loaded,37
interp,37
second,37
projection,37
regex,37
p_t,37
nd,37
poses,37
upper_bound,37
bb,37
border,37
context_layer,37
y_test,37
ema,37
global_rank,37
log_stats,37
dict,37
