Word,REASON_qwen_py,REASON_REF_qwen_py,REASON_qwen_cpp,REASON_REF_qwen_cpp,REASON_gemma_py,REASON_REF_gemma_py,REASON_gemma_cpp,REASON_REF_gemma_cpp,REASON_deepseek_py,REASON_REF_deepseek_py,REASON_deepseek_cpp,REASON_REF_deepseek_cpp
2-sat,0,0,2,3,0,0,2,2,0,0,1,2
bfs,22,22,122,69,31,26,163,71,38,39,178,130
binary search,43,52,111,173,20,44,44,147,46,59,185,191
bitmasks,0,1,1,7,0,1,5,5,1,1,8,5
brute force,2,0,18,4,5,0,23,2,7,3,12,4
chinese remainder theorem,0,0,1,0,0,0,0,0,0,0,5,0
combinatorics,2,2,8,1,0,0,1,5,3,4,15,7
constructive algorithms,0,0,0,0,0,0,0,0,0,0,0,0
data structures,36,15,132,171,7,8,52,136,25,30,124,199
dfs,28,25,186,221,28,27,178,259,11,20,86,182
divide and conquer,0,0,4,0,0,0,2,2,0,0,4,5
dp,57,10,292,228,38,18,185,220,29,31,164,240
dsu,1,1,11,6,4,2,1,16,3,2,17,15
expression parsing,0,0,0,0,0,1,0,0,0,0,0,0
fft,0,0,0,8,0,0,0,9,0,0,3,5
flows,0,0,3,1,1,0,6,1,2,1,6,5
games,6,3,11,7,4,5,7,10,6,4,11,10
geometry,6,2,17,5,0,0,1,3,1,6,18,6
graph matchings,0,0,0,0,0,0,0,0,0,0,0,0
graphs,6,1,20,10,1,3,9,11,2,4,36,32
greedy,50,16,138,29,52,8,165,38,20,19,90,52
hashing,0,1,3,16,0,0,0,15,1,2,15,22
implementation,201,79,604,258,14,74,67,256,40,50,158,250
interactive,1,1,3,3,2,2,7,9,2,1,0,2
math,8,22,0,7,20,10,0,3,26,9,8,2
matrices,2,3,6,8,1,0,5,5,2,6,20,13
meet-in-the-middle,0,0,2,1,0,0,0,0,0,0,1,2
number theory,0,0,4,2,0,0,1,0,1,0,3,1
probabilities,7,5,40,30,4,7,32,37,6,4,35,34
schedules,3,2,2,3,0,1,3,2,1,1,5,2
shortest paths,5,4,27,23,6,9,43,29,1,5,29,28
similar,12,10,52,34,14,13,42,42,62,23,311,33
sort,142,54,329,106,141,44,294,106,113,85,281,165
string,231,225,383,382,273,251,470,394,217,259,412,337
strings,65,90,113,123,91,76,143,132,79,73,144,105
suffix,17,17,49,57,15,14,21,34,20,19,60,53
ternary search,0,0,0,5,0,0,1,7,1,0,4,5
trees,9,7,57,63,8,5,24,59,7,15,69,80
two pointers,22,8,44,14,8,3,9,7,10,6,17,17
