Word,REASON_qwen_py,REASON_REF_qwen_py,REASON_qwen_cpp,REASON_REF_qwen_cpp,REASON_gemma_py,REASON_REF_gemma_py,REASON_gemma_cpp,REASON_REF_gemma_cpp,REASON_deepseek_py,REASON_REF_deepseek_py,REASON_deepseek_cpp,REASON_REF_deepseek_cpp
2-sat,0,0,4,3,0,0,3,7,0,0,2,5
bfs,39,60,294,186,61,55,373,189,246,147,1781,384
binary search,138,114,286,451,34,125,89,352,274,165,1312,506
bitmasks,0,1,1,8,0,3,6,6,3,2,17,6
brute force,3,0,29,4,5,0,26,2,8,4,12,4
chinese remainder theorem,0,0,1,0,0,0,0,0,0,0,6,0
combinatorics,2,2,8,1,0,0,1,5,4,4,25,8
constructive algorithms,0,0,0,0,0,0,0,0,0,0,0,0
data structures,36,15,134,202,8,8,54,158,27,31,162,243
dfs,47,58,441,579,74,72,490,719,32,42,374,489
divide and conquer,0,0,5,0,0,0,2,2,0,0,4,10
dp,346,26,1682,792,414,97,1801,777,1325,320,6388,993
dsu,1,6,24,12,11,9,5,52,40,7,135,38
expression parsing,0,0,0,0,0,1,0,0,0,0,0,0
fft,0,0,0,17,0,0,0,39,0,0,43,20
flows,0,0,3,1,1,0,17,1,3,1,64,8
games,29,5,24,18,37,23,53,22,16,8,54,25
geometry,7,3,21,7,0,0,1,3,1,6,30,9
graph matchings,0,0,0,0,0,0,0,0,0,0,0,0
graphs,7,2,35,13,1,4,10,16,21,4,77,42
greedy,72,18,195,37,81,9,270,48,61,23,221,77
hashing,0,2,7,31,0,0,0,40,2,4,47,41
implementation,205,83,610,276,14,76,68,290,49,61,244,294
interactive,1,2,4,3,3,2,7,10,3,1,0,2
math,8,27,0,7,46,18,0,3,117,10,25,2
matrices,2,5,11,10,1,0,10,7,6,7,85,19
meet-in-the-middle,0,0,2,2,0,0,0,0,0,0,1,3
number theory,0,0,4,2,0,0,1,0,1,0,3,1
probabilities,16,23,88,98,9,10,88,85,9,9,267,81
schedules,6,2,3,6,0,2,3,2,2,2,6,2
shortest paths,8,5,72,48,8,11,85,49,5,5,195,50
similar,17,12,61,45,18,14,53,49,87,27,922,43
sort,241,60,548,147,301,75,569,153,510,173,1665,240
string,807,509,1417,894,1094,751,1874,1184,2369,999,5863,1203
strings,162,153,375,245,230,158,507,288,248,153,800,241
suffix,46,36,147,146,82,39,93,122,267,58,955,206
ternary search,0,0,0,19,0,0,3,13,1,0,36,7
trees,22,18,127,111,22,15,133,158,36,47,699,194
two pointers,26,13,54,15,8,4,10,7,14,6,33,20
