Word,REASON_Qwen_py,REASON_REF_Qwen_py,REASON_Qwen_cpp,REASON_REF_Qwen_cpp,REASON_Gemma_py,REASON_REF_Gemma_py,REASON_Gemma_cpp,REASON_REF_Gemma_cpp,REASON_Deepseek_py,REASON_REF_Deepseek_py,REASON_Deepseek_cpp,REASON_REF_Deepseek_cpp,REASON_GPT_py,REASON_REF_GPT_py,REASON_GPT_cpp,REASON_REF_GPT_cpp,REASON_Gemini_py,REASON_REF_Gemini_py,REASON_Gemini_cpp,REASON_REF_Gemini_cpp,REASON_Llama4_py,REASON_REF_Llama4_py,REASON_Llama4_cpp,REASON_REF_Llama4_cpp
2-sat,0,0,5,3,0,0,2,3,0,0,10,5,0,0,15,4,4,1,7,7,0,0,24,5
bfs,35,56,202,151,42,80,228,138,185,133,550,250,94,95,509,182,44,49,196,92,48,49,176,120
binary search,132,103,235,363,43,115,73,316,315,152,656,497,142,137,551,361,73,97,184,243,72,95,160,288
bitmasks,0,1,3,6,1,3,3,6,3,3,3,9,3,4,21,11,1,1,6,7,0,0,2,3
brute force,4,0,29,4,5,0,13,0,7,4,25,7,43,15,108,23,6,2,29,5,3,1,10,1
chinese remainder theorem,0,0,1,0,0,1,1,0,0,0,3,0,0,0,3,3,0,0,3,1,1,1,2,1
combinatorics,2,2,9,3,0,0,1,4,1,3,8,5,0,3,15,24,0,1,3,6,1,1,4,7
constructive algorithms,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
data structures,32,10,80,110,3,7,38,90,30,26,69,100,15,13,96,101,11,4,55,58,16,10,74,73
dfs,41,41,249,379,63,83,304,431,31,37,183,358,94,61,408,369,71,58,332,355,50,49,277,411
divide and conquer,0,0,1,0,0,0,2,2,0,0,12,8,0,0,26,6,0,2,2,6,0,0,0,3
dp,284,29,1325,685,325,98,1497,649,1145,211,1977,1039,779,104,4230,1130,399,82,2172,764,87,52,752,802
dsu,1,6,27,15,6,7,9,37,30,8,132,35,2,7,103,10,3,7,19,17,0,3,0,8
expression parsing,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
fft,0,0,0,13,0,0,0,23,0,0,0,13,0,0,15,19,0,0,0,24,0,0,0,10
flows,0,0,6,2,1,0,9,1,3,1,11,6,3,2,35,8,1,1,3,0,0,1,0,1
games,22,4,23,20,29,16,50,20,16,6,28,18,68,12,67,21,17,15,41,16,39,31,66,31
geometry,6,3,19,10,1,1,1,2,2,3,6,5,3,2,16,12,1,1,1,1,13,1,31,5
graph matchings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
graphs,7,2,21,10,0,4,11,13,21,3,55,21,10,7,45,19,1,5,10,9,3,2,37,15
greedy,65,23,194,41,72,19,227,39,70,26,188,106,79,27,252,52,39,20,127,56,9,5,49,26
hashing,0,0,4,16,1,0,0,16,2,1,10,23,4,1,31,27,0,0,0,12,3,0,1,13
implementation,180,69,490,212,10,80,52,216,76,59,342,289,202,42,1006,157,12,41,58,91,42,10,228,48
interactive,2,3,3,3,4,2,6,7,1,2,0,3,5,6,5,10,3,2,2,3,0,2,0,3
math,7,23,1,4,44,16,0,4,89,9,0,0,16,72,15,19,9,17,9,2,3,5,2,2
matrices,2,2,7,2,0,1,4,6,6,4,22,16,8,5,54,13,1,0,6,5,2,1,3,5
meet-in-the-middle,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,1,0,0,0,1
number theory,0,0,3,0,0,0,1,0,1,0,3,3,1,0,4,7,0,1,0,0,0,1,2,1
probabilities,13,25,73,85,9,11,77,77,8,8,105,121,11,10,114,58,2,5,34,48,14,8,109,104
schedules,6,2,1,5,0,0,1,1,2,2,1,0,1,2,2,4,1,0,1,2,1,1,1,0
shortest paths,7,3,57,37,4,9,58,40,8,5,57,63,12,10,102,39,11,4,46,26,11,6,43,19
similar,18,13,47,31,17,17,45,42,79,17,203,67,99,33,392,72,17,20,52,40,39,20,163,41
sort,216,63,449,125,271,90,469,131,500,142,645,279,225,112,816,205,214,59,455,122,183,79,414,115
string,696,477,1154,751,1021,734,1498,981,2366,765,2296,1281,880,599,1603,924,819,511,1280,790,711,739,1158,1210
strings,124,121,266,206,201,157,365,205,242,103,412,277,182,137,525,236,175,132,316,154,142,130,313,252
suffix,42,28,108,118,45,32,89,98,282,47,272,164,293,104,712,206,43,42,118,86,46,23,140,97
ternary search,0,0,0,12,0,0,3,11,1,0,3,16,2,0,9,19,0,0,0,13,5,0,0,14
trees,19,11,107,92,14,14,101,101,36,16,209,140,28,19,305,125,12,8,81,79,15,15,140,133
two pointers,25,15,52,14,5,3,10,5,14,7,24,12,21,13,112,17,5,7,15,4,9,15,16,16
