fullname,type,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,8,38,27,57,46,84,223.42,463.98,6.0,2783.88,154.66,0.1547,1,79,36,0.0,44.96,44.96
586C,2,8,38,27,57,46,84,223.42,463.98,6.0,2783.88,154.66,0.1547,1,77,36,0.0,44.96,44.96
586C,3,9,26,21,42,35,63,150.74,323.14,7.27,2349.01,130.5,0.1077,0,67,31,7.14,63.39,63.39
586C,mean,8.33,34,25,52,42.33,77,199.19,417.03,6.42,2638.92,146.61,0.14,0.67,74.33,34.33,2.38,51.1,51.1
586C,std,0.47,5.66,2.83,7.07,5.19,9.9,34.26,66.39,0.6,205.0,11.39,0.02,0.47,5.25,2.36,3.37,8.69,8.69
590B,1,7,36,22,44,43,66,205.77,358.13,4.28,1532.02,85.11,0.1194,1,43,21,0.0,52.87,52.87
590B,mean,7,36,22,44,43,66,205.77,358.13,4.28,1532.02,85.11,0.12,1,43,21,0.0,52.87,52.87
590B,std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
595B,1,7,27,21,42,34,63,148.03,320.51,5.44,1745.0,96.94,0.1068,2,47,14,21.43,80.99,80.99
595B,2,8,36,28,56,44,84,210.12,458.59,6.22,2853.46,158.53,0.1529,1,13,12,0.0,57.15,57.15
595B,3,7,30,21,42,37,63,166.86,328.2,4.9,1608.16,89.34,0.1094,1,25,11,18.18,82.0,82.0
595B,4,7,25,20,40,32,60,135.75,300.0,5.6,1680.0,93.33,0.1,3,11,9,0.0,61.3,61.3
595B,5,7,27,17,34,34,51,148.03,259.46,4.41,1143.55,63.53,0.0865,3,39,19,11.11,73.43,73.43
595B,6,6,38,34,68,44,102,214.93,556.86,5.37,2989.47,166.08,0.1856,2,61,29,3.45,59.18,59.18
595B,7,7,33,23,46,40,69,186.12,367.21,4.88,1791.55,99.53,0.1224,0,41,12,90.91,84.97,84.97
595B,8,6,31,24,48,37,72,169.09,375.08,4.65,1742.31,96.8,0.125,1,53,24,4.17,63.6,63.6
595B,9,7,39,27,54,46,81,225.78,447.41,4.85,2168.21,120.46,0.1491,3,23,17,0.0,54.06,54.06
595B,10,9,45,43,86,54,129,275.66,742.38,8.6,6384.47,354.69,0.2475,3,47,23,0.0,49.39,49.39
595B,11,9,28,22,44,37,66,163.14,343.82,7.07,2431.33,135.07,0.1146,0,65,30,10.0,66.89,66.89
595B,mean,7.27,32.64,25.45,50.91,39.91,76.36,185.77,409.05,5.64,2412.5,134.03,0.14,1.73,38.64,18.18,14.48,66.63,66.63
595B,std,0.96,5.93,7.08,14.15,6.23,21.23,40.03,132.35,1.19,1363.08,75.73,0.04,1.14,17.58,7.04,25.23,11.53,11.53
604D,1,9,16,14,26,25,40,92.53,185.75,7.31,1358.33,75.46,0.0619,0,21,11,0.0,60.72,60.72
604D,2,9,21,19,38,30,57,120.77,279.69,8.14,2277.5,126.53,0.0932,3,41,20,0.0,53.28,53.28
604D,3,8,18,12,24,26,36,99.06,169.22,5.33,902.48,50.14,0.0564,5,25,19,0.0,55.83,55.83
