problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,4.0,8.0,8.0,16.0,12.0,24.0,32.0,86.04,4.0,344.16,19.12,0.0287,7.0,28.0,27.0,3.57,65.45,65.45
586C,pass@2,4.0,9.0,8.0,16.0,13.0,24.0,36.53,88.81,3.56,315.77,17.54,0.0296,8.0,31.0,31.0,9.68,70.32,70.32
586C,pass@3,4.0,15.0,11.0,22.0,19.0,33.0,66.6,140.18,2.93,411.2,22.84,0.0467,8.0,32.0,32.0,15.62,72.42,72.42
586C,pass@4,5.0,16.0,17.0,34.0,21.0,51.0,75.61,224.01,5.31,1190.04,66.11,0.0747,8.0,32.0,32.0,15.62,70.99,70.99
586C,pass@5,3.0,10.0,7.0,14.0,13.0,21.0,37.97,77.71,2.1,163.19,9.07,0.0259,7.0,26.0,26.0,23.08,79.49,79.49
586C,pass@6,3.0,15.0,11.0,22.0,18.0,33.0,63.36,137.61,2.2,302.74,16.82,0.0459,6.0,32.0,32.0,0.0,51.25,51.38
586C,pass@7,4.0,12.0,10.0,20.0,16.0,30.0,51.02,120.0,3.33,400.0,22.22,0.04,7.0,27.0,27.0,0.0,53.28,53.28
586C,pass@8,4.0,10.0,9.0,18.0,14.0,27.0,41.22,102.8,3.6,370.07,20.56,0.0343,7.0,28.0,28.0,17.86,75.86,75.86
586C,pass@9,5.0,18.0,16.0,32.0,23.0,48.0,86.67,217.13,4.44,965.03,53.61,0.0724,8.0,31.0,31.0,29.03,76.17,76.3
586C,pass@10,6.0,13.0,13.0,26.0,19.0,39.0,63.62,165.67,6.0,994.02,55.22,0.0552,13.0,36.0,36.0,13.89,69.16,69.16
586C,pass@11,5.0,10.0,9.0,17.0,15.0,26.0,44.83,101.58,4.25,431.71,23.98,0.0339,9.0,39.0,39.0,2.56,59.56,59.56
586C,pass@12,3.0,11.0,7.0,14.0,14.0,21.0,42.81,79.95,1.91,152.64,8.48,0.0267,7.0,33.0,29.0,12.12,73.15,73.15
586C,pass@13,4.0,17.0,16.0,32.0,21.0,48.0,77.49,210.83,3.76,793.72,44.1,0.0703,8.0,28.0,28.0,14.29,71.71,71.71
586C,pass@14,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,7.0,27.0,27.0,22.22,78.42,78.42
586C,pass@15,3.0,15.0,16.0,32.0,18.0,48.0,63.36,200.16,3.2,640.5,35.58,0.0667,8.0,27.0,27.0,22.22,75.82,75.82
586C,pass@16,5.0,12.0,9.0,18.0,17.0,27.0,54.63,110.36,3.75,413.86,22.99,0.0368,10.0,28.0,28.0,35.71,80.42,80.42
586C,pass@17,4.0,10.0,9.0,18.0,14.0,27.0,41.22,102.8,3.6,370.07,20.56,0.0343,8.0,29.0,29.0,10.34,71.01,71.01
586C,pass@18,4.0,15.0,10.0,20.0,19.0,30.0,66.6,127.44,2.67,339.83,18.88,0.0425,6.0,31.0,31.0,32.26,78.78,78.92
