problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,10,8.0,52.0,63.0,286.0,60.0,349.0,320.42,2061.5,22.0,45353.11,2519.62,0.6872,12.0,55.0,48.0,0.0,37.22,37.22
586C,5,7.0,54.0,61.0,309.0,61.0,370.0,330.42,2194.37,20.03,43948.41,2441.58,0.7315,10.0,60.0,53.0,0.0,36.47,36.47
586C,4,8.0,49.0,61.0,266.0,57.0,327.0,299.12,1907.36,21.71,41416.85,2300.94,0.6358,9.0,54.0,47.0,0.0,38.03,38.03
586C,6,8.0,54.0,71.0,348.0,62.0,419.0,334.76,2494.81,25.78,64310.61,3572.81,0.8316,15.0,57.0,49.0,0.0,35.89,35.89
586C,16,8.0,55.0,74.0,348.0,63.0,422.0,341.97,2522.41,25.31,63839.96,3546.66,0.8408,15.0,55.0,47.0,0.0,36.2,36.2
586C,7,7.0,54.0,76.0,362.0,61.0,438.0,330.42,2597.66,23.46,60948.87,3386.05,0.8659,15.0,57.0,48.0,0.0,35.77,35.77
586C,1,8.0,64.0,76.0,373.0,72.0,449.0,408.0,2770.3,23.31,64582.53,3587.92,0.9234,11.0,68.0,59.0,0.03,45.03,34.44
586C,8,7.0,53.0,75.0,362.0,60.0,437.0,323.23,2581.31,23.91,61707.95,3428.22,0.8604,15.0,58.0,49.0,0.0,35.63,35.63
586C,15,6.0,55.0,69.0,358.0,61.0,427.0,333.48,2532.42,19.53,49451.35,2747.3,0.8441,11.0,65.0,58.0,0.0,35.14,35.14
586C,13,7.0,54.0,76.0,362.0,61.0,438.0,330.42,2597.66,23.46,60948.87,3386.05,0.8659,15.0,57.0,48.0,0.0,35.77,35.77
586C,9,8.0,55.0,79.0,362.0,63.0,441.0,341.97,2635.98,26.33,69398.18,3855.45,0.8787,16.0,57.0,49.0,0.0,35.59,35.59
586C,2,8.0,57.0,73.0,388.0,65.0,461.0,356.47,2776.31,27.23,75593.61,4199.64,0.9254,13.0,75.0,68.0,0.0,33.24,33.24
586C,12,8.0,62.0,76.0,388.0,70.0,464.0,393.16,2843.99,25.03,71191.42,3955.08,0.948,14.0,75.0,68.0,0.0,33.03,33.03
586C,11,8.0,54.0,79.0,365.0,62.0,444.0,334.76,2643.66,27.04,71476.82,3970.93,0.8812,16.0,58.0,50.0,0.0,35.42,35.42
586C,3,8.0,67.0,79.0,398.0,75.0,477.0,430.43,2971.15,23.76,70597.99,3922.11,0.9904,13.0,67.0,58.0,0.03,44.77,34.1
586C,14,9.0,75.0,108.0,505.0,84.0,613.0,495.69,3918.49,30.3,118730.26,6596.13,1.3062,23.0,80.0,71.0,0.03,39.95,30.23
586C,17,7.0,53.0,61.0,309.0,60.0,370.0,323.23,2185.55,20.41,44597.58,2477.64,0.7285,10.0,60.0,53.0,0.0,36.48,36.48
586C,21,8.0,50.0,66.0,287.0,58.0,353.0,306.19,2067.87,22.96,47478.23,2637.68,0.6893,13.0,57.0,50.0,0.0,36.73,36.73
586C,24,7.0,53.0,61.0,309.0,60.0,370.0,323.23,2185.55,20.41,44597.58,2477.64,0.7285,10.0,60.0,53.0,0.0,36.48,36.48
586C,23,7.0,53.0,61.0,309.0,60.0,370.0,323.23,2185.55,20.41,44597.58,2477.64,0.7285,10.0,60.0,53.0,0.0,36.48,36.48
586C,26,7.0,61.0,71.0,327.0,68.0,398.0,381.43,2422.81,18.76,45457.48,2525.42,0.8076,10.0,61.0,52.0,0.04,47.23,36.01
586C,19,8.0,61.0,69.0,351.0,69.0,420.0,385.77,2565.58,23.02,59050.4,3280.58,0.8552,12.0,60.0,53.0,0.0,35.73,35.73
586C,22,7.0,53.0,76.0,365.0,60.0,441.0,323.23,2604.94,24.1,62788.85,3488.27,0.8683,15.0,58.0,49.0,0.0,35.6,35.6
586C,18,8.0,52.0,81.0,441.0,60.0,522.0,320.42,3083.4,33.92,104598.31,5811.02,1.0278,15.0,84.0,77.0,0.0,31.58,31.58
586C,20,9.0,75.0,84.0,409.0,84.0,493.0,495.69,3151.41,24.54,77335.66,4296.43,1.0505,13.0,77.0,67.0,0.04,44.62,32.6
586C,29,7.0,54.0,66.0,354.0,61.0,420.0,330.42,2490.91,22.94,57152.54,3175.14,0.8303,11.0,69.0,62.0,0.0,34.63,34.63
586C,25,9.0,73.0,73.0,336.0,82.0,409.0,480.39,2600.24,20.71,53857.0,2992.06,0.8667,12.0,64.0,53.0,0.07,50.16,35.07
586C,30,8.0,54.0,73.0,348.0,62.0,421.0,334.76,2506.72,25.78,64617.58,3589.87,0.8356,15.0,56.0,48.0,0.0,36.05,36.05
586C,27,8.0,58.0,77.0,389.0,66.0,466.0,363.76,2816.69,26.83,75564.93,4198.05,0.9389,16.0,63.0,55.0,0.0,34.44,34.44
586C,28,9.0,71.0,82.0,405.0,80.0,487.0,465.16,3078.78,25.67,79029.22,4390.51,1.0263,13.0,75.0,66.0,0.03,42.98,32.92
586C,31,9.0,71.0,75.0,358.0,80.0,433.0,465.16,2737.39,22.69,62111.88,3450.66,0.9125,13.0,73.0,64.0,0.03,43.74,33.54
586C,32,8.0,55.0,75.0,349.0,63.0,424.0,341.97,2534.37,25.38,64326.83,3573.71,0.8448,15.0,55.0,47.0,0.0,36.18,36.18
590B,9,7.0,57.0,69.0,185.0,64.0,254.0,352.13,1524.0,11.36,17312.11,961.78,0.508,4.0,33.0,26.0,0.0,44.05,44.05
590B,16,7.0,56.0,69.0,186.0,63.0,255.0,344.86,1524.21,11.62,17718.9,984.38,0.5081,4.0,34.0,27.0,0.0,43.77,43.77
590B,2,7.0,59.0,74.0,195.0,66.0,269.0,366.73,1625.94,11.57,18808.57,1044.92,0.542,4.0,35.0,28.0,0.0,43.3,43.3
590B,3,7.0,55.0,76.0,200.0,62.0,276.0,337.63,1643.36,12.73,20915.47,1161.97,0.5478,5.0,38.0,33.0,0.0,42.35,42.35
590B,12,7.0,56.0,69.0,186.0,63.0,255.0,344.86,1524.21,11.62,17718.9,984.38,0.5081,4.0,34.0,27.0,0.0,43.77,43.77
590B,1,7.0,57.0,73.0,205.0,64.0,278.0,352.13,1668.0,12.59,20996.32,1166.46,0.556,5.0,40.0,33.0,0.0,41.82,41.82
590B,4,7.0,56.0,74.0,203.0,63.0,277.0,344.86,1655.71,12.69,21006.78,1167.04,0.5519,5.0,38.0,33.0,0.0,42.33,42.33
590B,5,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,38.0,33.0,0.0,42.28,42.28
590B,11,7.0,55.0,76.0,202.0,62.0,278.0,337.63,1655.27,12.85,21277.7,1182.09,0.5518,5.0,40.0,33.0,0.0,41.84,41.84
590B,14,7.0,57.0,72.0,193.0,64.0,265.0,352.13,1590.0,11.85,18842.89,1046.83,0.53,4.0,35.0,28.0,0.0,43.36,43.36
590B,7,7.0,57.0,73.0,203.0,64.0,276.0,352.13,1656.0,12.46,20641.89,1146.77,0.552,5.0,40.0,33.0,0.0,41.84,41.84
590B,15,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,40.0,33.0,0.0,41.8,41.8
590B,8,7.0,57.0,76.0,206.0,64.0,282.0,352.13,1692.0,12.65,21402.32,1189.02,0.564,5.0,40.0,33.0,0.0,41.77,41.77
590B,6,7.0,60.0,74.0,204.0,67.0,278.0,374.06,1686.37,11.9,20067.84,1114.88,0.5621,5.0,40.0,33.0,0.0,41.79,41.79
590B,10,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,40.0,33.0,0.0,41.8,41.8
590B,13,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,38.0,33.0,0.0,42.28,42.28
590B,21,7.0,58.0,69.0,190.0,65.0,259.0,359.41,1559.79,11.47,17883.84,993.55,0.5199,4.0,34.0,27.0,0.0,43.7,43.7
590B,19,7.0,57.0,72.0,195.0,64.0,267.0,352.13,1602.0,11.97,19181.84,1065.66,0.534,4.0,35.0,28.0,0.0,43.34,43.34
590B,18,7.0,55.0,76.0,202.0,62.0,278.0,337.63,1655.27,12.85,21277.7,1182.09,0.5518,5.0,40.0,33.0,0.0,41.84,41.84
590B,17,7.0,61.0,70.0,203.0,68.0,273.0,381.43,1661.88,11.65,19356.78,1075.38,0.554,4.0,38.0,31.0,0.0,42.45,42.45
590B,20,7.0,57.0,73.0,205.0,64.0,278.0,352.13,1668.0,12.59,20996.32,1166.46,0.556,5.0,40.0,33.0,0.0,41.82,41.82
590B,23,7.0,54.0,76.0,198.0,61.0,274.0,330.42,1625.02,12.83,20854.45,1158.58,0.5417,5.0,38.0,31.0,0.0,42.38,42.38
590B,22,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,40.0,33.0,0.0,41.8,41.8
590B,24,7.0,57.0,73.0,201.0,64.0,274.0,352.13,1644.0,12.34,20290.42,1127.25,0.548,5.0,38.0,33.0,0.0,42.35,42.35
590B,27,7.0,61.0,70.0,203.0,68.0,273.0,381.43,1661.88,11.65,19356.78,1075.38,0.554,4.0,38.0,31.0,0.0,42.45,42.45
590B,26,7.0,57.0,76.0,204.0,64.0,280.0,352.13,1680.0,12.53,21044.21,1169.12,0.56,5.0,38.0,33.0,0.0,42.28,42.28
590B,28,7.0,57.0,72.0,195.0,64.0,267.0,352.13,1602.0,11.97,19181.84,1065.66,0.534,4.0,35.0,28.0,0.0,43.34,43.34
590B,29,7.0,57.0,76.0,205.0,64.0,281.0,352.13,1686.0,12.59,21222.89,1179.05,0.562,5.0,41.0,34.0,0.0,41.55,41.55
590B,30,7.0,59.0,80.0,207.0,66.0,287.0,366.73,1734.74,12.28,21302.03,1183.45,0.5782,4.0,38.0,31.0,0.0,42.32,42.32
590B,32,7.0,57.0,78.0,203.0,64.0,281.0,352.13,1686.0,12.46,21015.84,1167.55,0.562,4.0,38.0,31.0,0.0,42.41,42.41
590B,31,7.0,62.0,84.0,217.0,69.0,301.0,388.81,1838.67,12.25,22523.66,1251.31,0.6129,5.0,44.0,35.0,0.0,40.62,40.62
590B,25,9.0,68.0,81.0,317.0,77.0,398.0,442.48,2494.18,20.98,52322.78,2906.82,0.8314,10.0,47.0,35.0,0.0,38.39,38.39
595B,2,9.0,52.0,74.0,235.0,61.0,309.0,324.95,1832.6,20.34,37268.7,2070.48,0.6109,6.0,38.0,32.0,0.0,41.88,41.88
595B,11,9.0,51.0,70.0,215.0,60.0,285.0,317.82,1683.46,18.97,31936.3,1774.24,0.5612,5.0,36.0,30.0,0.0,42.79,42.79
595B,8,8.0,45.0,71.0,222.0,53.0,293.0,271.13,1678.28,19.73,33118.07,1839.89,0.5594,6.0,36.0,31.0,0.0,42.66,42.66
595B,5,9.0,53.0,72.0,234.0,62.0,306.0,332.11,1821.98,19.87,36199.04,2011.06,0.6073,6.0,38.0,32.0,0.0,41.9,41.9
595B,13,9.0,51.0,72.0,231.0,60.0,303.0,317.82,1789.79,20.38,36480.09,2026.67,0.5966,6.0,38.0,33.0,0.0,41.96,41.96
595B,10,9.0,52.0,75.0,238.0,61.0,313.0,324.95,1856.32,20.6,38233.07,2124.06,0.6188,6.0,39.0,33.0,0.0,41.6,41.6
595B,14,9.0,53.0,72.0,229.0,62.0,301.0,332.11,1792.21,19.44,34846.71,1935.93,0.5974,6.0,38.0,32.0,0.0,41.95,41.95
595B,4,9.0,53.0,75.0,240.0,62.0,315.0,332.11,1875.57,20.38,38219.2,2123.29,0.6252,6.0,39.0,33.0,0.0,41.57,41.57
595B,12,8.0,45.0,73.0,225.0,53.0,298.0,271.13,1706.92,20.0,34138.41,1896.58,0.569,6.0,35.0,29.0,0.0,42.88,42.88
595B,3,9.0,54.0,78.0,254.0,63.0,332.0,339.29,1984.46,21.17,42004.34,2333.57,0.6615,6.0,41.0,35.0,0.0,40.92,40.92
595B,6,9.0,54.0,81.0,270.0,63.0,351.0,339.29,2098.03,22.5,47205.57,2622.53,0.6993,7.0,41.0,35.0,0.0,40.62,40.62
595B,7,10.0,55.0,83.0,268.0,65.0,351.0,351.19,2113.85,24.36,51501.1,2861.17,0.7046,7.0,41.0,35.0,0.0,40.6,40.6
595B,1,11.0,64.0,82.0,275.0,75.0,357.0,422.05,2223.69,23.63,52552.01,2919.56,0.7412,7.0,42.0,35.0,0.03,49.99,40.21
595B,15,11.0,65.0,87.0,306.0,76.0,393.0,429.51,2455.44,25.89,63576.89,3532.05,0.8185,8.0,47.0,39.0,0.05,51.48,38.71
595B,16,11.0,64.0,86.0,306.0,75.0,392.0,422.05,2441.7,26.3,64209.0,3567.17,0.8139,8.0,46.0,38.0,0.05,51.85,38.93
595B,9,9.0,54.0,80.0,266.0,63.0,346.0,339.29,2068.14,22.17,45843.74,2546.87,0.6894,6.0,40.0,34.0,0.0,41.03,41.03
595B,23,9.0,50.0,68.0,212.0,59.0,280.0,310.72,1647.14,19.08,31427.43,1745.97,0.549,5.0,35.0,30.0,0.0,43.12,43.12
595B,21,9.0,46.0,76.0,230.0,55.0,306.0,282.61,1769.1,22.5,39804.66,2211.37,0.5897,8.0,39.0,34.0,0.0,41.48,41.48
595B,18,8.0,45.0,73.0,225.0,53.0,298.0,271.13,1706.92,20.0,34138.41,1896.58,0.569,6.0,35.0,29.0,0.0,42.88,42.88
595B,24,9.0,51.0,78.0,246.0,60.0,324.0,317.82,1913.83,21.71,41541.42,2307.86,0.6379,7.0,38.0,32.0,0.0,41.62,41.62
595B,17,9.0,53.0,75.0,241.0,62.0,316.0,332.11,1881.53,20.46,38500.28,2138.9,0.6272,6.0,39.0,33.0,0.0,41.56,41.56
595B,26,9.0,52.0,74.0,234.0,61.0,308.0,324.95,1826.67,20.25,36990.01,2055.0,0.6089,6.0,39.0,33.0,0.0,41.65,41.65
595B,19,9.0,53.0,79.0,269.0,62.0,348.0,332.11,2072.06,22.84,47325.08,2629.17,0.6907,7.0,42.0,37.0,0.0,40.43,40.43
595B,25,9.0,54.0,78.0,254.0,63.0,332.0,339.29,1984.46,21.17,42004.34,2333.57,0.6615,7.0,42.0,36.0,0.0,40.56,40.56
595B,22,9.0,61.0,72.0,247.0,70.0,319.0,390.3,1955.24,18.22,35627.06,1979.28,0.6517,6.0,41.0,35.0,0.03,50.75,40.97
