problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,24.0,25.0,12.5,74.34,75.42
586C,pass@9,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,24.0,25.0,12.5,74.34,75.42
586C,pass@11,3.0,11.0,7.0,14.0,14.0,21.0,42.81,79.95,1.91,152.64,8.48,0.0267,0.0,23.0,24.0,17.39,77.86,78.81
586C,pass@16,5.0,14.0,13.0,26.0,19.0,39.0,64.91,165.67,4.64,769.18,42.73,0.0552,0.0,29.0,30.0,17.24,73.33,74.41
586C,pass@13,3.0,10.0,10.0,20.0,13.0,30.0,37.97,111.01,3.0,333.04,18.5,0.037,0.0,25.0,26.0,16.0,75.29,76.37
586C,pass@7,4.0,9.0,8.0,16.0,13.0,24.0,36.53,88.81,3.56,315.77,17.54,0.0296,0.0,27.0,27.0,11.11,72.68,73.76
586C,pass@2,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,25.0,26.0,24.0,79.25,80.33
586C,pass@3,3.0,10.0,9.0,18.0,13.0,27.0,37.97,99.91,2.7,269.76,14.99,0.0333,0.0,26.0,27.0,19.23,76.76,77.84
586C,pass@12,3.0,11.0,9.0,18.0,14.0,27.0,42.81,102.8,2.45,252.32,14.02,0.0343,0.0,28.0,29.0,25.0,77.96,79.17
586C,pass@14,4.0,10.0,9.0,18.0,14.0,27.0,41.22,102.8,3.6,370.07,20.56,0.0343,0.0,32.0,32.0,9.38,69.2,70.41
586C,pass@6,4.0,9.0,8.0,16.0,13.0,24.0,36.53,88.81,3.56,315.77,17.54,0.0296,0.0,28.0,28.0,14.29,74.34,75.42
586C,pass@10,4.0,9.0,8.0,16.0,13.0,24.0,36.53,88.81,3.56,315.77,17.54,0.0296,0.0,27.0,27.0,14.81,74.98,76.06
586C,pass@4,4.0,12.0,9.0,18.0,16.0,27.0,51.02,108.0,3.0,324.0,18.0,0.036,0.0,39.0,39.0,23.08,74.38,75.59
586C,pass@21,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,24.0,25.0,12.5,74.34,75.42
586C,pass@15,5.0,9.0,12.0,24.0,14.0,36.0,40.14,137.06,6.67,913.77,50.76,0.0457,0.0,61.0,61.0,16.39,65.69,67.84
586C,pass@23,5.0,15.0,13.0,26.0,20.0,39.0,70.21,168.56,4.33,730.41,40.58,0.0562,0.0,27.0,28.0,11.11,70.39,71.47
586C,pass@8,3.0,16.0,16.0,32.0,19.0,48.0,68.75,203.9,3.0,611.7,33.98,0.068,0.0,52.0,52.0,23.08,68.64,70.93
586C,pass@26,3.0,10.0,9.0,18.0,13.0,27.0,37.97,99.91,2.7,269.76,14.99,0.0333,0.0,26.0,27.0,15.38,74.93,76.01
586C,pass@17,5.0,13.0,13.0,26.0,18.0,39.0,59.72,162.63,5.0,813.14,45.17,0.0542,0.0,33.0,33.0,9.09,67.42,68.49
586C,pass@28,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,24.0,25.0,16.67,76.67,77.75
586C,pass@5,7.0,15.0,13.0,26.0,22.0,39.0,78.25,173.92,6.07,1055.1,58.62,0.058,0.0,48.0,48.0,35.42,73.48,75.23
