problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,6,8.0,54.0,63.0,284.0,62.0,347.0,334.76,2066.11,21.04,43464.75,2414.71,0.6887,11.0,46.0,41.0,0.0,39.04,39.04
586C,1,9.0,51.0,64.0,277.0,60.0,341.0,317.82,2014.25,24.44,49230.63,2735.04,0.6714,10.0,45.0,40.0,0.0,39.46,39.46
586C,8,8.0,53.0,65.0,286.0,61.0,351.0,327.58,2081.69,21.58,44933.06,2496.28,0.6939,10.0,47.0,40.0,0.0,38.94,38.94
586C,14,8.0,71.0,70.0,307.0,79.0,377.0,460.63,2376.53,17.3,41103.85,2283.55,0.7922,10.0,52.0,42.0,0.07,52.33,37.58
586C,11,8.0,82.0,73.0,326.0,90.0,399.0,545.32,2590.25,15.9,41191.28,2288.4,0.8634,10.0,52.0,43.0,0.09,53.76,37.32
586C,3,7.0,53.0,75.0,350.0,60.0,425.0,323.23,2510.43,23.11,58024.06,3223.56,0.8368,14.0,59.0,51.0,0.0,35.68,35.68
586C,10,9.0,76.0,79.0,349.0,85.0,428.0,503.37,2743.22,20.66,56687.18,3149.29,0.9144,11.0,68.0,57.0,0.07,49.1,34.47
586C,15,8.0,83.0,77.0,324.0,91.0,401.0,553.13,2609.63,15.61,40747.89,2263.77,0.8699,10.0,54.0,44.0,0.1,54.73,36.94
586C,9,8.0,65.0,87.0,389.0,73.0,476.0,415.45,2946.36,23.94,70531.24,3918.4,0.9821,17.0,63.0,52.0,0.09,50.83,34.17
586C,12,10.0,56.0,85.0,359.0,66.0,444.0,358.43,2683.71,32.05,86022.52,4779.03,0.8946,18.0,62.0,55.0,0.0,34.47,34.47
586C,16,9.0,92.0,92.0,394.0,101.0,486.0,628.7,3235.89,19.27,62361.24,3464.51,1.0786,13.0,64.0,50.0,0.12,53.49,34.27
586C,4,9.0,54.0,88.0,393.0,63.0,481.0,339.29,2875.07,32.75,94158.6,5231.03,0.9584,18.0,60.0,55.0,0.0,34.57,34.57
586C,7,9.0,79.0,94.0,379.0,88.0,473.0,526.53,3055.31,21.59,65959.91,3664.44,1.0184,16.0,71.0,61.0,0.06,47.28,33.06
586C,5,8.0,56.0,89.0,431.0,64.0,520.0,349.21,3120.0,30.79,96051.43,5336.19,1.04,18.0,73.0,65.0,0.0,32.47,32.47
586C,2,8.0,57.0,100.0,472.0,65.0,572.0,356.47,3444.79,33.12,114101.26,6338.96,1.1483,19.0,102.0,94.0,0.0,28.86,28.86
586C,13,9.0,90.0,121.0,520.0,99.0,641.0,612.8,4249.42,26.0,110484.86,6138.05,1.4165,20.0,85.0,70.0,0.12,49.18,29.82
586C,18,9.0,53.0,81.0,331.0,62.0,412.0,332.11,2453.13,28.1,68942.18,3830.12,0.8177,15.0,58.0,49.0,0.0,35.78,35.78
586C,19,9.0,76.0,76.0,314.0,85.0,390.0,503.37,2499.66,18.59,46473.99,2581.89,0.8332,10.0,56.0,45.0,0.1,54.36,36.73
586C,17,10.0,53.0,94.0,360.0,63.0,454.0,336.8,2713.69,33.96,92162.89,5120.16,0.9046,17.0,58.0,51.0,0.0,35.2,35.2
586C,22,8.0,55.0,63.0,290.0,63.0,353.0,341.97,2109.98,21.09,44501.39,2472.3,0.7033,10.0,50.0,45.0,0.0,38.32,38.32
586C,28,9.0,57.0,65.0,290.0,66.0,355.0,361.0,2145.76,22.89,49126.61,2729.26,0.7153,11.0,51.0,46.0,0.0,37.94,37.94
586C,20,9.0,54.0,85.0,373.0,63.0,458.0,339.29,2737.59,31.08,85093.55,4727.42,0.9125,18.0,64.0,56.0,0.0,34.11,34.11
586C,24,7.0,52.0,76.0,338.0,59.0,414.0,316.07,2435.41,22.75,55405.67,3078.09,0.8118,14.0,59.0,51.0,0.0,35.77,35.77
586C,29,9.0,63.0,68.0,279.0,72.0,347.0,405.1,2140.96,19.93,42666.35,2370.35,0.7137,9.0,52.0,42.0,0.05,50.39,38.04
586C,25,9.0,55.0,76.0,346.0,64.0,422.0,346.5,2532.0,28.31,71678.62,3982.15,0.844,13.0,58.0,53.0,0.0,35.95,35.95
586C,26,9.0,57.0,83.0,401.0,66.0,484.0,361.0,2925.49,31.66,92614.75,5145.26,0.9752,14.0,61.0,56.0,0.0,34.9,34.9
586C,21,9.0,81.0,92.0,394.0,90.0,486.0,542.06,3155.04,21.89,69060.33,3836.69,1.0517,13.0,65.0,54.0,0.1,51.84,34.2
586C,23,8.0,75.0,97.0,414.0,83.0,511.0,491.16,3257.65,22.08,71928.8,3996.04,1.0859,17.0,70.0,60.0,0.06,47.18,32.87
586C,27,8.0,55.0,86.0,449.0,63.0,535.0,341.97,3197.84,32.65,104424.17,5801.34,1.0659,17.0,86.0,78.0,0.0,30.97,30.97
586C,31,9.0,82.0,98.0,397.0,91.0,495.0,549.85,3221.36,21.79,70182.4,3899.02,1.0738,16.0,63.0,51.0,0.09,50.82,34.03
586C,30,8.0,59.0,95.0,485.0,67.0,580.0,371.08,3518.33,32.88,115687.52,6427.08,1.1728,20.0,101.0,94.0,0.0,28.76,28.76
586C,32,8.0,71.0,86.0,387.0,79.0,473.0,460.63,2981.69,21.8,65009.2,3611.62,0.9939,16.0,66.0,54.0,0.07,48.8,33.83
590B,5,7.0,63.0,84.0,235.0,70.0,319.0,396.22,1955.24,13.06,25526.76,1418.15,0.6517,6.0,46.0,37.0,0.0,39.88,39.88
590B,15,9.0,83.0,83.0,313.0,92.0,396.0,557.66,2583.33,16.97,43838.81,2435.49,0.8611,7.0,54.0,42.0,0.0,37.38,37.38
590B,6,9.0,78.0,87.0,337.0,87.0,424.0,518.79,2731.81,19.44,53112.65,2950.7,0.9106,10.0,50.0,37.0,0.05,50.6,37.53
590B,3,9.0,69.0,78.0,366.0,78.0,444.0,450.02,2790.72,23.87,66613.24,3700.74,0.9302,11.0,44.0,37.0,0.0,38.54,38.54
590B,1,9.0,79.0,81.0,394.0,88.0,475.0,526.53,3068.23,22.44,68860.4,3825.58,1.0227,10.0,46.0,40.0,0.0,37.97,37.97
590B,2,9.0,68.0,96.0,378.0,77.0,474.0,442.48,2970.46,25.01,74305.1,4128.06,0.9902,10.0,53.0,43.0,0.0,36.72,36.72
590B,12,9.0,75.0,89.0,369.0,84.0,458.0,495.69,2927.68,22.14,64818.87,3601.05,0.9759,11.0,52.0,41.0,0.0,36.81,36.81
590B,14,9.0,83.0,84.0,361.0,92.0,445.0,557.66,2902.99,19.57,56818.06,3156.56,0.9677,9.0,49.0,41.0,0.0,37.67,37.67
590B,9,9.0,68.0,99.0,406.0,77.0,505.0,442.48,3164.73,26.87,85028.77,4723.82,1.0549,12.0,55.0,45.0,0.0,35.91,35.91
590B,13,9.0,70.0,99.0,398.0,79.0,497.0,457.58,3132.98,25.59,80159.51,4453.31,1.0443,13.0,54.0,44.0,0.0,35.98,35.98
590B,11,9.0,85.0,113.0,496.0,94.0,609.0,573.33,3991.74,26.26,104818.52,5823.25,1.3306,18.0,63.0,54.0,0.0,33.11,33.11
590B,10,9.0,90.0,110.0,489.0,99.0,599.0,612.8,3970.98,24.45,97090.57,5393.92,1.3237,17.0,60.0,50.0,0.0,33.73,33.73
590B,4,9.0,91.0,110.0,485.0,100.0,595.0,620.74,3953.09,23.98,94809.11,5267.17,1.3177,11.0,59.0,51.0,0.0,34.71,34.71
590B,8,10.0,91.0,160.0,614.0,101.0,774.0,625.43,5153.46,33.74,173858.34,9658.8,1.7178,21.0,81.0,72.0,0.0,29.55,29.55
590B,16,9.0,87.0,223.0,714.0,96.0,937.0,589.07,6170.11,36.93,227868.54,12659.36,2.0567,15.0,74.0,65.0,0.0,30.67,30.67
590B,20,9.0,63.0,79.0,305.0,72.0,384.0,405.1,2369.25,21.79,51615.83,2867.55,0.7898,10.0,41.0,32.0,0.0,39.84,39.84
590B,7,9.0,91.0,191.0,698.0,100.0,889.0,620.74,5906.39,34.52,203867.75,11325.99,1.9688,23.0,104.0,93.0,0.0,26.5,26.5
590B,18,9.0,78.0,82.0,361.0,87.0,443.0,518.79,2854.22,20.83,59444.7,3302.48,0.9514,10.0,46.0,38.0,0.0,38.19,38.19
590B,23,9.0,73.0,78.0,352.0,82.0,430.0,480.39,2733.75,21.7,59318.57,3295.48,0.9112,9.0,43.0,35.0,0.0,39.09,39.09
590B,19,7.0,64.0,108.0,297.0,71.0,405.0,403.65,2490.65,16.24,40453.57,2247.42,0.8302,7.0,52.0,44.0,0.0,37.84,37.84
590B,21,9.0,74.0,84.0,343.0,83.0,427.0,488.03,2722.14,20.86,56778.73,3154.37,0.9074,11.0,49.0,37.0,0.0,37.6,37.6
590B,17,9.0,83.0,106.0,456.0,92.0,562.0,557.66,3666.24,24.72,90640.1,5035.56,1.2221,13.0,70.0,58.0,0.02,40.74,33.05
590B,24,9.0,78.0,93.0,406.0,87.0,499.0,518.79,3215.03,23.42,75305.87,4183.66,1.0717,12.0,55.0,45.0,0.0,35.86,35.86
