problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,8.0,59.0,181.0,496.0,67.0,677.0,371.08,4106.74,33.63,138097.91,7672.11,1.3689,27.0,74.0,70.0,0.0,30.29,30.29
586C,2,9.0,58.0,182.0,466.0,67.0,648.0,368.29,3930.83,36.16,142119.68,7895.54,1.3103,26.0,68.0,64.0,0.0,31.36,31.36
586C,3,9.0,65.0,152.0,476.0,74.0,628.0,419.98,3899.54,32.95,128504.73,7139.15,1.2998,24.0,63.0,59.0,0.0,32.38,32.38
586C,4,9.0,65.0,146.0,446.0,74.0,592.0,419.98,3676.0,30.88,113503.46,6305.75,1.2253,22.0,58.0,54.0,0.0,33.61,33.61
586C,5,9.0,52.0,97.0,316.0,61.0,413.0,324.95,2449.39,27.35,66981.52,3721.2,0.8165,13.0,54.0,50.0,0.0,36.73,36.73
586C,6,8.0,63.0,171.0,498.0,71.0,669.0,400.57,4114.18,31.62,130086.48,7227.03,1.3714,26.0,65.0,61.0,0.0,31.65,31.65
586C,7,8.0,64.0,150.0,465.0,72.0,615.0,408.0,3794.5,29.06,110277.77,6126.54,1.2648,23.0,60.0,56.0,0.0,33.06,33.06
586C,8,8.0,61.0,159.0,481.0,69.0,640.0,385.77,3909.46,31.54,123308.08,6850.45,1.3032,24.0,60.0,56.0,0.0,32.83,32.83
586C,9,8.0,64.0,141.0,441.0,72.0,582.0,408.0,3590.9,27.56,98974.08,5498.56,1.197,22.0,56.0,52.0,0.0,34.01,34.01
586C,10,8.0,60.0,169.0,492.0,68.0,661.0,378.41,4023.81,32.8,131981.06,7332.28,1.3413,26.0,76.0,72.0,0.0,30.24,30.24
586C,11,8.0,59.0,168.0,463.0,67.0,631.0,371.08,3827.7,31.39,120150.93,6675.05,1.2759,24.0,58.0,54.0,0.0,33.22,33.22
586C,12,9.0,58.0,187.0,432.0,67.0,619.0,368.29,3754.91,33.52,125854.2,6991.9,1.2516,24.0,62.0,58.0,0.0,32.64,32.64
586C,13,8.0,62.0,293.0,625.0,70.0,918.0,393.16,5626.68,40.32,226882.33,12604.57,1.8756,44.0,70.0,66.0,0.0,27.57,27.57
586C,14,8.0,58.0,170.0,496.0,66.0,666.0,363.76,4025.57,34.21,137702.14,7650.12,1.3419,27.0,78.0,74.0,0.0,29.85,29.85
586C,15,9.0,58.0,182.0,429.0,67.0,611.0,368.29,3706.38,33.28,123364.96,6853.61,1.2355,24.0,61.0,57.0,0.0,32.84,32.84
586C,16,9.0,67.0,151.0,493.0,76.0,644.0,434.96,4023.67,33.11,133231.37,7401.74,1.3412,25.0,66.0,62.0,0.0,31.71,31.71
586C,17,9.0,65.0,292.0,608.0,74.0,900.0,419.98,5588.51,42.09,235233.2,13068.51,1.8628,44.0,69.0,65.0,0.0,27.73,27.73
586C,18,8.0,62.0,168.0,468.0,70.0,636.0,393.16,3898.22,30.19,117701.21,6538.96,1.2994,24.0,59.0,55.0,0.0,33.0,33.0
586C,19,9.0,64.0,143.0,440.0,73.0,583.0,412.53,3608.67,30.94,111643.16,6202.4,1.2029,22.0,57.0,53.0,0.0,33.83,33.83
586C,20,8.0,65.0,158.0,441.0,73.0,599.0,415.45,3707.7,27.14,100621.41,5590.08,1.2359,22.0,55.0,51.0,0.0,34.09,34.09
586C,21,8.0,59.0,175.0,480.0,67.0,655.0,371.08,3973.29,32.54,129300.23,7183.35,1.3244,24.0,58.0,54.0,0.0,33.1,33.1
586C,22,8.0,51.0,84.0,277.0,59.0,361.0,313.29,2123.63,21.73,46136.99,2563.17,0.7079,10.0,47.0,43.0,0.0,38.88,38.88
586C,23,8.0,67.0,188.0,565.0,75.0,753.0,430.43,4690.3,33.73,158210.14,8789.45,1.5634,30.0,85.0,81.0,0.0,28.17,28.17
586C,24,7.0,55.0,123.0,467.0,62.0,590.0,337.63,3512.98,29.72,104399.25,5799.96,1.171,20.0,77.0,73.0,0.0,31.33,31.33
586C,25,9.0,65.0,180.0,548.0,74.0,728.0,419.98,4520.48,37.94,171500.13,9527.79,1.5068,30.0,73.0,69.0,0.0,29.72,29.72
586C,26,8.0,65.0,168.0,474.0,73.0,642.0,415.45,3973.87,29.17,115914.65,6439.7,1.3246,26.0,63.0,59.0,0.0,32.05,32.05
586C,27,8.0,66.0,151.0,486.0,74.0,637.0,422.93,3955.42,29.45,116505.15,6472.51,1.3185,25.0,65.0,61.0,0.0,31.9,31.9
586C,28,9.0,76.0,165.0,519.0,85.0,684.0,503.37,4384.02,30.73,134722.19,7484.57,1.4613,27.0,68.0,62.0,0.03,41.24,30.89
586C,29,8.0,66.0,168.0,470.0,74.0,638.0,422.93,3961.63,28.48,112846.47,6269.25,1.3205,24.0,62.0,58.0,0.0,32.48,32.48
586C,30,9.0,65.0,145.0,449.0,74.0,594.0,419.98,3688.42,31.08,114652.97,6369.61,1.2295,22.0,60.0,56.0,0.0,33.28,33.28
586C,31,8.0,59.0,169.0,467.0,67.0,636.0,371.08,3858.03,31.66,122149.24,6786.07,1.286,24.0,60.0,56.0,0.0,32.87,32.87
586C,32,8.0,54.0,169.0,426.0,62.0,595.0,334.76,3542.75,31.56,111793.34,6210.74,1.1809,24.0,57.0,53.0,0.0,33.62,33.62
590B,1,8.0,53.0,127.0,221.0,61.0,348.0,327.58,2063.9,16.68,34424.24,1912.46,0.688,21.0,32.0,28.0,0.0,41.13,41.13
590B,2,7.0,55.0,193.0,318.0,62.0,511.0,337.63,3042.59,20.24,61571.04,3420.61,1.0142,29.0,45.0,41.0,0.0,35.65,35.65
590B,3,7.0,54.0,196.0,333.0,61.0,529.0,330.42,3137.36,21.58,67714.69,3761.93,1.0458,29.0,46.0,42.0,0.0,35.35,35.35
590B,4,8.0,58.0,289.0,401.0,66.0,690.0,363.76,4170.63,27.66,115339.55,6407.75,1.3902,47.0,57.0,53.0,0.0,30.03,30.03
590B,5,9.0,63.0,164.0,269.0,72.0,433.0,405.1,2671.58,19.21,51332.45,2851.8,0.8905,25.0,48.0,44.0,0.0,35.97,35.97
590B,6,9.0,65.0,200.0,368.0,74.0,568.0,419.98,3526.97,25.48,89856.33,4992.02,1.1757,30.0,66.0,62.0,0.0,31.43,31.43
590B,7,8.0,61.0,177.0,334.0,69.0,511.0,385.77,3121.46,21.9,68365.0,3798.06,1.0405,26.0,49.0,45.0,0.0,35.17,35.17
590B,8,8.0,59.0,212.0,374.0,67.0,586.0,371.08,3554.73,25.36,90133.45,5007.41,1.1849,30.0,61.0,57.0,0.0,32.16,32.16
590B,9,7.0,53.0,155.0,233.0,60.0,388.0,323.23,2291.87,15.39,35264.58,1959.14,0.764,23.0,31.0,27.0,0.0,40.85,40.85
590B,10,8.0,58.0,179.0,267.0,66.0,446.0,363.76,2695.8,18.41,49639.9,2757.77,0.8986,26.0,41.0,37.0,0.0,37.3,37.3
590B,11,8.0,58.0,176.0,310.0,66.0,486.0,363.76,2937.58,21.38,62803.34,3489.07,0.9792,25.0,45.0,41.0,0.0,36.29,36.29
590B,12,9.0,59.0,282.0,396.0,68.0,678.0,375.61,4127.3,30.2,124658.44,6925.47,1.3758,51.0,58.0,54.0,0.0,29.36,29.36
