problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,3.0,12.0,7.0,14.0,15.0,21.0,47.77,82.04,1.75,143.58,7.98,0.0273,0.0,23.0,24.0,21.74,79.6,80.54
586C,pass@2,4.0,14.0,20.0,40.0,18.0,60.0,61.3,250.2,5.71,1429.69,79.43,0.0834,0.0,26.0,28.0,0.0,50.7,51.64
586C,pass@3,4.0,11.0,8.0,16.0,15.0,24.0,46.05,93.77,2.91,272.77,15.15,0.0313,0.0,26.0,29.0,0.0,53.22,54.29
586C,pass@4,6.0,15.0,18.0,36.0,21.0,54.0,74.11,237.19,7.2,1707.73,94.87,0.0791,0.0,27.0,28.0,0.0,50.46,51.8
586C,pass@5,3.0,13.0,15.0,30.0,16.0,45.0,52.86,180.0,3.46,623.08,34.62,0.06,0.0,30.0,31.0,10.0,68.42,69.49
586C,pass@6,3.0,23.0,29.0,58.0,26.0,87.0,108.8,408.94,3.78,1546.85,85.94,0.1363,0.0,35.0,38.0,0.0,46.04,47.25
586C,pass@7,5.0,14.0,14.0,27.0,19.0,41.0,64.91,174.17,4.82,839.72,46.65,0.0581,9.0,33.0,34.0,0.0,49.56,49.69
586C,pass@8,4.0,22.0,20.0,39.0,26.0,59.0,106.11,277.33,3.55,983.25,54.62,0.0924,0.0,27.0,28.0,0.0,50.12,51.33
586C,pass@9,5.0,13.0,9.0,18.0,18.0,27.0,59.72,112.59,3.46,389.73,21.65,0.0375,0.0,20.0,21.0,0.0,55.72,56.79
586C,pass@10,6.0,23.0,16.0,31.0,29.0,47.0,119.55,228.33,4.04,923.23,51.29,0.0761,18.0,57.0,58.0,7.02,57.72,57.85
586C,pass@11,5.0,15.0,15.0,29.0,20.0,44.0,70.21,190.16,4.83,919.13,51.06,0.0634,9.0,35.0,41.0,0.0,47.52,47.65
586C,pass@12,5.0,27.0,22.0,44.0,32.0,66.0,139.99,330.0,4.07,1344.44,74.69,0.11,0.0,46.0,47.0,47.83,72.7,74.85
586C,pass@13,4.0,12.0,7.0,14.0,16.0,21.0,51.02,84.0,2.33,196.0,10.89,0.028,10.0,29.0,30.0,13.79,73.57,73.3
586C,pass@14,4.0,14.0,18.0,36.0,18.0,54.0,61.3,225.18,5.14,1158.05,64.34,0.0751,0.0,25.0,25.0,0.0,52.09,53.03
586C,pass@15,4.0,14.0,20.0,40.0,18.0,60.0,61.3,250.2,5.71,1429.69,79.43,0.0834,0.0,27.0,28.0,0.0,50.56,51.64
586C,pass@16,4.0,10.0,7.0,14.0,14.0,21.0,41.22,79.95,2.8,223.87,12.44,0.0267,6.0,25.0,25.0,0.0,55.24,55.37
586C,pass@17,5.0,16.0,14.0,28.0,21.0,42.0,75.61,184.48,4.38,807.09,44.84,0.0615,12.0,40.0,40.0,10.0,65.66,65.39
586C,pass@18,3.0,10.0,8.0,16.0,13.0,24.0,37.97,88.81,2.4,213.15,11.84,0.0296,0.0,22.0,23.0,0.0,55.71,56.65
586C,pass@19,4.0,14.0,11.0,21.0,18.0,32.0,61.3,133.44,3.0,400.31,22.24,0.0445,0.0,22.0,23.0,0.0,54.34,55.41
586C,pass@20,5.0,20.0,20.0,40.0,25.0,60.0,98.05,278.63,5.0,1393.16,77.4,0.0929,0.0,29.0,29.0,0.0,49.5,50.98
586C,pass@21,4.0,13.0,10.0,20.0,17.0,30.0,56.11,122.62,3.08,377.3,20.96,0.0409,9.0,33.0,34.0,9.09,67.73,67.86
586C,pass@22,4.0,15.0,21.0,42.0,19.0,63.0,66.6,267.62,5.6,1498.67,83.26,0.0892,0.0,25.0,25.0,0.0,51.43,52.51
586C,pass@23,4.0,12.0,11.0,22.0,16.0,33.0,51.02,132.0,3.67,484.0,26.89,0.044,13.0,40.0,42.0,17.5,70.55,70.28
