problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,pass@1,4.0,10.0,6.0,11.0,14.0,17.0,41.22,64.73,2.2,142.4,7.91,0.0216,0.0,27.0,27.0,11.11,73.51,74.72
586C,pass@2,4.0,13.0,9.0,18.0,17.0,27.0,56.11,110.36,2.77,305.62,16.98,0.0368,8.0,40.0,40.0,7.5,65.25,65.39
586C,pass@3,4.0,13.0,9.0,18.0,17.0,27.0,56.11,110.36,2.77,305.62,16.98,0.0368,9.0,40.0,40.0,12.5,68.96,69.09
586C,pass@4,4.0,12.0,9.0,17.0,16.0,26.0,51.02,104.0,2.83,294.67,16.37,0.0347,10.0,43.0,43.0,11.63,67.88,67.88
586C,pass@5,3.0,8.0,5.0,10.0,11.0,15.0,28.75,51.89,1.88,97.3,5.41,0.0173,8.0,31.0,31.0,9.68,71.95,71.95
586C,pass@6,3.0,13.0,10.0,20.0,16.0,30.0,52.86,120.0,2.31,276.92,15.38,0.04,9.0,38.0,39.0,10.53,67.73,67.73
586C,pass@7,3.0,8.0,5.0,10.0,11.0,15.0,28.75,51.89,1.88,97.3,5.41,0.0173,9.0,36.0,36.0,0.0,52.83,52.83
586C,pass@8,3.0,9.0,7.0,14.0,12.0,21.0,33.28,75.28,2.33,175.66,9.76,0.0251,8.0,31.0,31.0,12.9,73.06,73.06
586C,pass@9,3.0,12.0,7.0,14.0,15.0,21.0,47.77,82.04,1.75,143.58,7.98,0.0273,0.0,26.0,26.0,0.0,54.79,55.73
586C,pass@10,4.0,12.0,9.0,18.0,16.0,27.0,51.02,108.0,3.0,324.0,18.0,0.036,11.0,43.0,43.0,9.3,65.92,65.92
586C,pass@11,5.0,14.0,10.0,20.0,19.0,30.0,64.91,127.44,3.57,455.14,25.29,0.0425,9.0,41.0,41.0,9.76,66.36,66.5
586C,pass@12,4.0,10.0,7.0,13.0,14.0,20.0,41.22,76.15,2.6,197.98,11.0,0.0254,0.0,27.0,27.0,0.0,54.26,55.6
586C,pass@13,3.0,12.0,10.0,20.0,15.0,30.0,47.77,117.21,2.5,293.02,16.28,0.0391,8.0,38.0,38.0,7.89,66.05,66.05
586C,pass@14,4.0,11.0,6.0,11.0,15.0,17.0,46.05,66.42,2.0,132.83,7.38,0.0221,0.0,33.0,29.0,3.03,64.45,65.66
586C,pass@15,6.0,15.0,11.0,22.0,21.0,33.0,74.11,144.95,4.4,637.76,35.43,0.0483,11.0,42.0,42.0,9.52,65.29,65.43
586C,pass@16,4.0,13.0,10.0,20.0,17.0,30.0,56.11,122.62,3.08,377.3,20.96,0.0409,10.0,41.0,41.0,12.2,68.21,68.21
586C,pass@17,4.0,10.0,7.0,13.0,14.0,20.0,41.22,76.15,2.6,197.98,11.0,0.0254,0.0,27.0,27.0,11.11,72.88,74.23
586C,pass@18,5.0,10.0,7.0,13.0,15.0,20.0,44.83,78.14,3.25,253.95,14.11,0.026,0.0,29.0,29.0,6.9,68.64,69.98
586C,pass@19,3.0,15.0,14.0,28.0,18.0,42.0,63.36,175.14,2.8,490.38,27.24,0.0584,11.0,50.0,50.0,10.0,63.57,63.57
586C,pass@20,4.0,14.0,11.0,22.0,18.0,33.0,61.3,137.61,3.14,432.48,24.03,0.0459,8.0,37.0,37.0,10.81,68.02,68.16
586C,pass@21,3.0,8.0,4.0,8.0,11.0,12.0,28.75,41.51,1.5,62.27,3.46,0.0138,0.0,28.0,28.0,14.29,76.65,77.73
586C,pass@22,3.0,8.0,6.0,12.0,11.0,18.0,28.75,62.27,2.25,140.11,7.78,0.0208,6.0,25.0,25.0,16.0,77.69,77.69
586C,pass@23,5.0,11.0,9.0,18.0,16.0,27.0,49.66,108.0,4.09,441.82,24.55,0.036,10.0,30.0,30.0,0.0,52.2,52.2
