problem,pass_num,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time_sec,bugs,cyclomatic,sloc,lloc,comment_rate,mi_std,mi_custom
586C,1,8.0,48.0,71.0,303.0,56.0,374.0,292.08,2171.95,25.25,54841.76,3046.76,0.724,11.0,47.0,43.0,0.0,38.68,38.68
586C,2,8.0,60.0,95.0,410.0,68.0,505.0,378.41,3074.17,27.33,84027.28,4668.18,1.0247,13.0,62.0,58.0,0.0,34.73,34.73
586C,3,8.0,53.0,77.0,399.0,61.0,476.0,327.58,2823.03,30.11,85010.52,4722.81,0.941,14.0,71.0,64.0,0.0,33.57,33.57
586C,4,10.0,53.0,79.0,341.0,63.0,420.0,336.8,2510.46,32.17,80760.95,4486.72,0.8368,12.0,48.0,44.0,0.0,37.91,37.91
586C,6,9.0,57.0,75.0,359.0,66.0,434.0,361.0,2623.27,28.34,74348.91,4130.5,0.8744,10.0,51.0,46.0,0.02,46.07,37.47
586C,7,7.0,45.0,88.0,325.0,52.0,413.0,266.78,2354.28,25.28,59511.01,3306.17,0.7848,16.0,59.0,51.0,0.0,35.61,35.61
586C,8,9.0,54.0,88.0,385.0,63.0,473.0,339.29,2827.25,32.08,90707.71,5039.32,0.9424,14.0,61.0,57.0,0.0,35.01,35.01
586C,9,7.0,45.0,75.0,324.0,52.0,399.0,266.78,2274.48,25.2,57316.78,3184.27,0.7582,13.0,44.0,41.0,0.0,38.9,38.9
586C,10,8.0,46.0,55.0,245.0,54.0,300.0,278.08,1726.47,21.3,36781.24,2043.4,0.5755,9.0,36.0,32.0,0.0,42.17,42.17
586C,11,7.0,48.0,58.0,272.0,55.0,330.0,287.73,1907.85,19.83,37839.0,2102.17,0.6359,9.0,47.0,43.0,0.0,39.34,39.34
586C,12,7.0,49.0,62.0,256.0,56.0,318.0,294.77,1846.74,18.29,33768.94,1876.05,0.6156,8.0,41.0,36.0,0.0,40.87,40.87
586C,13,9.0,55.0,61.0,252.0,64.0,313.0,346.5,1878.0,20.62,38720.95,2151.16,0.626,9.0,43.0,35.0,0.0,40.23,40.23
586C,14,7.0,50.0,70.0,326.0,57.0,396.0,301.84,2309.82,22.82,52710.19,2928.34,0.7699,10.0,46.0,44.0,0.0,38.83,38.83
586C,15,9.0,66.0,91.0,430.0,75.0,521.0,427.46,3245.21,29.32,95143.79,5285.77,1.0817,15.0,69.0,67.0,0.0,33.28,33.28
586C,16,8.0,51.0,75.0,305.0,59.0,380.0,313.29,2235.4,23.92,53474.38,2970.8,0.7451,13.0,48.0,44.0,0.0,38.12,38.12
586C,17,9.0,58.0,104.0,351.0,67.0,455.0,368.29,2760.07,27.23,75164.34,4175.8,0.92,16.0,51.0,49.0,0.0,36.51,36.51
586C,18,6.0,45.0,62.0,259.0,51.0,321.0,262.64,1820.85,17.27,31439.98,1746.67,0.6069,8.0,38.0,34.0,0.0,41.63,41.63
586C,19,8.0,58.0,81.0,371.0,66.0,452.0,363.76,2732.07,25.59,69903.21,3883.51,0.9107,11.0,61.0,57.0,0.0,35.51,35.51
586C,20,7.0,52.0,75.0,337.0,59.0,412.0,316.07,2423.65,22.68,54974.88,3054.16,0.8079,12.0,55.0,48.0,0.0,36.72,36.72
586C,21,7.0,49.0,71.0,345.0,56.0,416.0,294.77,2415.86,24.64,59533.68,3307.43,0.8053,9.0,57.0,53.0,0.0,36.8,36.8
586C,22,8.0,53.0,57.0,256.0,61.0,313.0,327.58,1856.32,19.32,35865.52,1992.53,0.6188,9.0,43.0,39.0,0.0,40.27,40.27
586C,23,6.0,45.0,71.0,328.0,51.0,399.0,262.64,2263.3,21.87,49490.78,2749.49,0.7544,11.0,57.0,53.0,0.0,36.73,36.73
586C,24,8.0,58.0,90.0,383.0,66.0,473.0,363.76,2859.0,26.41,75516.99,4195.39,0.953,14.0,55.0,51.0,0.0,35.95,35.95
586C,25,9.0,49.0,66.0,278.0,58.0,344.0,303.65,2015.15,25.53,51447.9,2858.22,0.6717,12.0,44.0,37.0,0.0,39.4,39.4
586C,26,8.0,48.0,77.0,252.0,56.0,329.0,292.08,1910.62,21.0,40123.02,2229.06,0.6369,9.0,43.0,38.0,0.0,40.18,40.18
586C,27,6.0,50.0,65.0,270.0,56.0,335.0,297.7,1945.46,16.2,31516.52,1750.92,0.6485,10.0,45.0,41.0,0.0,39.56,39.56
586C,28,7.0,47.0,70.0,286.0,54.0,356.0,280.72,2048.74,21.3,43633.8,2424.1,0.6829,10.0,44.0,40.0,0.0,39.62,39.62
586C,29,7.0,50.0,99.0,455.0,57.0,554.0,301.84,3231.42,31.85,102920.76,5717.82,1.0771,18.0,61.0,57.0,0.0,34.06,34.06
586C,30,8.0,60.0,68.0,300.0,68.0,368.0,378.41,2240.19,20.0,44803.73,2489.1,0.7467,12.0,60.0,53.0,0.0,36.14,36.14
586C,31,9.0,49.0,91.0,312.0,58.0,403.0,303.65,2360.77,28.65,67643.18,3757.95,0.7869,15.0,50.0,46.0,0.0,37.3,37.3
586C,32,7.0,47.0,76.0,350.0,54.0,426.0,280.72,2451.58,26.06,63897.62,3549.87,0.8172,11.0,46.0,43.0,0.0,38.52,38.52
590B,1,10.0,87.0,120.0,538.0,97.0,658.0,593.76,4342.74,30.92,134275.61,7459.76,1.4476,18.0,57.0,49.0,0.0,33.8,33.8
590B,2,8.0,67.0,125.0,495.0,75.0,620.0,430.43,3861.87,29.55,114126.83,6340.38,1.2873,12.0,54.0,49.0,0.0,35.48,35.48
590B,3,8.0,71.0,71.0,243.0,79.0,314.0,460.63,1979.39,13.69,27098.09,1505.45,0.6598,5.0,34.0,26.0,0.0,42.84,42.84
590B,4,7.0,62.0,96.0,293.0,69.0,389.0,388.81,2376.22,16.54,39303.38,2183.52,0.7921,8.0,55.0,49.0,0.0,37.32,37.32
590B,5,11.0,70.0,97.0,293.0,81.0,390.0,467.1,2472.54,23.02,56921.44,3162.3,0.8242,11.0,43.0,37.0,0.0,39.13,39.13
590B,6,10.0,85.0,151.0,573.0,95.0,724.0,578.02,4756.58,33.71,160324.57,8906.92,1.5855,19.0,71.0,63.0,0.0,31.31,31.31
590B,7,7.0,72.0,91.0,284.0,79.0,375.0,463.89,2363.92,13.81,32635.2,1813.07,0.788,5.0,42.0,36.0,0.0,40.3,40.3
590B,8,13.0,120.0,254.0,1319.0,133.0,1573.0,876.93,11097.96,71.45,792902.95,44050.16,3.6993,42.0,111.0,92.0,0.0,21.41,21.41
590B,9,9.0,71.0,90.0,380.0,80.0,470.0,465.16,2971.31,24.08,71562.45,3975.69,0.9904,12.0,40.0,33.0,0.0,39.12,39.12
590B,10,7.0,74.0,112.0,337.0,81.0,449.0,479.15,2846.59,15.94,45372.38,2520.69,0.9489,10.0,49.0,41.0,0.0,37.6,37.6
590B,11,9.0,57.0,83.0,297.0,66.0,380.0,361.0,2296.87,23.45,53855.55,2991.98,0.7656,5.0,30.0,25.0,0.0,43.57,43.57
590B,12,8.0,81.0,111.0,505.0,89.0,616.0,537.53,3989.05,24.94,99480.06,5526.67,1.3297,10.0,52.0,47.0,0.0,36.01,36.01
590B,13,9.0,76.0,109.0,330.0,85.0,439.0,503.37,2813.72,19.54,54978.66,3054.37,0.9379,8.0,56.0,48.0,0.0,36.64,36.64
590B,14,8.0,83.0,123.0,422.0,91.0,545.0,553.13,3546.75,20.34,72131.45,4007.3,1.1822,8.0,53.0,47.0,0.0,36.45,36.45
590B,15,9.0,68.0,94.0,421.0,77.0,515.0,442.48,3227.4,27.86,89916.18,4995.34,1.0758,9.0,38.0,32.0,0.0,39.76,39.76
590B,16,7.0,57.0,79.0,237.0,64.0,316.0,352.13,1896.0,14.55,27591.79,1532.88,0.632,6.0,39.0,33.0,0.0,41.53,41.53
590B,17,8.0,80.0,127.0,479.0,88.0,606.0,529.75,3914.42,23.95,93750.25,5208.35,1.3048,8.0,59.0,54.0,0.0,35.14,35.14
590B,19,8.0,54.0,77.0,306.0,62.0,383.0,334.76,2280.46,22.67,51690.36,2871.69,0.7602,8.0,34.0,27.0,0.0,42.0,42.0
