submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
1,0.2727,0.2969,0.8000
3,0.3871,0.6400,0.4615
6,0.0000,0.2619,0.0000
87,0.0000,1.0000,0.0000
975,0.2763,0.3377,0.3333
4135,0.4103,0.8070,0.4024
11501,0.2000,0.3529,0.3443
11549,0.0000,0.6600,0.0000
11553,0.0000,0.5556,0.0000
11776,0.1292,0.9504,0.1304
11872,0.0000,0.5806,0.0000
15926,0.3500,0.7600,0.5000
16001,0.0000,0.3488,0.0000
16181,0.0000,0.2755,0.0000
16484,0.0000,0.2113,0.0000
17873,0.0000,0.6977,0.0000
19768,0.4318,0.5806,0.4419
19769,0.3889,0.8148,0.3973
19821,0.3636,0.5294,0.5250
19829,0.0000,0.8485,0.0000
20122,0.0000,0.6212,0.0000
31486,0.2407,0.4690,0.2950
31504,0.0000,0.7320,0.0000
31543,0.0000,0.2544,0.0000
31553,0.0000,0.3333,0.0000
31644,0.0000,0.4458,0.0000
31790,0.0000,0.5556,0.0000
35393,0.0000,0.2561,0.0000
35394,0.2222,0.2959,0.2812
35420,0.2797,0.2925,0.4848
35453,0.4314,0.3333,0.3373
35685,0.0000,0.3050,0.0000
37058,0.0000,0.8163,0.0000
43205,0.3696,0.5435,0.4615
43237,0.0000,0.5816,0.0000
43241,0.1978,0.4945,0.2247
43242,0.2061,0.6154,0.2759
43686,0.0000,0.8889,0.0000
45907,0.2807,0.6458,0.3818
45925,0.4286,0.5143,0.4516
45970,0.1528,0.1972,0.5676
46775,0.0000,0.9365,0.0000
47057,0.3037,0.9059,0.3231
55179,0.0000,0.8571,0.0000
55246,0.2338,0.3014,0.6000
55271,0.2308,0.5195,0.2717
55387,0.3118,0.9375,0.3053
55390,0.2735,0.3673,0.2672
55393,0.0000,0.2632,0.0000
55394,0.0000,0.3171,0.0000
55395,0.0000,0.0000,1.0000
55503,0.0000,1.0000,0.0000
56242,0.0000,0.2595,0.0000
56363,0.0000,0.7969,0.0000
56371,0.0000,0.6107,0.0000
64042,0.0000,0.3879,0.0000
64065,0.0000,0.4082,0.0000
64080,0.3220,0.6279,0.4128
64088,0.0000,0.3333,0.0000
64160,0.1957,0.9182,0.2093
69337,0.5385,0.4717,0.3559
69382,0.2333,0.5652,0.3667
69584,0.4333,0.6883,0.4000
69600,0.2435,0.4419,0.3059
69622,0.0000,0.7547,0.0000
75817,0.4348,0.8158,0.4681
75874,0.0000,0.4634,0.0000
75920,0.4737,1.0000,0.4737
76156,0.0000,0.2166,0.0000
76824,0.2500,1.0000,0.2500
83873,0.2740,0.3676,0.6744
83937,0.0000,0.3982,0.0000
83954,0.2483,0.9921,0.2500
84059,0.4364,0.8571,0.4600
84138,0.0000,0.8511,0.0000
91368,0.2368,0.6912,0.2216
91380,0.2394,0.3438,0.5429
91549,0.0000,0.6735,0.0000
91551,0.0000,0.3069,0.0000
91554,0.0000,0.8939,0.0000
96588,0.4545,0.4872,0.5882
96634,0.5938,0.7857,0.5806
96669,0.3056,0.5075,0.4032
98122,0.0000,0.8413,0.0000
101601,0.3654,0.6750,0.3448
101612,0.2600,0.3913,0.5769
101742,0.0000,0.3765,0.0000
101861,0.0000,0.9300,0.0000
101961,0.0000,0.4767,0.0000
