name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
i,823301,2022,232911,1143,730900,2038,1787112,5203,0.2828989640483857,0.8877676572723706,0.5652818991097923,1.0079129574678536
n,164447,1621,82450,1079,153522,1757,400419,4457,0.501377343460203,0.9335652216215559,0.6656384947563233,1.0838988278840223
s,44649,499,20539,348,61733,484,126921,1331,0.4600103025823647,1.3826289502564446,0.6973947895791583,0.969939879759519
t,42710,273,14083,115,64230,212,121023,600,0.32973542495902597,1.5038632638726293,0.42124542124542125,0.7765567765567766
a,55154,709,14410,270,38890,619,108454,1598,0.26126844834463503,0.7051165826594626,0.38081805359661497,0.8730606488011283
u,30913,250,30788,163,37492,297,99193,710,0.9959563937502022,1.2128230841393588,0.652,1.188
r,40921,235,18279,103,31852,219,91052,557,0.4466899635883776,0.7783778500036656,0.43829787234042555,0.9319148936170213
l,41879,348,13037,119,29605,292,84521,759,0.3113016070106736,0.7069175481745027,0.34195402298850575,0.8390804597701149
x,42975,770,9853,325,29175,656,82003,1751,0.22927283304246654,0.6788830715532286,0.42207792207792205,0.8519480519480519
j,31920,716,9462,342,32345,783,73727,1841,0.29642857142857143,1.0133145363408522,0.4776536312849162,1.0935754189944134
c,24027,330,18127,268,23827,365,65981,963,0.7544429183834852,0.9916760311316436,0.8121212121212121,1.106060606060606
v,21922,319,17504,163,21411,329,60837,811,0.7984672931301888,0.9766900830216221,0.5109717868338558,1.031347962382445
p,21556,285,4869,75,13329,220,39754,580,0.22587678604564854,0.6183429207645204,0.2631578947368421,0.7719298245614035
e,16290,74,2553,22,12939,50,31782,146,0.1567219152854512,0.7942909760589318,0.2972972972972973,0.6756756756756757
d,11313,152,5019,118,14659,197,30991,467,0.4436488994961549,1.2957659329974365,0.7763157894736842,1.2960526315789473
m,10853,197,5716,185,12909,206,29478,588,0.5266746521699069,1.189440707638441,0.9390862944162437,1.0456852791878173
k,12415,336,4560,237,10071,383,27046,956,0.36729762384212644,0.8111961337092227,0.7053571428571429,1.1398809523809523
b,12287,294,3281,130,7555,239,23123,663,0.26703019451452753,0.614877512818426,0.4421768707482993,0.8129251700680272
y,9124,249,2812,97,7198,218,19134,564,0.30819815870232353,0.7889083735203858,0.3895582329317269,0.8755020080321285
f,7828,150,785,19,3397,71,12010,240,0.10028104241185488,0.4339550332141032,0.12666666666666668,0.47333333333333333
main,2654,2487,1617,1411,2907,2448,7178,6346,0.6092690278824416,1.0953278070836474,0.5673502211499799,0.9843184559710495
w,1621,73,4099,32,1434,61,7154,166,2.5286859962985813,0.8846391116594695,0.4383561643835616,0.8356164383561644
node,2300,29,2083,38,2654,46,7037,113,0.9056521739130434,1.153913043478261,1.3103448275862069,1.5862068965517242
h,2622,66,1320,29,2334,67,6276,162,0.5034324942791762,0.8901601830663616,0.4393939393939394,1.0151515151515151
N,3693,438,99,15,2221,281,6013,734,0.026807473598700244,0.6014080693203357,0.03424657534246575,0.6415525114155252
len,1120,84,291,42,4584,118,5995,244,0.2598214285714286,4.0928571428571425,0.5,1.4047619047619047
mid,2281,105,568,58,2239,146,5088,309,0.2490135905304691,0.981587023235423,0.5523809523809524,1.3904761904761904
to,1941,57,858,24,1789,58,4588,139,0.4420401854714065,0.9216898505924781,0.42105263157894735,1.0175438596491229
ans,2548,364,60,18,1530,259,4138,641,0.023547880690737835,0.6004709576138147,0.04945054945054945,0.7115384615384616
pos,1397,97,833,60,1839,137,4069,294,0.5962777380100215,1.3163922691481746,0.6185567010309279,1.4123711340206186
it,2178,87,427,34,1412,85,4017,206,0.1960514233241506,0.6483011937557392,0.39080459770114945,0.9770114942528736
in,2809,50,0,0,991,18,3800,68,0.0,0.3527945888216447,0.0,0.36
id,1876,67,224,14,1644,65,3744,146,0.11940298507462686,0.8763326226012793,0.208955223880597,0.9701492537313433
q,2173,96,293,34,1238,81,3704,211,0.1348366313851818,0.5697192820984813,0.3541666666666667,0.84375
res,1657,149,691,79,1272,159,3620,387,0.41701870850935424,0.7676523838261919,0.5302013422818792,1.0671140939597314
idx,723,40,909,75,1565,120,3197,235,1.2572614107883817,2.164591977869986,1.875,3.0
o,1548,21,7,1,1368,15,2923,37,0.004521963824289405,0.8837209302325582,0.047619047619047616,0.7142857142857143
cnt,1342,169,267,38,1268,174,2877,381,0.19895678092399405,0.9448584202682563,0.22485207100591717,1.029585798816568
ch,1707,106,192,16,829,61,2728,183,0.11247803163444639,0.4856473345049795,0.1509433962264151,0.5754716981132075
val,918,73,237,23,1457,107,2612,203,0.2581699346405229,1.5871459694989107,0.3150684931506849,1.4657534246575343
num,568,69,903,113,1025,112,2496,294,1.5897887323943662,1.8045774647887325,1.6376811594202898,1.6231884057971016
z,1576,61,175,7,738,39,2489,107,0.11104060913705584,0.4682741116751269,0.11475409836065574,0.639344262295082
fi,2220,8,0,0,35,4,2255,12,0.0,0.015765765765765764,0.0,0.5
size,720,35,433,52,1082,82,2235,169,0.6013888888888889,1.5027777777777778,1.4857142857142858,2.342857142857143
g,577,34,597,22,1002,44,2176,100,1.0346620450606585,1.7365684575389948,0.6470588235294118,1.2941176470588236
st,1382,50,0,0,763,26,2145,76,0.0,0.5520984081041969,0.0,0.52
dp,956,98,97,11,985,93,2038,202,0.10146443514644352,1.0303347280334727,0.11224489795918367,0.9489795918367347
sum,691,84,552,83,648,107,1891,274,0.7988422575976846,0.9377713458755427,0.9880952380952381,1.2738095238095237
L,1225,48,142,20,423,30,1790,98,0.11591836734693878,0.34530612244897957,0.4166666666666667,0.625
cur,1219,92,0,0,541,39,1760,131,0.0,0.44380639868744876,0.0,0.42391304347826086
dfs,1060,212,95,30,599,152,1754,394,0.08962264150943396,0.5650943396226416,0.14150943396226415,0.7169811320754716
ret,1292,77,0,0,460,40,1752,117,0.0,0.3560371517027864,0.0,0.5194805194805194
current,32,5,783,132,921,126,1736,263,24.46875,28.78125,26.4,25.2
left,578,29,297,39,782,100,1657,168,0.513840830449827,1.3529411764705883,1.3448275862068966,3.4482758620689653
count,142,21,722,154,714,122,1578,297,5.084507042253521,5.028169014084507,7.333333333333333,5.809523809523809
edge_idx,10,1,7,2,1524,2,1541,5,0.7,152.4,2.0,2.0
index,633,18,321,33,503,25,1457,76,0.5071090047393365,0.7946287519747235,1.8333333333333333,1.3888888888888888
mask,280,22,413,21,701,39,1394,82,1.475,2.5035714285714286,0.9545454545454546,1.7727272727272727
col,230,18,117,6,1040,20,1387,44,0.508695652173913,4.521739130434782,0.3333333333333333,1.1111111111111112
A,813,57,83,14,386,30,1282,101,0.10209102091020911,0.4747847478474785,0.24561403508771928,0.5263157894736842
right,548,17,208,31,520,58,1276,106,0.3795620437956204,0.948905109489051,1.8235294117647058,3.411764705882353
R,821,31,83,12,354,23,1258,66,0.10109622411693057,0.43118148599269185,0.3870967741935484,0.7419354838709677
maxn,696,142,0,0,556,111,1252,253,0.0,0.7988505747126436,0.0,0.7816901408450704
str,825,62,0,0,366,30,1191,92,0.0,0.44363636363636366,0.0,0.4838709677419355
name,233,13,578,27,326,20,1137,60,2.48068669527897,1.3991416309012876,2.076923076923077,1.5384615384615385
MOD,388,121,233,41,500,90,1121,252,0.6005154639175257,1.288659793814433,0.33884297520661155,0.743801652892562
total,113,13,403,91,596,135,1112,239,3.566371681415929,5.274336283185841,7.0,10.384615384615385
d1,82,10,897,17,123,21,1102,48,10.939024390243903,1.5,1.7,2.1
d2,73,7,866,15,129,20,1068,42,11.863013698630137,1.7671232876712328,2.142857142857143,2.857142857142857
now,714,40,0,0,346,12,1060,52,0.0,0.484593837535014,0.0,0.3
MAXN,514,107,82,13,464,86,1060,206,0.15953307392996108,0.9027237354085603,0.12149532710280374,0.8037383177570093
tmp,889,74,0,0,161,31,1050,105,0.0,0.18110236220472442,0.0,0.4189189189189189
solve,654,225,5,3,390,156,1049,384,0.00764525993883792,0.5963302752293578,0.013333333333333334,0.6933333333333334
start,126,20,448,52,464,76,1038,148,3.5555555555555554,3.6825396825396823,2.6,3.8
sc,995,5,0,0,32,2,1027,7,0.0,0.032160804020100506,0.0,0.4
rt,952,13,3,1,57,5,1012,19,0.0031512605042016808,0.059873949579831935,0.07692307692307693,0.38461538461538464
8,506,1,0,0,506,1,1012,2,0.0,1.0,0.0,1.0
tr,627,16,0,0,351,10,978,26,0.0,0.5598086124401914,0.0,0.625
root,348,27,217,22,400,45,965,94,0.6235632183908046,1.1494252873563218,0.8148148148148148,1.6666666666666667
dx,202,60,400,47,358,62,960,169,1.9801980198019802,1.7722772277227723,0.7833333333333333,1.0333333333333334
end,265,15,340,24,335,37,940,76,1.2830188679245282,1.2641509433962264,1.6,2.466666666666667
mod,391,86,105,18,433,43,929,147,0.26854219948849106,1.1074168797953965,0.20930232558139536,0.5
op,94,13,115,17,711,22,920,52,1.2234042553191489,7.5638297872340425,1.3076923076923077,1.6923076923076923
x1,277,37,143,28,492,49,912,114,0.516245487364621,1.7761732851985559,0.7567567567567568,1.3243243243243243
