name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
main,824,116,181,56,677,209,1682,381,0.2196601941747573,0.8216019417475728,0.4827586206896552,1.8017241379310345
f,282,22,13,1,199,8,494,31,0.04609929078014184,0.7056737588652482,0.045454545454545456,0.36363636363636365
solve,133,63,7,4,106,53,246,120,0.05263157894736842,0.7969924812030075,0.06349206349206349,0.8412698412698413
dfs,59,17,6,2,49,14,114,33,0.1016949152542373,0.8305084745762712,0.11764705882352941,0.8235294117647058
find,23,4,17,4,49,11,89,19,0.7391304347826086,2.130434782608696,1.0,2.75
m,26,3,0,0,55,2,81,5,0.0,2.1153846153846154,0.0,0.6666666666666666
gcd,33,12,2,1,44,13,79,26,0.06060606060606061,1.3333333333333333,0.08333333333333333,1.0833333333333333
__init__,31,19,6,6,23,17,60,42,0.1935483870967742,0.7419354838709677,0.3157894736842105,0.8947368421052632
bfs,19,8,12,4,15,6,46,18,0.631578947368421,0.7894736842105263,0.5,0.75
r,27,2,0,0,18,1,45,3,0.0,0.6666666666666666,0.0,0.5
it,33,5,0,0,7,1,40,6,0.0,0.21212121212121213,0.0,0.2
lcm,6,2,20,3,14,3,40,8,3.3333333333333335,2.3333333333333335,1.5,1.5
is_prime,5,2,15,6,18,6,38,14,3.0,3.6,3.0,3.0
dist,34,5,0,0,0,0,34,5,0.0,0.0,0.0,0.0
calc,20,6,0,0,11,3,31,9,0.0,0.55,0.0,0.5
g,31,7,0,0,0,0,31,7,0.0,0.0,0.0,0.0
check,21,10,3,1,5,3,29,14,0.14285714285714285,0.23809523809523808,0.1,0.3
solver,20,5,0,0,8,4,28,9,0.0,0.4,0.0,0.8
union,0,0,8,4,19,9,27,13,,,,
ri,27,6,0,0,0,0,27,6,0.0,0.0,0.0,0.0
rv,25,12,0,0,2,2,27,14,0.0,0.08,0.0,0.16666666666666666
query,0,0,9,2,17,2,26,4,,,,
expr,12,1,0,0,12,1,24,2,0.0,1.0,0.0,1.0
spl,20,5,0,0,4,1,24,6,0.0,0.2,0.0,0.2
get_divisors,2,1,12,5,8,4,22,10,6.0,4.0,5.0,4.0
lucky,11,2,0,0,9,1,20,3,0.0,0.8181818181818182,0.0,0.5
distance,11,2,0,0,9,2,20,4,0.0,0.8181818181818182,0.0,1.0
sieve,2,1,0,0,18,2,20,3,0.0,9.0,0.0,2.0
cnt,12,2,0,0,6,1,18,3,0.0,0.5,0.0,0.5
multiply,0,0,12,4,6,2,18,6,,,,
shift_solution,9,1,0,0,9,1,18,2,0.0,1.0,0.0,1.0
t,9,1,0,0,9,1,18,2,0.0,1.0,0.0,1.0
rotate,5,2,0,0,12,3,17,5,0.0,2.4,0.0,1.5
update,0,0,9,2,8,2,17,4,,,,
test,15,5,0,0,2,1,17,6,0.0,0.13333333333333333,0.0,0.2
diist,10,1,0,0,7,1,17,2,0.0,0.7,0.0,1.0
turn,7,1,0,0,9,1,16,2,0.0,1.2857142857142858,0.0,1.0
ans,14,3,0,0,2,1,16,4,0.0,0.14285714285714285,0.0,0.3333333333333333
factor,0,0,0,0,16,1,16,1,,,,
to,8,1,0,0,7,1,15,2,0.0,0.875,0.0,1.0
rl,15,12,0,0,0,0,15,12,0.0,0.0,0.0,0.0
is_valid,4,1,0,0,11,5,15,6,0.0,2.75,0.0,5.0
mp,12,5,0,0,3,1,15,6,0.0,0.25,0.0,0.2
traverse,11,1,0,0,3,1,14,2,0.0,0.2727272727272727,0.0,1.0
fib,11,3,0,0,3,1,14,4,0.0,0.2727272727272727,0.0,0.3333333333333333
can,8,3,0,0,6,2,14,5,0.0,0.75,0.0,0.6666666666666666
pt,9,5,0,0,5,1,14,6,0.0,0.5555555555555556,0.0,0.2
dg,7,1,0,0,7,1,14,2,0.0,1.0,0.0,1.0
isRightAngled,14,1,0,0,0,0,14,1,0.0,0.0,0.0,0.0
get_neighbors,0,0,0,0,14,2,14,2,,,,
printItem,7,1,0,0,7,1,14,2,0.0,1.0,0.0,1.0
is_possible,0,0,2,1,12,5,14,6,,,,
lt,11,5,0,0,2,1,13,6,0.0,0.18181818181818182,0.0,0.2
ask,6,2,0,0,7,2,13,4,0.0,1.1666666666666667,0.0,1.0
sum,13,2,0,0,0,0,13,2,0.0,0.0,0.0,0.0
cross,0,0,0,0,13,3,13,3,,,,
alloc,3,1,0,0,10,1,13,2,0.0,3.3333333333333335,0.0,1.0
interval,12,1,0,0,0,0,12,1,0.0,0.0,0.0,0.0
search,10,3,0,0,2,1,12,4,0.0,0.2,0.0,0.3333333333333333
top,12,2,0,0,0,0,12,2,0.0,0.0,0.0,0.0
no,12,2,0,0,0,0,12,2,0.0,0.0,0.0,0.0
inp,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
ok,8,3,0,0,4,2,12,5,0.0,0.5,0.0,0.6666666666666666
shift,6,2,0,0,6,1,12,3,0.0,1.0,0.0,0.5
digits,11,1,0,0,0,0,11,1,0.0,0.0,0.0,0.0
pri,6,1,0,0,5,1,11,2,0.0,0.8333333333333334,0.0,1.0
isPrime,8,3,0,0,3,1,11,4,0.0,0.375,0.0,0.3333333333333333
intersect,7,2,0,0,4,1,11,3,0.0,0.5714285714285714,0.0,0.5
process,0,0,8,2,3,1,11,3,,,,
swap,9,2,0,0,2,1,11,3,0.0,0.2222222222222222,0.0,0.5
if,11,1,0,0,0,0,11,1,0.0,0.0,0.0,0.0
safe,10,1,0,0,0,0,10,1,0.0,0.0,0.0,0.0
number,10,2,0,0,0,0,10,2,0.0,0.0,0.0,0.0
prt,10,10,0,0,0,0,10,10,0.0,0.0,0.0,0.0
tr,10,1,0,0,0,0,10,1,0.0,0.0,0.0,0.0
C,7,3,0,0,3,1,10,4,0.0,0.42857142857142855,0.0,0.3333333333333333
compute_f,0,0,10,2,0,0,10,2,,,,
line,7,2,0,0,3,1,10,3,0.0,0.42857142857142855,0.0,0.5
compare,4,1,0,0,6,2,10,3,0.0,1.5,0.0,2.0
increment,6,1,0,0,4,1,10,2,0.0,0.6666666666666666,0.0,1.0
divide,8,2,0,0,2,1,10,3,0.0,0.25,0.0,0.5
push,7,2,3,1,0,0,10,3,0.42857142857142855,0.0,0.5,0.0
clean_trailing_zeros,3,1,0,0,7,1,10,2,0.0,2.3333333333333335,0.0,1.0
b,10,2,0,0,0,0,10,2,0.0,0.0,0.0,0.0
crs,6,1,0,0,4,1,10,2,0.0,0.6666666666666666,0.0,1.0
get_price,7,1,0,0,2,1,9,2,0.0,0.2857142857142857,0.0,1.0
find_space,6,1,0,0,3,1,9,2,0.0,0.5,0.0,1.0
rev,4,1,0,0,5,1,9,2,0.0,1.25,0.0,1.0
parse,3,1,3,1,3,1,9,3,1.0,1.0,1.0,1.0
slope,9,1,0,0,0,0,9,1,0.0,0.0,0.0,0.0
s,9,1,0,0,0,0,9,1,0.0,0.0,0.0,0.0
get_digits,0,0,6,2,3,1,9,3,,,,
halve,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
Gen_lucky,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
hex,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
get_input,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
get,8,2,0,0,0,0,8,2,0.0,0.0,0.0,0.0
is_leap,0,0,6,1,2,1,8,2,,,,
searchFor,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
factorial,5,2,0,0,3,1,8,3,0.0,0.6,0.0,0.5
find_set,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
possible,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
comb,0,0,0,0,8,3,8,3,,,,
matrix_pow,0,0,2,1,6,3,8,4,,,,
Main,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
run,6,3,0,0,2,1,8,4,0.0,0.3333333333333333,0.0,0.3333333333333333
dot,2,1,0,0,6,2,8,3,0.0,3.0,0.0,2.0
pos_to_coords,0,0,8,2,0,0,8,2,,,,
next,6,1,0,0,2,1,8,2,0.0,0.3333333333333333,0.0,1.0
Solve,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
inspl,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
Form,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
c,8,2,0,0,0,0,8,2,0.0,0.0,0.0,0.0
second_win,8,1,0,0,0,0,8,1,0.0,0.0,0.0,0.0
searchBest,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
rel,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
get_count,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
mult,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
goodceil,3,1,0,0,4,1,7,2,0.0,1.3333333333333333,0.0,1.0
first_win,7,1,0,0,0,0,7,1,0.0,0.0,0.0,0.0
ip,6,5,0,0,1,1,7,6,0.0,0.16666666666666666,0.0,0.2
comp,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
go,3,1,0,0,4,1,7,2,0.0,1.3333333333333333,0.0,1.0
sl,6,5,0,0,1,1,7,6,0.0,0.16666666666666666,0.0,0.2
read_string,7,1,0,0,0,0,7,1,0.0,0.0,0.0,0.0
find_occurrences,0,0,7,2,0,0,7,2,,,,
prod,7,2,0,0,0,0,7,2,0.0,0.0,0.0,0.0
sum_digits,0,0,0,0,7,3,7,3,,,,
debug_print,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
ziped,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
sampleVariance,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
compute,2,1,2,1,2,1,6,3,1.0,1.0,1.0,1.0
gcd_extended,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
sqr,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
notin,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
erase,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
endswith,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
bin,5,5,0,0,1,1,6,6,0.0,0.2,0.0,0.2
quickpow,4,1,0,0,2,1,6,2,0.0,0.5,0.0,1.0
get_original_array,4,1,0,0,2,1,6,2,0.0,0.5,0.0,1.0
tolist,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
compute_path,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
cut,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
perpenPoint,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
getRealType,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
readGen,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
get_cnt,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
pay,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
compatible,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
generate_candidates,0,0,2,1,4,2,6,3,,,,
make_request,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
geth,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
calculate_combinations,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
pop,6,2,0,0,0,0,6,2,0.0,0.0,0.0,0.0
print_matr,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
read_ints,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
mul,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
find_min_x,0,0,0,0,6,1,6,1,,,,
digitos,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
tokenize,0,0,6,1,0,0,6,1,,,,
output,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
area,2,1,0,0,4,1,6,2,0.0,2.0,0.0,1.0
to_decimal,0,0,3,1,3,1,6,2,,,,
func,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
get_smash,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
get_name,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
fail,6,2,0,0,0,0,6,2,0.0,0.0,0.0,0.0
