submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
47,0.5491,0.4658,0.6185
126,0.3806,0.3166,0.4615
2269,0.0000,0.4876,0.0000
6317,0.0000,0.5022,0.0000
6916,0.0000,0.5920,0.0000
13097,0.4299,0.5066,0.4991
13551,0.0000,0.1620,0.0000
13664,0.0000,0.2478,0.0000
19968,0.0000,0.1270,0.0000
20121,0.2426,0.6950,0.3550
20647,0.3422,0.2875,0.3716
27892,0.0000,0.8473,0.0000
27941,0.2343,0.1978,0.2837
30695,0.0000,0.7691,0.0000
32545,0.2907,0.0000,0.0000
33321,0.0000,0.1978,0.0000
33376,0.1941,0.0874,0.4273
39142,0.0000,0.8945,0.0000
42719,0.1774,0.0000,0.0000
45936,0.1493,0.2177,0.3872
46428,0.1291,0.9104,0.1576
52537,0.2346,0.6141,0.2140
52900,0.3044,0.7400,0.2520
55553,0.4010,0.7517,0.4216
59962,0.0000,0.5879,0.0000
60092,0.0833,0.9976,0.0814
65738,0.1335,0.1236,0.1068
65740,0.0000,0.7700,0.0000
65995,0.2604,0.7307,0.4326
73002,0.2640,0.2304,0.4250
73007,0.0000,0.9935,0.0000
73585,0.4554,0.4554,1.0000
79294,0.4370,0.5613,0.4245
80115,0.0000,0.7250,0.0000
90017,0.0000,0.3974,0.0000
92079,0.2908,0.4483,0.4510
92163,0.0000,0.2926,0.0000
92791,0.0000,0.3929,0.0000
92833,0.0000,0.2647,0.0000
99074,0.3890,0.2395,0.2402
99111,0.2338,0.1763,0.4000
103043,0.0000,0.4561,0.0000
105411,0.3098,0.5390,0.5748
105521,0.0000,0.1210,0.0000
112199,0.0000,0.3043,0.0000
112768,0.2972,0.3816,0.4011
118431,0.1298,0.1574,0.7281
119336,0.3276,0.4595,0.2609
119337,0.1129,0.2358,0.1195
119342,0.0000,0.3924,0.0000
125226,0.2951,0.2802,0.4763
132357,0.6005,0.6398,0.6848
132798,0.0377,0.0679,0.0486
134628,0.0000,0.2707,0.0000
138721,0.0000,0.0000,0.0000
140667,0.0000,0.3482,0.0000
145189,0.0000,0.3976,0.0000
145319,0.1498,0.3511,0.2316
146515,0.0000,0.3902,0.0000
147162,0.0000,0.3276,0.0000
148905,0.0000,0.9027,0.0000
152784,0.2260,0.2078,0.2581
153749,0.0000,0.3352,0.0000
154797,0.0000,0.5710,0.0000
159033,0.0807,0.0805,0.4469
159238,0.1407,0.1449,0.9753
159240,0.2735,0.2993,0.3987
162836,0.0000,0.4459,0.0000
162839,0.0000,0.4461,0.0000
167398,0.4346,0.4790,0.2222
169286,0.0000,0.4133,0.0000
171693,0.3030,0.2830,0.6441
172201,0.0000,0.3271,0.0000
174115,0.0000,0.0000,0.0000
178275,0.0922,0.0922,0.8894
178335,0.3743,0.4802,0.3919
178344,0.1297,0.5311,0.4096
184937,0.9272,0.9272,1.0000
185133,0.1313,0.1092,0.3249
186540,0.2457,0.2814,0.2011
188429,0.0000,0.4042,0.0000
191418,0.2388,0.1072,0.1576
192136,0.1511,0.0661,0.1451
195257,0.2739,0.6296,0.3549
199687,0.1588,0.8142,0.1655
200165,0.1877,0.2282,0.1902
200167,0.0000,0.2892,0.0000
205014,0.0000,0.3345,0.0000
211035,0.2434,0.8141,0.3315
211368,0.1665,0.4076,0.1993
211375,0.0000,0.6770,0.0000
218888,0.4011,0.3987,0.8013
219465,0.1150,0.1622,0.3816
220199,0.3040,0.2419,0.4499
220207,0.0000,1.0000,0.0000
222199,0.0000,0.3411,0.0000
224899,0.4124,0.4124,0.5951
225018,0.2601,0.3728,0.5752
226689,0.1263,0.1079,0.3693
230355,0.7409,0.8674,0.7566
231061,0.2058,1.0000,0.2058
231063,0.0000,0.5421,0.0000
234221,0.0890,0.9221,0.1138
236602,0.0840,0.2688,0.0819
236606,0.3386,0.2122,0.4328
236615,0.0000,0.2780,0.0000
243459,0.3255,0.3866,0.9495
246537,0.1204,0.1808,0.4667
246741,0.1423,0.1319,0.2596
249795,0.0087,0.2500,0.0722
249798,0.0853,0.2116,0.1297
249868,0.0000,0.3395,0.0000
251915,0.2045,0.0000,0.0000
256380,0.0531,0.0630,0.7888
256381,0.2364,0.5648,0.2780
256405,0.0000,0.0000,0.0000
262960,0.0000,0.5288,0.0000
269557,0.1782,0.0000,0.0000
269813,0.6280,0.7999,0.6305
270632,0.0000,0.7534,0.0000
276001,0.1066,0.7097,0.2291
276004,0.0000,0.0000,0.0000
277555,0.0000,1.0000,0.0000
282306,0.0000,0.8587,0.0000
