submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
1,0.3855,1.0000,0.3855
3,0.2520,1.0000,0.2520
6,0.1901,0.8201,0.1865
87,0.2560,0.8779,0.2684
975,0.2700,0.5121,0.4937
4135,0.3268,0.4788,0.2749
11501,0.2174,1.0000,0.2174
11549,0.3907,0.4257,0.8013
11553,0.4668,1.0000,0.4668
11776,0.2751,1.0000,0.2751
11872,0.4578,1.0000,0.4578
15926,0.3963,1.0000,0.3963
16001,0.1637,0.1810,0.1765
16181,0.1403,0.2851,0.2984
16484,0.3041,0.4724,0.4880
17873,0.5787,0.9963,0.5791
19768,0.4518,1.0000,0.4518
19769,0.4284,0.3550,0.6146
19821,0.1749,0.1420,0.5819
19829,0.8315,0.9141,0.8888
20122,0.5689,1.0000,0.5689
31486,0.1404,0.9496,0.1558
31504,0.2007,1.0000,0.2007
31543,0.1004,0.3634,0.1552
31553,0.1993,0.8531,0.2502
31644,0.2156,0.5381,0.2408
31790,0.1761,1.0000,0.1761
35393,0.3281,0.5548,0.6024
35394,0.4222,1.0000,0.4222
35420,0.4390,0.8213,0.5124
35453,0.3502,0.5822,0.2701
35685,0.2033,0.8751,0.2238
37058,0.4022,0.3415,0.6754
43205,0.2990,1.0000,0.2990
43237,0.0000,0.9788,0.0000
43241,0.5518,0.9355,0.5821
43242,0.5052,1.0000,0.5052
43686,0.5724,0.0000,0.0000
45907,0.6319,1.0000,0.6319
45925,0.3311,1.0000,0.3311
45970,0.1262,0.0482,0.4161
46775,0.3719,1.0000,0.3719
47057,0.4264,0.5012,0.5008
55179,0.1475,0.1915,0.2073
55246,0.3591,1.0000,0.3591
55271,0.0972,1.0000,0.0972
55387,0.2817,0.7942,0.3980
55390,0.2295,0.9812,0.2367
55393,0.3249,0.9113,0.3593
55394,0.0481,0.0322,0.5968
55395,0.3805,0.9604,0.4123
55503,0.3588,0.3605,0.2254
56242,0.2133,0.7381,0.2351
56363,0.3357,0.9671,0.3346
56371,0.1246,1.0000,0.1246
64042,0.2265,0.9794,0.2314
64065,0.4029,0.3738,0.9771
64080,0.2417,1.0000,0.2417
64088,0.3382,1.0000,0.3382
64160,0.4196,1.0000,0.4196
69337,0.8206,1.0000,0.8206
69382,0.2494,0.7407,0.4092
69584,0.2649,0.9912,0.2681
69600,0.1508,0.4548,0.3065
69622,0.3342,0.3760,0.6853
75817,0.4572,1.0000,0.4572
75874,0.6558,0.5483,0.8215
75920,0.4890,1.0000,0.4890
76156,0.3964,0.0000,0.0000
76824,0.1409,0.3408,0.2016
83873,0.2742,0.8183,0.2946
83937,0.2820,1.0000,0.2820
83954,0.4614,0.9640,0.4463
84059,0.3703,1.0000,0.3703
84138,0.1497,0.6258,0.3125
91368,0.5301,1.0000,0.5301
91380,0.2907,1.0000,0.2907
91549,0.2516,0.9367,0.2073
91551,0.2737,0.9958,0.2632
91554,0.2154,0.6615,0.1973
96588,0.3327,1.0000,0.3327
96634,0.5385,0.9104,0.5520
96669,0.2176,1.0000,0.2176
98122,0.2971,1.0000,0.2971
101601,0.2028,1.0000,0.2028
101612,0.2234,0.5050,0.2645
101742,0.4991,1.0000,0.4991
101861,0.3410,1.0000,0.3410
101961,0.1953,1.0000,0.1953
108733,0.3269,1.0000,0.3269
108743,0.4202,1.0000,0.4202
109105,0.3510,0.9831,0.3450
112077,0.2119,1.0000,0.2119
112081,0.3047,0.9916,0.3312
112112,0.1735,1.0000,0.1735
112137,0.2675,0.9736,0.2607
112424,0.1506,0.9972,0.1571
113838,0.4774,0.2148,0.2118
118342,0.6029,0.6164,0.9182
118364,0.3887,1.0000,0.3887
118443,0.1668,0.9002,0.2623
118445,0.2707,1.0000,0.2707
119358,0.4627,1.0000,0.4627
129246,0.2075,1.0000,0.2075
129325,0.2853,1.0000,0.2853
129400,0.2608,0.8476,0.3268
129419,0.3914,0.8040,0.5169
129489,0.4407,0.6416,0.3934
133788,0.4920,0.3843,0.6358
133845,0.2242,0.2242,1.0000
133853,0.4184,0.6222,0.3645
134367,0.3004,0.9994,0.2968
135140,0.1699,0.9139,0.1857
143071,0.3624,0.7287,0.5444
143196,0.3302,0.9990,0.3295
143199,0.0316,0.9977,0.0316
143202,0.1703,1.0000,0.1703
143252,0.1999,1.0000,0.1999
147780,0.0781,1.0000,0.0781
147830,0.2288,1.0000,0.2288
147951,0.2973,0.6724,0.2905
148114,0.1235,1.0000,0.1235
148341,0.3835,0.9653,0.3919
156003,0.3645,0.8895,0.3242
156010,0.3215,1.0000,0.3215
156125,0.1292,0.1666,0.8036
156144,0.1315,0.1023,0.6800
156160,0.1468,1.0000,0.1468
161613,0.1732,1.0000,0.1732
161617,0.2666,0.2666,1.0000
161624,0.2655,0.9982,0.2783
162199,0.1819,0.9926,0.1823
164646,0.1727,0.8745,0.1945
168408,0.1624,0.1351,0.9513
168425,0.2022,0.9941,0.1928
168892,0.2464,0.9014,0.2421
168932,0.1190,1.0000,0.1190
169147,0.2256,1.0000,0.2256
174497,0.2611,0.4761,0.6447
174534,0.1691,0.4352,0.6871
174673,0.2663,0.9994,0.2651
175068,0.2595,1.0000,0.2595
175836,0.2828,1.0000,0.2828
178292,0.1591,1.0000,0.1591
178306,0.2165,0.9885,0.2110
178372,0.5242,1.0000,0.5242
178390,0.5528,1.0000,0.5528
178590,0.4198,0.3286,0.7421
178639,0.2206,0.5857,0.2909
185739,0.1568,0.1648,0.9676
185783,0.4354,0.8602,0.5062
185877,0.2575,1.0000,0.2575
185883,0.1481,0.3122,0.3254
186506,0.0951,0.0761,0.6270
192311,0.2761,1.0000,0.2761
192365,0.2796,0.9954,0.2969
192392,0.2385,0.3481,0.5144
192461,0.2184,1.0000,0.2184
193179,0.1969,1.0000,0.1969
193180,0.3222,0.7292,0.3162
193181,0.1262,0.3658,0.6495
194640,0.3153,1.0000,0.3153
200168,0.2840,1.0000,0.2840
200214,0.2033,0.6114,0.3426
200270,0.4159,1.0000,0.4159
200570,0.2376,1.0000,0.2376
200724,0.2236,1.0000,0.2236
201028,0.5185,1.0000,0.5185
208621,0.0997,0.1356,0.4649
208643,0.4407,1.0000,0.4407
208759,0.0000,1.0000,0.0000
208764,0.1249,0.9607,0.1565
209531,0.3213,0.7147,0.2837
210995,0.1324,0.1188,0.5756
210996,0.3535,0.4182,0.3581
211002,0.2008,0.2685,0.7078
211122,0.0456,0.9998,0.0464
213660,0.3310,1.0000,0.3310
217915,0.3533,1.0000,0.3533
218045,0.4638,0.4576,0.7682
218090,0.3844,1.0000,0.3844
218317,0.3064,0.3297,0.3426
218458,0.1304,0.1626,0.2076
224151,0.3038,0.8615,0.2981
224206,0.3283,1.0000,0.3283
224283,0.2001,0.9634,0.1936
224339,0.1469,1.0000,0.1469
224382,0.1556,0.1556,1.0000
224402,0.2999,1.0000,0.2999
230363,0.2813,0.9923,0.2820
230367,0.6374,1.0000,0.6374
230535,0.4394,1.0000,0.4394
230632,0.0999,0.3141,0.2235
230661,0.0566,0.2775,0.3936
239732,0.1454,1.0000,0.1454
239736,0.6717,0.6056,0.8391
239747,0.0629,0.4329,0.1681
239856,0.2887,1.0000,0.2887
239869,0.3650,0.8651,0.3566
240349,0.1446,0.2123,0.3421
241063,0.1310,0.2206,0.4264
244637,0.2246,0.9887,0.2302
244645,0.4286,1.0000,0.4286
244665,0.7222,1.0000,0.7222
244683,0.4293,1.0000,0.4293
245547,0.3868,1.0000,0.3868
246046,0.4262,1.0000,0.4262
249797,0.5109,0.9904,0.5004
249812,0.0415,0.9959,0.0416
249813,0.0894,0.3654,0.2616
249912,0.1202,0.3454,0.2874
250022,0.2392,0.9871,0.2758
258060,0.2437,0.2808,0.9080
258061,0.6916,1.0000,0.6916
258140,0.5052,0.6909,0.7334
258182,0.5302,0.5302,1.0000
258213,0.0396,1.0000,0.0396
258309,0.4401,1.0000,0.4401
268137,0.3497,0.6086,0.3995
268145,0.1906,0.8543,0.1629
268270,0.0683,1.0000,0.0683
268565,0.2442,0.1935,0.5577
268633,0.1869,1.0000,0.1869
272360,0.4415,0.6896,0.6418
272361,0.5552,1.0000,0.5552
272485,0.2322,0.8569,0.3593
273055,0.5389,0.9822,0.5250
273966,0.2487,0.1914,0.2497
276028,0.4760,0.9473,0.5063
276232,0.0717,0.0519,0.8008
276289,0.1254,1.0000,0.1254
277093,0.1619,0.1411,0.8026
279022,0.3046,0.9835,0.2976
284580,0.2828,0.4278,0.3150
284581,0.5737,1.0000,0.5737
284587,0.2352,1.0000,0.2352
284588,0.2316,0.3595,0.7736
285001,0.2821,1.0000,0.2821
285017,0.2152,0.9996,0.2162
285795,0.0000,0.7986,0.0000
293441,0.1975,0.9879,0.1788
293546,0.2970,0.2124,0.4227
293603,0.1535,0.1612,0.9914
293768,0.3994,1.0000,0.3994
293810,0.3222,1.0000,0.3222
293824,0.3013,1.0000,0.3013
297601,0.1826,0.3508,0.4790
297611,0.1729,0.2257,0.6635
297638,0.4802,0.5001,0.7784
297766,0.3720,1.0000,0.3720
297792,0.3451,1.0000,0.3451
297839,0.3715,0.9017,0.3927
303112,0.2339,1.0000,0.2339
303113,0.2992,1.0000,0.2992
303119,0.4171,0.9996,0.4176
303554,0.3517,0.5142,0.4389
304310,0.3335,0.9948,0.3409
307903,0.5947,1.0000,0.5947
307911,0.3431,1.0000,0.3431
307917,0.4427,1.0000,0.4427
307952,0.6654,1.0000,0.6654
307987,0.5833,1.0000,0.5833
307992,0.2816,0.3375,0.8051
