submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
1,0.2500,1.0000,0.2500
3,0.3750,1.0000,0.3750
6,0.2466,0.8222,0.2466
87,0.2500,0.9667,0.2500
975,0.3235,0.4219,0.5000
4135,0.2874,0.6032,0.3529
11501,0.2794,1.0000,0.2794
11549,0.4348,0.4082,0.8276
11553,0.3571,1.0000,0.3571
11776,0.1401,1.0000,0.1401
11872,0.2991,1.0000,0.2991
15926,0.4118,1.0000,0.4118
16001,0.3659,0.2632,0.4576
16181,0.1650,0.1765,0.4667
16484,0.2500,0.2973,0.5556
17873,0.3462,1.0000,0.3462
19768,0.5312,1.0000,0.5312
19769,0.3968,0.3860,0.5435
19821,0.3158,0.3684,0.6053
19829,0.5833,0.7500,0.7667
20122,0.4355,1.0000,0.4355
31486,0.2738,0.9231,0.3176
31504,0.3146,1.0000,0.3146
31543,0.2336,0.3140,0.4310
31553,0.1477,0.3782,0.3291
31644,0.2987,0.6351,0.3108
31790,0.3556,1.0000,0.3556
35393,0.2857,0.3188,0.6571
35394,0.2785,1.0000,0.2785
35420,0.2556,0.4867,0.3974
35453,0.3934,0.4490,0.4643
35685,0.1985,0.5164,0.3095
37058,0.3889,0.4894,0.7500
43205,0.4048,1.0000,0.4048
43237,0.0000,0.7931,0.0000
43241,0.2500,0.9565,0.2530
43242,0.2300,1.0000,0.2300
43686,0.2500,0.0000,0.0000
45907,0.4898,1.0000,0.4898
45925,0.5385,1.0000,0.5385
45970,0.2687,0.2239,0.7273
46775,0.3425,1.0000,0.3425
47057,0.2857,0.4595,0.3367
55179,0.2897,0.3119,0.6102
55246,0.2468,1.0000,0.2468
55271,0.2588,1.0000,0.2588
55387,0.2755,0.8906,0.2917
55390,0.2353,0.9706,0.2410
55393,0.2136,0.9848,0.2157
55394,0.2405,0.2317,0.5946
55395,0.2935,0.9545,0.3043
55503,0.2500,0.4286,0.1681
56242,0.1692,0.5505,0.2410
56363,0.3038,0.9048,0.3200
56371,0.2277,1.0000,0.2277
64042,0.1333,0.9352,0.1301
64065,0.3333,0.3261,0.9143
64080,0.3587,1.0000,0.3587
64088,0.2424,1.0000,0.2424
64160,0.1890,1.0000,0.1890
69337,0.5588,1.0000,0.5588
69382,0.2258,0.7368,0.3448
69584,0.3000,0.9841,0.3034
69600,0.2451,0.7692,0.2674
69622,0.3793,0.3281,0.7442
75817,0.4884,1.0000,0.4884
75874,0.3571,0.3415,0.7857
75920,0.4762,1.0000,0.4762
76156,0.1302,0.0000,0.0000
76824,0.2235,0.5534,0.1923
83873,0.2469,0.6842,0.2969
83937,0.2222,1.0000,0.2222
83954,0.2450,0.8182,0.2203
84059,0.5000,1.0000,0.5000
84138,0.2000,0.6042,0.2703
91368,0.2478,1.0000,0.2478
91380,0.2537,1.0000,0.2537
91549,0.2830,0.8636,0.2593
91551,0.2697,0.9167,0.2644
91554,0.2198,0.8462,0.2283
96588,0.4118,1.0000,0.4118
96634,0.6250,0.8148,0.7500
96669,0.2857,1.0000,0.2857
98122,0.2286,1.0000,0.2286
101601,0.4222,1.0000,0.4222
