name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
i,907225,2217,409270,2320,712654,2238,2029149,6775,0.4511229298134421,0.7855317038220948,1.0464591790708164,1.0094722598105548
n,187388,1780,127607,2225,152364,1891,467359,5896,0.6809774371891476,0.8130936879629432,1.25,1.0623595505617978
a,62174,781,7426,227,39522,598,109122,1606,0.11943899379161707,0.6356676424228778,0.2906530089628681,0.765685019206146
s,49328,544,14116,362,32131,474,95575,1380,0.2861660720077846,0.6513744729159909,0.6654411764705882,0.8713235294117647
u,34501,276,26016,303,31325,283,91842,862,0.7540650995623315,0.907944697255152,1.0978260869565217,1.0253623188405796
t,48758,308,9949,158,32269,234,90976,700,0.20404856638910537,0.6618195988350629,0.512987012987013,0.7597402597402597
r,46974,269,8559,97,32792,216,88325,582,0.18220717843913653,0.6980883041682633,0.36059479553903345,0.8029739776951673
x,48782,857,4755,288,34470,681,88007,1826,0.09747447829117298,0.7066130949940552,0.33605600933488916,0.79463243873979
l,48837,399,7455,184,31552,317,87844,900,0.1526506542170895,0.6460675307656081,0.46115288220551376,0.7944862155388471
j,34772,791,23877,1157,28674,895,87323,2843,0.6866731853215231,0.8246290118486138,1.4627054361567635,1.131479140328698
c,27865,360,16241,281,21432,332,65538,973,0.5828458639870806,0.7691369101022788,0.7805555555555556,0.9222222222222223
v,25849,355,9799,258,21658,319,57306,932,0.3790862315756896,0.8378660683198577,0.7267605633802817,0.8985915492957747
p,24563,321,1993,78,16628,246,43184,645,0.08113829743923788,0.6769531409029842,0.24299065420560748,0.7663551401869159
k,14484,371,8837,441,10747,363,34068,1175,0.61012151339409,0.741991162662248,1.1886792452830188,0.9784366576819407
e,18508,83,290,6,14102,65,32900,154,0.015668899935163173,0.761940782364383,0.07228915662650602,0.7831325301204819
d,12899,169,2665,72,9607,132,25171,373,0.20660516319094505,0.7447864175517482,0.4260355029585799,0.7810650887573964
b,14537,327,1260,81,8724,243,24521,651,0.08667538006466259,0.6001238219715209,0.24770642201834864,0.7431192660550459
m,12819,217,3295,154,7484,169,23598,540,0.25704033075902954,0.5838208908651221,0.7096774193548387,0.7788018433179723
y,10000,271,1605,112,7647,225,19252,608,0.1605,0.7647,0.4132841328413284,0.8302583025830258
f,9892,162,259,11,7258,103,17409,276,0.026182773958754547,0.7337242215932066,0.06790123456790123,0.6358024691358025
main,2890,2723,3337,2813,3112,2744,9339,8280,1.1546712802768166,1.0768166089965399,1.0330517811237605,1.0077120822622108
N,4141,473,15,2,3029,345,7185,820,0.003622313450857281,0.7314658295097802,0.004228329809725159,0.7293868921775899
h,2634,67,926,31,1687,46,5247,144,0.35155656795747914,0.6404707668944571,0.4626865671641791,0.6865671641791045
mid,2699,127,112,17,2073,98,4884,242,0.041496850685439055,0.7680622452760282,0.13385826771653545,0.7716535433070866
in,3138,54,0,0,1667,29,4805,83,0.0,0.5312300828553218,0.0,0.5370370370370371
ans,2850,399,91,19,1739,288,4680,706,0.03192982456140351,0.6101754385964913,0.047619047619047616,0.7218045112781954
node,2354,30,271,26,1816,28,4441,84,0.11512319456244689,0.7714528462192014,0.8666666666666667,0.9333333333333333
to,2322,62,18,1,1971,53,4311,116,0.007751937984496124,0.8488372093023255,0.016129032258064516,0.8548387096774194
q,2312,111,403,64,1295,94,4010,269,0.17430795847750866,0.5601211072664359,0.5765765765765766,0.8468468468468469
ch,2158,116,104,4,1541,76,3803,196,0.04819277108433735,0.7140871177015755,0.034482758620689655,0.6551724137931034
it,2369,99,183,24,1211,73,3763,196,0.07724778387505277,0.5111861544955677,0.24242424242424243,0.7373737373737373
row,145,10,3259,81,357,31,3761,122,22.47586206896552,2.462068965517241,8.1,3.1
id,2389,83,115,16,1246,62,3750,161,0.04813729593972373,0.5215571368773545,0.1927710843373494,0.7469879518072289
w,1727,77,665,49,1006,61,3398,187,0.3850607990735379,0.582513028372901,0.6363636363636364,0.7922077922077922
pos,1800,107,93,7,1131,77,3024,191,0.051666666666666666,0.6283333333333333,0.06542056074766354,0.719626168224299
col,230,18,2280,64,408,30,2918,112,9.91304347826087,1.7739130434782608,3.5555555555555554,1.6666666666666667
o,1671,23,19,1,1208,15,2898,39,0.011370436864153202,0.7229204069419509,0.043478260869565216,0.6521739130434783
fi,2288,9,0,0,536,3,2824,12,0.0,0.23426573426573427,0.0,0.3333333333333333
res,1773,167,86,4,964,130,2823,301,0.048505358150028204,0.5437112239142696,0.023952095808383235,0.7784431137724551
L,1594,55,5,1,1190,40,2789,96,0.003136762860727729,0.7465495608531995,0.01818181818181818,0.7272727272727273
len,1280,93,376,43,998,87,2654,223,0.29375,0.7796875,0.46236559139784944,0.9354838709677419
z,1635,65,206,16,751,46,2592,127,0.12599388379204893,0.45932721712538227,0.24615384615384617,0.7076923076923077
ret,1407,84,0,0,1134,68,2541,152,0.0,0.8059701492537313,0.0,0.8095238095238095
st,1563,56,0,0,920,38,2483,94,0.0,0.5886116442738324,0.0,0.6785714285714286
rt,1220,15,0,0,1204,13,2424,28,0.0,0.9868852459016394,0.0,0.8666666666666667
cnt,1496,187,0,0,892,123,2388,310,0.0,0.5962566844919787,0.0,0.6577540106951871
val,1180,84,217,27,935,75,2332,186,0.18389830508474575,0.7923728813559322,0.32142857142857145,0.8928571428571429
cur,1270,101,0,0,854,77,2124,178,0.0,0.6724409448818898,0.0,0.7623762376237624
dp,1156,114,50,5,834,82,2040,201,0.04325259515570934,0.7214532871972318,0.043859649122807015,0.7192982456140351
dfs,1166,236,13,3,795,194,1974,433,0.011149228130360206,0.6818181818181818,0.012711864406779662,0.8220338983050848
R,987,35,27,4,870,28,1884,67,0.02735562310030395,0.8814589665653495,0.11428571428571428,0.8
count,241,25,1075,201,539,86,1855,312,4.460580912863071,2.236514522821577,8.04,3.44
sc,1015,7,0,0,669,4,1684,11,0.0,0.6591133004926109,0.0,0.5714285714285714
mod,1201,101,5,1,428,83,1634,185,0.004163197335553705,0.3563696919233972,0.009900990099009901,0.8217821782178217
A,928,61,28,6,675,42,1631,109,0.03017241379310345,0.7273706896551724,0.09836065573770492,0.6885245901639344
size,738,37,241,15,637,31,1616,83,0.3265582655826558,0.8631436314363143,0.40540540540540543,0.8378378378378378
index,639,20,423,53,498,35,1560,108,0.6619718309859155,0.7793427230046949,2.65,1.75
sum,802,95,149,27,604,80,1555,202,0.185785536159601,0.7531172069825436,0.28421052631578947,0.8421052631578947
str,874,65,23,1,617,45,1514,111,0.02631578947368421,0.7059496567505721,0.015384615384615385,0.6923076923076923
dist,312,45,822,45,363,46,1497,136,2.6346153846153846,1.1634615384615385,1.0,1.0222222222222221
g,725,38,184,9,556,33,1465,80,0.2537931034482759,0.766896551724138,0.23684210526315788,0.868421052631579
now,766,44,0,0,682,38,1448,82,0.0,0.8903394255874674,0.0,0.8636363636363636
maxn,825,164,12,2,599,123,1436,289,0.014545454545454545,0.7260606060606061,0.012195121951219513,0.75
tr,793,20,124,1,474,11,1391,32,0.15636822194199243,0.5977301387137453,0.05,0.55
num,622,74,225,23,523,55,1370,152,0.3617363344051447,0.8408360128617364,0.3108108108108108,0.7432432432432432
solve,782,256,32,9,548,194,1362,459,0.04092071611253197,0.7007672634271099,0.03515625,0.7578125
MOD,410,129,558,154,358,106,1326,389,1.3609756097560977,0.8731707317073171,1.193798449612403,0.8217054263565892
root,670,33,105,14,517,32,1292,79,0.15671641791044777,0.7716417910447761,0.42424242424242425,0.9696969696969697
tmp,919,79,0,0,358,60,1277,139,0.0,0.3895538628944505,0.0,0.759493670886076
temp,554,55,144,15,563,48,1261,118,0.259927797833935,1.016245487364621,0.2727272727272727,0.8727272727272727
tl,700,17,76,1,468,10,1244,28,0.10857142857142857,0.6685714285714286,0.058823529411764705,0.5882352941176471
idx,730,42,14,5,452,30,1196,77,0.019178082191780823,0.6191780821917808,0.11904761904761904,0.7142857142857143
x1,345,40,440,71,323,42,1108,153,1.2753623188405796,0.936231884057971,1.775,1.05
