submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
47,0.4333,1.0000,0.4333
126,0.3704,1.0000,0.3704
2269,0.4118,1.0000,0.4118
6317,0.2687,1.0000,0.2687
6916,0.2769,1.0000,0.2769
13097,0.3784,0.8846,0.4286
13551,0.2656,1.0000,0.2656
13664,0.2344,1.0000,0.2344
19968,0.3171,0.6111,0.4815
20121,0.2424,1.0000,0.2424
20647,0.3000,0.7838,0.3333
27892,0.3958,1.0000,0.3958
27941,0.3662,1.0000,0.3662
30695,0.2800,0.8163,0.3182
32545,0.5333,1.0000,0.5333
33321,0.2778,1.0000,0.2778
33376,0.3621,0.4808,0.4286
39142,0.5484,1.0000,0.5484
42719,0.3333,1.0000,0.3333
45936,0.2449,0.2973,0.4412
46428,0.3333,1.0000,0.3333
52537,0.3906,0.7273,0.3824
52900,0.4000,0.4062,0.5625
55553,0.5946,1.0000,0.5946
59962,0.2615,1.0000,0.2615
60092,0.3500,0.3659,0.4211
65738,0.4828,1.0000,0.4828
65740,0.5455,1.0000,0.5455
65995,0.2333,0.2254,0.6047
73002,0.3659,0.7576,0.4286
73007,0.3784,1.0000,0.3784
73585,0.4167,1.0000,0.4167
79294,0.3019,1.0000,0.3019
80115,0.3913,0.9167,0.4130
90017,0.1053,0.3274,0.3158
92079,0.4375,0.8077,0.4688
92163,0.3529,1.0000,0.3529
92791,0.4000,1.0000,0.4000
92833,0.2429,0.2535,0.8723
99074,0.4286,1.0000,0.4286
99111,0.3864,1.0000,0.3864
103043,0.3582,1.0000,0.3582
105411,0.4211,1.0000,0.4211
105521,0.3750,0.9643,0.3846
112199,0.2653,1.0000,0.2653
112768,0.6667,1.0000,0.6667
118431,0.2857,0.2941,0.6429
119336,0.3929,1.0000,0.3929
119337,0.3182,1.0000,0.3182
119342,0.2083,0.0000,0.0000
125226,0.4179,0.9792,0.4118
132357,0.3947,1.0000,0.3947
132798,0.3636,0.5000,0.7407
134628,0.2892,0.3521,0.6667
138721,0.3421,0.4000,0.7241
140667,0.4444,1.0000,0.4444
145189,0.4211,1.0000,0.4211
145319,0.2157,0.7143,0.2683
146515,0.2308,1.0000,0.2308
147162,0.3704,0.4286,0.7586
148905,0.4500,1.0000,0.4500
152784,0.2778,0.4062,0.7097
153749,0.4074,0.4909,0.3750
154797,0.3043,0.3538,0.5135
159033,0.1702,0.3521,0.1364
159238,0.4103,1.0000,0.4103
159240,0.4600,0.7027,0.5833
162836,0.3692,1.0000,0.3692
162839,0.3205,0.4381,0.2477
167398,0.4872,1.0000,0.4872
169286,0.1905,1.0000,0.1905
171693,0.2037,0.9375,0.2222
172201,0.5909,0.7000,0.6250
174115,0.3333,1.0000,0.3333
178275,0.2353,0.2812,0.4242
178335,0.3023,1.0000,0.3023
178344,0.2955,1.0000,0.2955
184937,0.7692,1.0000,0.7692
185133,0.3721,0.3721,0.6757
186540,0.4828,1.0000,0.4828
188429,0.2353,1.0000,0.2353
191418,0.3409,0.4146,0.3902
192136,0.3171,1.0000,0.3171
195257,0.3261,1.0000,0.3261
199687,0.5000,0.6000,0.7222
200165,0.6364,1.0000,0.6364
200167,0.4194,0.8095,0.4000
205014,0.3130,0.9767,0.3070
211035,0.5200,0.7727,0.6087
211368,0.1795,0.1892,0.8667
211375,0.1899,0.3529,0.3333
218888,0.4878,0.8276,0.4884
219465,0.3939,1.0000,0.3939
220199,0.3889,1.0000,0.3889
220207,0.4054,1.0000,0.4054
222199,0.3404,1.0000,0.3404
