submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
1,0.2348,1.0000,0.2348
3,0.2502,1.0000,0.2502
6,0.1975,0.8651,0.2139
87,0.3541,0.4492,0.3202
975,0.1714,0.5670,0.2992
4135,0.1798,0.4707,0.1676
11501,0.3602,1.0000,0.3602
11549,0.3611,0.9575,0.4004
11553,0.4920,0.7500,0.7457
11776,0.1720,0.8265,0.1923
11872,0.2149,1.0000,0.2149
15926,0.3165,1.0000,0.3165
16001,0.2794,0.7065,0.3616
16181,0.2185,0.4663,0.4168
16484,0.3210,0.4855,0.7208
17873,0.6051,1.0000,0.6051
19768,0.4941,0.4388,0.5025
19769,0.2240,0.9821,0.2183
19821,0.0523,0.8827,0.0605
19829,0.5379,0.7151,0.5799
20122,0.3492,0.7326,0.4835
31486,0.2371,0.7353,0.3761
31504,0.2515,0.8888,0.2207
31543,0.2183,0.3835,0.3555
31553,0.2191,0.8570,0.2601
31644,0.3164,1.0000,0.3164
31790,0.1148,1.0000,0.1148
35393,0.3162,0.5077,0.4479
35394,0.2388,0.6523,0.3527
35420,0.4121,0.8154,0.4874
35453,0.2776,0.5393,0.4468
35685,0.2675,0.8764,0.3037
37058,0.1497,1.0000,0.1497
43205,0.5746,1.0000,0.5746
43237,0.5389,0.8966,0.5984
43241,0.3788,0.9965,0.3793
43242,0.2293,0.9604,0.2355
43258,0.4267,0.9925,0.4264
43686,0.4214,0.9666,0.4276
45907,0.5143,0.6995,0.3980
45925,0.2489,0.7571,0.2831
45970,0.1007,0.9719,0.0920
46775,0.2332,1.0000,0.2332
47057,0.4451,0.4290,0.5015
55179,0.3182,0.5276,0.5507
55246,0.3600,1.0000,0.3600
55271,0.1270,0.9953,0.1222
55387,0.2657,0.2717,0.5319
55390,0.3133,0.3787,0.3762
55393,0.3022,0.7794,0.3076
55394,0.0480,0.4031,0.5047
55395,0.3201,0.6996,0.4945
55503,0.3609,0.8960,0.3161
56242,0.1029,0.2511,0.5652
56363,0.3040,1.0000,0.3040
56371,0.2673,0.2266,0.2326
64042,0.1165,0.5776,0.1859
64065,0.4429,0.5037,0.7310
64080,0.2103,0.5143,0.4567
64088,0.2340,0.4616,0.3721
64160,0.3217,0.9701,0.3210
69337,0.5119,0.6061,0.6443
69382,0.2307,0.6539,0.3554
69584,0.5689,1.0000,0.5689
69600,0.0356,0.4381,0.0468
69622,0.3362,0.3838,0.4061
75817,0.3692,1.0000,0.3692
75874,0.2037,0.8384,0.1738
75920,0.7175,1.0000,0.7175
76156,0.4019,0.5205,0.5084
76824,0.1221,0.9929,0.1244
83873,0.2807,0.4023,0.5197
