submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
1,0.2687,1.0000,0.2687
3,0.3667,1.0000,0.3667
6,0.2078,0.7358,0.2262
87,0.2523,0.3218,0.3077
975,0.1792,0.4848,0.2551
4135,0.2720,0.4937,0.2971
11501,0.2093,1.0000,0.2093
11549,0.3390,0.9048,0.3509
11553,0.3770,0.7451,0.4310
11776,0.1333,0.2632,0.3875
11872,0.2540,1.0000,0.2540
15926,0.4000,1.0000,0.4000
16001,0.2308,0.6333,0.3182
16181,0.1791,0.3085,0.2588
16484,0.2805,0.3377,0.4783
17873,0.3333,1.0000,0.3333
19768,0.4130,0.4091,0.5098
19769,0.4000,0.9167,0.3793
19821,0.3220,0.7174,0.3830
19829,0.6154,0.8438,0.6757
20122,0.2473,0.6667,0.3125
31486,0.2621,0.5857,0.3444
31504,0.2584,0.9079,0.2556
31543,0.2203,0.3494,0.3239
31553,0.1517,0.3782,0.2857
31644,0.2637,1.0000,0.2637
31790,0.3500,1.0000,0.3500
35393,0.2500,0.3235,0.6000
35394,0.1863,0.4000,0.3016
35420,0.2208,0.4746,0.3333
35453,0.3235,0.5283,0.3472
35685,0.1500,0.5537,0.2472
37058,0.3810,1.0000,0.3810
43205,0.5294,1.0000,0.5294
43237,0.2314,0.6739,0.2736
43241,0.2000,1.0000,0.2000
43242,0.1812,0.7528,0.2155
43258,0.1415,0.7949,0.1744
43686,0.2176,0.8534,0.2387
45907,0.5227,0.7907,0.5111
45925,0.3617,0.7241,0.3659
45970,0.1765,0.9455,0.1687
46775,0.3457,1.0000,0.3457
47057,0.2541,0.4595,0.2845
55179,0.2982,0.4902,0.4615
55246,0.2237,1.0000,0.2237
55271,0.2973,0.9538,0.3014
55387,0.3222,0.4605,0.4595
55390,0.3580,0.4667,0.4324
55393,0.2706,0.6364,0.3770
55394,0.2927,0.4479,0.3636
55395,0.3333,0.7273,0.4203
55503,0.2680,0.7843,0.3263
56242,0.1926,0.2835,0.6061
56363,0.1818,1.0000,0.1818
56371,0.3016,0.4444,0.2707
64042,0.1722,0.4312,0.2660
64065,0.5128,0.4884,0.7568
64080,0.2587,0.6296,0.3386
64088,0.1121,0.3014,0.2605
64160,0.2266,0.8435,0.2417
69337,0.4118,0.5000,0.6182
69382,0.1562,0.7000,0.2188
69584,0.3409,1.0000,0.3409
69600,0.1646,0.5641,0.1805
69622,0.3393,0.3857,0.3667
75817,0.4375,1.0000,0.4375
75874,0.4255,0.5250,0.6098
75920,0.7059,1.0000,0.7059
76156,0.1435,0.2453,0.4235
76824,0.2500,0.8649,0.2788
83873,0.2921,0.4328,0.4478
83937,0.2897,1.0000,0.2897
83954,0.3141,0.5581,0.4528
84059,0.3176,0.4265,0.3889
84138,0.3400,0.5870,0.4737
91368,0.2340,0.6514,0.2613
91380,0.2532,0.4000,0.4651
91549,0.3333,1.0000,0.3333
91551,0.2551,0.7059,0.2604
91554,0.2469,1.0000,0.2469
96588,0.2857,1.0000,0.2857
96634,0.5333,0.7419,0.5484
96669,0.3662,1.0000,0.3662
98122,0.2632,0.4545,0.4576
101601,0.2410,1.0000,0.2410
101612,0.3208,0.3778,0.4375
101742,0.3333,0.4783,0.3542
101861,0.2609,0.9462,0.2727
101961,0.2588,0.4935,0.3889
108733,0.4688,0.5000,0.8125
108743,0.3333,1.0000,0.3333
109105,0.2899,0.9773,0.2857
112077,0.2955,0.5303,0.4478
112081,0.2593,0.4107,0.3396
112112,0.2353,0.2584,0.6452
112137,0.2521,0.3500,0.5342
112424,0.2326,0.5974,0.3692
113838,0.4087,0.5000,0.4862
118342,0.5385,0.3250,0.4250
118364,0.1605,0.3562,0.4000
118443,0.2148,0.3053,0.4688
118445,0.2000,0.2558,0.6444
119358,0.3053,1.0000,0.3053
129246,0.1961,1.0000,0.1961
129325,0.3297,0.4286,0.4242
129400,0.2685,0.4904,0.3735
129419,0.2000,0.9762,0.2027
129489,0.2114,1.0000,0.2114
133788,0.4000,0.2881,0.5676
133845,0.2754,0.4478,0.4906
133853,0.3953,0.6286,0.5116
134367,0.4590,0.9310,0.4746
135140,0.0982,0.6296,0.1416
143071,0.2911,0.2688,0.4795
143196,0.3111,1.0000,0.3111
143199,0.2796,1.0000,0.2796
143202,0.2028,0.5847,0.3306
143252,0.1982,0.8551,0.2178
147780,0.3750,0.7222,0.5111
147830,0.2903,0.6667,0.2969
147951,0.3333,0.3793,0.2973
148114,0.2051,0.9722,0.2000
148341,0.2133,0.4810,0.3200
156003,0.2632,1.0000,0.2632
156010,0.1928,1.0000,0.1928
156125,0.2149,0.2588,0.3600
156144,0.1852,0.9868,0.1866
156160,0.2151,1.0000,0.2151
161613,0.2411,0.2593,0.5000
161617,0.2740,0.3014,0.5333
161624,0.1750,0.3281,0.3421
162199,0.4627,0.9298,0.4328
164646,0.2736,0.4937,0.3733
168408,0.2066,0.3178,0.4531
168425,0.6410,1.0000,0.6410
168892,0.1459,0.4852,0.2946
168932,0.2143,0.8200,0.2105
169147,0.2786,1.0000,0.2786
174497,0.2292,0.4348,0.3607
174534,0.2184,0.3191,0.2424
174673,0.3514,0.7593,0.4091
175068,0.2353,0.5294,0.2179
175836,0.2388,0.5657,0.2812
178292,0.2903,0.8649,0.3158
178306,0.1720,1.0000,0.1720
178372,0.3171,0.7073,0.3391
178390,0.2979,0.4146,0.3148
178590,0.3333,0.3208,0.3725
178639,0.1971,1.0000,0.1971
185739,0.3000,0.5126,0.4096
185783,0.6296,0.8182,0.7391
185877,0.2500,0.5000,0.3396
185883,0.2041,0.8529,0.2222
186506,0.2877,0.4320,0.4623
192311,0.2537,0.3396,0.3864
192365,0.2222,0.2500,0.6000
192392,0.1507,0.2656,0.3125
