name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
i,924988,2218,370850,2178,650657,2234,1946495,6630,0.40092412009669315,0.7034220984488447,0.981965734896303,1.0072137060414788
n,188074,1781,138548,2155,134137,1870,460759,5806,0.7366674819485947,0.7132139477014366,1.2099943851768669,1.0499719258843347
a,62403,782,10059,266,28279,541,100741,1589,0.16119417335705014,0.45316731567392593,0.340153452685422,0.6918158567774936
l,49434,400,10945,170,26351,310,86730,880,0.22140631953716067,0.5330541732410892,0.425,0.775
u,34501,276,20416,305,31493,285,86410,866,0.5917509637401814,0.9128141213298165,1.105072463768116,1.0326086956521738
s,49328,544,14957,313,21863,401,86148,1258,0.30321521245540056,0.4432168342523516,0.5753676470588235,0.7371323529411765
r,47328,270,9636,117,26934,224,83898,611,0.20360040567951318,0.5690922920892495,0.43333333333333335,0.8296296296296296
j,34882,792,20388,853,28537,858,83807,2503,0.5844848345851729,0.8181010263172983,1.077020202020202,1.0833333333333333
t,48758,308,13126,165,20286,191,82170,664,0.26920710447516305,0.4160548012633824,0.5357142857142857,0.6201298701298701
x,48782,857,8339,381,23374,631,80495,1869,0.17094420072977737,0.4791521462834652,0.44457409568261375,0.7362893815635939
v,25938,356,11983,213,20449,316,58370,885,0.4619862749633742,0.7883799830364716,0.598314606741573,0.8876404494382022
c,28028,361,13378,260,14542,291,55948,912,0.4773084058798345,0.5188383045525903,0.7202216066481995,0.8060941828254847
p,25459,322,5467,151,12245,228,43171,701,0.21473742095133352,0.48096940178325936,0.468944099378882,0.7080745341614907
e,18508,83,1606,11,11519,58,31633,152,0.08677328722714502,0.6223795115625675,0.13253012048192772,0.6987951807228916
k,14484,371,5399,364,8627,365,28510,1100,0.37275614471140567,0.5956227561447114,0.9811320754716981,0.9838274932614556
d,12899,169,5456,127,7801,141,26156,437,0.42297852546709047,0.6047755639972091,0.7514792899408284,0.834319526627219
m,12819,217,4812,182,6290,168,23921,567,0.37538029487479524,0.4906778999921991,0.8387096774193549,0.7741935483870968
b,14537,327,1451,75,6107,209,22095,611,0.09981426704271858,0.42010043337690034,0.22935779816513763,0.6391437308868502
y,10000,271,3731,135,5749,210,19480,616,0.3731,0.5749,0.4981549815498155,0.7749077490774908
f,9892,162,400,13,2924,80,13216,255,0.040436716538617065,0.29559239789729075,0.08024691358024691,0.49382716049382713
main,2891,2724,3393,2819,3146,2796,9430,8339,1.1736423382912486,1.0882047734347977,1.0348751835535976,1.026431718061674
node,2354,30,2198,119,4175,69,8727,218,0.9337298215802888,1.7735768903993203,3.966666666666667,2.3
N,4171,474,285,30,2447,305,6903,809,0.06832893790457924,0.5866698633421242,0.06329113924050633,0.6434599156118144
mid,2715,128,829,68,2533,136,6077,332,0.30534069981583795,0.9329650092081031,0.53125,1.0625
h,2752,68,1152,36,1567,50,5471,154,0.4186046511627907,0.5694040697674418,0.5294117647058824,0.7352941176470589
it,2369,99,776,67,1974,104,5119,270,0.3275643731532292,0.8332629801604052,0.6767676767676768,1.0505050505050506
to,2322,62,393,22,2131,58,4846,142,0.16925064599483206,0.9177433247200689,0.3548387096774194,0.9354838709677419
ans,2857,400,150,38,1758,313,4765,751,0.052502625131256565,0.615330766538327,0.095,0.7825
id,2389,83,403,29,1803,66,4595,178,0.16868982838007535,0.7547090832984512,0.3493975903614458,0.7951807228915663
in,3327,55,93,2,1005,20,4425,77,0.027953110910730387,0.30207394048692515,0.03636363636363636,0.36363636363636365
q,2408,112,536,68,1465,91,4409,271,0.22259136212624583,0.6083887043189369,0.6071428571428571,0.8125
pos,1800,107,882,73,1602,98,4284,278,0.49,0.89,0.6822429906542056,0.9158878504672897
tr,793,20,1847,17,823,19,3463,56,2.329129886506936,1.0378310214375788,0.85,0.95
w,1766,78,807,38,878,54,3451,170,0.45696489241223104,0.4971687429218573,0.48717948717948717,0.6923076923076923
len,1287,94,894,105,1206,88,3387,287,0.6946386946386947,0.9370629370629371,1.1170212765957446,0.9361702127659575
ch,2158,116,153,12,1065,72,3376,200,0.07089898053753475,0.49351251158480075,0.10344827586206896,0.6206896551724138
o,1671,23,55,1,1271,16,2997,40,0.03291442250149611,0.760622381807301,0.043478260869565216,0.6956521739130435
MAXN,605,123,885,240,1348,251,2838,614,1.462809917355372,2.2280991735537192,1.951219512195122,2.040650406504065
idx,730,42,1329,90,733,51,2792,183,1.8205479452054794,1.0041095890410958,2.142857142857143,1.2142857142857142
res,1773,167,216,39,724,107,2713,313,0.1218274111675127,0.4083474337281444,0.23353293413173654,0.6407185628742516
dp,1156,114,592,59,930,101,2678,274,0.5121107266435986,0.8044982698961938,0.5175438596491229,0.8859649122807017
cnt,1496,187,196,37,960,121,2652,345,0.13101604278074866,0.6417112299465241,0.19786096256684493,0.6470588235294118
start,126,20,1306,136,1125,108,2557,264,10.365079365079366,8.928571428571429,6.8,5.4
dfs,1166,236,532,169,815,205,2513,610,0.4562607204116638,0.6989708404802745,0.7161016949152542,0.8686440677966102
st,1563,56,11,1,808,28,2382,85,0.007037747920665387,0.5169545745361485,0.017857142857142856,0.5
