name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
main,824,116,452,142,399,141,1675,399,0.5485436893203883,0.4842233009708738,1.2241379310344827,1.2155172413793103
f,282,22,0,0,119,7,401,29,0.0,0.4219858156028369,0.0,0.3181818181818182
solve,133,63,34,17,127,63,294,143,0.2556390977443609,0.9548872180451128,0.2698412698412698,1.0
dfs,59,17,76,20,60,19,195,56,1.2881355932203389,1.0169491525423728,1.1764705882352942,1.1176470588235294
gcd,33,12,35,5,41,14,109,31,1.0606060606060606,1.2424242424242424,0.4166666666666667,1.1666666666666667
find,23,4,34,7,20,4,77,15,1.4782608695652173,0.8695652173913043,1.75,1.0
bfs,19,8,26,13,20,9,65,30,1.368421052631579,1.0526315789473684,1.625,1.125
lcm,6,2,16,5,41,6,63,13,2.6666666666666665,6.833333333333333,2.5,3.0
__init__,31,19,4,4,18,15,53,38,0.12903225806451613,0.5806451612903226,0.21052631578947367,0.7894736842105263
g,31,7,0,0,20,3,51,10,0.0,0.6451612903225806,0.0,0.42857142857142855
ri,27,6,0,0,23,5,50,11,0.0,0.8518518518518519,0.0,0.8333333333333334
dist,34,5,7,1,8,2,49,8,0.20588235294117646,0.23529411764705882,0.2,0.4
determine_winner,0,0,39,19,2,1,41,20,,,,
count_ways,0,0,36,18,4,2,40,20,,,,
it,33,5,0,0,6,1,39,6,0.0,0.18181818181818182,0.0,0.2
distance,11,2,16,5,5,1,32,8,1.4545454545454546,0.45454545454545453,2.5,0.5
solver,20,5,0,0,10,5,30,10,0.0,0.5,0.0,1.0
check,21,10,0,0,9,4,30,14,0.0,0.42857142857142855,0.0,0.4
m,26,3,0,0,2,1,28,4,0.0,0.07692307692307693,0.0,0.3333333333333333
matrix_mult,0,0,19,6,9,3,28,9,,,,
calc,20,6,0,0,7,2,27,8,0.0,0.35,0.0,0.3333333333333333
r,27,2,0,0,0,0,27,2,0.0,0.0,0.0,0.0
rv,25,12,0,0,1,1,26,13,0.0,0.04,0.0,0.08333333333333333
spl,20,5,0,0,4,1,24,6,0.0,0.2,0.0,0.2
count_pairs,0,0,23,10,0,0,23,10,,,,
union,0,0,16,7,6,3,22,10,,,,
is_prime,5,2,9,4,8,3,22,9,1.8,1.6,2.0,1.5
backtrack,0,0,16,5,6,2,22,7,,,,
top,12,2,0,0,10,1,22,3,0.0,0.8333333333333334,0.0,0.5
query,0,0,16,4,4,1,20,5,,,,
dijkstra,3,1,13,5,4,2,20,8,4.333333333333333,1.3333333333333333,5.0,2.0
compare,4,1,4,1,11,2,19,4,1.0,2.75,1.0,2.0
flush,0,0,12,2,7,1,19,3,,,,
b,10,2,0,0,9,1,19,3,0.0,0.9,0.0,0.5
power,2,1,6,2,11,3,19,6,3.0,5.5,2.0,3.0
matrix_pow,0,0,12,6,6,3,18,9,,,,
shift_solution,9,1,0,0,9,1,18,2,0.0,1.0,0.0,1.0
diist,10,1,0,0,7,1,17,2,0.0,0.7,0.0,1.0
ask,6,2,0,0,11,2,17,4,0.0,1.8333333333333333,0.0,1.0
search,10,3,0,0,7,2,17,5,0.0,0.7,0.0,0.6666666666666666
isRightAngled,14,1,0,0,3,1,17,2,0.0,0.21428571428571427,0.0,1.0
to,8,1,0,0,8,1,16,2,0.0,1.0,0.0,1.0
is_valid,4,1,12,5,0,0,16,6,3.0,0.0,5.0,0.0
rl,15,12,0,0,1,1,16,13,0.0,0.06666666666666667,0.0,0.08333333333333333
sieve_of_eratosthenes,0,0,12,6,4,2,16,8,,,,
ans,14,3,0,0,2,1,16,4,0.0,0.14285714285714285,0.0,0.3333333333333333
divide,8,2,0,0,8,2,16,4,0.0,1.0,0.0,1.0
factorial,5,2,9,2,2,1,16,5,1.8,0.4,1.0,0.5
no,12,2,0,0,3,1,15,3,0.0,0.25,0.0,0.5
extended_gcd,0,0,6,2,9,3,15,5,,,,
fib,11,3,0,0,4,1,15,4,0.0,0.36363636363636365,0.0,0.3333333333333333
test,15,5,0,0,0,0,15,5,0.0,0.0,0.0,0.0
traverse,11,1,3,1,0,0,14,2,0.2727272727272727,0.0,1.0,0.0
dp,0,0,14,2,0,0,14,2,,,,
number,10,2,0,0,4,1,14,3,0.0,0.4,0.0,0.5
min_cost,0,0,14,5,0,0,14,5,,,,
mp,12,5,0,0,2,1,14,6,0.0,0.16666666666666666,0.0,0.2
read_string,7,1,0,0,7,1,14,2,0.0,1.0,0.0,1.0
C,7,3,0,0,7,3,14,6,0.0,1.0,0.0,1.0
ok,8,3,0,0,6,2,14,5,0.0,0.75,0.0,0.6666666666666666
euclidean_distance,0,0,14,3,0,0,14,3,,,,
pt,9,5,0,0,5,1,14,6,0.0,0.5555555555555556,0.0,0.2
isPrime,8,3,0,0,5,1,13,4,0.0,0.625,0.0,0.3333333333333333
can,8,3,0,0,5,2,13,5,0.0,0.625,0.0,0.6666666666666666
lt,11,5,0,0,2,1,13,6,0.0,0.18181818181818182,0.0,0.2
sum,13,2,0,0,0,0,13,2,0.0,0.0,0.0,0.0
count_substring,0,0,0,0,12,1,12,1,,,,
can_reach,3,1,2,1,7,3,12,5,0.6666666666666666,2.3333333333333335,1.0,3.0
sof,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
cnt,12,2,0,0,0,0,12,2,0.0,0.0,0.0,0.0
max_lcm,0,0,12,1,0,0,12,1,,,,
interval,12,1,0,0,0,0,12,1,0.0,0.0,0.0,0.0
increment,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
calculate_distance,0,0,5,1,7,2,12,3,,,,
generate_primes,2,1,4,2,6,3,12,6,2.0,3.0,2.0,3.0
expr,12,1,0,0,0,0,12,1,0.0,0.0,0.0,0.0
next,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
fail,6,2,0,0,6,2,12,4,0.0,1.0,0.0,1.0
is_bipartite,0,0,10,4,2,1,12,5,,,,
find_cycle,2,1,4,2,6,3,12,6,2.0,3.0,2.0,3.0
intersect,7,2,0,0,5,1,12,3,0.0,0.7142857142857143,0.0,0.5
line,7,2,0,0,4,1,11,3,0.0,0.5714285714285714,0.0,0.5
get_price,7,1,0,0,4,1,11,2,0.0,0.5714285714285714,0.0,1.0
lucky,11,2,0,0,0,0,11,2,0.0,0.0,0.0,0.0
co,5,1,0,0,6,1,11,2,0.0,1.2,0.0,1.0
prod,7,2,0,0,4,1,11,3,0.0,0.5714285714285714,0.0,0.5
can_transform,0,0,8,4,3,1,11,5,,,,
if,11,1,0,0,0,0,11,1,0.0,0.0,0.0,0.0
count_strings,0,0,2,1,9,1,11,2,,,,
alloc,3,1,0,0,8,1,11,2,0.0,2.6666666666666665,0.0,1.0
