submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
47,0.3137,0.3199,0.3194
126,0.1951,0.4106,0.4493
2269,0.1888,0.8272,0.2530
6317,0.5689,0.6504,0.7179
6916,0.1377,0.7674,0.1554
13097,0.2147,0.1868,0.2138
13551,0.0956,0.7513,0.1506
13664,0.1806,0.2217,0.2817
19968,0.2533,0.1371,0.1435
20121,0.0877,1.0000,0.0877
20647,0.1671,0.4911,0.2250
27892,0.1604,0.7836,0.2029
27941,0.1700,0.6385,0.3741
30695,0.2073,0.8057,0.1693
32545,0.1413,0.2488,0.1915
33321,0.1884,0.2298,0.1695
33376,0.1347,0.7545,0.1672
39142,0.1408,0.9271,0.1519
42719,0.1137,0.8780,0.1762
45936,0.0974,0.2091,0.1045
46428,0.1164,0.5181,0.2606
52537,0.2925,0.7036,0.4248
52900,0.2673,0.4405,0.4518
55553,0.1588,0.9107,0.1811
59962,0.4528,0.3542,0.3556
60092,0.0626,0.0939,0.1802
65738,0.1844,0.7253,0.2873
65740,0.5302,1.0000,0.5302
65995,0.1303,0.1401,0.6001
73002,0.2802,0.2068,0.3273
73007,0.2172,0.2187,0.2387
73585,0.2445,1.0000,0.2445
79294,0.2772,0.5067,0.3888
80115,0.2465,1.0000,0.2465
90017,0.1882,0.3746,0.1786
92079,0.2167,0.8054,0.1924
92163,0.1847,0.2915,0.1648
92791,0.0981,1.0000,0.0981
92833,0.2818,0.9958,0.2663
99074,0.3401,1.0000,0.3401
99111,0.2157,1.0000,0.2157
103043,0.3347,0.9210,0.3614
105411,0.1122,1.0000,0.1122
105521,0.0856,0.4101,0.3367
112199,0.1107,0.1197,0.3429
112768,0.3309,0.4388,0.1771
118431,0.0924,0.1574,0.7494
119336,0.3128,0.9432,0.3136
119337,0.1072,0.4151,0.3407
119342,0.2470,0.9813,0.2528
125226,0.2388,0.5904,0.2679
132357,0.5830,0.6629,0.5699
132798,0.0789,0.3059,0.3234
134628,0.1563,0.2682,0.3632
138721,0.0935,0.1022,0.2216
140667,0.1911,1.0000,0.1911
145189,0.1752,0.8892,0.1859
145319,0.0955,0.6610,0.1618
146515,0.3702,0.5768,0.2848
147162,0.1229,0.0924,0.4840
148905,0.2325,0.8396,0.2555
152784,0.1183,1.0000,0.1183
153749,0.1504,1.0000,0.1504
154797,0.1157,0.9726,0.1160
159033,0.1037,0.2737,0.1427
159238,0.1293,1.0000,0.1293
159240,0.4457,0.4068,0.5717
162836,0.0000,1.0000,0.0000
162839,0.1277,0.1376,0.2510
167398,0.1389,0.6709,0.1771
169286,0.1610,0.9761,0.1584
171693,0.1048,0.5393,0.1749
172201,0.1671,1.0000,0.1671
174115,0.1372,0.8552,0.3361
178275,0.0747,0.0881,0.4692
178335,0.3342,0.7190,0.3550
178344,0.1303,0.6982,0.1511
184937,0.2099,1.0000,0.2099
185133,0.0937,0.2362,0.3060
186540,0.3745,0.4117,0.5013
188429,0.1446,0.1100,0.4784
191418,0.0820,0.1675,0.3052
192136,0.1313,0.0636,0.2036
195257,0.2018,0.8631,0.1624
199687,0.1420,0.3158,0.7274
200165,0.0778,0.4105,0.0820
200167,0.1224,1.0000,0.1224
205014,0.2567,0.8930,0.2340
211035,0.0698,0.2254,0.1348
211368,0.1213,0.1071,0.2377
211375,0.1055,0.9395,0.1577
218888,0.2462,0.7856,0.2896
219465,0.0721,0.4584,0.2907
220199,0.2585,0.9720,0.2530
220207,0.1614,0.8967,0.1753
222199,0.2179,0.5769,0.2941
224899,0.2327,1.0000,0.2327
225018,0.1496,0.6185,0.2232
226689,0.1228,0.7626,0.1119
230355,0.2615,0.8545,0.2678
231061,0.1394,1.0000,0.1394
231063,0.1636,1.0000,0.1636
234221,0.5932,0.8085,0.6624
236602,0.0806,1.0000,0.0806
236606,0.1714,0.8639,0.1743
236615,0.0000,0.2221,0.0000
243459,0.1996,1.0000,0.1996
246537,0.1609,0.3283,0.4042
246741,0.1334,0.1833,0.5613
249795,0.0221,0.1296,0.2042
249798,0.1316,0.6594,0.2123
249868,0.2231,0.9774,0.2231
251915,0.1869,1.0000,0.1869
256380,0.0562,1.0000,0.0562
256381,0.2229,0.8868,0.2731
256405,0.3232,0.7649,0.2742
262960,0.2071,0.4673,0.1399
269557,0.1301,0.3024,0.2731
269813,0.5564,1.0000,0.5564
270632,0.1762,0.3256,0.3568
276001,0.1072,0.2269,0.5674
276004,0.1647,0.2096,0.5749
277555,0.3458,0.7868,0.7206
282306,0.1841,0.2186,0.7876
282508,0.2144,0.2286,0.2281
282647,0.0844,0.1157,0.2166
290391,0.2114,1.0000,0.2114
291677,0.0494,0.0750,0.1682
294765,0.1044,0.6990,0.0927
294958,0.2925,0.4127,0.1448
294959,0.1569,0.6188,0.1947
301434,0.4300,0.8505,0.4886
301649,0.1370,0.2911,0.1002
307902,0.1595,0.4547,0.3757
308083,0.1561,0.1523,0.2920
308357,0.3134,0.3311,0.1497
308359,0.3822,1.0000,0.3822
308363,0.1922,0.9496,0.2274
308381,0.3770,1.0000,0.3770
308382,0.4382,1.0000,0.4382
308383,0.0361,0.0370,0.6122
308388,0.1398,1.0000,0.1398
308695,0.1003,0.6134,0.1431
308698,0.1503,0.3172,0.1400
308703,0.4343,0.2872,0.1649
308917,0.1447,1.0000,0.1447
308932,0.0540,0.0786,0.7248
308959,0.0262,0.1096,0.5275
308985,0.3662,0.4178,0.3756
309060,0.1884,0.5920,0.1621
314332,0.2663,0.2572,0.7902
