submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
47,0.4595,0.5556,0.4595
126,0.3214,0.5294,0.3462
2269,0.2787,0.8000,0.2951
6317,0.2979,0.4416,0.3854
6916,0.2468,0.6333,0.3103
13097,0.4000,0.5625,0.4000
13551,0.2198,0.7500,0.2360
13664,0.2400,0.4068,0.3208
19968,0.3261,0.3269,0.3182
20121,0.3077,1.0000,0.3077
20647,0.2535,0.6250,0.3226
27892,0.3922,0.6316,0.4773
27941,0.1947,0.4262,0.3036
30695,0.2697,0.7143,0.2907
32545,0.2857,0.3256,0.2885
33321,0.2048,0.3000,0.2090
33376,0.2750,0.7209,0.3235
39142,0.3396,0.9231,0.3396
42719,0.2308,0.7097,0.3137
45936,0.1171,0.2632,0.1429
46428,0.2895,0.3478,0.2742
52537,0.2596,0.6721,0.3750
52900,0.2167,0.3947,0.3898
55553,0.2742,0.7647,0.3175
59962,0.1667,0.3086,0.2636
60092,0.3036,0.3208,0.3594
65738,0.1818,0.4000,0.2222
65740,0.3529,1.0000,0.3529
65995,0.1951,0.2394,0.4688
73002,0.3696,0.3226,0.4211
73007,0.3111,0.3103,0.3387
73585,0.3125,1.0000,0.3125
79294,0.2885,0.3594,0.2857
80115,0.2179,1.0000,0.2179
90017,0.1525,0.2389,0.3514
92079,0.3684,0.8400,0.4054
92163,0.3043,0.3548,0.2911
92791,0.1458,1.0000,0.1458
92833,0.3038,0.9773,0.3077
99074,0.3514,1.0000,0.3514
99111,0.2125,1.0000,0.2125
103043,0.2581,0.8519,0.2366
105411,0.1957,1.0000,0.1957
105521,0.3265,0.7931,0.3864
112199,0.2254,0.2400,0.3125
112768,0.4242,0.6667,0.4103
118431,0.1622,0.3333,0.3226
119336,0.3788,0.8571,0.4333
119337,0.2830,0.4524,0.4688
119342,0.2727,1.0000,0.2727
125226,0.3068,0.7455,0.3000
132357,0.3125,0.4286,0.5106
132798,0.2683,0.4118,0.3636
134628,0.1939,0.4143,0.3409
138721,0.3333,0.3393,0.4028
140667,0.3750,1.0000,0.3750
145189,0.2830,0.9600,0.2885
145319,0.2456,0.6216,0.3556
146515,0.2812,0.6538,0.3571
147162,0.1930,0.1754,0.3797
148905,0.4375,0.6667,0.4783
152784,0.1702,1.0000,0.1702
