name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
n,22702,573,44122,834,18768,567,85592,1974,1.9435292044753767,0.8267113029689014,1.455497382198953,0.9895287958115183
b,26051,255,1353,120,1755,172,29159,547,0.05193658592760355,0.06736785536063875,0.47058823529411764,0.6745098039215687
i,13882,166,5582,83,3568,83,23032,332,0.4021034433078807,0.25702348364788935,0.5,0.5
a,10648,348,5796,159,4983,220,21427,727,0.5443275732531931,0.46797520661157027,0.45689655172413796,0.632183908045977
s,9625,279,5101,129,4088,181,18814,589,0.529974025974026,0.42472727272727273,0.46236559139784944,0.6487455197132617
t,8676,149,4238,66,3050,81,15964,296,0.4884739511295528,0.3515444905486399,0.4429530201342282,0.5436241610738255
m,4034,237,4231,195,2965,191,11230,623,1.048834903321765,0.7350024789291026,0.8227848101265823,0.8059071729957806
r,5942,114,1476,33,3655,73,11073,220,0.24840121171322788,0.6151127566475934,0.2894736842105263,0.6403508771929824
c,3885,189,1587,58,1875,98,7347,345,0.4084942084942085,0.4826254826254826,0.30687830687830686,0.5185185185185185
k,3313,267,2269,241,1417,204,6999,712,0.6848777543012375,0.4277090250528222,0.9026217228464419,0.7640449438202247
p,3571,108,1635,47,1279,52,6485,207,0.45785494259311116,0.3581629795575469,0.4351851851851852,0.48148148148148145
d,3422,141,1387,52,1637,89,6446,282,0.40531852717708944,0.47837521917007597,0.36879432624113473,0.6312056737588653
x,3325,192,1059,80,1944,103,6328,375,0.3184962406015038,0.5846616541353383,0.4166666666666667,0.5364583333333334
l,4011,145,940,30,1363,67,6314,242,0.2343555223136375,0.3398155073547744,0.20689655172413793,0.46206896551724136
y,2183,125,848,59,1847,94,4878,278,0.38845625286303254,0.8460833715071003,0.472,0.752
f,3515,61,135,8,323,17,3973,86,0.03840682788051209,0.0918918918918919,0.13114754098360656,0.2786885245901639
result,390,50,1766,273,1053,138,3209,461,4.528205128205128,2.7,5.46,2.76
v,1841,79,422,21,939,50,3202,150,0.2292232482346551,0.510048886474742,0.26582278481012656,0.6329113924050633
input,75,17,2977,605,95,30,3147,652,39.693333333333335,1.2666666666666666,35.588235294117645,1.7647058823529411
ans,2002,191,0,0,667,103,2669,294,0.0,0.33316683316683315,0.0,0.5392670157068062
j,1260,72,631,42,751,42,2642,156,0.5007936507936508,0.596031746031746,0.5833333333333334,0.5833333333333334
2,1163,86,430,81,688,83,2281,250,0.3697334479793637,0.5915735167669819,0.9418604651162791,0.9651162790697675
u,490,26,1152,18,298,13,1940,57,2.3510204081632655,0.6081632653061224,0.6923076923076923,0.5
count,453,61,753,104,510,79,1716,244,1.6622516556291391,1.1258278145695364,1.7049180327868851,1.2950819672131149
e,893,17,42,1,649,13,1584,31,0.04703247480403135,0.7267637178051511,0.058823529411764705,0.7647058823529411
h,655,44,450,20,342,23,1447,87,0.6870229007633588,0.5221374045801527,0.45454545454545453,0.5227272727272727
w,684,27,297,19,218,20,1199,66,0.4342105263157895,0.31871345029239767,0.7037037037037037,0.7407407407407407
res,783,88,155,4,245,40,1183,132,0.1979565772669221,0.3128991060025543,0.045454545454545456,0.45454545454545453
q,517,62,231,27,287,45,1035,134,0.44680851063829785,0.5551257253384912,0.43548387096774194,0.7258064516129032
index,174,14,659,89,190,21,1023,124,3.7873563218390807,1.0919540229885059,6.357142857142857,1.5
dp,185,15,542,53,134,15,861,83,2.9297297297297296,0.7243243243243244,3.533333333333333,1.0
g,447,27,125,7,213,16,785,50,0.2796420581655481,0.47651006711409394,0.25925925925925924,0.5925925925925926
start,83,11,363,38,295,27,741,76,4.373493975903615,3.5542168674698793,3.4545454545454546,2.4545454545454546
y2,214,14,401,21,107,18,722,53,1.8738317757009346,0.5,1.5,1.2857142857142858
line,602,13,7,1,90,12,699,26,0.011627906976744186,0.14950166112956811,0.07692307692307693,0.9230769230769231
mid,140,21,294,41,261,28,695,90,2.1,1.8642857142857143,1.9523809523809523,1.3333333333333333
high,67,11,401,28,217,14,685,53,5.985074626865671,3.2388059701492535,2.5454545454545454,1.2727272727272727
end,285,71,170,21,219,39,674,131,0.5964912280701754,0.7684210526315789,0.29577464788732394,0.5492957746478874
pos,264,21,271,16,111,13,646,50,1.0265151515151516,0.42045454545454547,0.7619047619047619,0.6190476190476191
cnt,476,45,2,1,155,22,633,68,0.004201680672268907,0.32563025210084034,0.022222222222222223,0.4888888888888889
row,44,6,202,24,382,13,628,43,4.590909090909091,8.681818181818182,4.0,2.1666666666666665
y1,230,13,239,20,149,18,618,51,1.0391304347826087,0.6478260869565218,1.5384615384615385,1.3846153846153846
cur,430,31,0,0,168,15,598,46,0.0,0.39069767441860465,0.0,0.4838709677419355
points,196,7,295,26,104,11,595,44,1.5051020408163265,0.5306122448979592,3.7142857142857144,1.5714285714285714
visited,82,16,370,47,140,30,592,93,4.512195121951219,1.7073170731707317,2.9375,1.875
__name__,303,132,137,137,147,147,587,416,0.4521452145214521,0.48514851485148514,1.0378787878787878,1.1136363636363635
o,425,10,24,1,133,4,582,15,0.05647058823529412,0.3129411764705882,0.1,0.4
low,66,9,332,28,150,12,548,49,5.03030303030303,2.272727272727273,3.111111111111111,1.3333333333333333
L,344,35,8,2,187,17,539,54,0.023255813953488372,0.5436046511627907,0.05714285714285714,0.4857142857142857
results,41,3,417,54,65,14,523,71,10.170731707317072,1.5853658536585367,18.0,4.666666666666667
num,166,25,190,19,166,19,522,63,1.144578313253012,1.0,0.76,0.76
last,379,21,67,5,72,8,518,34,0.17678100263852242,0.18997361477572558,0.23809523809523808,0.38095238095238093
z,283,37,96,13,121,13,500,63,0.3392226148409894,0.4275618374558304,0.35135135135135137,0.35135135135135137
x2,141,13,288,8,56,6,485,27,2.0425531914893615,0.3971631205673759,0.6153846153846154,0.46153846153846156
x1,216,14,176,11,82,8,474,33,0.8148148148148148,0.37962962962962965,0.7857142857142857,0.5714285714285714
grid,41,6,296,39,106,18,443,63,7.219512195121951,2.5853658536585367,6.5,3.0
_,29,3,317,7,75,4,421,14,10.931034482758621,2.586206896551724,2.3333333333333335,1.3333333333333333
left,99,13,184,29,136,21,419,63,1.8585858585858586,1.3737373737373737,2.230769230769231,1.6153846153846154
val,376,14,4,1,28,7,408,22,0.010638297872340425,0.07446808510638298,0.07142857142857142,0.5
queue,49,7,244,39,113,20,406,66,4.979591836734694,2.306122448979592,5.571428571428571,2.857142857142857
char,2,1,263,27,139,16,404,44,131.5,69.5,27.0,16.0
dist,81,10,286,15,34,4,401,29,3.5308641975308643,0.41975308641975306,1.5,0.4
