submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
126,0.3684,0.3684,0.8462
47,0.6250,0.7917,0.6667
13664,0.2987,0.4407,0.5192
13097,0.3824,0.9231,0.4242
20121,0.3478,0.8000,0.3750
19968,0.3243,0.4324,0.7647
20647,0.2625,0.4583,0.3378
30695,0.2065,0.5246,0.2927
32545,0.4000,0.3529,0.2857
33376,0.1927,0.3023,0.3000
27941,0.1824,0.2044,0.4505
33321,0.2254,0.4186,0.2308
45936,0.2439,0.2045,0.6296
39142,0.3448,0.5610,0.4375
52900,0.5556,0.3667,0.5600
46428,0.1897,0.8824,0.2105
55553,0.4082,0.6667,0.5814
52537,0.2500,0.8400,0.2979
59962,0.1714,0.7209,0.2376
65738,0.4688,0.5455,0.4595
60092,0.2857,1.0000,0.2857
65740,0.7500,0.8571,0.8571
65995,0.2254,0.4151,0.3725
73002,0.2073,0.2394,0.2812
92079,0.4828,0.8800,0.5714
73007,0.2128,0.5312,0.2857
92791,0.6364,0.9333,0.5909
99074,0.6842,1.0000,0.6842
73585,0.8333,0.8333,1.0000
92163,0.3333,0.4151,0.4032
105411,0.6154,1.0000,0.6154
79294,0.3556,0.6250,0.3958
99111,0.3696,0.4857,0.3958
112768,0.3871,0.7778,0.4828
105521,0.3023,0.3421,0.5938
92833,0.2143,0.4684,0.3131
112199,0.2500,0.2308,0.3500
119336,0.3651,0.9388,0.3710
118431,0.3333,0.3529,0.9091
132357,0.4118,0.5862,0.4444
119337,0.2979,0.3373,0.1688
132798,0.2400,0.3243,0.5106
103043,0.3258,0.6935,0.3297
125226,0.3816,0.4627,0.5352
134628,0.2400,0.3377,0.3871
145319,0.2090,0.6216,0.2909
138721,0.1605,0.4688,0.2297
152784,0.3750,0.3548,0.4800
119342,0.2195,0.8451,0.2149
159033,0.2453,0.3913,0.5429
159238,0.3333,0.4444,0.5652
146515,0.2073,0.5429,0.2159
148905,0.4583,0.3889,0.3429
159240,0.2826,0.7429,0.3077
171693,0.3448,0.6667,0.5000
172201,0.2683,0.6842,0.3846
162836,0.2903,0.5294,0.2973
178275,0.2258,0.2258,0.7391
162839,0.2881,0.8852,0.3070
178344,0.3611,0.5405,0.5000
154797,0.2016,0.3154,0.2599
184937,0.7500,0.8182,0.7500
186540,0.3438,0.4865,0.3171
185133,0.3103,0.6341,0.2794
192136,0.1912,0.3256,0.2113
191418,0.2286,0.4583,0.3333
