submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
19821,0.3333,0.3818,0.8182
19768,0.6552,0.7037,0.9130
11553,0.3889,1.0000,0.3889
15926,0.4118,1.0000,0.4118
11776,0.1193,0.9412,0.1221
11501,0.1639,0.3594,0.4146
3,0.3871,0.3871,1.0000
31543,0.2667,0.3256,0.5714
11549,0.3182,0.3175,0.4667
20122,0.4127,0.4179,0.7333
6,0.3016,0.3636,0.5000
31644,0.2632,0.2069,0.2584
16001,0.3947,1.0000,0.3947
35453,0.4340,0.4717,0.4545
31504,0.3297,0.4286,0.1965
19829,0.5278,1.0000,0.5278
17873,0.3273,1.0000,0.3273
45907,0.3571,0.5000,0.5625
35394,0.2268,0.3649,0.3571
35393,0.2535,0.9851,0.2676
87,0.2115,1.0000,0.2115
55503,0.2576,1.0000,0.2576
43241,0.3494,1.0000,0.3494
1,0.2727,1.0000,0.2727
55246,0.1923,1.0000,0.1923
45970,0.2308,0.3382,0.3261
47057,0.3299,0.3272,0.2448
43242,0.2200,0.9888,0.2222
56363,0.3000,0.4941,0.3210
43205,0.4324,1.0000,0.4324
69337,0.5588,0.5676,0.8276
31790,0.3148,1.0000,0.3148
75874,0.3750,0.3415,0.6552
55387,0.3452,1.0000,0.3452
55394,0.2250,1.0000,0.2250
69622,0.4038,0.4500,0.2075
55393,0.2118,1.0000,0.2118
75817,0.5909,0.5435,0.8750
56371,0.2992,0.3110,0.2706
55390,0.2316,1.0000,0.2316
64065,0.3061,1.0000,0.3061
46775,0.3523,1.0000,0.3523
76824,0.2273,1.0000,0.2273
84059,0.5577,0.7500,0.5102
55395,0.2979,0.7671,0.3516
55271,0.3117,1.0000,0.3117
96634,0.6333,0.6129,0.6786
91549,0.2800,1.0000,0.2800
69584,0.5065,1.0000,0.5065
56242,0.1880,1.0000,0.1880
91551,0.2299,1.0000,0.2299
83873,0.2667,0.6842,0.3276
69382,0.1667,1.0000,0.1667
108743,0.3585,0.4038,0.7568
101612,0.3404,0.3333,0.6400
112081,0.3770,0.3729,0.8333
108733,0.5652,0.5357,0.6667
84138,0.3864,1.0000,0.3864
112112,0.1954,1.0000,0.1954
118342,0.6087,0.5385,0.7826
96588,0.3939,1.0000,0.3939
101961,0.2976,1.0000,0.2976
101742,0.4921,0.3924,0.4177
119358,0.2340,0.8939,0.2426
98122,0.2000,1.0000,0.2000
133788,0.2951,1.0000,0.2951
109105,0.2759,0.9545,0.2982
129419,0.2769,0.5370,0.2424
101601,0.4043,1.0000,0.4043
112077,0.3571,1.0000,0.3571
112137,0.2793,1.0000,0.2793
133845,0.2903,0.3333,0.6875
112424,0.1837,1.0000,0.1837
143071,0.2535,0.2951,0.6000
118364,0.2405,1.0000,0.2405
135140,0.1419,0.2593,0.3800
143196,0.4000,0.5476,0.7333
129489,0.2477,0.5487,0.2353
118445,0.2000,1.0000,0.2000
147830,0.3621,0.5435,0.4182
147780,0.4595,0.4595,0.9200
147951,0.5789,0.5500,0.8788
148341,0.2533,0.2797,0.2716
156125,0.2255,1.0000,0.2255
156003,0.4107,0.5181,0.2447
162199,0.4000,0.5075,0.5161
134367,0.3239,0.9828,0.3380
156010,0.2439,1.0000,0.2439
143199,0.1597,0.9825,0.1513
143252,0.2381,0.9714,0.2381
174497,0.2778,0.3562,0.5405
161617,0.2771,0.4225,0.4773
129325,0.3288,1.0000,0.3288
156160,0.2642,1.0000,0.2642
168932,0.3091,0.7609,0.3696
156144,0.2245,0.2692,0.3889
161613,0.2752,0.3523,0.5667
168408,0.2523,1.0000,0.2523
148114,0.3036,0.9444,0.3036
174534,0.3115,1.0000,0.3115
178590,0.4324,1.0000,0.4324
175068,0.3333,0.3396,0.8966
161624,0.1795,1.0000,0.1795
169147,0.2462,0.3314,0.3060
178639,0.2273,0.7255,0.2193
185877,0.3281,1.0000,0.3281
168425,0.7273,0.9000,0.7419
185883,0.2532,0.8806,0.2817
175836,0.2039,1.0000,0.2039
164646,0.2474,1.0000,0.2474
192392,0.1654,0.2031,0.6970
192311,0.3333,1.0000,0.3333
174673,0.3333,1.0000,0.3333
200270,0.1397,0.1471,0.8077
178292,0.3191,1.0000,0.3191
178390,0.4242,1.0000,0.4242
192365,0.2340,1.0000,0.2340
208759,0.2021,0.3564,0.3514
200214,0.3973,0.9016,0.4328
178306,0.2642,1.0000,0.2642
210996,0.2400,0.2469,0.4737
186506,0.2222,1.0000,0.2222
218045,0.3906,0.5085,0.6757
211002,0.3433,0.3784,0.5918
217915,0.4561,1.0000,0.4561
201028,0.1915,0.2415,0.2194
193179,0.3043,1.0000,0.3043
213660,0.4255,0.5870,0.5111
194640,0.2267,1.0000,0.2267
224382,0.2400,0.2553,0.5833
224206,0.3265,0.5745,0.5000
218317,0.3210,0.3247,0.4189
200570,0.2500,1.0000,0.2500
224339,0.1583,1.0000,0.1583
230367,0.5789,1.0000,0.5789
208621,0.3000,1.0000,0.3000
230535,0.3030,0.3651,0.6471
192461,0.1797,0.6805,0.1437
208643,0.2167,1.0000,0.2167
239732,0.6071,1.0000,0.6071
218090,0.4615,1.0000,0.4615
208764,0.2447,1.0000,0.2447
244683,0.5952,0.6047,0.6410
258182,0.3774,0.4151,0.9231
211122,0.1405,1.0000,0.1405
239736,0.3958,0.4545,0.5750
249813,0.1776,0.2330,0.6786
258061,0.6842,0.5833,0.6800
230661,0.3438,1.0000,0.3438
