submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
47,0.3180,1.0000,0.3180
126,0.3062,1.0000,0.3062
13664,0.2505,1.0000,0.2505
19968,0.1484,0.8601,0.1726
20121,0.2030,1.0000,0.2030
27941,0.2172,1.0000,0.2172
32545,0.2125,1.0000,0.2125
33321,0.2134,1.0000,0.2134
39142,0.5251,1.0000,0.5251
46428,0.1078,1.0000,0.1078
52537,0.3101,0.6036,0.2179
52900,0.2597,0.2363,0.4811
65740,0.6245,1.0000,0.6245
65995,0.1494,0.1347,0.8671
73002,0.3300,0.7221,0.3562
73007,0.2470,0.9921,0.2581
73585,0.2524,1.0000,0.2524
79294,0.4366,1.0000,0.4366
92079,0.2186,0.9234,0.2155
92791,0.2900,1.0000,0.2900
92833,0.2004,0.2365,0.7031
99074,0.2860,1.0000,0.2860
99111,0.1906,1.0000,0.1906
105521,0.1144,0.9887,0.1318
112199,0.0862,1.0000,0.0862
118431,0.1735,0.1586,0.7167
119336,0.3890,1.0000,0.3890
125226,0.3097,0.9906,0.3046
132357,0.5075,1.0000,0.5075
134628,0.2282,0.2482,0.7624
145319,0.0801,0.8260,0.0931
146515,0.1576,1.0000,0.1576
148905,0.3136,0.9987,0.3227
152784,0.1090,0.2583,0.3659
159033,0.1329,0.0939,0.1219
159238,0.1165,1.0000,0.1165
159240,0.3140,0.4159,0.2589
162836,0.3714,1.0000,0.3714
162839,0.1806,0.1207,0.1763
171693,0.1455,0.9848,0.1386
172201,0.4111,0.6408,0.2892
178344,0.0843,1.0000,0.0843
184937,0.6346,1.0000,0.6346
188429,0.1332,1.0000,0.1332
191418,0.1748,0.1587,0.2004
195257,0.2648,0.9993,0.2638
199687,0.2284,0.4191,0.7571
200165,0.2933,1.0000,0.2933
200167,0.1736,0.9188,0.1918
205014,0.2519,0.9734,0.2317
211035,0.1529,0.6757,0.1945
211368,0.0782,0.0937,0.8345
211375,0.0358,0.2834,0.1479
218888,0.2706,0.7575,0.2262
220199,0.2835,1.0000,0.2835
220207,0.2395,1.0000,0.2395
224899,0.3247,1.0000,0.3247
230355,0.5114,0.8545,0.5985
231061,0.2339,1.0000,0.2339
236606,0.4101,1.0000,0.4101
236615,0.0325,0.0718,0.1037
243459,0.1610,1.0000,0.1610
246741,0.2500,0.1938,0.6966
249795,0.0182,0.3180,0.0572
249798,0.1338,1.0000,0.1338
249868,0.2211,1.0000,0.2211
256380,0.0654,1.0000,0.0654
256381,0.2717,1.0000,0.2717
262960,0.4911,0.3789,0.4623
269557,0.1442,0.4854,0.2195
269813,0.8851,1.0000,0.8851
270632,0.2127,0.2398,0.4689
276001,0.1130,1.0000,0.1130
276004,0.1639,0.8313,0.1241
277555,0.4629,1.0000,0.4629
282647,0.1369,0.6679,0.2049
294765,0.0855,0.9593,0.0768
294959,0.2040,0.6819,0.3127
301434,0.3540,0.9542,0.3710
301649,0.2241,1.0000,0.2241
308359,0.5985,1.0000,0.5985
308388,0.2665,1.0000,0.2665
308695,0.3106,1.0000,0.3106
308698,0.1431,1.0000,0.1431
308932,0.0299,0.4903,0.0852
314332,0.2417,0.3482,0.9775
315229,0.4064,0.6323,0.6929
320852,0.2679,0.3729,0.5036
321399,0.1490,0.5062,0.2469
327651,0.2402,0.8798,0.2289
328576,0.3560,0.2140,0.7119
334269,0.3341,0.9095,0.3673
338632,0.5742,1.0000,0.5742
340310,0.4537,1.0000,0.4537
350662,0.3430,0.5184,0.3582
350668,0.1700,0.9157,0.1538
357133,0.2664,0.2443,0.2832
357134,0.3785,1.0000,0.3785
364500,0.3161,1.0000,0.3161
364523,0.5200,0.4034,0.5029
367351,0.1659,0.2959,0.5826
371210,0.2211,0.9739,0.2163
372104,0.3351,0.5752,0.4057
373818,0.0763,0.2874,0.0902
386756,0.3689,1.0000,0.3689
387527,0.2647,1.0000,0.2647
393560,0.1035,0.2001,0.3051
394276,0.1052,1.0000,0.1052
399990,0.2518,1.0000,0.2518
401734,0.1528,0.1958,0.2115
402452,0.1501,1.0000,0.1501
405431,0.1793,1.0000,0.1793
405890,0.1694,1.0000,0.1694
406095,0.1428,1.0000,0.1428
408249,0.2715,0.1664,0.5363
414703,0.3197,1.0000,0.3197
421638,0.2926,1.0000,0.2926
427912,0.2937,0.4439,0.4559
435888,0.0957,0.3423,0.3179
440485,0.1540,0.3928,0.3352
441324,0.4693,1.0000,0.4693
442057,0.1301,0.2229,0.7132
451759,0.2930,1.0000,0.2930
452491,0.2249,1.0000,0.2249
458220,0.2014,0.9953,0.1993
458239,0.2003,1.0000,0.2003
465134,0.1930,1.0000,0.1930
467323,0.1907,1.0000,0.1907
473729,0.3546,0.3233,0.4336
475227,0.1851,0.3221,0.3569
