submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
3,0.3448,0.4138,0.7000
35393,0.2500,0.2838,0.5143
16001,0.3659,0.4054,0.4043
11553,0.3846,1.0000,0.3846
15926,0.4375,1.0000,0.4375
11549,0.3226,0.9512,0.3333
19768,0.5333,0.8400,0.6154
31543,0.1680,0.4568,0.2289
6,0.3151,1.0000,0.3151
19821,0.3333,0.7174,0.4318
17873,0.3333,1.0000,0.3333
1,0.2059,1.0000,0.2059
35394,0.2530,0.3649,0.4878
35453,0.2439,0.3390,0.3544
31504,0.2800,1.0000,0.2800
11501,0.3438,1.0000,0.3438
55246,0.2078,0.3521,0.4688
45970,0.2031,0.3770,0.4571
20122,0.4426,0.9091,0.4746
55503,0.2361,1.0000,0.2361
87,0.2330,0.6610,0.2892
16484,0.2619,0.8857,0.2895
56242,0.1524,0.3462,0.2479
19829,0.3704,0.8438,0.4314
43205,0.2745,1.0000,0.2745
64088,0.3750,1.0000,0.3750
56363,0.2750,0.9839,0.2785
56371,0.2437,1.0000,0.2437
64065,0.3590,1.0000,0.3590
75920,0.6250,1.0000,0.6250
69622,0.3333,0.9556,0.3462
69337,0.3902,0.8387,0.4359
55394,0.2474,0.9155,0.2447
76824,0.1818,1.0000,0.1818
55393,0.2151,0.6842,0.1978
69382,0.1613,0.7368,0.2759
43241,0.2371,0.8529,0.2644
43242,0.2295,0.7391,0.2692
96634,0.5667,0.6897,0.7600
91549,0.2836,1.0000,0.2836
84059,0.4746,0.8333,0.4286
55390,0.3333,0.9706,0.3409
75817,0.5000,0.9706,0.5208
91551,0.2987,1.0000,0.2987
112112,0.1954,0.2619,0.6923
16181,0.2451,0.4138,0.3818
112081,0.2105,0.5455,0.3137
83937,0.2362,1.0000,0.2362
108743,0.4151,1.0000,0.4151
69584,0.4086,1.0000,0.4086
83873,0.3067,0.6842,0.3793
101612,0.3404,1.0000,0.3404
84138,0.3548,0.8571,0.3188
31644,0.3690,1.0000,0.3690
118342,0.5600,0.6087,0.8182
129419,0.3548,0.9762,0.3607
109105,0.3148,0.4531,0.3684
75874,0.4359,0.8710,0.4857
101961,0.2987,1.0000,0.2987
133788,0.2982,0.3673,0.5588
101742,0.4127,0.9787,0.4062
98122,0.2179,0.8852,0.2222
133845,0.2879,0.4912,0.3913
129246,0.2935,1.0000,0.2935
129489,0.2456,1.0000,0.2456
143071,0.2623,0.4576,0.4571
46775,0.3544,0.9365,0.3733
135140,0.1172,0.2296,0.2889
143196,0.4348,1.0000,0.4348
96588,0.5588,1.0000,0.5588
161617,0.2195,0.3380,0.3947
55395,0.3113,0.9394,0.2991
156010,0.2532,0.3649,0.5882
147830,0.3607,0.6047,0.4286
147951,0.4865,0.6364,0.7500
118364,0.2152,0.3836,0.3947
112137,0.2545,0.4505,0.3803
156160,0.2927,0.9623,0.2857
101601,0.5250,1.0000,0.5250
156125,0.2660,1.0000,0.2660
156003,0.3538,1.0000,0.3538
118445,0.1955,0.4480,0.3433
156144,0.2478,1.0000,0.2478
168425,0.5500,0.7027,0.6250
134367,0.4444,0.9825,0.4516
174534,0.3115,0.4091,0.4000
174497,0.2785,0.7353,0.3492
119358,0.2679,1.0000,0.2679
185783,0.6957,0.8182,0.8421
143252,0.2396,0.4928,0.3333
185883,0.2632,0.5672,0.3673
147780,0.2121,0.9333,0.2188
192311,0.3333,0.4681,0.4167
185877,0.2676,0.3594,0.4250
112424,0.2526,0.5714,0.4231
178590,0.4324,0.6000,0.5143
148114,0.3830,0.9722,0.4043
129325,0.3537,0.6515,0.4286
143199,0.3016,1.0000,0.3016
161613,0.1647,0.9024,0.1728
192392,0.1571,0.2188,0.5000
168408,0.2857,0.3367,0.4211
178390,0.4375,1.0000,0.4375
200214,0.3947,0.7213,0.5085
200570,0.2424,0.2947,0.7714
164646,0.2524,0.9079,0.2653
162199,0.3333,0.9464,0.2963
200270,0.1324,0.2121,0.5625
175836,0.2286,0.3853,0.2812
178292,0.3077,0.8649,0.3404
