submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
13097,0.1784,1.0000,0.1784
47,0.2254,0.9406,0.2396
126,0.1489,1.0000,0.1489
19968,0.2185,0.1643,0.1406
20121,0.0948,1.0000,0.0948
27941,0.1754,0.8262,0.3279
13664,0.1692,0.9945,0.1767
20647,0.4395,0.8824,0.4339
45936,0.1526,0.5643,0.2660
32545,0.1783,0.4055,0.1643
33321,0.1968,1.0000,0.1968
30695,0.3803,0.7561,0.2709
33376,0.1084,0.7335,0.1277
60092,0.0953,0.9972,0.1013
39142,0.2837,1.0000,0.2837
46428,0.0828,1.0000,0.0828
52900,0.2737,0.3789,0.3374
52537,0.3390,1.0000,0.3390
73002,0.2215,0.9814,0.1995
65995,0.0986,0.7663,0.1455
73007,0.5562,0.9910,0.5856
59962,0.2948,1.0000,0.2948
65740,0.3827,1.0000,0.3827
73585,0.1397,1.0000,0.1397
55553,0.2223,0.9862,0.2424
92791,0.4379,1.0000,0.4379
92163,0.1960,0.9340,0.2056
92079,0.2648,0.8746,0.2925
79294,0.2859,1.0000,0.2859
92833,0.2218,1.0000,0.2218
99111,0.2585,1.0000,0.2585
99074,0.3211,1.0000,0.3211
112199,0.1526,0.8930,0.1709
105521,0.1389,0.2065,0.3297
105411,0.1768,1.0000,0.1768
112768,0.2146,1.0000,0.2146
119336,0.2558,1.0000,0.2558
118431,0.1147,0.6028,0.2183
119337,0.0545,1.0000,0.0545
103043,0.2820,1.0000,0.2820
132357,0.4993,1.0000,0.4993
132798,0.0527,0.9912,0.0532
125226,0.3270,0.9920,0.3442
119342,0.2136,0.9814,0.2181
145319,0.0928,0.8114,0.1131
134628,0.2291,0.2399,0.8409
146515,0.3887,1.0000,0.3887
152784,0.1808,1.0000,0.1808
148905,0.8088,0.9989,0.7968
159240,0.1778,0.9843,0.1955
154797,0.2252,0.9981,0.2194
159238,0.1440,0.9976,0.1458
159033,0.0824,0.1549,0.2279
162836,0.1521,0.9969,0.1590
162839,0.3417,0.9842,0.3611
178275,0.0839,0.0848,0.7042
184937,0.2580,1.0000,0.2580
171693,0.1667,1.0000,0.1667
185133,0.1280,1.0000,0.1280
178344,0.0948,0.9940,0.0939
191418,0.1585,0.5582,0.1006
192136,0.1771,0.1217,0.4834
200165,0.1910,1.0000,0.1910
186540,0.3752,0.9575,0.3952
200167,0.1572,0.4967,0.4440
195257,0.3082,0.9928,0.3148
199687,0.1751,0.9591,0.1975
211368,0.1778,0.9859,0.1858
188429,0.1726,1.0000,0.1726
211035,0.1825,0.9733,0.1777
218888,0.3798,0.9471,0.3973
219465,0.1377,1.0000,0.1377
224899,0.2478,1.0000,0.2478
211375,0.1000,0.9742,0.1165
225018,0.2378,1.0000,0.2378
205014,0.3139,0.9264,0.3209
220199,0.2959,1.0000,0.2959
220207,0.0744,1.0000,0.0744
231063,0.3129,1.0000,0.3129
226689,0.0802,1.0000,0.0802
230355,0.1867,0.8545,0.2049
236606,0.3085,1.0000,0.3085
231061,0.1496,1.0000,0.1496
236602,0.0710,1.0000,0.0710
243459,0.1399,0.9299,0.1837
236615,0.0676,1.0000,0.0676
249798,0.1630,0.9812,0.1969
246537,0.1521,0.9663,0.1451
256381,0.2680,1.0000,0.2680
246741,0.1090,0.8943,0.1179
256380,0.0923,1.0000,0.0923
249868,0.2031,0.9569,0.1943
269557,0.1690,0.8826,0.2182
249795,0.0360,1.0000,0.0360
256405,0.3978,1.0000,0.3978
251915,0.2610,1.0000,0.2610
269813,0.5933,1.0000,0.5933
276001,0.1141,1.0000,0.1141
277555,0.3600,1.0000,0.3600
262960,0.2960,0.9789,0.2980
276004,0.2458,0.9338,0.2168
270632,0.1976,1.0000,0.1976
294765,0.0979,0.1863,0.3116
282647,0.1165,0.4765,0.2905
301434,0.4873,0.9542,0.5107
294959,0.3356,1.0000,0.3356
301649,0.1559,0.3235,0.0937
308359,0.4502,1.0000,0.4502
308363,0.1407,0.9283,0.1430
308695,0.2116,1.0000,0.2116
308698,0.1589,0.9218,0.1854
308383,0.0516,0.9847,0.0572
308959,0.0181,1.0000,0.0181
308932,0.0101,0.9647,0.0104
308388,0.1171,1.0000,0.1171
315229,0.3686,0.9748,0.3777
320852,0.1925,0.2676,0.4016
308985,0.2440,1.0000,0.2440
314332,0.2159,1.0000,0.2159
315284,0.1935,1.0000,0.1935
328005,0.4552,0.9286,0.4934
321012,0.5354,1.0000,0.5354
338632,0.5152,0.9725,0.5162
321399,0.1284,0.6618,0.1422
327651,0.1137,0.8440,0.1282
317693,0.2256,1.0000,0.2256
328576,0.2370,0.1867,0.5342
350668,0.1069,0.9668,0.1026
334269,0.3106,1.0000,0.3106
350859,0.1042,1.0000,0.1042
340310,0.3189,1.0000,0.3189
357133,0.2844,0.9977,0.2864
357134,0.2996,1.0000,0.2996
364523,0.2882,0.9926,0.2864
350662,0.4018,1.0000,0.4018
364500,0.1882,1.0000,0.1882
371210,0.2546,0.9693,0.2540
373818,0.0779,0.2439,0.1228
387527,0.3578,1.0000,0.3578
394276,0.1402,0.1012,0.4565
393560,0.0956,0.8178,0.0974
386756,0.3445,0.9601,0.3531
367351,0.1672,0.9963,0.1709
400059,0.4169,1.0000,0.4169
399990,0.1238,0.4691,0.2351
401734,0.1814,0.2011,0.2274
402474,0.4300,1.0000,0.4300
402452,0.2406,1.0000,0.2406
387301,0.2638,0.9591,0.2750
372104,0.1453,1.0000,0.1453
396610,0.2848,0.8853,0.3996
405431,0.1501,1.0000,0.1501
401562,0.1463,0.9821,0.1746
414703,0.1761,0.2261,0.0829
408249,0.2018,0.3505,0.3819
405890,0.0801,1.0000,0.0801
406095,0.1105,0.9919,0.1117
414924,0.1585,1.0000,0.1585
406342,0.1171,0.5391,0.1709
428331,0.1440,0.2863,0.1890
434619,0.1758,0.9841,0.1587
421638,0.1726,1.0000,0.1726
441324,0.4484,1.0000,0.4484
427912,0.2478,0.9685,0.2528
440485,0.1345,0.5906,0.1824
441487,0.0357,0.1780,0.2004
435888,0.1638,0.2601,0.2768
451759,0.2375,0.2390,0.2830
458218,0.2387,0.6839,0.2735
441342,0.2592,0.4811,0.4208
442057,0.1328,0.9626,0.1328
458220,0.1471,1.0000,0.1471
467323,0.1007,0.5761,0.2516
452729,0.2144,0.7486,0.1939
452491,0.2864,1.0000,0.2864
459191,0.4640,1.0000,0.4640
458239,0.2018,0.9447,0.1987
465134,0.3532,1.0000,0.3532
480807,0.3499,1.0000,0.3499
476972,0.1014,1.0000,0.1014
475227,0.1385,0.2199,0.2810
483172,0.1330,1.0000,0.1330
465049,0.1447,0.5243,0.2280
473729,0.2858,0.3954,0.3003
487593,0.2803,0.9913,0.2828
501451,0.2344,0.7034,0.4095
482635,0.0893,1.0000,0.0893
487585,0.2135,0.9638,0.2070
512226,0.4260,1.0000,0.4260
501509,0.1035,0.9436,0.1054
487592,0.2030,0.9674,0.2324
519078,0.1522,0.9360,0.1585
501265,0.1118,0.9463,0.1396
519013,0.0491,1.0000,0.0491
514587,0.2116,1.0000,0.2116
513750,0.1038,0.9053,0.1532
519562,0.2964,0.9954,0.2993
528003,0.1670,1.0000,0.1670
538764,0.3394,1.0000,0.3394
532027,0.0384,0.7799,0.0438
519221,0.3309,0.9129,0.4081
549197,0.6324,1.0000,0.6324
532031,0.1203,1.0000,0.1203
553069,0.2308,1.0000,0.2308
552585,0.1546,0.9854,0.1611
540491,0.2976,1.0000,0.2976
555667,0.0785,0.3873,0.1893
556536,0.3410,0.8380,0.4244
555732,0.1550,0.8327,0.1879
528349,0.1006,0.9962,0.1096
550892,0.1280,1.0000,0.1280
562217,0.0616,1.0000,0.0616
562247,0.2913,1.0000,0.2913
568991,0.1506,1.0000,0.1506
569159,0.1430,0.8295,0.2662
582007,0.1324,0.1862,0.6058
575939,0.5337,0.6925,0.5708
568779,0.1194,1.0000,0.1194
582019,0.3233,0.6673,0.2539
562376,0.4947,1.0000,0.4947
588321,0.1470,0.4072,0.5649
588293,0.1956,1.0000,0.1956
575981,0.0844,0.9939,0.0676
588331,0.1921,1.0000,0.1921
582781,0.3087,0.7216,0.4369
595523,0.1984,1.0000,0.1984
583990,0.0371,0.5690,0.0561
595333,0.0895,0.9838,0.0823
596699,0.2723,0.3043,0.2021
618692,0.2364,0.9761,0.2324
631957,0.0781,0.7632,0.1023
631956,0.1645,0.3055,0.1555
638429,0.1311,1.0000,0.1311
625347,0.3213,0.4031,0.2589
612934,0.2950,1.0000,0.2950
645581,0.2646,0.9573,0.2764
640288,0.0639,1.0000,0.0639
626365,0.2521,0.9989,0.2553
646826,0.3479,1.0000,0.3479
646212,0.3030,1.0000,0.3030
650290,0.2075,0.9507,0.2016
646828,0.3227,1.0000,0.3227
650289,0.1361,1.0000,0.1361
646832,0.2096,0.9871,0.2035
650297,0.1178,0.9961,0.1183
