submission_id,sim_AC_ANS,sim_AC_REF,sim_ANS_REF
35393,0.3162,0.5077,0.4479
19768,0.4941,0.4388,0.5025
15926,0.3165,1.0000,0.3165
31543,0.2183,0.3835,0.3555
11549,0.3611,0.9575,0.4004
1,0.2348,1.0000,0.2348
16001,0.2794,0.7065,0.3616
19821,0.0523,0.8827,0.0605
3,0.2502,1.0000,0.2502
6,0.1975,0.8651,0.2139
11501,0.3602,1.0000,0.3602
11553,0.4920,0.7500,0.7457
11776,0.1720,0.8265,0.1923
20122,0.3492,0.7326,0.4835
19829,0.5379,0.7151,0.5799
43242,0.2293,0.9604,0.2355
17873,0.6051,1.0000,0.6051
45970,0.1007,0.9719,0.0920
35394,0.2388,0.6523,0.3527
87,0.3541,0.4492,0.3202
16181,0.2185,0.4663,0.4168
16484,0.3210,0.4855,0.7208
31790,0.1148,1.0000,0.1148
35453,0.2776,0.5393,0.4468
55246,0.3600,1.0000,0.3600
55503,0.3609,0.8960,0.3161
31644,0.3164,1.0000,0.3164
75920,0.7175,1.0000,0.7175
43205,0.5746,1.0000,0.5746
56363,0.3040,1.0000,0.3040
43241,0.3788,0.9965,0.3793
55387,0.2657,0.2717,0.5319
55271,0.1270,0.9953,0.1222
64088,0.2340,0.4616,0.3721
55395,0.3201,0.6996,0.4945
55393,0.3022,0.7794,0.3076
69382,0.2307,0.6539,0.3554
69622,0.3362,0.3838,0.4061
64065,0.4429,0.5037,0.7310
56242,0.1029,0.2511,0.5652
75817,0.3692,1.0000,0.3692
46775,0.2332,1.0000,0.2332
69337,0.5119,0.6061,0.6443
91549,0.2041,1.0000,0.2041
96634,0.3871,0.9517,0.3962
76824,0.1221,0.9929,0.1244
108733,0.3942,0.3928,0.6965
55394,0.0480,0.4031,0.5047
84059,0.1818,0.1617,0.5521
83937,0.2471,1.0000,0.2471
101612,0.3811,0.4351,0.3995
112081,0.2323,0.4436,0.3483
69584,0.5689,1.0000,0.5689
96588,0.2017,1.0000,0.2017
112112,0.2697,0.4862,0.4146
91551,0.1653,0.4011,0.3167
83873,0.2807,0.4023,0.5197
118342,0.3687,0.3316,0.2442
108743,0.3934,0.9936,0.3757
75874,0.2037,0.8384,0.1738
133788,0.4621,0.3350,0.6158
118364,0.3219,0.4633,0.6261
143196,0.1806,1.0000,0.1806
119358,0.3669,1.0000,0.3669
101601,0.2085,1.0000,0.2085
109105,0.3469,0.9806,0.3402
101742,0.2951,0.3867,0.5245
129419,0.1651,0.9511,0.1841
118445,0.1563,0.3016,0.5901
129489,0.4075,1.0000,0.4075
161617,0.2604,0.2470,0.3283
112137,0.3011,0.3381,0.7275
133845,0.2472,0.1828,0.4452
129246,0.5142,1.0000,0.5142
112424,0.1184,0.5953,0.2492
147830,0.2881,0.3881,0.3144
135140,0.1972,0.9099,0.2145
112077,0.4448,0.8258,0.5063
156010,0.2685,1.0000,0.2685
134367,0.3612,0.9196,0.3540
148341,0.2619,0.5795,0.2546
129325,0.3002,0.5478,0.5163
156003,0.4644,1.0000,0.4644
161624,0.2240,0.5005,0.4017
174534,0.0923,0.1302,0.2802
147951,0.2153,0.2427,0.2133
143071,0.2153,0.2655,0.3011
143252,0.1199,0.9468,0.1267
148114,0.0707,0.9862,0.0710
174497,0.1369,0.6580,0.1793
178590,0.2529,0.3263,0.4408
156160,0.1701,1.0000,0.1701
156144,0.0867,0.9861,0.0875
192311,0.2894,0.4012,0.5136
161613,0.1870,0.1763,0.7059
168932,0.0882,0.9593,0.0799
185783,0.4485,0.8602,0.5214
147780,0.0871,0.6233,0.2529
156125,0.2347,0.1579,0.3932
168425,0.8825,0.9909,0.8736
178390,0.4165,0.4368,0.3346
164646,0.0704,0.3955,0.1502
162199,0.1584,0.8461,0.1891
168408,0.1904,0.5273,0.2424
169147,0.2833,1.0000,0.2833
178292,0.3342,0.9754,0.3427
178306,0.2220,0.9916,0.1749
185883,0.1225,0.9280,0.1439
175068,0.1476,0.3267,0.1299
192392,0.1351,0.3934,0.2995
178639,0.1792,0.9967,0.1853
208759,0.1615,0.9404,0.1580
200270,0.1952,0.2682,0.4084
211002,0.1559,0.3242,0.1874
192365,0.2890,0.3937,0.4255
200214,0.1991,0.7630,0.2789
175836,0.2511,0.6630,0.3187
218458,0.0719,0.1261,0.0759
193179,0.2041,0.9274,0.2180
200570,0.3479,0.5684,0.6205
186506,0.1181,0.6893,0.1972
174673,0.4312,0.8486,0.4270
200168,0.1784,0.5853,0.1611
194640,0.2977,0.3927,0.2415
230367,0.3367,1.0000,0.3367
192461,0.2785,1.0000,0.2785
210996,0.2693,0.5001,0.4418
218317,0.2130,0.2947,0.2103
217915,0.3070,1.0000,0.3070
239732,0.2082,0.3613,0.1504
193180,0.3511,0.9083,0.3334
213660,0.2513,1.0000,0.2513
218045,0.3417,0.6277,0.4900
224151,0.3455,1.0000,0.3455
208643,0.4648,1.0000,0.4648
244683,0.3496,0.3889,0.3321
224206,0.2355,0.9843,0.2376
208764,0.1634,0.6183,0.2922
224283,0.2023,0.9667,0.1937
218090,0.4153,0.9519,0.4475
208621,0.1677,0.1428,0.2217
249813,0.0757,0.3680,0.2347
258060,0.1302,0.5891,0.2088
258061,0.5853,0.6092,0.8556
201028,0.3179,0.1962,0.2641
239736,0.4284,0.4596,0.5264
211122,0.0325,0.4896,0.0409
272361,0.5526,1.0000,0.5526
224382,0.1419,0.6418,0.1041
239869,0.3001,1.0000,0.3001
258182,0.4873,0.8126,0.3815
258140,0.3746,0.6786,0.4452
230661,0.0497,1.0000,0.0497
244637,0.1425,0.7253,0.3772
258309,0.4156,0.9321,0.4100
224402,0.3617,1.0000,0.3617
276232,0.0382,0.0869,0.4177
276028,0.3182,1.0000,0.3182
277093,0.2220,0.8908,0.1911
284580,0.4172,0.5726,0.3277
258213,0.0404,0.2230,0.1448
245547,0.2048,0.2704,0.3420
240349,0.2220,1.0000,0.2220
268565,0.2767,0.9883,0.2800
246046,0.3543,0.7840,0.4214
249797,0.5272,0.9814,0.5195
249812,0.1157,0.1233,0.4412
272360,0.3722,0.2468,0.2870
279022,0.2060,0.5232,0.3642
268270,0.1271,0.9748,0.1191
284587,0.1348,0.1738,0.3916
293603,0.1537,0.1482,0.6333
297601,0.1217,0.1965,0.2357
297638,0.3292,0.5559,0.7812
273055,0.3256,0.9758,0.3034
268145,0.1014,1.0000,0.1014
307987,0.8690,0.8845,0.9782
285017,0.2094,0.4602,0.4547
297611,0.2648,0.9538,0.3271
307992,0.2936,0.3738,0.7893
268633,0.2764,0.8475,0.3530
273966,0.1726,1.0000,0.1726
276289,0.1197,0.1855,0.3402
308042,0.4264,0.3406,0.3479
303113,0.2019,0.5104,0.4291
303112,0.2000,0.9760,0.2050
293768,0.3602,0.9914,0.3672
297839,0.3269,0.8567,0.3833
308148,0.1541,0.1181,0.4294
303554,0.3079,0.5490,0.5646
284588,0.2478,0.9976,0.2479
293810,0.4402,0.9366,0.4277
308403,0.1279,0.2848,0.1529
307952,0.7505,1.0000,0.7505
307911,0.3724,0.8268,0.3886
307917,0.6829,1.0000,0.6829
293441,0.1768,0.9989,0.1801
308151,0.2038,0.1765,0.5901
323225,0.4887,0.8516,0.5404
308031,0.2031,0.3962,0.3318
308145,0.1932,0.1197,0.8224
327795,0.2619,0.3467,0.5332
308143,0.0663,0.3743,0.1486
293546,0.0630,0.3038,0.0534
315075,0.3370,0.8363,0.3819
303119,0.2603,0.7092,0.2802
323278,0.4563,1.0000,0.4563
315047,0.5005,0.6191,0.5691
327914,0.2435,0.3188,0.2987
308153,0.1110,0.2488,0.2625
308432,0.3211,0.5414,0.7034
308156,0.2214,0.7625,0.2747
328631,0.2238,1.0000,0.2238
323287,0.2184,0.5802,0.2244
344359,0.1922,0.8124,0.2065
344361,0.4365,0.9160,0.3519
323288,0.5501,1.0000,0.5501
327735,0.0777,0.5125,0.5542
327797,0.3318,0.8844,0.2923
354706,0.5456,1.0000,0.5456
328170,0.1103,0.1544,0.2998
344389,0.5339,0.8659,0.6432
323346,0.2923,0.6287,0.3508
368165,0.2053,1.0000,0.2053
337884,0.1981,0.8127,0.1980
344920,0.1046,0.1842,0.3964
337860,0.2298,0.1969,0.2131
337855,0.1456,1.0000,0.1456
344382,0.3210,0.7773,0.3472
337889,0.1701,0.9967,0.1716
315722,0.1203,0.9875,0.1222
337831,0.4045,0.8992,0.4499
354720,0.1148,0.8939,0.1240
376007,0.3020,0.3303,0.3689
363101,0.1541,1.0000,0.1541
376048,0.1518,0.6052,0.2803
368167,0.1369,0.2112,0.3424
376554,0.5272,0.7068,0.5535
376556,0.4696,0.9984,0.4708
376507,0.1991,0.7716,0.2527
363119,0.3294,0.6452,0.4931
337818,0.3703,0.5555,0.5353
376001,0.2299,0.7775,0.3001
392629,0.4373,0.7951,0.4082
414709,0.0697,0.5095,0.0590
385760,0.3163,0.4736,0.7249
398169,0.3479,0.3334,0.5549
398177,0.2519,0.6324,0.4129
398280,0.2701,1.0000,0.2701
368958,0.1630,0.6128,0.2115
385745,0.4350,0.6364,0.5367
411182,0.2261,0.2489,0.2681
385815,0.4122,0.9783,0.4204
399058,0.0663,0.6339,0.2196
385739,0.3068,0.5560,0.4433
414801,0.4375,0.6116,0.7118
424683,0.3557,0.9537,0.3856
398136,0.0551,0.6913,0.0651
392682,0.1762,0.2069,0.5572
411038,0.3736,0.5308,0.2420
430656,0.3019,0.4983,0.5997
368962,0.5702,1.0000,0.5702
444179,0.1296,0.6029,0.1190
414717,0.2533,0.8208,0.2514
444038,0.1496,0.1209,0.8038
424735,0.4218,0.9705,0.4223
444172,0.1294,0.9442,0.1831
411344,0.3718,0.5774,0.5436
444190,0.3878,0.4852,0.5964
440977,0.5205,0.9948,0.5338
424866,0.1717,0.9970,0.1717
424904,0.2154,0.5195,0.3574
441090,0.3080,1.0000,0.3080
398172,0.0692,0.9340,0.0714
451074,0.1534,0.2966,0.3455
441059,0.1594,0.3870,0.1927
441060,0.0982,0.0983,0.5198
431061,0.2266,0.5943,0.3726
466153,0.3589,0.3266,0.4673
444171,0.0928,0.1136,0.8303
451177,0.1587,1.0000,0.1587
444170,0.5288,0.7141,0.6410
441011,0.2064,0.6619,0.4131
458326,0.4841,0.8088,0.5906
441039,0.3128,0.3964,0.3857
457018,0.1456,0.4545,0.2993
466192,0.3231,0.9036,0.3160
456940,0.3180,0.3362,0.3994
425360,0.0785,0.2337,0.1064
451233,0.3454,1.0000,0.3454
458271,0.2963,0.7897,0.3570
458297,0.1409,0.2131,0.5570
457000,0.2898,0.4083,0.5213
458452,0.1100,0.9514,0.1283
474500,0.1433,0.1865,0.5208
465910,0.2569,1.0000,0.2569
466653,0.2599,1.0000,0.2599
484650,0.5769,1.0000,0.5769
457024,0.5514,0.4754,0.4867
467000,0.1315,0.9967,0.1311
451108,0.1156,0.3326,0.2580
474524,0.3361,0.8928,0.3516
465906,0.3425,1.0000,0.3425
479666,0.1850,0.3659,0.2403
479989,0.3009,0.9995,0.3010
479681,0.3311,0.7895,0.3550
489953,0.3364,0.9402,0.3555
484553,0.1043,0.3119,0.0881
504625,0.1361,0.3351,0.2486
458299,0.2432,0.2501,0.3101
489958,0.4796,0.8210,0.4913
484915,0.3865,0.4631,0.3578
489935,0.2053,0.4948,0.4984
458200,0.4477,0.9967,0.4482
474667,0.0999,0.6197,0.3047
489949,0.3312,0.3591,0.5870
474537,0.2555,0.5322,0.2612
499068,0.2453,0.3345,0.4947
511794,0.2703,1.0000,0.2703
490186,0.1681,0.3564,0.4837
504447,0.2286,0.8071,0.4041
511700,0.2490,0.5516,0.4659
511726,0.4266,0.9739,0.4511
489800,0.2975,0.7070,0.4142
499320,0.3363,1.0000,0.3363
518938,0.2782,1.0000,0.2782
504448,0.1182,0.3761,0.3382
499121,0.4184,0.5257,0.7719
504494,0.4595,0.4434,0.6543
516298,0.0565,0.4402,0.1713
516556,0.4502,0.9211,0.4978
518995,0.1198,0.4261,0.1958
540447,0.2512,0.6745,0.3946
516427,0.3397,0.5931,0.6185
529315,0.3654,1.0000,0.3654
518909,0.1268,1.0000,0.1268
529167,0.2212,0.8337,0.2153
519089,0.3307,0.9958,0.3283
529169,0.2012,0.9968,0.1985
532024,0.2685,0.5271,0.2499
549126,0.1131,0.9898,0.1094
516211,0.2219,0.8255,0.2416
541346,0.6699,0.3067,0.2822
540643,0.4118,1.0000,0.4118
548556,0.1967,0.9993,0.1987
548599,0.2941,0.9970,0.2853
532048,0.1720,0.2210,0.0924
549074,0.1186,0.1393,0.7423
518954,0.1298,0.4736,0.2672
568688,0.3485,0.7586,0.6552
568648,0.2616,0.6450,0.1832
540549,0.2099,0.2726,0.2251
555606,0.2741,0.4284,0.3231
549069,0.7702,0.8102,0.9312
540669,0.3767,0.5543,0.3468
548573,0.0467,1.0000,0.0467
568697,0.2225,0.8848,0.1827
579591,0.2777,1.0000,0.2777
529166,0.1107,0.9727,0.1115
568770,0.2070,0.1699,0.5323
581970,0.2195,0.2356,0.4021
562133,0.1808,0.2053,0.2232
562129,0.3529,0.8824,0.3999
588303,0.1159,0.1492,0.9493
588277,0.7162,0.9586,0.7380
594810,0.3490,0.9947,0.3741
549070,0.1021,0.2353,0.2747
548611,0.2177,0.2974,0.5499
579589,0.4863,0.9694,0.4790
588254,0.1504,0.2597,0.3363
