submission_id,jacc_AC_ANS,jacc_AC_REF,jacc_ANS_REF
35393,0.2500,0.3235,0.6000
19768,0.4130,0.4091,0.5098
15926,0.4000,1.0000,0.4000
31543,0.2203,0.3494,0.3239
11549,0.3390,0.9048,0.3509
1,0.2687,1.0000,0.2687
16001,0.2308,0.6333,0.3182
19821,0.3220,0.7174,0.3830
3,0.3667,1.0000,0.3667
6,0.2078,0.7358,0.2262
11501,0.2093,1.0000,0.2093
11553,0.3770,0.7451,0.4310
11776,0.1333,0.2632,0.3875
20122,0.2473,0.6667,0.3125
19829,0.6154,0.8438,0.6757
43242,0.1812,0.7528,0.2155
17873,0.3333,1.0000,0.3333
45970,0.1765,0.9455,0.1687
35394,0.1863,0.4000,0.3016
87,0.2523,0.3218,0.3077
16181,0.1791,0.3085,0.2588
16484,0.2805,0.3377,0.4783
31790,0.3500,1.0000,0.3500
35453,0.3235,0.5283,0.3472
55246,0.2237,1.0000,0.2237
55503,0.2680,0.7843,0.3263
31644,0.2637,1.0000,0.2637
75920,0.7059,1.0000,0.7059
43205,0.5294,1.0000,0.5294
56363,0.1818,1.0000,0.1818
43241,0.2000,1.0000,0.2000
55387,0.3222,0.4605,0.4595
55271,0.2973,0.9538,0.3014
64088,0.1121,0.3014,0.2605
55395,0.3333,0.7273,0.4203
55393,0.2706,0.6364,0.3770
69382,0.1562,0.7000,0.2188
69622,0.3393,0.3857,0.3667
64065,0.5128,0.4884,0.7568
56242,0.1926,0.2835,0.6061
75817,0.4375,1.0000,0.4375
46775,0.3457,1.0000,0.3457
69337,0.4118,0.5000,0.6182
91549,0.3333,1.0000,0.3333
96634,0.5333,0.7419,0.5484
76824,0.2500,0.8649,0.2788
108733,0.4688,0.5000,0.8125
55394,0.2927,0.4479,0.3636
84059,0.3176,0.4265,0.3889
83937,0.2897,1.0000,0.2897
101612,0.3208,0.3778,0.4375
112081,0.2593,0.4107,0.3396
69584,0.3409,1.0000,0.3409
96588,0.2857,1.0000,0.2857
112112,0.2353,0.2584,0.6452
91551,0.2551,0.7059,0.2604
83873,0.2921,0.4328,0.4478
118342,0.5385,0.3250,0.4250
108743,0.3333,1.0000,0.3333
75874,0.4255,0.5250,0.6098
133788,0.4000,0.2881,0.5676
118364,0.1605,0.3562,0.4000
143196,0.3111,1.0000,0.3111
119358,0.3053,1.0000,0.3053
101601,0.2410,1.0000,0.2410
109105,0.2899,0.9773,0.2857
101742,0.3333,0.4783,0.3542
129419,0.2000,0.9762,0.2027
118445,0.2000,0.2558,0.6444
129489,0.2114,1.0000,0.2114
161617,0.2740,0.3014,0.5333
112137,0.2521,0.3500,0.5342
133845,0.2754,0.4478,0.4906
129246,0.1961,1.0000,0.1961
112424,0.2326,0.5974,0.3692
147830,0.2903,0.6667,0.2969
135140,0.0982,0.6296,0.1416
112077,0.2955,0.5303,0.4478
156010,0.1928,1.0000,0.1928
134367,0.4590,0.9310,0.4746
148341,0.2133,0.4810,0.3200
129325,0.3297,0.4286,0.4242
156003,0.2632,1.0000,0.2632
161624,0.1750,0.3281,0.3421
174534,0.2184,0.3191,0.2424
147951,0.3333,0.3793,0.2973
143071,0.2911,0.2688,0.4795
143252,0.1982,0.8551,0.2178
148114,0.2051,0.9722,0.2000
174497,0.2292,0.4348,0.3607
178590,0.3333,0.3208,0.3725
156160,0.2151,1.0000,0.2151
156144,0.1852,0.9868,0.1866
192311,0.2537,0.3396,0.3864
161613,0.2411,0.2593,0.5000
168932,0.2143,0.8200,0.2105
185783,0.6296,0.8182,0.7391
147780,0.3750,0.7222,0.5111
