name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
main,2693,2534,1617,1411,2939,2469,7249,6414,0.6004455997029335,1.0913479391013738,0.5568271507498027,0.9743488555643252
f,2173,52,22,2,1018,29,3213,83,0.010124252185918085,0.4684767602393005,0.038461538461538464,0.5576923076923077
in,2069,34,0,0,514,11,2583,45,0.0,0.24842919284678588,0.0,0.3235294117647059
dfs,1134,221,98,31,642,160,1874,412,0.08641975308641975,0.5661375661375662,0.14027149321266968,0.7239819004524887
solve,736,256,9,5,456,179,1201,440,0.012228260869565218,0.6195652173913043,0.01953125,0.69921875
query,622,62,148,29,334,82,1104,173,0.2379421221864952,0.5369774919614148,0.46774193548387094,1.3225806451612903
sc,880,3,0,0,0,0,880,3,0.0,0.0,0.0,0.0
update,423,73,114,24,336,83,873,180,0.2695035460992908,0.7943262411347518,0.3287671232876712,1.1369863013698631
gcd,642,134,45,15,140,54,827,203,0.07009345794392523,0.21806853582554517,0.11194029850746269,0.40298507462686567
add,390,74,12,4,208,46,610,124,0.03076923076923077,0.5333333333333333,0.05405405405405406,0.6216216216216216
get,405,57,0,0,154,23,559,80,0.0,0.3802469135802469,0.0,0.40350877192982454
read,358,77,0,0,181,34,539,111,0.0,0.505586592178771,0.0,0.44155844155844154
build,291,51,47,12,171,37,509,100,0.16151202749140894,0.5876288659793815,0.23529411764705882,0.7254901960784313
find,136,25,145,27,215,39,496,91,1.0661764705882353,1.5808823529411764,1.08,1.56
r,233,5,0,0,154,3,387,8,0.0,0.6609442060085837,0.0,0.6
check,228,82,2,1,109,44,339,127,0.008771929824561403,0.4780701754385965,0.012195121951219513,0.5365853658536586
calc,193,46,0,0,142,35,335,81,0.0,0.7357512953367875,0.0,0.7608695652173914
upd,277,22,0,0,29,8,306,30,0.0,0.10469314079422383,0.0,0.36363636363636365
gn,222,5,0,0,60,1,282,6,0.0,0.2702702702702703,0.0,0.2
g,181,10,0,0,97,6,278,16,0.0,0.5359116022099447,0.0,0.6
init,169,65,6,2,97,42,272,109,0.03550295857988166,0.5739644970414202,0.03076923076923077,0.6461538461538462
push,96,16,40,9,119,22,255,47,0.4166666666666667,1.2395833333333333,0.5625,1.375
sqr,183,27,0,0,52,7,235,34,0.0,0.28415300546448086,0.0,0.25925925925925924
dist,137,31,0,0,94,16,231,47,0.0,0.6861313868613139,0.0,0.5161290322580645
merge,138,33,39,3,53,17,230,53,0.2826086956521739,0.38405797101449274,0.09090909090909091,0.5151515151515151
insert,155,22,13,3,51,13,219,38,0.08387096774193549,0.32903225806451614,0.13636363636363635,0.5909090909090909
bfs,69,31,41,18,98,44,208,93,0.5942028985507246,1.4202898550724639,0.5806451612903226,1.4193548387096775
C,119,21,5,1,79,14,203,36,0.04201680672268908,0.6638655462184874,0.047619047619047616,0.6666666666666666
o,202,1,0,0,0,0,202,1,0.0,0.0,0.0,0.0
power,125,34,10,2,65,13,200,49,0.08,0.52,0.058823529411764705,0.38235294117647056
range,182,4,0,0,10,1,192,5,0.0,0.054945054945054944,0.0,0.25
go,127,23,0,0,57,14,184,37,0.0,0.44881889763779526,0.0,0.6086956521739131
cross,92,14,29,5,56,14,177,33,0.31521739130434784,0.6086956521739131,0.35714285714285715,1.0
add_edge,64,13,35,14,73,15,172,42,0.546875,1.140625,1.0769230769230769,1.1538461538461537
R,171,1,0,0,0,0,171,1,0.0,0.0,0.0,0.0
get_position,0,0,0,0,169,1,169,1,,,,
d,161,2,0,0,0,0,161,2,0.0,0.0,0.0,0.0
modify,102,6,0,0,59,3,161,9,0.0,0.5784313725490197,0.0,0.5
h,156,1,0,0,0,0,156,1,0.0,0.0,0.0,0.0
cmp,105,49,0,0,50,26,155,75,0.0,0.47619047619047616,0.0,0.5306122448979592
lcm,73,56,28,5,42,14,143,75,0.3835616438356164,0.5753424657534246,0.08928571428571429,0.25
dfs2,96,25,0,0,46,15,142,40,0.0,0.4791666666666667,0.0,0.6
mul,86,20,0,0,54,8,140,28,0.0,0.627906976744186,0.0,0.4
inc,107,15,0,0,25,6,132,21,0.0,0.2336448598130841,0.0,0.4
change,67,10,0,0,57,7,124,17,0.0,0.8507462686567164,0.0,0.7
size,90,6,0,0,27,2,117,8,0.0,0.3,0.0,0.3333333333333333
sign,94,26,0,0,21,5,115,31,0.0,0.22340425531914893,0.0,0.19230769230769232
cal,72,15,0,0,42,9,114,24,0.0,0.5833333333333334,0.0,0.6
splay,60,4,0,0,53,3,113,7,0.0,0.8833333333333333,0.0,0.75
qu,112,2,0,0,0,0,112,2,0.0,0.0,0.0,0.0
min,97,11,0,0,15,4,112,15,0.0,0.15463917525773196,0.0,0.36363636363636365
lca,27,13,39,9,44,17,110,39,1.4444444444444444,1.6296296296296295,0.6923076923076923,1.3076923076923077
W,108,1,0,0,0,0,108,1,0.0,0.0,0.0,0.0
sum,79,14,0,0,24,5,103,19,0.0,0.3037974683544304,0.0,0.35714285714285715
addEdge,45,11,14,6,43,11,102,28,0.3111111111111111,0.9555555555555556,0.5454545454545454,1.0
dfs1,62,19,0,0,40,13,102,32,0.0,0.6451612903225806,0.0,0.6842105263157895
fi,92,1,0,0,9,1,101,2,0.0,0.09782608695652174,0.0,1.0
dot,81,11,0,0,19,5,100,16,0.0,0.2345679012345679,0.0,0.45454545454545453
DFS,58,15,0,0,37,11,95,26,0.0,0.6379310344827587,0.0,0.7333333333333333
print,69,15,0,0,23,6,92,21,0.0,0.3333333333333333,0.0,0.4
work,49,17,0,0,40,13,89,30,0.0,0.8163265306122449,0.0,0.7647058823529411
pow,57,10,0,0,32,5,89,15,0.0,0.5614035087719298,0.0,0.5
E,68,2,0,0,18,1,86,3,0.0,0.2647058823529412,0.0,0.5
Cross,47,3,0,0,37,2,84,5,0.0,0.7872340425531915,0.0,0.6666666666666666
unite,6,3,42,20,35,15,83,38,7.0,5.833333333333333,6.666666666666667,5.0
mult,53,13,0,0,30,9,83,22,0.0,0.5660377358490566,0.0,0.6923076923076923
max,77,8,0,0,5,2,82,10,0.0,0.06493506493506493,0.0,0.25
dcmp,45,7,0,0,37,4,82,11,0.0,0.8222222222222222,0.0,0.5714285714285714
st,38,1,0,0,42,1,80,2,0.0,1.105263157894737,0.0,1.0
out,53,10,0,0,23,4,76,14,0.0,0.4339622641509434,0.0,0.4
deb,76,3,0,0,0,0,76,3,0.0,0.0,0.0,0.0
y,35,1,0,0,39,1,74,2,0.0,1.1142857142857143,0.0,1.0
sol,38,5,0,0,33,4,71,9,0.0,0.868421052631579,0.0,0.8
clear,51,13,0,0,18,6,69,19,0.0,0.35294117647058826,0.0,0.46153846153846156
