name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
n,22702,573,14856,438,32842,615,70400,1626,0.65439168355211,1.4466566822306404,0.7643979057591623,1.0732984293193717
i,13882,166,3773,54,22097,98,39752,318,0.27179080824088747,1.5917735196657543,0.3253012048192771,0.5903614457831325
b,26051,255,1643,150,4159,222,31853,627,0.0630685962151165,0.15964838201988407,0.5882352941176471,0.8705882352941177
a,10648,348,5657,227,11228,290,27533,865,0.5312734785875282,1.0544703230653645,0.6522988505747126,0.8333333333333334
s,9625,279,5833,226,7890,237,23348,742,0.606025974025974,0.8197402597402598,0.8100358422939068,0.8494623655913979
t,8676,149,2424,61,7318,96,18418,306,0.2793914246196404,0.8434762563393269,0.40939597315436244,0.6442953020134228
k,3313,267,1141,178,7114,233,11568,678,0.3444008451554482,2.147298520977966,0.6666666666666666,0.8726591760299626
r,5942,114,2061,42,3076,62,11079,218,0.346852911477617,0.5176708179064288,0.3684210526315789,0.543859649122807
m,4034,237,2490,145,4376,217,10900,599,0.6172533465542885,1.0847793753098662,0.6118143459915611,0.9156118143459916
1,225,12,96,4,10379,7,10700,23,0.4266666666666667,46.12888888888889,0.3333333333333333,0.5833333333333334
c,3885,189,2734,101,3562,147,10181,437,0.7037323037323038,0.9168597168597169,0.5343915343915344,0.7777777777777778
d,3422,141,1000,58,5521,100,9943,299,0.29222676797194624,1.6133839859731152,0.41134751773049644,0.7092198581560284
y,2183,125,669,52,6384,104,9236,281,0.30645900137425564,2.924415941365094,0.416,0.832
p,3571,108,1337,47,2982,83,7890,238,0.374404928591431,0.835060207224867,0.4351851851851852,0.7685185185185185
x,3325,192,1150,87,2339,134,6814,413,0.3458646616541353,0.7034586466165413,0.453125,0.6979166666666666
l,4011,145,377,16,1164,42,5552,203,0.09399152331089504,0.29020194465220644,0.1103448275862069,0.2896551724137931
j,1260,72,351,39,3133,48,4744,159,0.2785714285714286,2.4865079365079366,0.5416666666666666,0.6666666666666666
0,190,8,0,0,4527,1,4717,9,0.0,23.826315789473686,0.0,0.125
f,3515,61,128,9,376,15,4019,85,0.03641536273115221,0.1069701280227596,0.14754098360655737,0.2459016393442623
v,1841,79,264,22,1139,56,3244,157,0.14340032590983162,0.6186854970124932,0.27848101265822783,0.7088607594936709
2,1163,86,373,62,1523,96,3059,244,0.3207222699914015,1.3095442820292347,0.7209302325581395,1.1162790697674418
u,490,26,701,22,1530,41,2721,89,1.4306122448979592,3.122448979591837,0.8461538461538461,1.5769230769230769
ans,2002,191,34,9,558,84,2594,284,0.016983016983016984,0.2787212787212787,0.04712041884816754,0.4397905759162304
current,56,7,916,92,1344,123,2316,222,16.357142857142858,24.0,13.142857142857142,17.571428571428573
left,99,13,192,25,1770,59,2061,97,1.9393939393939394,17.87878787878788,1.9230769230769231,4.538461538461538
count,453,61,517,115,1040,138,2010,314,1.141280353200883,2.295805739514349,1.8852459016393444,2.262295081967213
right,76,11,102,21,1761,47,1939,79,1.3421052631578947,23.17105263157895,1.9090909090909092,4.2727272727272725
e,893,17,592,11,436,9,1921,37,0.6629339305711086,0.48824188129899215,0.6470588235294118,0.5294117647058824
20,0,0,0,0,1748,1,1748,1,,,,
result,390,50,374,82,860,140,1624,272,0.958974358974359,2.2051282051282053,1.64,2.8
10,24,6,2,1,1433,7,1459,14,0.08333333333333333,59.708333333333336,0.16666666666666666,1.1666666666666667
res,783,88,235,29,381,51,1399,168,0.3001277139208174,0.48659003831417624,0.32954545454545453,0.5795454545454546
w,684,27,212,12,449,17,1345,56,0.30994152046783624,0.6564327485380117,0.4444444444444444,0.6296296296296297
total,100,12,539,113,688,146,1327,271,5.39,6.88,9.416666666666666,12.166666666666666
h,655,44,273,20,367,32,1295,96,0.416793893129771,0.5603053435114503,0.45454545454545453,0.7272727272727273
q,517,62,248,31,454,57,1219,150,0.4796905222437137,0.8781431334622823,0.5,0.9193548387096774
line,602,13,171,15,279,20,1052,48,0.2840531561461794,0.4634551495016611,1.1538461538461537,1.5384615384615385
pos,264,21,240,27,546,25,1050,73,0.9090909090909091,2.0681818181818183,1.2857142857142858,1.1904761904761905
g,447,27,125,11,468,23,1040,61,0.2796420581655481,1.0469798657718121,0.4074074074074074,0.8518518518518519
temp,357,18,40,5,511,18,908,41,0.11204481792717087,1.4313725490196079,0.2777777777777778,1.0
dp,185,15,265,24,413,26,863,65,1.4324324324324325,2.2324324324324323,1.6,1.7333333333333334
idx,143,8,234,30,450,56,827,94,1.6363636363636365,3.1468531468531467,3.75,7.0
end,285,71,102,13,363,40,750,124,0.35789473684210527,1.2736842105263158,0.18309859154929578,0.5633802816901409
cnt,476,45,80,15,161,22,717,82,0.16806722689075632,0.3382352941176471,0.3333333333333333,0.4888888888888889
mid,140,21,154,21,357,45,651,87,1.1,2.55,1.0,2.142857142857143
val,376,14,26,6,245,13,647,33,0.06914893617021277,0.651595744680851,0.42857142857142855,0.9285714285714286
100,0,0,1,1,639,1,640,2,,,,
abbr_num,0,0,0,0,624,1,624,1,,,,
points,196,7,110,11,298,19,604,37,0.5612244897959183,1.5204081632653061,1.5714285714285714,2.7142857142857144
__name__,303,132,58,58,243,243,604,433,0.19141914191419143,0.801980198019802,0.4393939393939394,1.8409090909090908
row,44,6,159,24,399,33,602,63,3.6136363636363638,9.068181818181818,4.0,5.5
z,283,37,93,13,218,17,594,67,0.3286219081272085,0.7703180212014135,0.35135135135135137,0.4594594594594595
found,62,7,256,35,275,33,593,75,4.129032258064516,4.435483870967742,5.0,4.714285714285714
start,83,11,101,21,404,39,588,71,1.216867469879518,4.867469879518072,1.9090909090909092,3.5454545454545454
last,379,21,69,12,133,14,581,47,0.1820580474934037,0.35092348284960423,0.5714285714285714,0.6666666666666666
low,66,9,250,21,257,16,573,46,3.787878787878788,3.893939393939394,2.3333333333333335,1.7777777777777777
