name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
main,2935,2776,3337,2813,3152,2781,9424,8370,1.1369676320272573,1.0739352640545146,1.013328530259366,1.0018011527377522
in,2689,39,0,0,1572,22,4261,61,0.0,0.5846039419858684,0.0,0.5641025641025641
f,2338,55,78,6,1112,33,3528,94,0.033361847733105215,0.4756201881950385,0.10909090909090909,0.6
dfs,1243,246,10,2,847,202,2100,450,0.008045052292839904,0.6814159292035398,0.008130081300813009,0.8211382113821138
solve,870,291,30,8,615,220,1515,519,0.034482758620689655,0.7068965517241379,0.027491408934707903,0.7560137457044673
sc,880,3,0,0,590,2,1470,5,0.0,0.6704545454545454,0.0,0.6666666666666666
gcd,733,149,213,41,392,104,1338,294,0.29058663028649384,0.5347885402455662,0.2751677852348993,0.697986577181208
query,686,75,4,1,365,59,1055,135,0.0058309037900874635,0.532069970845481,0.013333333333333334,0.7866666666666666
get,485,63,0,0,322,41,807,104,0.0,0.6639175257731958,0.0,0.6507936507936508
update,486,84,4,1,291,55,781,140,0.00823045267489712,0.5987654320987654,0.011904761904761904,0.6547619047619048
read,428,90,0,0,310,66,738,156,0.0,0.7242990654205608,0.0,0.7333333333333333
add,419,82,0,0,290,64,709,146,0.0,0.6921241050119332,0.0,0.7804878048780488
build,324,60,4,1,219,46,547,107,0.012345679012345678,0.6759259259259259,0.016666666666666666,0.7666666666666667
gn,282,6,0,0,220,4,502,10,0.0,0.7801418439716312,0.0,0.6666666666666666
check,258,91,2,1,179,65,439,157,0.007751937984496124,0.6937984496124031,0.01098901098901099,0.7142857142857143
dist,143,34,139,10,149,29,431,73,0.972027972027972,1.0419580419580419,0.29411764705882354,0.8529411764705882
r,233,5,0,0,188,4,421,9,0.0,0.8068669527896996,0.0,0.8
o,202,1,0,0,202,1,404,2,0.0,1.0,0.0,1.0
find,163,29,66,10,159,28,388,67,0.4049079754601227,0.9754601226993865,0.3448275862068966,0.9655172413793104
calc,218,52,0,0,147,36,365,88,0.0,0.6743119266055045,0.0,0.6923076923076923
upd,297,25,0,0,64,13,361,38,0.0,0.21548821548821548,0.0,0.52
power,133,37,94,31,131,38,358,106,0.706766917293233,0.9849624060150376,0.8378378378378378,1.027027027027027
R,171,1,0,0,171,1,342,2,0.0,1.0,0.0,1.0
init,189,74,0,0,139,54,328,128,0.0,0.7354497354497355,0.0,0.7297297297297297
sqr,185,28,0,0,129,19,314,47,0.0,0.6972972972972973,0.0,0.6785714285714286
range,182,4,0,0,130,3,312,7,0.0,0.7142857142857143,0.0,0.75
g,190,11,0,0,101,7,291,18,0.0,0.531578947368421,0.0,0.6363636363636364
d,161,2,0,0,105,1,266,3,0.0,0.6521739130434783,0.0,0.5
insert,156,23,0,0,110,17,266,40,0.0,0.7051282051282052,0.0,0.7391304347826086
merge,151,37,0,0,93,28,244,65,0.0,0.6158940397350994,0.0,0.7567567567567568
inc,134,17,0,0,108,13,242,30,0.0,0.8059701492537313,0.0,0.7647058823529411
go,134,26,0,0,83,17,217,43,0.0,0.6194029850746269,0.0,0.6538461538461539
W,108,1,0,0,108,1,216,2,0.0,1.0,0.0,1.0
sum,119,18,0,0,85,16,204,34,0.0,0.7142857142857143,0.0,0.8888888888888888
mul,113,23,0,0,90,14,203,37,0.0,0.7964601769911505,0.0,0.6086956521739131
modify,105,8,0,0,92,5,197,13,0.0,0.8761904761904762,0.0,0.625
c,101,1,0,0,94,1,195,2,0.0,0.9306930693069307,0.0,1.0
cmp,114,53,0,0,80,38,194,91,0.0,0.7017543859649122,0.0,0.7169811320754716
push,130,21,4,1,60,11,194,33,0.03076923076923077,0.46153846153846156,0.047619047619047616,0.5238095238095238
max,105,10,0,0,88,9,193,19,0.0,0.8380952380952381,0.0,0.9
lcm,75,58,53,5,55,34,183,97,0.7066666666666667,0.7333333333333333,0.08620689655172414,0.5862068965517241
dot,93,12,0,0,90,11,183,23,0.0,0.967741935483871,0.0,0.9166666666666666
dfs2,104,27,0,0,78,22,182,49,0.0,0.75,0.0,0.8148148148148148
C,122,22,0,0,54,16,176,38,0.0,0.4426229508196721,0.0,0.7272727272727273
sign,101,27,0,0,71,16,172,43,0.0,0.7029702970297029,0.0,0.5925925925925926
cross,92,14,0,0,78,11,170,25,0.0,0.8478260869565217,0.0,0.7857142857142857
scf,80,1,0,0,80,1,160,2,0.0,1.0,0.0,1.0
E,80,3,0,0,80,3,160,6,0.0,1.0,0.0,1.0
min,97,11,0,0,62,8,159,19,0.0,0.6391752577319587,0.0,0.7272727272727273
h,156,1,0,0,0,0,156,1,0.0,0.0,0.0,0.0
size,90,6,0,0,58,4,148,10,0.0,0.6444444444444445,0.0,0.6666666666666666
print,76,18,0,0,63,13,139,31,0.0,0.8289473684210527,0.0,0.7222222222222222
bfs,69,31,0,0,64,26,133,57,0.0,0.927536231884058,0.0,0.8387096774193549
dfs1,65,20,0,0,61,19,126,39,0.0,0.9384615384615385,0.0,0.95
change,67,10,0,0,59,7,126,17,0.0,0.8805970149253731,0.0,0.7
splay,65,5,0,0,61,5,126,10,0.0,0.9384615384615385,0.0,1.0
add_edge,66,14,0,0,52,12,118,26,0.0,0.7878787878787878,0.0,0.8571428571428571
cal,74,16,0,0,42,11,116,27,0.0,0.5675675675675675,0.0,0.6875
qu,112,2,0,0,0,0,112,2,0.0,0.0,0.0,0.0
DFS,58,15,0,0,52,14,110,29,0.0,0.896551724137931,0.0,0.9333333333333333
clear,51,13,0,0,47,11,98,24,0.0,0.9215686274509803,0.0,0.8461538461538461
count,55,7,0,0,41,4,96,11,0.0,0.7454545454545455,0.0,0.5714285714285714
Cross,51,4,0,0,45,4,96,8,0.0,0.8823529411764706,0.0,1.0
can,49,12,0,0,45,12,94,24,0.0,0.9183673469387755,0.0,1.0
mult,60,15,0,0,33,9,93,24,0.0,0.55,0.0,0.6
ask,48,13,0,0,45,12,93,25,0.0,0.9375,0.0,0.9230769230769231
deb,76,3,0,0,16,2,92,5,0.0,0.21052631578947367,0.0,0.6666666666666666
fi,92,1,0,0,0,0,92,1,0.0,0.0,0.0,0.0
work,51,18,0,0,40,14,91,32,0.0,0.7843137254901961,0.0,0.7777777777777778
addEdge,47,12,0,0,42,11,89,23,0.0,0.8936170212765957,0.0,0.9166666666666666
dcmp,45,7,0,0,44,6,89,13,0.0,0.9777777777777777,0.0,0.8571428571428571
SP,44,2,0,0,44,2,88,4,0.0,1.0,0.0,1.0
out,56,11,0,0,30,5,86,16,0.0,0.5357142857142857,0.0,0.45454545454545453
intersect,42,3,6,1,38,2,86,6,0.14285714285714285,0.9047619047619048,0.3333333333333333,0.6666666666666666
ins,49,5,0,0,37,3,86,8,0.0,0.7551020408163265,0.0,0.6
area,19,3,15,1,51,3,85,7,0.7894736842105263,2.6842105263157894,0.3333333333333333,1.0
nxt,41,8,0,0,41,8,82,16,0.0,1.0,0.0,1.0
SR,40,2,0,0,40,2,80,4,0.0,1.0,0.0,1.0
__f,48,6,0,0,32,4,80,10,0.0,0.6666666666666666,0.0,0.6666666666666666
phi,48,7,7,3,24,4,79,14,0.14583333333333334,0.5,0.42857142857142855,0.5714285714285714
point,39,1,0,0,39,1,78,2,0.0,1.0,0.0,1.0
