name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
solve,133,63,2631,1321,382,190,3146,1574,19.781954887218046,2.8721804511278197,20.96825396825397,3.015873015873016
main,824,116,0,0,293,106,1117,222,0.0,0.35558252427184467,0.0,0.9137931034482759
f,282,22,6,1,170,13,458,36,0.02127659574468085,0.6028368794326241,0.045454545454545456,0.5909090909090909
dfs,59,17,61,15,56,18,176,50,1.0338983050847457,0.9491525423728814,0.8823529411764706,1.0588235294117647
gcd,33,12,59,21,39,14,131,47,1.7878787878787878,1.1818181818181819,1.75,1.1666666666666667
dist,34,5,42,2,32,4,108,11,1.2352941176470589,0.9411764705882353,0.4,0.8
distance,11,2,48,5,6,1,65,8,4.363636363636363,0.5454545454545454,2.5,0.5
find,23,4,21,5,17,3,61,12,0.9130434782608695,0.7391304347826086,1.25,0.75
it,33,5,0,0,27,4,60,9,0.0,0.8181818181818182,0.0,0.8
r,27,2,0,0,27,2,54,4,0.0,1.0,0.0,1.0
lcm,6,2,34,5,12,4,52,11,5.666666666666667,2.0,2.5,2.0
__init__,31,19,0,0,20,14,51,33,0.0,0.6451612903225806,0.0,0.7368421052631579
check,21,10,10,5,18,8,49,23,0.47619047619047616,0.8571428571428571,0.5,0.8
bfs,19,8,12,5,15,6,46,19,0.631578947368421,0.7894736842105263,0.625,0.75
ri,27,6,0,0,17,4,44,10,0.0,0.6296296296296297,0.0,0.6666666666666666
g,31,7,0,0,11,3,42,10,0.0,0.3548387096774194,0.0,0.42857142857142855
rv,25,12,0,0,15,7,40,19,0.0,0.6,0.0,0.5833333333333334
is_valid,4,1,25,11,9,4,38,16,6.25,2.25,11.0,4.0
spl,20,5,0,0,16,4,36,9,0.0,0.8,0.0,0.8
calc,20,6,0,0,15,4,35,10,0.0,0.75,0.0,0.6666666666666666
s,9,1,0,0,24,1,33,2,0.0,2.6666666666666665,0.0,1.0
solver,20,5,0,0,12,5,32,10,0.0,0.6,0.0,1.0
dist_sq,0,0,30,2,0,0,30,2,,,,
is_prime,5,2,18,7,6,3,29,12,3.6,1.2,3.5,1.5
ans,14,3,0,0,12,2,26,5,0.0,0.8571428571428571,0.0,0.6666666666666666
backtrack,0,0,18,5,8,2,26,7,,,,
m,26,3,0,0,0,0,26,3,0.0,0.0,0.0,0.0
rl,15,12,0,0,10,7,25,19,0.0,0.6666666666666666,0.0,0.5833333333333334
rotate,5,2,17,1,2,1,24,4,3.4,0.4,0.5,0.5
expr,12,1,0,0,12,1,24,2,0.0,1.0,0.0,1.0
top,12,2,0,0,12,2,24,4,0.0,1.0,0.0,1.0
test,15,5,0,0,9,2,24,7,0.0,0.6,0.0,0.4
isPrime,8,3,8,1,7,3,23,7,1.0,0.875,0.3333333333333333,1.0
if,11,1,0,0,11,1,22,2,0.0,1.0,0.0,1.0
mp,12,5,0,0,10,4,22,9,0.0,0.8333333333333334,0.0,0.8
slope,9,1,0,0,13,2,22,3,0.0,1.4444444444444444,0.0,2.0
lt,11,5,0,0,10,4,21,9,0.0,0.9090909090909091,0.0,0.8
safe,10,1,0,0,10,1,20,2,0.0,1.0,0.0,1.0
cnt,12,2,0,0,7,2,19,4,0.0,0.5833333333333334,0.0,1.0
fib,11,3,0,0,8,2,19,5,0.0,0.7272727272727273,0.0,0.6666666666666666
isRightAngled,14,1,0,0,5,1,19,2,0.0,0.35714285714285715,0.0,1.0
sum,13,2,0,0,5,1,18,3,0.0,0.38461538461538464,0.0,0.5
t,9,1,0,0,9,1,18,2,0.0,1.0,0.0,1.0
factorial,5,2,8,2,5,2,18,6,1.6,1.0,1.0,1.0
shift_solution,9,1,0,0,9,1,18,2,0.0,1.0,0.0,1.0
no,12,2,0,0,6,2,18,4,0.0,0.5,0.0,1.0
to,8,1,0,0,9,1,17,2,0.0,1.125,0.0,1.0
pt,9,5,0,0,8,4,17,9,0.0,0.8888888888888888,0.0,0.8
lucky,11,2,0,0,5,1,16,3,0.0,0.45454545454545453,0.0,0.5
power,2,1,10,3,4,2,16,6,5.0,2.0,3.0,2.0
dg,7,1,0,0,8,1,15,2,0.0,1.1428571428571428,0.0,1.0
b,10,2,0,0,5,1,15,3,0.0,0.5,0.0,0.5
union,0,0,11,5,4,2,15,7,,,,
search,10,3,0,0,5,2,15,5,0.0,0.5,0.0,0.6666666666666666
push,7,2,0,0,7,2,14,4,0.0,1.0,0.0,1.0
prt,10,10,0,0,4,4,14,14,0.0,0.4,0.0,0.4
read_string,7,1,0,0,7,1,14,2,0.0,1.0,0.0,1.0
can,8,3,0,0,5,2,13,5,0.0,0.625,0.0,0.6666666666666666
traverse,11,1,0,0,2,1,13,2,0.0,0.18181818181818182,0.0,1.0
ask,6,2,0,0,7,3,13,5,0.0,1.1666666666666667,0.0,1.5
tr,10,1,0,0,3,1,13,2,0.0,0.3,0.0,1.0
sof,6,1,0,0,7,1,13,2,0.0,1.1666666666666667,0.0,1.0
pop,6,2,0,0,6,2,12,4,0.0,1.0,0.0,1.0
debug_print,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
C,7,3,0,0,5,2,12,5,0.0,0.7142857142857143,0.0,0.6666666666666666
get,8,2,0,0,4,1,12,3,0.0,0.5,0.0,0.5
ok,8,3,0,0,4,2,12,5,0.0,0.5,0.0,0.6666666666666666
rhyme,0,0,12,1,0,0,12,1,,,,
is_lucky,0,0,8,4,4,2,12,6,,,,
interval,12,1,0,0,0,0,12,1,0.0,0.0,0.0,0.0
inp,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
endswith,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
find_space,6,1,0,0,6,1,12,2,0.0,1.0,0.0,1.0
digits,11,1,0,0,0,0,11,1,0.0,0.0,0.0,0.0
swap,9,2,0,0,2,1,11,3,0.0,0.2222222222222222,0.0,0.5
substitute,0,0,11,1,0,0,11,1,,,,
c,8,2,0,0,3,1,11,3,0.0,0.375,0.0,0.5
is_subsequence,0,0,11,4,0,0,11,4,,,,
pay,6,1,0,0,5,1,11,2,0.0,0.8333333333333334,0.0,1.0
second_win,8,1,0,0,2,1,10,2,0.0,0.25,0.0,1.0
co,5,1,0,0,5,1,10,2,0.0,1.0,0.0,1.0
line,7,2,0,0,3,1,10,3,0.0,0.42857142857142855,0.0,0.5
compare,4,1,2,1,4,1,10,3,0.5,1.0,1.0,1.0
prod,7,2,0,0,3,1,10,3,0.0,0.42857142857142855,0.0,0.5
is_sorted,0,0,10,3,0,0,10,3,,,,
diist,10,1,0,0,0,0,10,1,0.0,0.0,0.0,0.0
shift,6,2,0,0,4,1,10,3,0.0,0.6666666666666666,0.0,0.5
next,6,1,0,0,4,1,10,2,0.0,0.6666666666666666,0.0,1.0
dijkstra,3,1,3,1,4,2,10,4,1.0,1.3333333333333333,1.0,2.0
sl,6,5,0,0,4,4,10,9,0.0,0.6666666666666666,0.0,0.8
area,2,1,2,1,6,1,10,3,1.0,3.0,1.0,1.0
ip,6,5,0,0,4,4,10,9,0.0,0.6666666666666666,0.0,0.8
chek,5,1,0,0,5,1,10,2,0.0,1.0,0.0,1.0
combinations,0,0,10,4,0,0,10,4,,,,
sort_racers,5,1,0,0,5,1,10,2,0.0,1.0,0.0,1.0
number,10,2,0,0,0,0,10,2,0.0,0.0,0.0,0.0
get_price,7,1,0,0,2,1,9,2,0.0,0.2857142857142857,0.0,1.0
generate_lucky_numbers,0,0,5,2,4,1,9,3,,,,
is_connected,0,0,7,3,2,1,9,4,,,,
run,6,3,0,0,3,2,9,5,0.0,0.5,0.0,0.6666666666666666
first_win,7,1,0,0,2,1,9,2,0.0,0.2857142857142857,0.0,1.0
bin,5,5,0,0,4,4,9,9,0.0,0.8,0.0,0.8
count_inversions,2,1,2,1,5,2,9,4,1.0,2.5,1.0,2.0
possible,4,2,0,0,5,2,9,4,0.0,1.25,0.0,1.0
aj,5,5,0,0,4,4,9,9,0.0,0.8,0.0,0.8
printlist,5,3,0,0,4,2,9,5,0.0,0.8,0.0,0.6666666666666666
parse,3,1,3,1,3,1,9,3,1.0,1.0,1.0,1.0
fail,6,2,0,0,3,1,9,3,0.0,0.5,0.0,0.5
get_neighbors,0,0,7,2,2,1,9,3,,,,
read_int,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
hex,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
calculate_score,0,0,4,1,4,1,8,2,,,,
get_key,0,0,8,1,0,0,8,1,,,,
b_s,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
serve_book,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
count_vowels,0,0,4,1,4,1,8,2,,,,
cin,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
get_count,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
Solve,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
mat_pow,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
fpow,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
print_matr,6,1,0,0,2,1,8,2,0.0,0.3333333333333333,0.0,1.0
combine,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
Main,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
increment,6,1,0,0,2,1,8,2,0.0,0.3333333333333333,0.0,1.0
find_set,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
get_dp,0,0,8,1,0,0,8,1,,,,
read_ints,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
cut,6,1,0,0,2,1,8,2,0.0,0.3333333333333333,0.0,1.0
rev,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
mult,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
sampleVariance,4,2,0,0,4,2,8,4,0.0,1.0,0.0,1.0
perpenPoint,6,1,0,0,2,1,8,2,0.0,0.3333333333333333,0.0,1.0
chars,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
divide,8,2,0,0,0,0,8,2,0.0,0.0,0.0,0.0
get_original_array,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
quickpow,4,1,0,0,4,1,8,2,0.0,1.0,0.0,1.0
wins,0,0,7,1,0,0,7,1,,,,
parity,0,0,7,2,0,0,7,2,,,,
length,0,0,0,0,7,1,7,1,,,,
intersect,7,2,0,0,0,0,7,2,0.0,0.0,0.0,0.0
winner,2,1,0,0,5,2,7,3,0.0,2.5,0.0,2.0
printItem,7,1,0,0,0,0,7,1,0.0,0.0,0.0,0.0
F,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
is_under_attack,0,0,7,1,0,0,7,1,,,,
turn,7,1,0,0,0,0,7,1,0.0,0.0,0.0,0.0
inspl,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
prairie_partition,0,0,7,1,0,0,7,1,,,,
listring,4,4,0,0,3,3,7,7,0.0,0.75,0.0,0.75
is_leap_year,0,0,2,1,5,1,7,2,,,,
alloc,3,1,0,0,4,1,7,2,0.0,1.3333333333333333,0.0,1.0
path,4,1,0,0,3,1,7,2,0.0,0.75,0.0,1.0
cross_product,0,0,4,1,3,1,7,2,,,,
remove_digits,2,1,0,0,5,1,7,2,0.0,2.5,0.0,1.0
finish,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
seek,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
isqrt,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
get_path,0,0,3,1,3,1,6,2,,,,
fill,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
ziped,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
rook_attacks,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
go,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
to_format,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
tin,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
find_cycle,2,1,2,1,2,1,6,3,1.0,1.0,1.0,1.0
matrix_multiply,0,0,6,2,0,0,6,2,,,,
median_smoothing,0,0,4,2,2,1,6,3,,,,
halve,4,1,0,0,2,1,6,2,0.0,0.5,0.0,1.0
get_max,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
score,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
getl,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
readGen,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
gcd_extended,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
xor_range,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
notsorted,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
func,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
get_cnt,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
overlap,0,0,0,0,6,1,6,1,,,,
get_smash,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
get_name,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
compute_path,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
find_in_sets,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
intersects,0,0,3,1,3,1,6,2,,,,
partition_pts,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
getcom,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
op,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
make_request,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
mul,4,2,0,0,2,1,6,3,0.0,0.5,0.0,0.5
kmp,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
pri,6,1,0,0,0,0,6,1,0.0,0.0,0.0,0.0
is_safe,0,0,6,3,0,0,6,3,,,,
inp_spl,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
lower_bound,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
ctz,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
count_ways,0,0,6,2,0,0,6,2,,,,
visit,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
isEmpty,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
erase,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
read_strings,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
getNum,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
top2,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
hcf,3,1,0,0,3,1,6,2,0.0,1.0,0.0,1.0
