name,ac_total,ac_count,ans_total,ans_count,ref_total,ref_count,total_total,total_count,ans_total_ratio,ref_total_ratio,ans_count_ratio,ref_count_ratio
n,22702,573,53994,756,18663,570,95359,1899,2.378380759404458,0.8220861598097084,1.3193717277486912,0.9947643979057592
b,26051,255,1996,186,37888,211,65935,652,0.07661893977198572,1.4543779509423822,0.7294117647058823,0.8274509803921568
a,10648,348,11392,317,27214,292,49254,957,1.0698722764838466,2.5557851239669422,0.9109195402298851,0.8390804597701149
i,13882,166,10409,81,6212,121,30503,368,0.7498199106756951,0.4474859530327042,0.4879518072289157,0.7289156626506024
s,9625,279,6318,207,5218,241,21161,727,0.6564155844155845,0.5421298701298701,0.7419354838709677,0.8637992831541219
t,8676,149,4134,87,4993,110,17803,346,0.47648686030428766,0.5754956201014292,0.5838926174496645,0.738255033557047
m,4034,237,4706,196,2996,207,11736,640,1.166584035696579,0.7426871591472484,0.8270042194092827,0.8734177215189873
r,5942,114,1786,59,3808,92,11536,265,0.30057219791316053,0.6408616627398183,0.5175438596491229,0.8070175438596491
c,3885,189,1327,82,2963,147,8175,418,0.3415701415701416,0.7626769626769627,0.43386243386243384,0.7777777777777778
k,3313,267,2830,236,1880,229,8023,732,0.8542106851795955,0.5674615152429822,0.8838951310861424,0.8576779026217228
d,3422,141,2473,62,2098,111,7993,314,0.7226767971946231,0.6130917592051431,0.4397163120567376,0.7872340425531915
x,3325,192,2211,114,2337,148,7873,454,0.6649624060150376,0.7028571428571428,0.59375,0.7708333333333334
p,3571,108,1845,55,2045,81,7461,244,0.5166619994399327,0.5726687202464296,0.5092592592592593,0.75
l,4011,145,753,28,1943,95,6707,268,0.18773373223635004,0.4844178509099975,0.19310344827586207,0.6551724137931034
y,2183,125,1783,94,1643,108,5609,327,0.8167659184608337,0.7526339899221255,0.752,0.864
f,3515,61,130,9,1479,39,5124,109,0.03698435277382646,0.42076813655761025,0.14754098360655737,0.639344262295082
v,1841,79,1707,52,1446,63,4994,194,0.9272134709397066,0.7854426941879413,0.6582278481012658,0.7974683544303798
ans,2002,191,218,19,1200,147,3420,357,0.1088911088911089,0.5994005994005994,0.09947643979057591,0.7696335078534031
u,490,26,734,21,1211,24,2435,71,1.4979591836734694,2.4714285714285715,0.8076923076923077,0.9230769230769231
2,1163,86,391,61,700,71,2254,218,0.33619948409286327,0.6018916595012898,0.7093023255813954,0.8255813953488372
j,1260,72,375,35,584,45,2219,152,0.2976190476190476,0.4634920634920635,0.4861111111111111,0.625
count,453,61,1214,163,509,81,2176,305,2.6799116997792494,1.1236203090507726,2.6721311475409837,1.3278688524590163
result,390,50,875,121,715,74,1980,245,2.2435897435897436,1.8333333333333333,2.42,1.48
h,655,44,708,21,390,29,1753,94,1.080916030534351,0.5954198473282443,0.4772727272727273,0.6590909090909091
w,684,27,552,23,245,27,1481,77,0.8070175438596491,0.358187134502924,0.8518518518518519,1.0
e,893,17,76,3,462,14,1431,34,0.0851063829787234,0.5173572228443449,0.17647058823529413,0.8235294117647058
res,783,88,81,7,520,63,1384,158,0.10344827586206896,0.6641123882503193,0.07954545454545454,0.7159090909090909
best_driver,0,0,1342,1,0,0,1342,1,,,,
q,517,62,349,63,412,58,1278,183,0.6750483558994197,0.7969052224371374,1.0161290322580645,0.9354838709677419
g,447,27,134,8,304,20,885,55,0.29977628635346754,0.680089485458613,0.2962962962962963,0.7407407407407407
line,602,13,129,15,76,9,807,37,0.21428571428571427,0.12624584717607973,1.1538461538461537,0.6923076923076923
cnt,476,45,0,0,321,28,797,73,0.0,0.6743697478991597,0.0,0.6222222222222222
y1,230,13,480,24,80,9,790,46,2.0869565217391304,0.34782608695652173,1.8461538461538463,0.6923076923076923
itero,390,1,0,0,390,1,780,2,0.0,1.0,0.0,1.0
y2,214,14,471,34,83,15,768,63,2.2009345794392523,0.3878504672897196,2.4285714285714284,1.0714285714285714
graph_with_0,7,1,0,0,748,1,755,2,0.0,106.85714285714286,0.0,1.0
val,376,14,270,5,94,9,740,28,0.7180851063829787,0.25,0.35714285714285715,0.6428571428571429
x1,216,14,406,12,90,10,712,36,1.8796296296296295,0.4166666666666667,0.8571428571428571,0.7142857142857143
score,104,6,469,7,124,7,697,20,4.509615384615385,1.1923076923076923,1.1666666666666667,1.1666666666666667
cur,430,31,0,0,249,17,679,48,0.0,0.5790697674418605,0.0,0.5483870967741935
z,283,37,224,15,154,23,661,75,0.7915194346289752,0.5441696113074205,0.40540540540540543,0.6216216216216216
maxx,315,5,0,0,311,4,626,9,0.0,0.9873015873015873,0.0,0.8
o,425,10,0,0,194,7,619,17,0.0,0.45647058823529413,0.0,0.7
end,285,71,113,16,197,41,595,128,0.39649122807017545,0.6912280701754386,0.22535211267605634,0.5774647887323944
x2,141,13,382,11,61,8,584,32,2.7092198581560285,0.4326241134751773,0.8461538461538461,0.6153846153846154
